id_date,open,high,low,close,volume,id_stock,id_index
1,45.07,45.35,45.0,45.08,1824755,1,1
2,45.17,45.18,44.45,44.6,2915405,1,1
3,44.81,44.95,44.5,44.62,2373731,1,1
4,44.81,45.24,44.68,44.75,2052338,1,1
5,44.72,44.78,44.36,44.58,3826245,1,1
6,43.48,44.24,42.21,42.25,14657315,1,1
7,42.21,43.12,42.21,43.01,4116141,1,1
8,42.84,42.85,42.225,42.24,3873183,1,1
9,42.14,42.14,41.47,41.63,3415149,1,1
10,41.83,42.07,41.58,41.8,3354862,1,1
11,42.09,42.22,41.29,41.29,3622460,1,1
12,40.62,41.29,40.19,40.97,6185811,1,1
13,40.99,41.905,40.83,41.73,3564385,1,1
14,41.78,42.06,41.45,41.48,3464202,1,1
15,41.18,41.98,40.73,41.93,3089323,1,1
16,41.75,42.18,41.52,42.03,2435306,1,1
17,42.35,43.19,42.34,42.66,3289188,1,1
18,43.0,43.52,42.9,43.24,2996908,1,1
19,43.3,43.48,42.81,43.25,2414186,1,1
20,43.5,43.52,43.02,43.03,3256301,1,1
21,42.99,43.01,41.73,42.81,5472837,1,1
22,42.8,43.0,42.59,42.62,3767613,1,1
23,42.56,43.05,42.4,43.0,2241086,1,1
24,43.03,43.38,43.0,43.32,2840603,1,1
25,43.1,43.22,42.88,43.01,2579690,1,1
26,42.46,42.7,42.18,42.55,1847766,1,1
27,42.68,42.82,41.59,42.0,6246443,1,1
28,42.25,42.785,42.22,42.7,3240314,1,1
29,42.45,42.76,41.63,41.65,4409084,1,1
30,41.79,41.79,40.91,41.25,5425027,1,1
31,41.49,41.654,40.79,41.13,2797510,1,1
32,41.4,41.82,41.32,41.82,2513554,1,1
33,41.4,42.19,41.21,42.09,3369968,1,1
34,42.08,42.08,41.4995,41.97,2147900,1,1
35,41.83,41.9771,40.79,40.93,2541331,1,1
36,41.12,41.36,40.59,40.66,2354390,1,1
37,40.63,40.99,40.32,40.52,5278950,1,1
38,40.54,41.47,40.54,41.41,3918841,1,1
39,40.73,41.85,40.67,41.54,4959134,1,1
40,41.44,41.7425,41.17,41.66,2395400,1,1
41,41.73,42.13,41.53,41.65,1659420,1,1
42,41.73,42.37,41.665,42.26,2169261,1,1
43,42.35,43.93,42.3301,43.86,5626492,1,1
44,43.54,44.785,43.43,44.75,6083564,1,1
45,44.5,44.54,42.945,43.04,7750724,1,1
46,43.46,43.75,42.84,43.39,4505330,1,1
47,43.08,43.11,41.93,42.19,4492937,1,1
48,41.77,42.25,41.4798,41.83,3976804,1,1
49,41.89,42.22,41.65,42.0,3075803,1,1
50,42.03,42.25,41.34,41.85,2340457,1,1
51,42.21,42.8425,42.13,42.61,3522419,1,1
52,42.72,43.035,42.37,42.85,3020692,1,1
53,43.05,43.25,42.66,42.73,2119838,1,1
54,42.44,42.57,40.69,41.3,5283798,1,1
55,41.64,41.68,41.05,41.46,2541961,1,1
56,41.2,41.66,40.95,41.44,3451449,1,1
57,41.42,41.74,41.26,41.31,2726213,1,1
58,41.49,41.72,41.236,41.48,3437642,1,1
59,41.93,42.55,41.54,41.55,4741565,1,1
60,41.44,42.12,41.39,42.0,2819360,1,1
61,42.18,42.41,41.9,42.4,3524022,1,1
62,42.4,42.95,42.3,42.94,2119765,1,1
63,42.97,43.195,42.63,43.16,3159293,1,1
64,43.12,43.85,43.04,43.63,4662252,1,1
65,43.43,43.56,42.72,43.04,4260335,1,1
66,42.98,44.06,42.882,43.97,6075845,1,1
67,44.9,46.49,44.89,45.68,10289000,1,1
68,45.43,45.84,44.97,44.99,4890962,1,1
69,45.02,45.83,44.99,45.56,3247851,1,1
70,45.48,47.45,45.39,46.34,5698804,1,1
71,46.3,46.96,46.21,46.75,4020941,1,1
72,46.72,47.473,46.07,46.24,5421887,1,1
73,45.7,45.93,45.195,45.74,3777408,1,1
74,45.36,45.69,45.25,45.59,2225361,1,1
75,46.09,46.94,46.09,46.43,4793962,1,1
76,45.98,46.35,45.4,46.05,3621114,1,1
77,46.21,47.05,46.01,46.05,3090824,1,1
78,45.91,46.47,45.43,45.45,4609273,1,1
79,45.65,45.84,45.04,45.51,3677473,1,1
80,46.175,46.45,45.38,45.42,3364296,1,1
81,45.32,45.38,44.5,44.53,2495073,1,1
82,44.5,45.01,44.21,45.01,3781151,1,1
83,45.16,45.92,44.94,45.15,2781171,1,1
84,45.35,45.35,44.485,44.73,2730800,1,1
85,44.22,44.63,44.0,44.4,3914328,1,1
86,44.78,44.828,43.795,43.92,2730633,1,1
87,43.87,44.56,43.66,44.49,2594941,1,1
88,44.34,44.57,43.85,44.0,1677669,1,1
89,44.38,44.869,44.185,44.38,2000122,1,1
90,44.38,44.81,44.2701,44.8,2522376,1,1
91,44.74,44.8796,43.5,43.52,5805826,1,1
92,43.11,43.11,41.85,42.32,6307980,1,1
93,42.6,43.23,42.37,42.98,3656145,1,1
94,42.44,42.75,42.07,42.31,2871453,1,1
95,42.01,42.82,42.01,42.48,2939595,1,1
96,43.1,43.29,42.28,42.34,3693707,1,1
97,42.56,43.29,42.52,43.08,3447018,1,1
98,43.0,43.305,42.73,42.76,5556673,1,1
99,43.05,43.77,42.91,43.59,4283821,1,1
100,43.5,43.89,42.95,43.09,2986405,1,1
101,42.82,43.46,42.72,43.17,1940832,1,1
102,43.46,44.295,43.4,44.23,2100873,1,1
103,44.38,44.67,44.12,44.36,2572391,1,1
104,44.6,44.96,44.34,44.6,3476214,1,1
105,44.64,45.65,44.51,45.31,3277684,1,1
106,45.69,45.98,45.43,45.72,2131803,1,1
107,45.78,45.95,45.5838,45.75,1978819,1,1
108,45.7,46.275,45.68,46.11,2433181,1,1
109,46.09,46.47,45.775,45.91,2026749,1,1
110,45.95,46.1,45.57,45.61,1196543,1,1
111,45.66,46.05,45.55,45.9,1999719,1,1
112,45.83,46.275,45.69,46.2,1179308,1,1
113,46.23,46.85,46.1,46.8,1836733,1,1
114,46.31,46.84,46.31,46.47,2934199,1,1
115,46.67,46.81,46.495,46.76,1831121,1,1
116,46.62,46.9,46.39,46.66,1420233,1,1
117,46.31,46.56,45.4322,45.6,3694988,1,1
118,45.59,45.7,44.98,45.34,1962142,1,1
119,45.55,45.6,44.82,44.85,2791858,1,1
120,45.04,45.3,44.66,44.73,2807402,1,1
121,45.51,46.2,45.32,46.04,2745041,1,1
122,46.06,46.51,45.9901,46.38,2387817,1,1
123,46.26,46.4,45.8,45.94,1875418,1,1
124,45.93,46.215,45.61,46.08,2280909,1,1
125,45.88,46.46,45.62,46.28,1702122,1,1
126,46.5,46.55,45.64,45.85,1702407,1,1
127,45.85,46.46,45.81,46.22,1958449,1,1
128,45.89,46.51,45.72,46.45,1247241,1,1
129,46.45,46.98,46.24,46.92,2078213,1,1
130,46.77,47.0,46.37,46.51,1989871,1,1
131,47.59,48.17,46.85,46.96,6708341,1,1
132,46.81,47.22,46.52,46.79,3624694,1,1
133,46.63,46.94,46.42,46.44,1727559,1,1
134,46.43,47.2699,46.17,47.03,2294328,1,1
135,46.93,47.24,46.64,46.89,1949054,1,1
136,46.89,48.33,46.8,47.97,3147986,1,1
137,47.96,48.0,47.54,47.68,1702511,1,1
138,47.64,48.205,47.39,47.6,2012701,1,1
139,47.08,47.39,46.8,46.97,2138064,1,1
140,46.88,46.97,46.51,46.74,1590425,1,1
141,46.63,47.03,46.42,46.8,1900662,1,1
142,46.89,46.98,46.37,46.64,1358573,1,1
143,47.04,47.51,46.615,46.93,1565632,1,1
144,46.93,47.96,46.74,47.87,2522043,1,1
145,47.82,48.09,47.58,47.68,1313188,1,1
146,47.71,47.79,47.13,47.43,1332857,1,1
147,47.59,48.0485,47.29,47.95,1668867,1,1
148,48.04,48.67,48.04,48.55,1821283,1,1
149,48.6,49.02,48.22,48.96,1783424,1,1
150,48.9,48.94,48.49,48.62,1468485,1,1
151,48.6,48.62,48.23,48.46,2141143,1,1
152,49.06,49.18,48.58,48.74,1861513,1,1
153,48.73,49.32,48.62,48.87,1578387,1,1
154,48.77,49.35,48.29,49.32,2044234,1,1
155,52.92,53.47,50.749,50.98,18146408,1,1
156,51.035,52.39,50.98,52.15,10692052,1,1
157,51.91,52.24,51.38,51.67,2716907,1,1
158,51.61,51.92,51.2,51.6,2185721,1,1
159,51.59,52.13,51.44,51.83,2865074,1,1
160,51.96,52.12,51.46,52.09,2680307,1,1
161,51.84,52.1,51.4,51.63,2110103,1,1
162,51.02,51.615,50.75,51.25,2650001,1,1
163,50.7,52.08,50.7,51.9,2997047,1,1
164,51.59,51.71,51.15,51.57,2020794,1,1
165,51.56,51.57,50.91,51.06,1878510,1,1
166,51.17,51.86,51.07,51.78,1867889,1,1
167,51.34,51.59,51.07,51.13,1382107,1,1
168,51.18,51.33,49.89,50.13,2415258,1,1
169,50.23,50.38,49.39,49.95,2430595,1,1
170,50.29,51.2,50.29,50.99,2426300,1,1
171,50.88,51.67,50.66,51.46,1500903,1,1
172,51.2,51.43,50.51,51.36,2110504,1,1
173,51.08,51.19,50.6,50.88,1961896,1,1
174,51.22,51.99,50.94,51.56,2450818,1,1
175,51.25,52.7,51.13,52.65,3548418,1,1
176,52.93,53.24,52.63,52.99,2880870,1,1
177,53.04,53.14,51.9,51.99,2556379,1,1
178,52.1,52.2,50.84,51.02,4280543,1,1
179,50.76,50.88,50.3,50.65,2348591,1,1
180,50.67,51.22,50.67,51.12,1785894,1,1
181,51.34,51.91,51.09,51.87,2398266,1,1
182,51.79,51.98,51.12,51.49,1778672,1,1
183,51.52,51.9,51.23,51.7,1193955,1,1
184,51.76,51.82,50.86,51.15,1360046,1,1
185,51.15,51.33,50.45,50.76,1895510,1,1
186,50.92,51.58,50.84,51.1,1931035,1,1
187,51.39,51.46,50.95,51.21,1409928,1,1
188,51.18,51.36,50.854,51.21,1578131,1,1
189,51.19,51.32,50.8,51.04,1432940,1,1
190,51.08,51.195,49.84,50.05,3548823,1,1
191,50.14,50.94,50.01,50.78,1860654,1,1
192,50.63,51.41,50.518,51.3,1984482,1,1
193,51.2,51.4,50.76,51.2,2357218,1,1
194,50.89,51.3,50.66,51.2,2110086,1,1
195,51.2,51.2,50.36,50.54,2825818,1,1
196,54.03,55.74,53.6902,54.93,11014343,1,1
197,54.45,54.98,53.67,54.05,4131521,1,1
198,53.67,54.19,53.55,53.82,2473023,1,1
199,53.83,54.255,53.465,53.53,2321500,1,1
200,53.8,54.55,53.7,54.1,2417644,1,1
201,54.1,54.3399,53.75,53.85,1910762,1,1
202,54.11,54.13,53.02,53.11,1750170,1,1
203,53.26,53.93,53.23,53.65,3196344,1,1
204,53.78,54.0,53.64,53.81,1189764,1,1
205,53.85,53.97,53.46,53.57,870409,1,1
206,53.47,53.67,53.11,53.21,1459197,1,1
207,52.92,53.17,52.56,52.93,2478051,1,1
208,52.84,53.83,52.72,53.58,2415795,1,1
209,53.35,53.8,53.115,53.5,1810391,1,1
210,53.76,54.93,53.76,54.83,3053347,1,1
211,54.8,55.43,54.74,55.06,2118503,1,1
212,54.91,55.46,54.63,55.34,2326895,1,1
213,55.35,55.69,54.68,54.84,2349926,1,1
214,54.63,55.52,54.3,55.26,2714297,1,1
215,55.36,55.9,54.9,55.16,2022610,1,1
216,55.25,55.79,55.07,55.24,1685454,1,1
217,55.96,57.29,55.81,56.37,3209227,1,1
218,56.5,57.94,56.37,57.89,4136283,1,1
219,57.57,57.83,57.07,57.38,1893211,1,1
220,57.47,57.67,56.91,56.96,2954031,1,1
221,57.45,57.655,57.12,57.54,1578464,1,1
222,57.5,57.61,57.17,57.23,779696,1,1
223,57.24,57.71,57.24,57.46,714431,1,1
224,57.23,57.42,57.12,57.17,653055,1,1
225,57.05,57.46,56.92,57.32,1127980,1,1
226,57.45,57.55,57.08,57.19,941447,1,1
227,57.1,57.1,56.15,56.21,1916160,1,1
228,56.39,57.345,56.26,56.92,1866651,1,1
229,57.4,57.7,56.56,56.64,1777472,1,1
230,56.95,57.63,56.93,57.45,1463208,1,1
231,57.33,58.54,57.17,58.39,2659468,1,1
232,58.4,58.68,57.87,58.41,1757647,1,1
233,58.51,59.01,58.14,58.93,1623330,1,1
234,58.77,59.1,58.6,58.93,2946738,1,1
235,59.16,59.95,59.02,59.88,2562236,1,1
236,59.82,60.365,59.585,60.34,2335194,1,1
237,60.24,60.5,60.04,60.5,1835957,1,1
238,60.83,60.83,60.33,60.71,1699534,1,1
239,60.69,60.88,59.86,60.85,3008458,1,1
240,60.82,61.22,60.71,60.93,2769350,1,1
241,60.48,60.51,59.405,59.47,3063559,1,1
242,59.22,59.46,57.71,57.87,2656341,1,1
243,57.9,58.37,56.98,58.3,4669012,1,1
244,58.5,58.88,57.91,58.1,2536290,1,1
245,57.67,58.2174,57.41,57.65,2163031,1,1
246,58.42,60.11,58.42,59.51,3743153,1,1
247,58.61,59.15,58.05,58.15,3529054,1,1
248,58.15,58.48,56.075,56.15,2929252,1,1
249,56.32,57.88,56.09,57.81,2911877,1,1
250,57.58,57.7,56.96,57.43,2283870,1,1
251,57.51,58.35,57.46,58.29,1609451,1,1
252,58.46,59.465,58.13,59.42,1975290,1,1
253,59.27,59.44,58.29,59.01,1760468,1,1
254,59.0,60.0,58.88,59.73,2148202,1,1
255,60.0,60.46,59.67,59.89,2347270,1,1
256,59.45,60.38,59.37,60.08,3097011,1,1
257,57.15,57.77,54.87,55.25,17862776,1,1
258,55.38,56.04,54.96,55.15,6553839,1,1
259,55.01,56.65,54.9,55.94,4838795,1,1
260,56.14,57.535,56.045,57.29,4629755,1,1
261,57.25,57.4,56.32,56.34,2407171,1,1
262,56.45,56.98,56.4,56.75,2392783,1,1
263,56.8,57.57,56.75,56.89,3375173,1,1
264,56.98,57.62,56.75,57.1,2400946,1,1
265,57.02,57.28,56.19,56.36,3123781,1,1
266,56.45,57.11,56.4,56.93,2876261,1,1
267,56.12,57.12,55.785,56.71,2488373,1,1
268,57.22,58.0,56.98,57.78,2841919,1,1
269,57.71,58.0,57.555,57.8,3113546,1,1
270,58.39,59.32,58.14,58.77,5178833,1,1
271,59.06,59.2,57.52,58.42,3247154,1,1
272,58.29,58.34,57.6,58.15,2563418,1,1
273,58.23,58.3,56.5,56.86,3421731,1,1
274,56.52,57.08,56.01,57.06,1652324,1,1
275,57.16,57.4,55.77,55.85,2318832,1,1
276,55.61,55.98,55.23,55.44,1745218,1,1
277,55.68,56.41,55.48,55.8,1437471,1,1
278,55.97,56.81,55.84,56.79,1294681,1,1
279,56.72,57.15,56.18,56.63,1804350,1,1
280,56.54,56.93,56.16,56.7,1808447,1,1
281,57.18,57.78,55.96,56.09,2762931,1,1
282,56.08,56.23,54.66,55.26,1985703,1,1
283,55.5,56.21,54.98,55.16,1727269,1,1
284,55.4,55.99,55.16,55.17,2560731,1,1
285,55.6,55.6,54.22,54.69,2972614,1,1
286,54.85,55.25,54.42,54.69,2006941,1,1
287,54.97,56.05,54.57,55.92,2190772,1,1
288,56.2,56.62,55.835,56.36,2090720,1,1
289,56.42,56.7,56.2,56.67,1919493,1,1
290,56.77,57.14,56.27,56.6,1603010,1,1
291,57.1,57.24,55.55,55.57,2307668,1,1
292,55.56,55.66,53.94,54.35,2584538,1,1
293,54.21,55.0,53.82,54.66,1842491,1,1
294,55.44,55.61,54.375,55.57,2017519,1,1
295,55.57,55.637,53.9,54.05,1966409,1,1
296,53.69,54.05,52.65,52.77,2591968,1,1
297,53.19,53.249,52.3075,52.65,2840577,1,1
298,52.84,53.36,51.96,53.11,2172515,1,1
299,53.55,53.77,53.25,53.68,1243513,1,1
300,53.74,54.89,53.61,54.65,2061997,1,1
