id_date,open,high,low,close,volume,id_stock,id_index
1,15.07,15.12,14.63,14.75,8407500,2,1
2,14.89,15.01,14.26,14.46,8882000,2,1
3,14.45,14.51,14.1,14.27,8126000,2,1
4,14.3,14.94,14.25,14.66,10259500,2,1
5,14.94,14.96,13.16,13.99,31879900,2,1
6,13.93,14.61,13.93,14.5,15628000,2,1
7,14.33,14.56,14.08,14.26,11354400,2,1
8,14.17,14.26,13.15,13.33,14725200,2,1
9,13.62,13.95,12.9,13.37,11922100,2,1
10,13.57,13.6,13.21,13.57,6071400,2,1
11,13.6,13.76,13.0,13.02,7186400,2,1
12,13.14,13.42,12.7,13.26,9419000,2,1
13,13.28,13.62,13.18,13.41,7390500,2,1
14,13.49,13.63,13.39,13.43,6143600,2,1
15,13.37,13.95,13.32,13.61,7376800,2,1
16,13.5,14.07,13.47,13.9,8174800,2,1
17,14.01,14.05,13.71,14.05,7676100,2,1
18,14.52,14.68,14.25,14.57,13243200,2,1
19,14.7,14.93,14.5,14.82,9125300,2,1
20,14.99,15.2,14.84,14.92,10593700,2,1
21,14.85,15.15,14.71,15.13,6961800,2,1
22,15.14,15.6,14.95,15.5,8999100,2,1
23,15.54,16.2,15.48,15.91,11380000,2,1
24,15.98,16.36,15.93,16.25,8383300,2,1
25,16.45,16.54,15.88,15.98,17667700,2,1
26,15.8,16.33,15.71,16.29,6514100,2,1
27,16.48,16.85,16.41,16.78,11805300,2,1
28,17.13,17.33,16.87,17.23,10819800,2,1
29,17.21,17.43,16.87,17.0,10740800,2,1
30,17.1,17.29,16.77,16.86,8545200,2,1
31,16.92,17.0,16.35,16.6,8400000,2,1
32,16.67,16.84,16.5,16.51,6898500,2,1
33,16.48,16.77,16.33,16.65,5537100,2,1
34,17.0,17.09,16.82,16.97,8324100,2,1
35,17.02,17.13,16.54,16.67,5222300,2,1
36,16.48,16.5,15.71,15.74,14595600,2,1
37,15.82,15.92,15.13,15.53,14658300,2,1
38,15.12,15.71,15.12,15.69,5520300,2,1
39,15.17,15.79,15.03,15.72,5252300,2,1
40,15.82,15.97,15.53,15.84,3780700,2,1
41,16.07,16.1,15.67,15.7,4420200,2,1
42,15.74,15.98,15.7,15.78,3650600,2,1
43,15.77,16.38,15.75,16.19,5062200,2,1
44,16.11,16.39,15.95,16.14,3751800,2,1
45,16.2,16.39,15.47,15.59,6243400,2,1
46,15.96,16.74,15.81,16.37,10458200,2,1
47,16.17,16.55,15.9,16.52,6581900,2,1
48,16.54,16.54,15.95,16.1,7633300,2,1
49,16.1,16.24,15.85,16.02,5762600,2,1
50,15.99,16.0,15.5,15.52,9227100,2,1
51,15.33,16.49,15.33,16.3,12302300,2,1
52,16.26,16.5,16.0,16.45,6114400,2,1
53,16.55,16.73,16.19,16.22,5548800,2,1
54,16.38,16.73,16.16,16.59,7272100,2,1
55,16.7,16.97,16.56,16.81,5436400,2,1
56,16.8,17.05,16.57,16.9,3640700,2,1
57,16.91,17.17,16.6,16.6,4943600,2,1
58,16.72,16.98,16.6,16.94,4888900,2,1
59,17.02,17.19,16.89,17.02,6451900,2,1
60,17.05,17.11,16.91,17.0,3930700,2,1
61,17.15,17.15,16.95,16.98,3157000,2,1
62,17.01,17.55,16.99,17.34,6706200,2,1
63,17.53,17.86,17.34,17.38,6424000,2,1
64,17.61,17.81,17.41,17.76,4248200,2,1
65,17.74,17.95,17.57,17.72,4250900,2,1
66,17.82,18.3,17.8,18.1,5989700,2,1
67,18.37,18.99,18.31,18.81,8951500,2,1
68,18.96,19.52,18.88,19.12,6679300,2,1
69,19.38,19.7,18.75,19.01,7540000,2,1
70,19.05,19.39,18.39,18.59,6055000,2,1
71,18.55,18.7,17.65,17.95,10018700,2,1
72,18.06,18.43,17.71,17.93,8662000,2,1
73,17.48,18.45,17.44,18.19,7482400,2,1
74,18.11,18.42,17.89,18.21,4277800,2,1
75,18.44,18.72,18.05,18.12,4561900,2,1
76,18.06,18.15,17.65,17.83,4216200,2,1
77,17.92,18.22,17.66,17.67,4126600,2,1
78,17.66,17.9,17.55,17.57,3831500,2,1
79,17.54,17.9,17.4,17.73,5776800,2,1
80,17.78,18.2,17.56,17.65,4543800,2,1
81,17.15,17.62,16.85,16.95,11852000,2,1
82,16.92,17.08,15.93,16.64,12738600,2,1
83,16.89,17.1,16.65,17.02,4030900,2,1
84,17.09,17.35,17.05,17.26,4246400,2,1
85,16.94,17.26,16.75,16.92,3788700,2,1
86,16.97,17.2,16.65,16.88,3602200,2,1
87,16.85,17.07,16.64,17.01,5384700,2,1
88,16.96,17.25,16.81,16.93,2572500,2,1
89,17.02,17.16,16.74,16.95,2845000,2,1
90,16.94,17.32,16.82,17.22,4298600,2,1
91,17.16,17.27,17.0,17.06,2382500,2,1
92,16.73,17.18,16.53,16.73,5234200,2,1
93,16.8,16.94,16.05,16.34,6423700,2,1
94,16.06,16.14,15.59,16.13,6691000,2,1
95,16.22,16.5,16.16,16.46,3399500,2,1
96,16.5,16.64,16.17,16.17,3604500,2,1
97,16.29,16.34,16.0,16.31,3566000,2,1
98,16.24,16.55,16.16,16.42,7063900,2,1
99,16.5,17.04,16.48,16.8,4666900,2,1
100,16.78,16.79,16.36,16.43,4009300,2,1
101,16.06,16.8,16.04,16.75,2625800,2,1
102,16.93,17.0,16.68,16.84,2397200,2,1
103,16.94,17.09,16.85,16.94,2671200,2,1
104,17.01,17.38,16.97,17.36,4076600,2,1
105,17.32,17.48,17.01,17.17,4289700,2,1
106,17.4,17.5,17.27,17.37,3153800,2,1
107,17.36,17.85,17.35,17.56,3947100,2,1
108,17.66,17.83,17.56,17.76,3267000,2,1
109,17.86,18.0,17.75,17.95,3839100,2,1
110,17.96,18.47,17.95,18.45,6291800,2,1
111,18.7,18.93,18.31,18.42,8434200,2,1
