id_date,open,high,low,close,volume,id_stock,id_index
1,34.39,34.66,34.29,34.41,10237828,7,1
2,34.42,34.49,34.24,34.26,7928236,7,1
3,34.27,34.5,34.21,34.3,7070536,7,1
4,34.29,34.58,34.25,34.46,6688100,7,1
5,34.28,34.75,34.28,34.7,8561425,7,1
6,34.84,35.1,34.775,35.08,10016820,7,1
7,35.18,35.29,34.75,34.82,9584941,7,1
8,34.7,34.87,34.51,34.52,7814093,7,1
9,34.47,34.49,34.135,34.26,6572998,7,1
10,34.18,34.55,34.01,34.55,7902855,7,1
11,34.6,34.84,34.25,34.27,8704574,7,1
12,34.37,34.44,33.94,34.06,7393201,7,1
13,34.05,34.45,33.85,34.26,10667837,7,1
14,34.31,34.36,33.79,33.79,16558242,7,1
15,33.69,33.91,33.55,33.6,14602200,7,1
16,33.51,34.33,33.4,34.31,6613663,7,1
17,34.38,34.7,34.37,34.67,7653803,7,1
18,34.67,34.7,34.15,34.27,6412073,7,1
19,34.3,34.54,34.16,34.43,5666019,7,1
20,34.5,34.68,34.35,34.68,5152097,7,1
21,34.59,34.95,34.515,34.93,4903332,7,1
22,34.83,35.0,34.8,34.98,4979949,7,1
23,34.89,35.03,34.71,35.01,4442357,7,1
24,35.03,35.14,34.93,35.14,6813007,7,1
25,34.92,35.09,34.13,34.14,13707177,7,1
26,33.94,34.01,33.44,33.46,8840151,7,1
27,33.515,33.74,33.27,33.54,7540527,7,1
28,33.66,33.82,33.5,33.81,6666071,7,1
29,33.78,33.82,33.32,33.48,5890138,7,1
30,33.5,33.69,33.33,33.69,5058608,7,1
31,33.76,34.08,33.57,33.8,7022156,7,1
32,33.85,34.35,33.85,34.35,5855375,7,1
33,34.13,34.64,34.06,34.61,8637457,7,1
34,34.6,35.34,34.53,35.32,11468105,7,1
35,35.18,35.31,34.95,35.31,6029815,7,1
36,35.45,36.15,35.34,36.12,10957462,7,1
37,36.13,36.39,35.9,36.32,10143251,7,1
38,36.52,36.89,36.45,36.65,7712725,7,1
39,36.37,36.55,36.19,36.31,8250136,7,1
40,36.31,36.55,35.93,36.55,5584211,7,1
41,36.56,36.75,36.4001,36.66,5443615,7,1
42,36.73,37.14,36.66,37.1,6689111,7,1
43,37.02,37.55,37.0,37.27,6812186,7,1
44,37.11,37.25,36.93,37.13,5373280,7,1
45,36.84,37.09,36.11,36.13,8227744,7,1
46,36.28,36.48,35.9,36.4,7865968,7,1
47,36.84,37.48,36.46,37.28,14361736,7,1
48,37.45,37.47,36.61,36.88,7750406,7,1
49,37.05,37.3,36.91,37.2,6665943,7,1
50,37.0,37.22,36.561,36.89,5354665,7,1
51,37.11,37.34,36.86,37.21,5291519,7,1
52,37.27,37.35,36.39,36.52,5434101,7,1
53,36.62,36.82,36.45,36.49,5324260,7,1
54,36.36,36.7,36.25,36.46,6131987,7,1
55,36.49,36.79,36.4,36.73,3111731,7,1
56,36.7,36.98,36.48,36.92,6426661,7,1
57,36.77,37.2,36.62,36.89,5458445,7,1
58,36.95,37.15,36.83,37.06,4202763,7,1
59,37.25,37.25,36.61,36.8,5364335,7,1
60,36.75,36.78,35.8,35.85,8603284,7,1
61,35.74,36.08,35.58,36.06,8347699,7,1
62,36.01,36.29,35.88,36.29,6767387,7,1
63,36.19,36.357,36.0,36.18,4861441,7,1
64,36.25,36.41,35.96,36.17,6667104,7,1
65,36.05,36.57,36.04,36.35,6217550,7,1
66,36.42,37.1,36.22,37.05,6309423,7,1
67,37.13,37.7,37.09,37.66,7853143,7,1
68,37.45,37.47,36.82,36.83,6137601,7,1
69,36.82,36.94,36.29,36.59,7050621,7,1
70,36.95,37.925,36.87,37.81,8885574,7,1
71,37.85,38.0,37.57,37.72,6987371,7,1
72,37.76,38.77,37.6043,37.72,9983014,7,1
73,37.49,37.86,37.3,37.48,7067651,7,1
74,37.17,37.84,37.11,37.76,5429898,7,1
75,37.98,38.64,37.951,38.56,8425009,7,1
76,38.26,38.46,37.33,37.72,8678424,7,1
77,37.72,37.85,37.47,37.68,7569437,7,1
78,37.49,37.65,36.62,36.67,11798004,7,1
79,36.63,37.18,36.13,37.16,10556110,7,1
80,37.06,37.21,36.525,36.8,6066365,7,1
81,36.72,37.16,36.264,36.3,7084755,7,1
82,36.24,36.64,36.03,36.64,6912105,7,1
83,36.95,37.55,36.895,37.51,5996475,7,1
84,37.47,37.58,37.09,37.49,5030038,7,1
85,37.14,37.31,36.8201,36.83,5128405,7,1
86,37.08,37.2,36.42,36.44,5271138,7,1
87,36.33,36.8,36.121,36.7,6471971,7,1
88,36.68,37.1,36.59,36.81,4817330,7,1
89,37.07,37.33,36.7227,36.89,6356219,7,1
90,36.98,37.64,36.87,37.51,5541626,7,1
91,37.27,37.27,36.21,36.21,6744222,7,1
92,36.07,36.09,35.07,35.17,8338192,7,1
