id_date,open,high,low,close,volume,id_stock,id_index
1,73.01,73.71,72.82,73.31,2000477,8,1
2,73.09,73.27,72.1,73.07,1880055,8,1
3,72.89,73.495,72.58,73.37,1710274,8,1
4,73.32,73.71,73.2,73.56,1884631,8,1
5,73.21,73.5,72.66,73.13,2096346,8,1
6,73.08,74.16,73.0,74.16,3221961,8,1
7,74.28,75.46,73.83,75.4,2787513,8,1
8,75.4,75.97,75.0,75.0,2641312,8,1
9,74.69,74.75,73.45,73.85,2647515,8,1
10,74.15,74.8,73.95,74.8,1930654,8,1
11,75.17,75.52,73.91,73.91,2836095,8,1
12,74.32,74.68,73.55,73.83,1970561,8,1
13,74.0,74.63,73.39,74.41,2201042,8,1
14,74.52,75.14,74.27,74.36,2366121,8,1
15,74.13,74.95,73.62,74.82,1678154,8,1
16,74.53,75.28,74.25,75.24,1825682,8,1
17,75.56,77.0,75.5,76.92,2523071,8,1
18,77.03,77.6,76.92,77.41,2000048,8,1
19,77.29,77.835,76.87,77.57,2565710,8,1
20,77.98,78.46,77.39,78.35,1878456,8,1
21,78.38,78.43,77.63,78.3,1752106,8,1
22,78.26,78.4,77.63,78.02,1645569,8,1
23,78.0,78.12,77.465,77.93,1789769,8,1
24,78.08,78.37,77.865,78.26,1959257,8,1
25,77.88,78.17,76.52,76.6,6131312,8,1
26,75.87,77.27,75.86,76.81,2578496,8,1
27,77.16,77.22,75.81,76.18,2801666,8,1
28,76.34,76.8,76.13,76.49,2487340,8,1
29,75.83,76.005,74.065,74.3,3844648,8,1
30,74.3,74.74,73.33,73.88,3306172,8,1
31,74.2,74.324,73.225,73.41,3397367,8,1
32,74.0,74.73,73.84,74.54,2040600,8,1
33,74.18,75.04,74.1,74.88,2482818,8,1
34,73.79,76.14,72.42,75.97,4038807,8,1
35,76.07,76.45,75.55,75.85,2017406,8,1
36,76.1,76.98,75.91,76.67,2686667,8,1
37,76.835,77.0,76.13,76.6,2986577,8,1
38,76.86,76.92,76.31,76.61,1796319,8,1
39,75.76,76.36,75.52,76.25,2077949,8,1
40,76.14,76.62,75.9,76.55,1950747,8,1
41,76.76,76.95,75.93,76.21,1975596,8,1
42,75.56,77.12,75.5,77.01,3406072,8,1
43,76.97,77.94,76.81,77.78,2533852,8,1
44,77.0,77.37,76.17,77.23,2985208,8,1
45,76.93,77.06,75.23,75.24,2930740,8,1
46,76.0,77.56,75.605,77.49,3439799,8,1
47,76.79,77.23,76.42,76.7,3185116,8,1
48,76.99,77.15,75.48,75.57,3528100,8,1
49,75.02,75.39,74.205,74.74,5587899,8,1
50,75.0,75.13,74.19,74.94,2324161,8,1
51,75.29,77.2,75.01,76.3,3279067,8,1
52,76.43,77.91,76.43,77.81,3654835,8,1
53,78.0,79.66,77.88,79.33,3472781,8,1
54,78.61,79.38,78.46,78.66,2683480,8,1
55,78.66,81.45,78.63,81.13,3947964,8,1
56,80.92,81.44,80.03,81.44,3334321,8,1
57,81.44,82.18,79.71,79.77,3600978,8,1
58,80.15,80.77,79.335,79.49,3432576,8,1
59,80.08,80.29,79.24,79.5,3486056,8,1
60,79.4,79.85,78.74,78.82,4917796,8,1
61,78.87,79.35,78.74,79.05,2567784,8,1
62,79.13,80.0,79.0,80.0,3088533,8,1
63,79.7401,80.77,79.69,80.09,2155461,8,1
64,80.34,81.48,80.15,80.48,2193646,8,1
65,80.06,80.69,79.85,79.92,1739587,8,1
66,79.91,80.63,79.86,80.55,2265006,8,1
67,80.5,80.94,79.815,80.76,2382819,8,1
68,80.56,81.52,79.29,80.61,2528731,8,1
69,80.7,82.24,80.5,82.24,2567982,8,1
70,82.94,83.82,82.33,82.53,3026247,8,1
71,82.65,83.33,82.12,82.9,2675999,8,1
72,82.97,84.225,82.2,82.52,3090060,8,1
73,81.76,82.75,81.1,82.52,2742775,8,1
74,82.04,82.39,80.78,82.22,2206926,8,1
75,83.27,83.44,82.76,83.09,2105299,8,1
76,82.52,83.37,82.35,82.95,2457826,8,1
77,83.02,83.4,82.78,82.84,2195554,8,1
78,82.25,83.5,82.0,82.11,3134966,8,1
79,82.48,82.61,81.6,82.1,2019011,8,1
80,82.0,82.29,80.94,81.25,3340511,8,1
81,81.25,81.25,79.37,79.58,2433400,8,1
82,79.74,80.05,78.77,79.55,2721559,8,1
83,80.84,80.95,80.06,80.9,2916634,8,1
84,81.28,81.59,80.6,81.55,2127510,8,1
85,80.64,81.6,80.36,80.41,1972249,8,1
86,80.84,81.0,79.65,79.71,1462595,8,1
87,79.89,81.38,79.44,81.08,2150462,8,1
88,80.91,81.65,80.325,80.55,1367384,8,1
89,81.28,82.95,81.11,82.45,2473330,8,1
90,82.64,83.3,82.14,82.93,1862586,8,1
91,82.87,83.03,81.82,81.83,1876335,8,1
92,81.11,81.51,79.37,79.52,2886852,8,1
93,79.69,79.92,78.78,79.4,4555053,8,1
94,79.06,79.87,78.85,79.16,2518387,8,1
95,80.05,80.17,79.25,79.66,2899300,8,1
96,80.48,80.48,79.43,79.56,3066592,8,1
97,80.22,80.92,79.84,80.22,4071210,8,1
98,71.8,72.25,69.0,71.96,28284386,8,1
99,72.14,73.51,72.0,72.1,6396495,8,1
100,71.73,72.45,71.39,72.12,4685505,8,1
101,71.88,73.0,71.88,72.68,2908587,8,1
102,73.25,74.09,73.001,73.64,3125448,8,1
103,74.01,74.86,73.76,74.47,4585314,8,1
104,74.86,74.98,73.84,74.1,4339977,8,1
105,74.22,74.5,73.73,74.35,3547180,8,1
106,75.0,75.58,74.89,75.2,4099120,8,1
107,75.5,75.74,74.96,75.52,3509692,8,1
108,75.81,76.29,75.35,76.25,2247474,8,1
109,75.98,76.62,74.68,75.29,3676703,8,1
110,75.76,75.77,74.97,75.16,3336475,8,1
111,75.05,75.98,75.01,75.44,2646943,8,1
112,75.56,75.56,74.54,75.22,4107795,8,1
113,75.83,75.895,74.88,75.0,2697565,8,1
114,75.14,75.19,74.23,74.25,2494974,8,1
115,74.59,74.95,73.51,73.72,2318215,8,1
116,73.5,73.9802,73.02,73.14,3260980,8,1
117,73.14,73.15,72.16,73.12,3393168,8,1
118,72.84,72.84,72.15,72.37,3101649,8,1
119,73.36,73.92,72.55,73.74,3977051,8,1
120,73.69,74.83,73.47,73.81,3839580,8,1
121,74.21,74.97,73.75,74.85,2972138,8,1
122,74.34,74.645,74.0,74.59,4015236,8,1
123,74.39,74.78,74.1,74.23,2556028,8,1
124,74.01,74.5,73.19,73.25,3261554,8,1
125,73.07,73.4,72.57,73.0,2584245,8,1
126,72.81,73.6,72.62,72.98,3151647,8,1
127,73.03,73.905,73.03,73.53,3196274,8,1
128,72.99,73.7,72.58,72.79,2944287,8,1
129,73.0,73.18,72.61,72.88,2769528,8,1
130,72.71,72.87,71.39,71.5,4341186,8,1
131,70.67,71.96,70.5,71.53,3651335,8,1
132,71.37,71.87,71.17,71.65,3396313,8,1
133,71.63,72.37,71.4,71.67,3138371,8,1
134,71.68,72.65,71.4,72.16,3080697,8,1
135,72.12,73.265,71.98,72.81,3539838,8,1
136,72.84,74.5,72.79,74.1,3467201,8,1
137,74.54,74.6499,73.66,74.01,2837171,8,1
138,73.88,74.56,73.715,73.73,2011865,8,1
139,72.92,73.23,72.109,72.24,2836739,8,1
140,72.35,72.77,72.0,72.45,2002760,8,1
141,72.32,73.22,72.14,72.72,1828073,8,1
142,72.77,72.8675,71.77,72.25,2709871,8,1
143,72.72,73.535,72.67,73.08,3186029,8,1
144,73.08,73.33,72.53,73.05,2079370,8,1
145,73.0,74.26,73.0,74.0,2390834,8,1
146,74.12,74.6,73.15,73.21,2984719,8,1
147,73.5,73.75,73.26,73.58,2831042,8,1
148,74.0,74.94,73.94,74.74,2017484,8,1
149,74.76,75.66,74.71,75.0,3266103,8,1
150,74.99,75.23,74.08,74.16,3104478,8,1
151,74.5,74.73,74.02,74.5,2328702,8,1
152,75.34,76.51,75.34,76.34,3262383,8,1
153,76.27,76.878,75.98,76.61,2549122,8,1
154,76.74,78.0565,76.3427,77.79,2761138,8,1
155,78.05,78.33,77.46,77.55,2837857,8,1
156,77.6,78.34,77.23,77.32,4287653,8,1
157,77.1,77.5,76.29,76.36,2870589,8,1
158,76.29,76.65,74.75,75.14,5124447,8,1
159,75.44,76.325,75.0,76.12,3259768,8,1
160,76.5,76.73,75.62,75.87,5006824,8,1
161,74.5,74.65,72.36,74.09,8860556,8,1
162,74.06,74.19,73.5,73.64,5534426,8,1
163,73.54,74.52,73.31,73.82,2529355,8,1
164,73.38,73.7,73.01,73.51,2512109,8,1
165,73.37,73.6,73.01,73.14,2760902,8,1
166,73.33,73.815,72.99,73.26,2241257,8,1
167,72.51,73.47,72.31,72.35,2966305,8,1
168,72.51,72.92,70.73,71.09,5099783,8,1
169,70.58,70.75,69.78,70.28,5006144,8,1
170,70.99,71.435,70.81,71.26,3247198,8,1
171,71.56,72.75,71.35,72.71,2747842,8,1
172,72.17,72.83,71.95,72.66,1734032,8,1
173,72.26,72.52,71.56,71.6,2267849,8,1
174,72.01,72.67,71.83,72.43,2421455,8,1
175,71.81,72.91,71.56,72.85,2998332,8,1
176,72.95,73.11,72.31,72.88,4100636,8,1
177,73.03,73.6,72.85,73.53,3067197,8,1
178,73.62,74.16,73.2714,73.95,2990792,8,1
179,73.65,73.91,73.27,73.78,2711509,8,1
180,73.74,73.97,73.35,73.5,3761207,8,1
181,73.5,73.76,73.3,73.61,2564861,8,1
182,73.6,74.44,73.44,74.32,2868942,8,1
183,74.45,74.95,74.3,74.91,2780731,8,1
184,74.78,75.26,74.21,74.25,2835045,8,1
185,74.24,74.37,73.5,73.5,2773614,8,1
186,73.89,74.16,72.915,73.0,3300712,8,1
187,73.1,73.23,72.54,72.71,2942749,8,1
