id_date,open,high,low,close,volume,id_stock,id_index
1,60.71,61.0,60.51,60.925,1813162,12,1
2,60.79,60.98,60.28,60.34,1366376,12,1
3,60.24,60.57,60.0,60.36,1342315,12,1
4,60.56,60.79,60.05,60.45,1806080,12,1
5,60.25,60.78,60.03,60.74,1704835,12,1
6,61.26,61.26,60.75,61.22,2192741,12,1
7,61.22,61.49,61.09,61.46,1661840,12,1
8,61.43,61.76,61.13,61.21,2000710,12,1
9,61.16,61.16,60.07,60.27,2305166,12,1
10,60.71,61.02,60.34,61.01,1570009,12,1
11,61.48,61.74,60.76,60.77,2578118,12,1
12,61.12,61.37,60.72,61.08,1954782,12,1
13,60.86,61.83,60.66,61.59,1659768,12,1
14,61.7,61.715,61.36,61.36,1941943,12,1
15,61.29,61.75,60.69,61.65,1703353,12,1
16,61.32,61.89,61.1,61.835,1763774,12,1
17,62.0,62.7,61.92,62.66,1809912,12,1
18,62.54,62.56,62.03,62.3,1552234,12,1
19,62.48,63.57,62.3,63.34,3539409,12,1
20,63.26,63.71,63.16,63.35,2093716,12,1
21,63.38,63.89,63.34,63.87,1798946,12,1
22,63.86,63.98,63.75,63.97,1956495,12,1
23,64.0,64.21,63.85,64.18,1425390,12,1
24,64.2,65.03,64.2,65.02,2501726,12,1
25,64.67,65.05,64.37,64.48,3560880,12,1
26,63.87,64.469,63.8,64.22,1639710,12,1
27,64.31,64.46,63.66,64.31,1573509,12,1
28,64.65,64.82,64.16,64.425,1643036,12,1
29,63.98,64.39,63.43,63.73,2219952,12,1
30,64.0,64.225,63.65,64.08,1580794,12,1
31,64.45,64.549,63.56,63.93,1712092,12,1
32,64.04,64.8,64.04,64.79,1919106,12,1
33,64.4,64.73,64.095,64.66,1511388,12,1
34,64.5,65.12,64.33,65.03,2213530,12,1
35,64.66,65.18,64.5,64.685,1498854,12,1
36,65.15,65.68,64.85,65.28,1929151,12,1
37,65.26,65.49,64.56,64.75,1600043,12,1
38,64.85,65.06,64.32,64.72,1206445,12,1
39,64.1,64.11,63.3,63.77,1689621,12,1
40,63.69,64.26,63.54,64.26,1087044,12,1
41,64.35,64.72,63.84,64.46,1504992,12,1
42,64.44,65.7,64.29,65.66,1392708,12,1
43,65.64,66.21,65.47,66.11,1196455,12,1
44,66.13,66.13,65.51,65.91,1511889,12,1
45,65.8,65.9,64.44,64.46,1821943,12,1
46,64.71,65.47,64.52,65.41,1539315,12,1
47,64.82,65.42,63.98,65.35,2980239,12,1
48,65.83,65.87,64.38,64.63,1454589,12,1
49,64.37,65.43,64.37,65.23,2144702,12,1
50,65.21,65.68,64.71,65.5,1382805,12,1
51,65.94,66.385,65.41,66.36,1268414,12,1
52,66.7,66.95,66.445,66.67,1282094,12,1
53,66.93,66.98,66.49,66.77,1526278,12,1
54,66.76,66.7705,66.2,66.59,862137,12,1
55,66.55,67.25,66.4,67.14,949416,12,1
56,66.99,67.35,66.87,67.34,1641649,12,1
57,67.39,67.39,66.7,66.82,1541116,12,1
58,66.83,67.74,66.6,67.39,1679410,12,1
59,68.52,69.28,68.02,69.23,1879793,12,1
60,69.16,69.16,68.53,68.685,1338980,12,1
61,68.82,69.09,68.53,68.65,1955674,12,1
62,68.64,68.8,68.41,68.56,2447974,12,1
63,68.89,70.25,68.8,70.0,3063607,12,1
64,70.12,70.27,69.58,70.03,1652934,12,1
65,69.78,70.165,69.74,70.08,1357260,12,1
66,70.2,70.91,70.19,70.81,1820895,12,1
67,70.85,71.75,70.75,71.74,2246241,12,1
68,71.52,71.91,70.88,70.98,1924837,12,1
69,71.46,72.0,71.0,71.99,2554995,12,1
70,72.0,72.0,70.82,71.05,2152846,12,1
71,71.03,71.428,70.81,71.03,1959283,12,1
72,71.09,71.18,70.02,70.26,2787174,12,1
73,69.91,70.21,69.72,69.93,1938190,12,1
74,69.67,69.85,69.29,69.85,1569804,12,1
75,70.5,71.055,70.22,70.49,1838212,12,1
76,70.0,70.2,69.5,69.77,1488803,12,1
77,70.01,70.2,69.81,69.81,1493156,12,1
78,69.43,70.16,68.59,68.72,3119138,12,1
79,68.66,69.61,68.66,69.55,2161792,12,1
