id_date,open,high,low,close,volume,id_stock,id_index
1,38.79,39.0,38.69,38.89,1534449,14,1
2,39.07,39.21,38.63,38.89,1368345,14,1
3,38.91,39.24,38.8,38.91,1907926,14,1
4,38.91,39.17,38.53,38.66,1708966,14,1
5,38.54,38.77,38.22,38.67,2525540,14,1
6,38.65,39.51,38.59,39.0,2910931,14,1
7,39.1,39.12,38.84,38.98,1737923,14,1
8,39.17,39.67,38.7,38.73,6135854,14,1
9,38.58,38.62,37.91,37.97,2851227,14,1
10,38.1,38.365,37.82,37.91,2684958,14,1
11,38.23,38.25,36.52,36.62,7224283,14,1
12,35.92,38.08,35.77,36.79,7572430,14,1
13,36.62,36.98,35.99,36.2,9941394,14,1
14,36.31,36.95,36.2201,36.72,4037788,14,1
15,37.25,37.56,36.55,37.36,11398326,14,1
16,37.34,38.69,37.14,38.65,4082246,14,1
17,38.76,39.55,38.75,39.34,3946539,14,1
18,39.51,39.95,39.44,39.94,3070300,14,1
19,39.87,40.08,39.54,40.01,2432941,14,1
20,40.0,40.3,39.78,40.17,2046024,14,1
21,40.0,40.385,39.98,40.36,1281717,14,1
22,40.37,40.44,39.72,40.3,2069821,14,1
23,40.28,40.565,39.95,40.46,1803819,14,1
24,40.67,40.808,40.46,40.69,1851042,14,1
25,40.51,40.64,40.14,40.14,2128756,14,1
26,39.76,40.31,39.34,40.03,1787165,14,1
27,40.05,40.38,39.32,39.67,3069635,14,1
28,40.53,41.42,40.26,41.16,3845321,14,1
29,40.6,41.265,40.25,41.03,2049129,14,1
30,41.04,41.4,40.78,41.392,1719590,14,1
31,41.0,41.21,40.265,40.38,2239187,14,1
32,40.61,40.99,40.4247,40.6,1553797,14,1
33,40.46,40.96,40.29,40.92,1348496,14,1
34,40.62,41.3,40.43,41.25,1784727,14,1
35,40.09,40.68,39.76,39.93,4038013,14,1
36,39.97,40.65,39.365,39.57,2568753,14,1
37,39.55,39.76,38.44,38.54,2713511,14,1
38,38.53,38.68,38.04,38.48,2636361,14,1
39,37.87,38.4025,37.27,38.35,2559522,14,1
40,38.44,38.44,37.92,38.35,1808259,14,1
41,38.37,38.63,38.03,38.46,1421275,14,1
42,38.47,39.87,38.46,39.645,1988711,14,1
43,39.49,39.52,38.92,39.01,2320860,14,1
44,38.95,38.95,38.01,38.36,2174564,14,1
45,38.11,38.21,36.555,36.71,4335798,14,1
46,37.14,37.8,37.01,37.69,2136575,14,1
47,37.33,37.43,36.38,36.82,2699802,14,1
48,36.9,37.02,35.92,35.93,2129509,14,1
49,35.91,36.45,35.51,36.12,1835314,14,1
50,36.16,36.41,35.6202,36.24,1681552,14,1
51,36.49,37.26,36.39,37.26,2617282,14,1
52,37.11,37.72,36.82,37.56,2132370,14,1
53,37.5,38.145,37.31,37.87,2025063,14,1
54,37.93,38.11,37.3,37.31,1862567,14,1
55,37.36,38.24,37.25,38.21,1669508,14,1
56,38.24,39.38,38.14,39.38,5426160,14,1
57,39.23,39.69,38.045,38.19,2902358,14,1
58,38.17,38.765,37.9201,38.53,1323927,14,1
59,39.0,39.53,38.78,39.52,2016189,14,1
60,39.39,39.68,39.19,39.6,1909516,14,1
61,39.66,40.02,39.16,39.54,1471904,14,1
62,39.34,40.03,39.28,39.98,1722613,14,1
63,39.95,40.22,39.56,39.75,2664393,14,1
64,39.81,39.94,39.41,39.75,2608847,14,1
65,39.64,39.64,38.68,38.9,2894894,14,1
66,39.03,39.63,38.85,39.42,2169204,14,1
67,39.32,39.78,39.185,39.43,2463076,14,1
68,39.39,40.265,39.35,39.78,4486152,14,1
69,36.75,37.33,34.4,37.11,16959440,14,1
70,37.14,37.87,36.74,36.99,3450165,14,1
71,37.05,37.63,36.871,37.48,3278892,14,1
72,37.41,37.94,36.46,36.57,3428660,14,1
73,36.36,36.96,36.215,36.46,3391830,14,1
74,36.34,36.474,35.74,36.08,2767960,14,1
75,36.51,37.08,36.33,37.07,3167779,14,1
76,36.85,37.31,36.66,37.1,1745649,14,1
77,37.14,37.99,37.08,37.9,2327601,14,1
78,37.53,38.36,37.4,37.73,3034466,14,1
79,37.95,38.07,36.915,37.38,2239163,14,1
80,37.32,37.71,36.57,36.7,2060573,14,1
81,36.68,37.0,36.07,36.12,1650027,14,1
82,36.03,36.13,35.6,35.97,3224128,14,1
83,36.32,36.92,36.12,36.65,2315083,14,1
84,36.65,36.7899,35.93,35.97,2931891,14,1
85,35.61,35.89,35.2701,35.33,2898060,14,1
86,35.6,35.63,34.5,34.93,3441593,14,1
87,34.8,36.02,34.6,35.88,4112750,14,1
88,35.97,35.97,35.02,35.09,2340973,14,1
89,34.9,35.57,34.88,35.43,1972677,14,1
90,35.33,35.52,35.12,35.13,1887289,14,1
91,35.48,36.4,35.3,35.505,3367162,14,1
92,35.24,35.43,34.49,34.56,2847218,14,1
93,34.5,34.68,33.59,34.21,4650861,14,1
94,33.97,34.03,33.005,33.48,2969230,14,1
95,33.85,34.165,33.5,34.04,2785986,14,1
96,34.33,34.75,34.24,34.64,2577988,14,1
97,34.71,35.26,34.625,34.92,1680581,14,1
98,34.61,34.62,33.87,33.94,4020203,14,1
99,34.01,34.32,33.73,33.8,2972602,14,1
100,33.81,33.99,33.22,33.49,2272521,14,1
101,33.31,33.68,33.23,33.49,1789678,14,1
102,33.94,34.26,33.64,34.16,2322788,14,1
103,34.3,34.47,34.18,34.38,2907319,14,1
104,34.5,34.81,34.29,34.39,1990156,14,1
105,34.36,34.59,33.98,34.31,2556223,14,1
106,34.83,35.46,34.5,35.4,2247873,14,1
107,35.49,36.4,35.42,36.01,2746171,14,1
108,36.22,36.22,35.7,36.13,1027308,14,1
109,36.11,36.39,35.825,36.16,1990550,14,1
110,36.15,36.6,36.02,36.4,1617712,14,1
111,36.37,36.91,36.37,36.87,2397626,14,1
112,36.87,36.87,36.34,36.495,2558871,14,1
113,36.4,36.71,36.074,36.47,1959504,14,1
114,36.68,36.71,36.37,36.48,1845406,14,1
115,36.8,37.22,36.8,36.86,1828684,14,1
116,36.9,37.05,36.45,36.73,1036410,14,1
117,36.37,36.725,35.95,36.51,1296812,14,1
118,36.4,36.64,36.05,36.16,1363902,14,1
119,36.27,36.72,36.06,36.58,1604619,14,1
120,36.51,36.68,34.73,35.39,4517576,14,1
121,34.79,35.14,34.22,34.27,6847233,14,1
122,34.42,35.14,34.16,35.03,5500375,14,1
123,34.95,35.51,34.9,35.26,3241641,14,1
124,35.25,35.3,34.76,34.9,2054468,14,1
125,34.9,34.975,34.31,34.89,1848439,14,1
126,35.1,35.72,35.08,35.6,1856607,14,1
127,35.63,36.0,35.48,35.85,1845630,14,1
128,35.68,36.11,35.58,35.95,1549844,14,1
129,36.06,36.81,35.921,36.68,2446497,14,1
130,36.6,36.81,36.17,36.74,2123275,14,1
131,36.46,36.46,35.86,36.04,2470541,14,1
132,36.0,36.13,35.532,35.94,2803738,14,1
133,35.96,36.36,35.4,35.41,1745021,14,1
134,35.45,35.99,35.052,35.69,1893306,14,1
135,35.69,36.04,35.57,35.62,2227252,14,1
136,35.71,36.22,35.7,36.13,2758242,14,1
137,38.895,41.72,38.75,38.91,16680525,14,1
138,38.59,39.2355,37.74,37.89,6674562,14,1
139,37.38,37.6,36.954,36.99,4629560,14,1
140,36.95,37.21,36.68,36.895,3196172,14,1
141,36.75,37.29,36.72,37.02,2335636,14,1
142,37.04,37.1199,36.5601,36.75,1859403,14,1
143,37.11,37.71,36.8314,37.13,1981258,14,1
144,37.05,37.41,36.9,37.12,3630787,14,1
145,37.1,37.29,36.95,37.04,1969161,14,1
146,37.25,37.33,36.68,37.14,3792082,14,1
147,37.18,37.83,37.14,37.7,1867257,14,1
148,37.89,38.15,37.87,38.08,2078764,14,1
149,38.03,38.34,37.78,38.31,3108276,14,1
150,38.26,38.44,37.84,37.88,2062990,14,1
151,38.06,38.33,38.0,38.18,1970907,14,1
152,38.55,39.11,38.55,39.07,4700342,14,1
153,39.09,39.375,38.89,39.31,2514372,14,1
154,39.5,40.68,39.405,40.62,4679631,14,1
155,40.61,41.19,40.42,40.94,4134654,14,1
156,40.96,41.13,40.68,41.0,3318422,14,1
157,40.57,41.14,40.3462,40.76,3129750,14,1
158,40.74,41.02,40.23,40.82,2842744,14,1
159,40.64,41.1,40.235,40.669,2696780,14,1
160,40.8,42.41,40.75,41.94,7341082,14,1
161,41.59,42.11,41.45,41.79,3170404,14,1
162,41.21,41.4399,40.55,41.17,4475077,14,1
163,40.36,40.87,40.17,40.49,8342446,14,1
164,41.29,42.82,41.03,42.55,13162788,14,1
165,41.54,42.25,41.21,42.15,7238204,14,1
166,41.96,42.79,41.68,42.49,3926518,14,1
167,41.93,42.18,41.615,41.69,2723462,14,1
168,41.65,41.94,40.235,40.39,3882795,14,1
169,40.47,40.62,39.36,39.96,5027963,14,1
170,40.13,40.76,40.09,40.61,2643387,14,1
171,40.57,41.13,40.39,41.05,2203002,14,1
172,40.6,41.325,40.11,41.0,3443596,14,1
173,41.04,41.1552,40.7,40.89,3259173,14,1
174,41.0,41.135,40.66,40.78,2082839,14,1
175,40.52,40.685,39.85,40.41,3446536,14,1
176,40.39,40.72,40.12,40.28,2712298,14,1
177,40.36,40.62,39.83,40.02,1995565,14,1
178,40.27,40.41,39.9,40.0,1644820,14,1
179,39.76,39.99,39.24,39.49,1898241,14,1
180,39.59,40.36,39.54,40.2,2350624,14,1
181,40.52,40.52,39.705,39.87,1341752,14,1
182,39.8,40.04,39.46,39.67,1189730,14,1
183,39.86,40.3,39.51,40.3,2255665,14,1
184,40.3,40.72,39.93,40.04,2625706,14,1
185,40.1,40.34,39.855,39.9,2224741,14,1
186,40.11,41.94,40.09,41.89,5897250,14,1
187,41.85,42.0,41.495,41.8,2733983,14,1
