id_date,open,high,low,close,volume,id_stock,id_index
1,11.12,11.135,10.99,11.07,6413866,17,1
2,11.06,11.22,11.015,11.2,5735378,17,1
3,11.23,11.33,11.17,11.31,5020220,17,1
4,11.31,11.43,11.31,11.34,4476002,17,1
5,11.31,11.38,11.21,11.21,4892310,17,1
6,11.22,11.24,11.11,11.17,4121581,17,1
7,11.17,11.37,11.17,11.37,4547950,17,1
8,11.36,11.42,11.31,11.37,8651025,17,1
9,11.35,11.36,11.04,11.06,4101511,17,1
10,11.12,11.23,11.08,11.23,3545679,17,1
11,11.27,11.32,10.89,10.9,7176690,17,1
12,10.91,11.01,10.8,10.95,5059220,17,1
13,11.07,11.795,11.01,11.64,11982211,17,1
14,11.67,11.79,11.605,11.62,8717028,17,1
15,11.56,11.94,11.52,11.93,7874637,17,1
16,11.92,12.07,11.82,12.02,9997338,17,1
17,12.04,12.23,12.01,12.18,6466157,17,1
18,12.28,12.42,12.25,12.36,6689277,17,1
19,12.35,12.38,12.25,12.32,5021000,17,1
20,12.39,12.3925,12.21,12.33,4384102,17,1
21,12.3,12.53,12.3,12.51,4884931,17,1
22,12.48,12.625,12.46,12.55,4151156,17,1
23,12.52,12.71,12.46,12.64,4768378,17,1
24,12.63,12.73,12.53,12.57,8852209,17,1
25,12.52,12.61,12.38,12.5,8932008,17,1
26,12.4,12.53,12.27,12.39,8102782,17,1
27,12.46,12.49,12.29,12.45,4869950,17,1
28,12.5,12.72,12.5,12.68,7321847,17,1
29,12.63,12.69,12.415,12.42,4838142,17,1
30,12.47,12.505,12.37,12.41,5043381,17,1
31,12.49,12.54,12.25,12.3,6163167,17,1
32,12.39,12.51,12.34,12.39,5049491,17,1
33,12.33,12.55,12.26,12.54,4543436,17,1
34,12.57,12.61,12.47,12.57,4008708,17,1
35,12.57,12.61,12.39,12.51,3018075,17,1
36,12.54,12.55,12.43,12.51,3063953,17,1
37,12.52,12.57,12.41,12.46,4900555,17,1
38,12.47,12.62,12.45,12.53,3258936,17,1
39,12.37,12.58,12.36,12.43,6563917,17,1
40,12.4,12.61,12.36,12.59,8948943,17,1
41,12.64,12.72,12.51,12.64,6840369,17,1
42,12.73,12.93,12.67,12.85,5271623,17,1
43,12.87,12.98,12.85,12.93,4611532,17,1
44,12.87,13.1,12.85,13.1,4165961,17,1
45,13.07,13.2,12.66,12.69,5605376,17,1
46,12.75,12.9,12.705,12.87,3786127,17,1
47,12.78,12.8,12.465,12.64,9794788,17,1
48,12.64,12.68,12.53,12.62,6444601,17,1
49,12.53,12.88,12.53,12.87,5060364,17,1
50,12.88,13.01,12.7,12.92,3839884,17,1
51,13.0,13.2,12.9,13.15,4963726,17,1
52,13.18,13.28,13.07,13.24,3718055,17,1
53,13.26,13.6,13.16,13.46,7331977,17,1
54,13.49,13.58,13.37,13.47,8189504,17,1
55,13.5,13.74,13.45,13.66,6863986,17,1
56,13.69,13.94,13.62,13.86,10962734,17,1
57,13.86,13.94,13.74,13.8,3925264,17,1
58,13.86,13.88,13.7,13.83,3763648,17,1
59,13.91,13.98,13.79,13.82,4679056,17,1
60,13.81,13.86,13.7,13.83,2747195,17,1
61,13.83,13.98,13.76,13.96,5013417,17,1
62,13.92,14.0,13.78,13.9,4827122,17,1
63,13.79,13.8,13.18,13.22,7821944,17,1
64,13.0,13.32,12.72,13.31,12089529,17,1
65,13.24,13.24,12.96,13.01,5855050,17,1
66,13.02,13.28,12.98,13.13,5580948,17,1
67,13.14,13.27,12.98,13.08,10861556,17,1
68,13.01,13.06,12.78,12.86,8300235,17,1
69,12.88,13.0,12.86,12.99,4932559,17,1
70,12.98,13.02,12.85,12.93,4060626,17,1
71,12.93,13.05,12.84,13.0,8428317,17,1
72,13.01,13.24,12.75,12.84,7899262,17,1
73,12.75,12.975,12.545,12.9,5945494,17,1
74,12.8,12.83,12.6,12.66,2892343,17,1
75,12.75,12.77,12.27,12.42,7682490,17,1
76,12.33,12.43,12.07,12.37,6643867,17,1
77,12.4,12.66,12.3,12.31,4497016,17,1
78,12.28,12.51,12.2,12.2,5625574,17,1
79,12.2099,12.39,12.035,12.29,7857950,17,1
80,12.31,12.38,12.175,12.28,6288890,17,1
81,12.21,12.25,12.02,12.07,4876903,17,1
82,12.06,12.33,12.02,12.28,5947758,17,1
83,12.32,12.61,12.28,12.51,4139642,17,1
84,12.51,12.55,12.24,12.26,3919043,17,1
85,12.16,12.39,12.06,12.31,4736466,17,1
86,12.4,12.43,12.1,12.18,3640736,17,1
87,12.17,12.41,12.12,12.39,3174968,17,1
88,12.41,12.5,12.29,12.36,2304357,17,1
