id_date,open,high,low,close,volume,id_stock,id_index
1,49.83,50.95,49.495,50.6,3844057,18,1
2,50.52,50.65,49.93,50.38,4020642,18,1
3,50.96,51.1,49.99,50.15,3122364,18,1
4,50.26,50.42,49.4,49.51,3604101,18,1
5,49.33,49.98,48.99,49.56,2194849,18,1
6,49.57,49.84,49.14,49.2,2747560,18,1
7,47.57,48.86,46.9,48.71,6720464,18,1
8,48.75,48.82,48.045,48.24,3187050,18,1
9,48.26,48.59,47.36,47.76,3346636,18,1
10,47.87,48.11,47.37,47.58,2698382,18,1
11,47.74,48.14,46.65,46.7,4789056,18,1
12,46.83,46.94,46.045,46.56,3791605,18,1
13,46.54,47.73,46.46,47.53,3041941,18,1
14,47.52,47.59,46.91,47.19,3415947,18,1
15,47.02,47.59,46.53,47.5,2388135,18,1
16,47.24,47.62,46.86,47.14,3312284,18,1
17,47.24,47.95,47.22,47.85,1999069,18,1
18,48.15,49.04,48.11,49.03,3865298,18,1
19,48.89,49.71,48.89,49.59,3163097,18,1
20,49.71,50.69,49.66,50.52,3382555,18,1
21,50.29,50.41,49.48,49.9,4162951,18,1
22,49.81,51.24,49.6,51.24,3873953,18,1
23,51.18,51.46,50.79,51.46,2663695,18,1
24,51.6,51.73,50.91,51.23,2724598,18,1
25,51.01,51.28,50.82,50.87,4399858,18,1
26,50.52,50.97,50.24,50.57,3063762,18,1
27,50.75,50.91,50.38,50.52,2878795,18,1
28,50.77,50.83,49.98,50.03,2582826,18,1
29,49.77,50.39,49.68,50.24,3525900,18,1
30,50.39,50.47,49.78,49.91,2083613,18,1
31,50.04,50.56,49.9,50.05,2826359,18,1
32,50.29,51.155,50.16,50.6,2541640,18,1
33,50.45,50.92,50.39,50.87,1884019,18,1
34,50.89,51.19,50.48,51.13,2108159,18,1
35,51.03,54.05,50.4,52.38,5603718,18,1
36,55.02,55.37,54.06,54.3,9969090,18,1
37,54.34,55.62,53.93,54.43,5520095,18,1
38,54.45,55.081,54.25,54.6,3142491,18,1
39,54.27,54.47,53.63,54.0,2292568,18,1
40,53.96,54.59,53.36,54.49,2294679,18,1
41,54.51,55.89,54.37,55.53,3798788,18,1
42,55.76,56.47,55.56,56.09,2519458,18,1
43,56.14,56.72,55.82,56.7,2562019,18,1
44,56.6,56.925,56.46,56.78,2955858,18,1
45,56.54,56.76,55.23,55.26,2357275,18,1
46,55.89,56.69,55.14,56.64,3675936,18,1
47,56.33,56.35,54.61,55.29,3591890,18,1
48,54.01,55.1799,53.51,54.18,4555994,18,1
49,54.58,55.96,54.5,55.87,2931316,18,1
50,55.88,55.88,54.88,55.02,1933001,18,1
51,55.3,55.811,54.82,55.55,2098200,18,1
52,57.19,57.36,56.4,56.99,3488050,18,1
53,57.22,57.39,56.24,56.88,3731211,18,1
54,56.83,57.41,56.65,57.01,2119746,18,1
55,57.35,57.54,56.05,56.16,3753268,18,1
56,57.1,58.64,56.57,57.44,5666942,18,1
57,57.53,59.38,57.45,58.25,3910620,18,1
58,58.48,59.1799,58.13,58.35,2825507,18,1
59,58.54,59.09,58.29,59.0,2401865,18,1
60,58.92,59.47,58.52,58.69,2972675,18,1
61,58.85,59.08,58.3,59.07,3905123,18,1
62,59.16,59.5,58.81,59.35,3361512,18,1
63,59.14,59.505,58.54,59.49,2331582,18,1
64,59.43,59.71,58.88,59.1,3443263,18,1
65,59.11,59.58,59.0,59.25,3436481,18,1
66,59.13,59.68,59.13,59.39,2964316,18,1
67,59.42,60.26,59.11,59.83,3232747,18,1
68,59.62,60.0291,59.515,59.53,2296425,18,1
69,59.56,60.15,59.51,60.04,2612865,18,1
70,59.85,59.928,58.97,59.14,2110503,18,1
71,59.35,60.5499,59.26,60.27,2506855,18,1
72,60.25,61.19,59.3132,59.53,2332455,18,1
73,59.1,60.555,59.03,60.39,2139311,18,1
74,60.08,60.1899,58.8801,59.31,2374760,18,1
75,59.81,61.21,59.81,60.89,2754023,18,1
76,60.64,60.95,60.215,60.29,2175142,18,1
77,60.46,62.76,60.3,62.45,3850232,18,1
78,62.23,62.23,60.34,60.38,4057684,18,1
79,60.46,60.66,59.26,59.68,3138048,18,1
80,59.63,60.33,58.9,59.36,2818269,18,1
81,59.21,59.43,57.72,58.22,2830602,18,1
82,58.42,59.37,57.96,59.37,3287442,18,1
83,59.54,60.29,59.43,60.27,2418493,18,1
84,60.28,61.1088,60.21,60.97,2197540,18,1
85,60.36,62.0578,60.17,61.78,3767833,18,1
86,62.0,62.24,61.36,61.37,3081551,18,1
87,61.3,61.89,60.75,61.59,2631253,18,1
88,61.51,61.92,60.35,60.53,3076898,18,1
89,61.03,61.975,60.86,61.49,2592564,18,1
90,61.48,62.74,61.32,62.65,2942102,18,1
91,62.71,62.9,61.82,61.82,2935355,18,1
92,61.54,61.91,60.68,60.82,2721887,18,1
93,61.3,62.25,61.1,61.79,4114673,18,1
94,61.5,62.79,61.35,62.16,5216615,18,1
95,62.59,62.895,61.85,62.16,2831165,18,1
96,62.75,63.47,62.03,62.96,3156972,18,1
97,63.21,63.82,63.081,63.59,2518192,18,1
98,63.65,64.13,63.3,63.54,2762655,18,1
99,64.18,64.22,63.29,63.35,2285878,18,1
100,63.3,63.33,62.155,62.43,3650052,18,1
101,62.11,62.51,61.585,62.13,1826290,18,1
102,62.61,62.89,61.95,62.58,1650734,18,1
103,63.0,63.5,62.82,63.26,2403500,18,1
104,63.55,63.93,63.23,63.29,2143318,18,1
105,63.44,64.39,63.34,64.05,2867208,18,1
106,64.79,65.1725,63.98,64.04,3583397,18,1
107,64.23,64.54,62.95,63.5,2991541,18,1
108,63.46,63.67,63.2124,63.52,2085138,18,1
109,63.51,63.65,62.12,62.52,3333550,18,1
110,62.77,62.9,61.52,61.54,3372980,18,1
111,62.26,64.34,62.26,64.23,4667355,18,1
112,63.96,64.7,63.43,64.49,2751312,18,1
113,64.49,65.61,64.32,65.04,2687932,18,1
114,65.51,65.599,65.15,65.35,1919725,18,1
115,65.76,66.0,64.74,65.61,2995679,18,1
