id_date,open,high,low,close,volume,id_stock,id_index
1,50.38,50.5,50.08,50.35,4175138,19,1
2,50.36,50.39,50.11,50.26,3321756,19,1
3,50.11,50.22,49.42,49.5,7704847,19,1
4,49.43,49.54,48.49,48.65,6063028,19,1
5,48.43,48.93,48.1724,48.83,4984415,19,1
6,48.94,49.41,48.75,49.34,5319567,19,1
7,49.26,49.62,48.83,49.53,4588503,19,1
8,50.03,50.25,49.79,49.82,4685629,19,1
9,49.83,49.83,49.1,49.58,4031127,19,1
10,49.93,50.07,49.59,50.07,2775428,19,1
11,50.27,50.28,48.84,48.88,3603410,19,1
12,49.2,49.455,48.51,48.81,4689968,19,1
13,48.86,50.08,48.78,49.93,4348020,19,1
14,49.86,50.42,49.64,49.95,3098224,19,1
15,50.09,50.67,49.57,50.19,3613882,19,1
16,50.0,50.27,49.77,50.21,2608965,19,1
17,50.6,51.25,50.52,51.01,3092878,19,1
18,51.25,51.53,51.01,51.1,2101086,19,1
19,51.3,51.62,50.69,51.57,3182317,19,1
20,51.75,51.94,50.09,50.14,6912160,19,1
21,50.1,51.05,49.99,51.05,3512633,19,1
22,50.89,50.995,50.585,50.75,2714840,19,1
23,50.8,50.9,50.43,50.64,2154729,19,1
24,50.89,51.03,50.5,50.66,2662207,19,1
25,50.66,51.09,50.52,51.08,4130277,19,1
26,50.47,50.64,50.11,50.22,3286365,19,1
27,50.42,50.45,49.58,49.81,3453246,19,1
28,50.17,50.89,50.01,50.72,3326225,19,1
29,50.51,51.35,50.25,51.06,4576228,19,1
30,51.24,51.85,51.1,51.85,3067258,19,1
31,51.99,51.99,51.18,51.52,2277519,19,1
32,51.83,52.49,51.62,52.49,3886401,19,1
33,52.08,52.12,51.65,51.91,2299698,19,1
34,51.91,52.09,51.61,52.02,1942320,19,1
35,52.06,52.26,51.72,52.15,2455924,19,1
36,52.45,53.61,52.37,52.9,3661432,19,1
37,53.0,53.0,52.46,52.7,4031499,19,1
38,52.5,52.56,51.195,51.5,5335293,19,1
39,50.8,50.8,49.17,49.49,6090244,19,1
40,49.68,49.685,48.54,49.6,3879936,19,1
41,49.58,50.11,49.36,49.75,2499390,19,1
42,49.87,50.38,49.72,50.21,3178010,19,1
43,50.29,50.38,49.66,49.81,2851295,19,1
44,49.5,50.13,49.44,50.11,2203968,19,1
45,49.92,50.1,48.95,48.97,3270849,19,1
46,49.35,50.27,49.22,50.21,2471431,19,1
47,49.75,49.75,48.91,49.16,3294760,19,1
48,49.19,49.33,48.56,48.9,2459845,19,1
49,49.15,49.502,48.99,49.39,3785982,19,1
50,49.48,49.84,48.95,49.72,1912694,19,1
51,49.92,50.8205,49.78,50.67,3600267,19,1
52,50.76,51.59,50.74,51.56,3391441,19,1
53,51.23,53.0,51.225,52.57,6327779,19,1
54,52.89,53.31,52.69,53.2,4385311,19,1
55,53.34,54.4,53.2,54.04,3766831,19,1
56,54.0,54.71,53.96,54.44,3018971,19,1
57,54.29,54.97,54.28,54.38,2195714,19,1
58,54.64,55.1,54.38,54.94,2616892,19,1
59,55.48,55.9,55.31,55.36,2397650,19,1
60,55.36,55.93,55.34,55.61,1743199,19,1
61,55.58,55.78,55.0,55.38,2786860,19,1
62,55.28,56.04,55.2,55.91,2089584,19,1
63,55.94,56.03,54.75,54.85,3825797,19,1
64,54.73,54.8,53.57,53.95,4585953,19,1
65,53.95,54.0,53.51,53.84,2872653,19,1
66,53.95,54.63,53.9,54.56,3205392,19,1
67,54.47,54.92,54.37,54.81,2585469,19,1
