id_date,open,high,low,close,volume,id_stock,id_index
1,38.55,38.74,38.09,38.56,651874,23,1
2,38.5,38.79,38.36,38.48,452892,23,1
3,39.15,41.35,39.05,41.05,2462236,23,1
4,41.06,41.39,40.83,41.39,1101830,23,1
5,41.15,42.18,41.06,42.01,1435436,23,1
6,41.92,42.13,41.57,41.84,1198038,23,1
7,41.81,42.38,41.67,42.21,1372301,23,1
8,42.03,42.05,41.26,41.29,1058179,23,1
9,41.19,41.19,40.72,41.01,1011224,23,1
10,41.17,41.79,41.17,41.64,844821,23,1
11,41.83,41.83,40.47,40.47,851874,23,1
12,40.68,41.01,40.17,40.65,897490,23,1
13,40.63,41.13,40.24,41.04,867138,23,1
14,40.97,42.27,40.78,41.99,1367919,23,1
15,41.74,41.9,41.32,41.82,893629,23,1
16,41.63,41.93,41.29,41.92,759899,23,1
17,42.13,42.76,42.0,42.6,985890,23,1
18,42.85,43.11,42.125,42.34,1126853,23,1
19,42.37,42.62,42.16,42.58,602633,23,1
20,42.78,42.94,42.595,42.84,437020,23,1
21,42.71,43.65,42.71,43.57,558941,23,1
22,43.62,43.9,43.41,43.82,652740,23,1
23,43.83,44.04,43.68,43.72,837634,23,1
24,43.79,44.47,43.7248,44.21,440947,23,1
25,44.08,44.45,43.94,44.04,1121987,23,1
26,43.55,44.33,43.55,43.97,597307,23,1
27,44.07,44.52,43.92,44.38,608853,23,1
28,44.66,44.79,44.34,44.54,498474,23,1
29,44.37,44.685,43.07,43.85,1575660,23,1
30,44.09,44.2,43.58,44.02,1342055,23,1
31,44.3,44.4,43.95,44.0,1121221,23,1
32,42.9,44.52,42.9,44.06,2193614,23,1
33,43.86,44.54,43.72,44.4,1013384,23,1
34,44.37,45.05,44.23,45.01,792351,23,1
35,45.01,45.11,44.79,44.98,506175,23,1
36,45.24,45.46,45.02,45.3,662329,23,1
37,45.39,45.57,45.0,45.01,875163,23,1
38,45.14,45.46,45.01,45.37,973946,23,1
39,44.8,45.09,44.74,45.01,675798,23,1
40,45.09,45.78,45.01,45.77,584853,23,1
41,45.77,45.94,45.435,45.64,734626,23,1
42,46.59,47.23,46.49,47.16,1188380,23,1
43,47.34,47.86,47.06,47.5,1080687,23,1
44,47.31,47.6,47.31,47.49,369077,23,1
45,47.24,47.57,46.53,46.53,689086,23,1
46,46.87,47.56,46.81,47.51,660514,23,1
47,47.16,47.41,46.67,46.72,904554,23,1
48,46.86,46.96,45.96,46.11,1090991,23,1
49,46.47,46.73,46.27,46.66,853360,23,1
50,46.61,46.975,45.93,46.81,509794,23,1
51,47.03,47.52,46.91,47.28,643217,23,1
52,47.43,47.75,47.3,47.69,938299,23,1
53,45.03,46.71,45.03,46.6,985373,23,1
54,46.49,46.852,46.44,46.52,539169,23,1
55,46.73,47.25,46.72,47.15,841733,23,1
56,47.13,47.58,47.13,47.54,644588,23,1
57,47.69,47.91,47.34,47.34,574833,23,1
58,47.58,47.88,47.23,47.81,542064,23,1
59,48.23,48.5,47.34,47.45,908516,23,1
60,47.54,48.1,47.54,47.92,676969,23,1
61,48.05,48.16,47.86,48.06,1012441,23,1
62,48.12,48.305,47.845,47.87,1107453,23,1
63,47.93,48.05,47.38,47.52,688308,23,1
64,47.62,47.71,47.29,47.38,625964,23,1
65,47.39,48.03,47.39,47.95,792166,23,1
66,48.06,48.69,47.94,48.64,415009,23,1
67,48.58,49.59,48.52,49.57,664166,23,1
68,49.48,49.696,49.21,49.3,407615,23,1
69,49.39,49.94,49.39,49.84,412690,23,1
70,49.44,50.31,49.44,50.29,578689,23,1
71,50.21,50.8,50.11,50.6,614997,23,1
72,50.61,51.19,49.86,49.94,713480,23,1
73,49.25,50.25,49.1341,50.05,578268,23,1
74,49.72,49.885,49.485,49.71,569761,23,1
75,50.33,51.03,49.93,49.97,720576,23,1
76,49.63,49.98,49.41,49.64,868709,23,1
77,49.75,50.8,49.73,50.58,410245,23,1
78,50.26,50.78,49.74,49.74,679839,23,1
79,49.84,50.255,49.02,49.58,538598,23,1
80,49.54,49.67,48.56,48.98,617587,23,1
81,48.85,49.055,48.44,48.62,494650,23,1
82,48.69,49.42,48.414,49.42,558030,23,1
83,49.74,50.04,49.35,49.97,481249,23,1
84,50.03,50.79,50.03,50.7,446955,23,1
85,50.21,50.59,49.94,50.05,299199,23,1
86,50.39,50.7,50.02,50.08,357002,23,1
87,50.08,51.05,49.92,50.86,436185,23,1
88,50.86,51.1,50.38,50.56,522890,23,1
89,50.82,51.49,50.71,51.35,326042,23,1
90,51.42,51.91,51.19,51.82,421133,23,1
91,51.87,51.92,51.02,51.03,376059,23,1
92,50.61,51.12,50.08,50.22,525423,23,1
93,50.68,50.96,49.64,50.24,903146,23,1
94,49.76,49.92,49.03,49.4,600287,23,1
95,49.88,50.12,49.44,49.82,477162,23,1
96,50.2,50.6,50.03,50.26,612531,23,1
97,50.56,51.094,50.51,50.91,521205,23,1
98,50.85,51.42,50.49,50.91,746682,23,1
99,51.17,51.6,50.965,51.51,832053,23,1
100,51.47,51.65,51.2,51.31,453506,23,1
101,50.28,50.86,50.2,50.43,309894,23,1
102,50.88,51.159,50.71,50.95,473184,23,1
103,51.29,51.97,51.29,51.78,596862,23,1
104,52.21,52.75,52.18,52.41,460588,23,1
105,52.24,52.51,51.95,52.3,457219,23,1
106,52.99,52.99,52.235,52.51,511392,23,1
107,52.51,53.09,52.26,53.09,303272,23,1
108,53.28,53.4025,52.53,53.19,460435,23,1
109,53.16,53.57,52.98,53.27,348786,23,1
110,53.52,53.72,53.16,53.4,334049,23,1
111,53.48,53.71,53.29,53.52,379163,23,1
112,53.34,53.48,52.835,53.18,438797,23,1
113,53.17,53.6,52.84,53.52,389219,23,1
114,53.69,53.69,53.1,53.12,299642,23,1
115,53.24,53.42,52.46,52.94,601422,23,1
116,52.58,53.03,51.5,52.7,588076,23,1
117,52.43,53.1,52.12,53.09,324154,23,1
118,53.12,53.44,52.68,53.34,476950,23,1
119,53.56,53.87,52.71,53.19,408794,23,1
120,53.24,54.43,52.67,54.16,691480,23,1
121,54.55,55.19,54.5,54.66,499091,23,1
122,54.7,55.0,54.485,54.83,435433,23,1
123,54.73,55.08,54.38,54.51,980319,23,1
124,54.51,54.73,53.94,54.5,398440,23,1
125,54.4,55.02,53.9,54.83,818653,23,1
126,54.95,55.43,54.5,54.82,1599350,23,1
127,54.83,55.29,54.64,55.2,534680,23,1
128,55.03,55.91,54.68,55.69,749608,23,1
129,55.75,55.98,55.28,55.76,804099,23,1
130,55.7,56.12,55.43,55.58,409577,23,1
131,55.15,55.35,54.7,54.73,514850,23,1
132,54.68,55.45,54.55,55.23,347961,23,1
133,55.16,55.28,54.43,54.43,319275,23,1
134,54.6,55.27,54.2,55.09,521069,23,1
135,55.04,55.44,54.76,54.85,369617,23,1
136,54.78,55.82,54.775,55.58,345039,23,1
137,55.66,56.07,55.3001,56.03,492191,23,1
138,56.03,56.12,55.36,55.55,407619,23,1
139,54.87,55.16,53.77,53.82,531811,23,1
140,53.78,53.91,53.37,53.42,740840,23,1
141,53.37,53.87,53.25,53.6,445180,23,1
142,53.73,53.82,52.94,53.04,470850,23,1
143,53.73,54.26,53.42,53.86,434931,23,1
144,53.78,54.77,53.78,54.46,373837,23,1
145,54.37,54.495,53.99,54.1,375908,23,1
