id_date,open,high,low,close,volume,id_stock,id_index
1,38.0,38.08,37.83,37.97,397389,24,1
2,37.88,38.0,37.69,37.88,500654,24,1
3,37.9,38.0,37.77,37.82,754581,24,1
4,37.99,38.64,37.9,38.54,851917,24,1
5,38.43,38.93,38.43,38.82,719755,24,1
6,38.8,38.9,38.56,38.87,580468,24,1
7,38.82,38.93,38.58,38.85,1105882,24,1
8,38.85,39.0,38.645,38.66,488866,24,1
9,38.56,38.68,38.36,38.45,600890,24,1
10,38.6,38.82,38.55,38.73,673300,24,1
11,38.81,38.92,38.01,38.01,525275,24,1
12,38.24,38.4505,38.03,38.39,480614,24,1
13,38.31,38.71,38.2104,38.67,464087,24,1
14,38.38,38.83,38.29,38.48,633547,24,1
15,38.32,38.37,37.95,38.26,779386,24,1
16,38.23,38.4,38.02,38.33,389742,24,1
17,38.39,38.82,38.35,38.79,425933,24,1
18,38.82,38.94,38.29,38.39,548612,24,1
19,38.47,38.57,38.28,38.42,449205,24,1
20,38.62,38.86,38.4933,38.76,909503,24,1
21,38.72,38.91,38.655,38.88,270994,24,1
22,38.84,38.898,38.63,38.74,414352,24,1
23,38.83,39.26,38.66,39.17,452739,24,1
24,39.17,39.64,39.17,39.52,525397,24,1
25,39.51,39.66,39.4,39.64,959472,24,1
26,39.31,39.7,39.2,39.59,742509,24,1
27,39.67,39.91,39.425,39.9,763061,24,1
28,40.0,40.34,39.82,40.29,666624,24,1
29,40.1,40.38,40.09,40.23,865391,24,1
30,40.23,40.5,40.17,40.5,503726,24,1
31,40.5,40.67,40.26,40.45,915284,24,1
32,40.64,40.765,40.5,40.72,1236221,24,1
33,40.62,40.96,40.5,40.95,1346777,24,1
34,40.95,41.31,40.91,41.31,1293816,24,1
35,41.24,41.42,40.9688,41.23,477211,24,1
36,41.46,41.56,41.17,41.35,737061,24,1
37,41.36,41.47,40.85,41.01,1020112,24,1
38,41.14,41.53,40.96,41.1,564796,24,1
39,40.75,41.02,40.51,40.95,466755,24,1
40,40.9,41.43,40.9,41.38,797092,24,1
41,41.42,41.51,41.155,41.3,688703,24,1
42,41.4,41.58,41.21,41.54,575244,24,1
43,41.58,42.6903,41.58,42.39,1205456,24,1
44,42.33,42.425,41.98,42.26,918929,24,1
45,42.11,42.42,41.83,41.84,1073377,24,1
46,42.12,42.32,42.0,42.1,772755,24,1
47,41.97,42.07,41.68,41.76,1039006,24,1
48,41.95,41.95,41.62,41.79,833991,24,1
49,41.8,42.02,41.41,41.95,564337,24,1
50,41.94,42.18,41.67,42.05,451230,24,1
51,42.34,42.45,41.93,42.16,465198,24,1
52,42.23,42.3187,42.01,42.14,356653,24,1
53,42.25,42.46,42.1,42.21,316948,24,1
54,42.22,42.42,42.08,42.27,428982,24,1
55,42.24,42.55,42.22,42.43,697933,24,1
56,42.32,42.55,42.27,42.45,837706,24,1
57,43.75,43.75,42.44,42.54,1281153,24,1
58,42.53,43.25,42.38,43.09,1031962,24,1
59,43.34,43.64,43.26,43.58,377060,24,1
60,43.6,44.0,43.6,43.89,435743,24,1
61,44.0,44.01,43.82,43.99,329591,24,1
62,43.99,44.35,43.9,44.35,419108,24,1
63,44.42,44.635,44.27,44.35,517484,24,1
64,44.47,44.59,44.29,44.35,381857,24,1
65,44.35,44.77,44.29,44.75,291279,24,1
66,44.67,45.24,44.65,45.2,434185,24,1
67,45.2,45.69,45.04,45.58,690584,24,1
68,45.56,45.87,45.46,45.55,608621,24,1
69,45.61,45.7,45.26,45.52,752449,24,1
70,45.45,45.6,45.21,45.32,476982,24,1
71,45.41,45.56,45.13,45.21,407937,24,1
72,45.26,45.62,44.52,44.79,653801,24,1
73,44.64,44.77,44.32,44.66,484726,24,1
74,44.46,44.58,44.02,44.48,342024,24,1
75,44.8,45.15,44.65,44.81,902089,24,1
76,44.62,44.67,44.19,44.46,286063,24,1
77,44.56,44.96,44.49,44.82,405656,24,1
78,44.46,44.5,43.67,43.68,586675,24,1
79,43.75,43.75,42.89,43.12,762286,24,1
80,43.21,43.509,42.73,42.94,459417,24,1
81,42.72,42.989,42.42,42.59,353701,24,1
82,42.56,43.16,42.5,43.16,634084,24,1
83,43.38,43.86,43.1825,43.77,450540,24,1
84,43.83,43.93,43.48,43.71,518368,24,1
85,43.79,43.94,43.49,43.78,794786,24,1
86,43.95,44.0579,43.46,43.48,251569,24,1
87,43.44,44.43,43.12,44.37,452594,24,1
88,44.28,44.49,44.13,44.35,466675,24,1
89,44.55,44.95,44.55,44.85,444193,24,1
90,45.0,45.49,44.76,45.36,445524,24,1
91,44.67,44.91,43.84,43.85,860340,24,1
92,43.53,43.64,42.68,42.7,864025,24,1
93,42.76,43.3,42.74,43.1,847093,24,1
94,42.7,42.94,42.34,42.68,430744,24,1
95,42.99,43.08,42.62,42.96,476996,24,1
96,43.32,43.44,42.89,43.19,646404,24,1
97,43.37,44.03,43.23,43.87,323634,24,1
98,43.86,44.05,43.62,43.69,615602,24,1
99,43.89,44.43,43.8,44.25,394042,24,1
100,44.2,44.64,43.8519,44.11,305366,24,1
101,44.03,44.17,43.66,43.98,154513,24,1
102,44.21,44.34,43.99,44.31,375452,24,1
103,44.52,44.75,44.4,44.54,345908,24,1
104,44.72,44.91,44.47,44.49,598185,24,1
105,44.5,44.67,44.2,44.62,368914,24,1
106,45.0,45.36,44.88,45.33,598234,24,1
107,45.25,45.57,45.14,45.53,246333,24,1
108,45.5,45.89,45.04,45.35,469663,24,1
109,45.58,45.77,44.69,44.72,523476,24,1
110,44.88,44.92,44.5,44.58,567893,24,1
111,44.65,45.21,44.65,44.94,852283,24,1
112,45.01,45.16,44.81,44.98,294945,24,1
113,44.96,45.13,44.81,45.12,323144,24,1
114,45.21,45.39,44.64,44.66,436344,24,1
115,44.82,44.89,43.94,43.96,507496,24,1
116,43.99,44.35,43.84,43.99,448322,24,1
117,43.9,43.94,43.44,43.76,668297,24,1
118,43.72,43.91,43.52,43.65,278542,24,1
119,43.69,44.03,43.5045,43.76,311188,24,1
120,44.25,45.302,44.2,44.38,786647,24,1
121,44.85,45.68,44.33,44.82,1095810,24,1
122,44.59,45.22,44.44,45.16,474215,24,1
123,45.11,45.39,44.63,44.7,374909,24,1
124,44.66,44.73,44.41,44.48,327002,24,1
125,44.43,44.45,44.125,44.23,244450,24,1
126,44.25,44.49,43.97,44.25,490173,24,1
127,43.97,44.28,43.97,44.06,272460,24,1
128,43.87,44.3,43.69,43.74,429320,24,1
129,44.26,44.56,44.08,44.38,868563,24,1
130,44.24,44.4658,43.67,44.1,469909,24,1
131,43.62,43.83,43.0,43.09,495390,24,1
132,42.84,43.25,42.74,42.95,385446,24,1
133,42.9,42.98,42.63,42.89,316813,24,1
134,42.88,43.52,42.67,43.36,386873,24,1
135,43.19,43.33,42.65,42.78,381353,24,1
136,42.85,42.98,42.52,42.81,372006,24,1
137,43.03,43.13,42.78,43.13,337656,24,1
138,43.16,43.28,42.57,42.57,502801,24,1
139,42.23,42.58,41.8,42.01,648866,24,1
140,41.95,42.16,41.65,41.75,635931,24,1
141,41.66,42.41,41.66,42.1,523043,24,1
142,41.86,41.86,41.19,41.34,559539,24,1
143,41.97,42.16,41.11,41.4,1213368,24,1
144,41.76,42.82,41.58,42.72,1517866,24,1
145,42.82,42.97,42.58,42.92,781776,24,1
146,42.96,43.37,42.39,43.05,666158,24,1
147,42.94,43.89,42.93,43.89,676035,24,1
