id_date,open,high,low,close,volume,id_stock,id_index
1,35.5,35.58,34.78,35.42,7049683,25,1
2,35.56,35.64,34.9,35.31,7253000,25,1
3,35.36,36.91,35.0836,36.74,9682277,25,1
4,36.82,37.44,36.0801,37.31,6338839,25,1
5,37.26,37.93,36.63,37.87,5145953,25,1
6,37.83,39.0,37.83,38.49,6736887,25,1
7,38.44,38.81,38.07,38.58,3905760,25,1
8,38.62,38.76,37.37,37.4,4099689,25,1
9,37.3,37.53,36.47,37.07,2987596,25,1
10,37.17,37.41,36.0,36.27,5544645,25,1
11,37.18,37.3,36.31,36.31,4400522,25,1
12,36.36,36.73,36.0,36.36,2212458,25,1
13,36.36,36.775,36.05,36.58,2411337,25,1
14,36.6,37.19,36.6,36.96,2756810,25,1
15,36.7,36.83,36.149,36.65,2846307,25,1
16,36.64,37.74,36.5601,37.4,2814732,25,1
17,37.48,37.9,37.145,37.49,2169701,25,1
18,37.54,38.19,37.3,37.53,2882538,25,1
19,37.7,37.75,37.05,37.28,3385687,25,1
20,37.38,37.55,37.0,37.24,2655136,25,1
21,37.22,37.49,34.94,35.6,13468777,25,1
22,35.48,35.54,34.55,34.77,8246171,25,1
23,34.89,34.92,34.3,34.66,4262501,25,1
24,34.75,35.085,34.445,34.66,3524388,25,1
25,35.35,35.41,34.54,34.69,6118330,25,1
26,34.3,35.03,34.26,34.55,3928839,25,1
27,34.55,35.07,34.26,34.67,4509912,25,1
28,35.09,35.6,34.81,35.45,4430116,25,1
29,35.06,35.51,34.866,35.01,2368638,25,1
30,35.2,35.28,34.685,34.78,2158408,25,1
31,34.79,34.9883,34.35,34.4,3285480,25,1
32,34.61,35.15,34.54,35.08,2589414,25,1
33,34.98,35.21,34.56,35.16,1496655,25,1
34,35.07,35.34,34.85,35.32,1904038,25,1
35,35.37,35.41,34.81,34.9,2191478,25,1
36,35.04,35.35,34.79,34.84,2087884,25,1
37,34.9,35.15,34.68,34.78,2529576,25,1
38,34.64,34.84,34.03,34.06,4128439,25,1
39,33.65,34.58,33.46,34.18,4049607,25,1
40,34.28,34.52,33.92,34.49,2194636,25,1
41,34.48,34.79,34.36,34.67,3217306,25,1
42,34.83,36.165,34.81,36.04,4245021,25,1
43,36.0,36.14,35.59,35.79,2443442,25,1
44,35.71,35.89,35.21,35.41,2230448,25,1
45,35.14,35.3099,34.29,34.44,2602349,25,1
46,34.74,35.01,34.56,34.79,2798621,25,1
47,34.46,34.966,33.86,34.18,2850329,25,1
48,34.13,34.22,33.27,33.74,4051104,25,1
49,33.6,33.7,33.36,33.55,2938750,25,1
50,32.72,34.73,32.635,34.28,3797388,25,1
51,34.57,35.6,34.54,35.47,3354690,25,1
52,35.39,36.36,35.15,36.091,7017825,25,1
53,42.25,43.68,41.81,42.482,16795354,25,1
54,42.28,42.85,41.63,42.61,5641733,25,1
55,42.48,43.225,42.26,43.03,3296016,25,1
56,43.09,44.21,42.992,43.91,3885597,25,1
57,43.8699,44.15,43.47,43.64,2015527,25,1
58,43.52,44.47,43.52,44.32,1967981,25,1
59,44.79,45.71,44.5,45.27,2442334,25,1
60,45.29,45.48,44.75,45.06,1709888,25,1
61,45.31,45.82,44.88,45.15,1514591,25,1
62,44.83,45.44,44.75,45.29,2051385,25,1
63,45.28,45.85,45.01,45.61,2219748,25,1
64,45.86,46.88,45.47,46.7,2711783,25,1
65,46.41,47.53,46.15,46.71,2610132,25,1
66,46.65,47.07,46.5,46.9,1474701,25,1
67,46.61,48.44,46.42,48.03,2880201,25,1
68,48.0,48.47,46.72,46.93,3003312,25,1
69,47.45,47.75,47.08,47.49,2257603,25,1
70,47.49,48.225,47.4,47.89,1728850,25,1
71,47.85,47.99,47.06,47.28,1957171,25,1
72,47.42,47.83,45.87,46.12,2980405,25,1
73,45.94,46.58,45.72,46.35,1818253,25,1
74,45.93,46.14,45.45,46.04,1203093,25,1
75,46.52,46.98,46.18,46.56,1979607,25,1
76,46.365,46.89,46.05,46.36,2593562,25,1
77,46.38,47.695,46.36,47.09,2904831,25,1
78,46.78,47.34,46.11,46.12,2721772,25,1
79,46.22,46.44,44.912,45.91,2536797,25,1
80,45.92,46.18,44.61,44.65,2488893,25,1
81,44.58,45.06,44.1688,44.3,1669635,25,1
82,44.3,44.7,43.91,44.56,1320149,25,1
83,44.97,45.28,44.61,45.26,1038109,25,1
84,45.19,45.19,44.39,44.75,1093741,25,1
85,44.33,44.51,43.75,43.84,1746392,25,1
86,43.9,43.99,42.21,42.52,3188140,25,1
87,42.42,42.86,41.66,42.64,2620634,25,1
88,42.68,43.165,42.09,42.56,1614114,25,1
89,43.07,43.645,42.78,42.94,1644260,25,1
90,42.58,43.02,42.44,42.84,1646963,25,1
91,42.92,43.14,42.49,42.56,1422052,25,1
92,41.99,42.48,41.12,41.25,1768943,25,1
93,41.46,41.69,40.46,40.75,3178455,25,1
94,40.47,41.685,40.08,41.41,2489258,25,1
95,42.07,42.38,41.74,41.91,2030571,25,1
96,42.18,43.0999,42.0,42.76,1931568,25,1
97,42.9,43.1,42.67,42.69,1136817,25,1
98,42.43,43.0,42.2801,42.55,1660060,25,1
99,42.74,43.035,42.5,42.97,1816599,25,1
100,42.97,43.16,42.21,42.55,1767605,25,1
101,42.27,43.005,42.1701,42.69,463636,25,1
102,42.98,43.29,42.57,43.03,949757,25,1
103,43.27,43.45,42.77,43.03,1473889,25,1
104,43.19,43.65,42.72,43.56,2120035,25,1
105,43.54,43.74,42.98,43.52,1638739,25,1
106,43.91,44.61,43.72,44.5,1866233,25,1
107,44.65,45.2,44.4661,44.92,1474513,25,1
108,44.83,44.93,44.23,44.69,1034441,25,1
109,44.8,45.07,44.17,44.42,1473981,25,1
110,44.49,45.181,44.49,45.09,1171076,25,1
111,45.25,45.65,45.19,45.34,1563761,25,1
112,45.34,45.4,44.7,44.81,1472578,25,1
113,45.1,45.1,43.7,44.1,2973132,25,1
114,44.19,44.35,43.41,44.25,2335002,25,1
115,44.71,44.8084,43.83,43.87,3570770,25,1
116,42.5,45.59,42.4,45.19,4888255,25,1
117,44.86,47.28,44.86,47.23,4125869,25,1
118,47.05,47.1,46.3345,46.75,2444898,25,1
119,46.9,47.11,46.47,47.07,2017455,25,1
120,47.21,47.49,46.82,47.2,1931966,25,1
121,47.51,47.77,47.34,47.64,1642307,25,1
122,47.78,47.78,46.66,46.85,1217123,25,1
123,46.69,46.97,46.46,46.9,1503658,25,1
124,46.73,46.95,46.17,46.26,1414190,25,1
125,46.13,46.2,45.63,46.09,1383560,25,1
126,46.24,46.67,45.9,46.63,1305407,25,1
127,46.7,46.98,46.15,46.52,1009787,25,1
128,46.22,47.1735,46.13,46.71,1287204,25,1
129,46.71,47.19,46.36,46.94,994987,25,1
130,46.94,47.12,46.455,46.81,929487,25,1
131,46.35,46.35,45.75,46.19,1716265,25,1
132,46.0,46.34,45.75,45.91,1621879,25,1
133,45.95,46.37,45.53,46.0,1368775,25,1
134,46.02,46.33,45.76,46.21,908982,25,1
135,45.74,46.44,45.6801,46.29,1361383,25,1
136,46.34,47.43,46.08,47.3,919182,25,1
137,47.44,47.44,46.73,47.1,1312905,25,1
138,47.02,47.1,46.44,46.6,863584,25,1
139,46.13,46.57,45.86,46.3,1613747,25,1
140,46.33,46.69,46.15,46.41,1278928,25,1
141,46.19,46.8,46.01,46.5,1139266,25,1
142,46.49,46.49,45.82,45.98,1068457,25,1
143,46.4,47.05,46.4,46.85,1172885,25,1
144,47.06,47.66,46.43,47.43,1321277,25,1
145,47.29,48.01,47.24,47.92,1123291,25,1
146,48.11,48.2,46.76,47.58,1576719,25,1
147,47.67,49.1,47.67,48.89,2217423,25,1
148,49.1,49.46,48.89,49.43,1711771,25,1
149,49.4,50.21,49.2,50.125,2043045,25,1
150,50.03,50.71,49.81,50.57,1582342,25,1
151,50.81,51.32,50.59,51.27,2276643,25,1
152,51.67,51.93,51.286,51.37,1759043,25,1
153,51.35,51.74,51.12,51.58,1191837,25,1
154,51.9,52.48,51.64,52.38,2543005,25,1
155,52.55,53.03,52.3,52.77,2987037,25,1
156,52.91,53.195,52.325,52.711,3135637,25,1
157,52.69,52.95,51.89,51.979,3218366,25,1
158,52.04,52.41,51.81,51.93,1771203,25,1
159,52.07,52.43,51.56,52.08,1573681,25,1
160,52.36,52.92,52.21,52.77,1121626,25,1
161,51.7,52.39,51.47,51.75,1853999,25,1
162,51.31,51.89,50.85,51.7,1504790,25,1
163,51.74,52.44,51.51,52.42,1167302,25,1
164,51.88,52.34,51.58,52.22,1066426,25,1
165,52.27,52.4,50.93,51.16,1500298,25,1
166,51.31,52.47,51.18,52.32,1524216,25,1
167,52.2,52.73,51.64,51.67,1267346,25,1
168,51.55,51.87,49.9,50.0,1488811,25,1
169,50.25,50.33,48.31,49.3,2214090,25,1
170,49.74,51.32,49.65,51.06,2058916,25,1
171,51.04,52.12,51.02,51.89,1520452,25,1
