id_date,open,high,low,close,volume,id_stock,id_index
1,32.4,33.04,32.19,32.73,872084,27,1
2,32.56,33.07,32.5,33.03,999006,27,1
3,33.07,33.16,32.77,33.02,741444,27,1
4,32.96,33.15,32.49,32.75,1501927,27,1
5,32.76,32.9067,32.5,32.56,644916,27,1
6,32.84,32.84,32.45,32.73,728072,27,1
7,32.51,32.67,32.25,32.6,809676,27,1
8,32.38,32.92,31.71,31.73,711842,27,1
9,31.06,31.425,30.9521,31.41,1041999,27,1
10,31.49,32.05,31.02,31.88,687837,27,1
11,31.98,32.33,31.13,31.2,468359,27,1
12,31.31,31.43,30.97,31.05,545947,27,1
13,31.06,31.85,31.06,31.47,466138,27,1
14,31.35,31.66,31.24,31.44,460819,27,1
15,31.18,31.64,30.7,31.13,626883,27,1
16,31.12,31.16,30.67,30.99,493220,27,1
17,31.14,32.09,31.14,31.8,525049,27,1
18,31.91,32.47,31.91,32.44,690110,27,1
19,32.42,32.75,32.24,32.72,387164,27,1
20,32.99,33.3,32.44,33.29,621190,27,1
21,33.1,33.6,32.9,33.53,443661,27,1
22,33.44,33.67,32.81,32.96,572837,27,1
23,32.91,32.99,32.4908,32.88,480352,27,1
24,33.03,33.35,32.69,33.29,342476,27,1
25,33.35,33.5,32.46,33.04,966396,27,1
26,32.51,33.0,32.22,32.37,512278,27,1
27,32.38,32.85,31.84,32.29,475222,27,1
28,32.42,32.75,32.29,32.6,315859,27,1
29,32.26,32.59,31.72,32.03,423059,27,1
30,32.17,32.7,32.03,32.63,387719,27,1
31,32.69,33.25,32.65,32.87,546399,27,1
32,33.0,33.7,32.9,33.6,395257,27,1
33,33.4,33.7,33.285,33.32,357471,27,1
34,33.42,33.65,32.96,33.51,545439,27,1
35,33.4,33.84,32.24,32.44,736498,27,1
36,32.73,32.92,31.78,31.85,729258,27,1
37,31.83,32.23,30.09,30.95,2162432,27,1
38,30.94,31.51,30.45,31.5,1022539,27,1
39,30.9,31.21,30.54,31.04,508616,27,1
40,31.19,31.75,31.048,31.68,714515,27,1
41,31.75,32.16,31.5,31.88,577127,27,1
42,31.98,32.67,31.97,32.63,469519,27,1
43,32.5,33.0,32.42,32.86,476526,27,1
44,32.74,32.97,32.18,32.76,415221,27,1
45,32.44,32.71,31.17,31.2,890788,27,1
46,31.53,32.04,31.18,31.8,1163566,27,1
47,31.45,31.92,30.102,30.78,953361,27,1
48,30.9,30.95,29.72,30.13,1521950,27,1
49,29.56,32.08,29.53,31.5,3658394,27,1
50,31.54,32.19,30.89,32.0,1366766,27,1
51,31.91,32.34,31.46,31.99,1517676,27,1
52,31.87,32.49,31.41,32.04,833598,27,1
53,32.11,32.63,32.11,32.25,1502062,27,1
54,32.2,32.68,32.1,32.34,556387,27,1
55,32.38,32.96,32.23,32.93,815660,27,1
56,33.0,33.39,32.7,33.12,943134,27,1
57,32.88,33.11,32.38,32.65,1651114,27,1
58,32.76,33.22,32.34,32.4,1947238,27,1
59,32.74,33.08,32.47,32.6,1494369,27,1
60,32.58,35.65,32.15,34.42,2884994,27,1
61,34.7,35.68,34.37,35.63,2000231,27,1
62,35.62,35.94,35.32,35.91,645620,27,1
63,35.85,36.25,35.6,35.68,932812,27,1
64,35.85,37.05,35.85,36.87,1051333,27,1
65,36.61,37.64,36.49,37.07,995163,27,1
66,37.02,37.43,36.2,36.28,1439177,27,1
67,36.28,36.41,36.01,36.22,1088540,27,1
68,36.05,37.33,35.81,36.85,868995,27,1
69,36.96,37.88,36.96,37.59,1014213,27,1
70,37.42,38.0599,37.38,37.8,1052282,27,1
71,37.68,38.51,37.17,38.16,765384,27,1
72,38.15,38.74,37.17,37.3,763451,27,1
73,36.82,37.2028,36.29,36.98,507936,27,1
74,36.62,36.9899,36.15,36.7,254902,27,1
75,36.27,37.15,35.94,36.45,717304,27,1
76,36.09,36.33,35.625,35.97,587049,27,1
77,36.05,36.65,35.707,36.18,473862,27,1
78,36.03,36.49,35.74,35.75,381316,27,1
79,36.03,37.16,35.76,36.85,888380,27,1
80,37.15,37.35,35.68,35.88,624722,27,1
81,35.75,36.39,35.21,35.38,425305,27,1
82,35.37,35.4125,34.71,35.19,1036146,27,1
83,35.54,35.78,35.09,35.45,532098,27,1
84,35.52,35.66,35.125,35.29,536331,27,1
85,34.83,35.655,34.35,34.77,493682,27,1
86,35.13,35.13,34.11,34.22,562382,27,1
87,34.28,34.68,33.8401,34.67,963375,27,1
88,34.87,35.26,34.08,35.02,509589,27,1
89,35.49,36.17,35.49,35.87,366240,27,1
90,35.88,36.38,35.67,36.25,316064,27,1
91,36.1,36.58,35.9399,36.1,373206,27,1
92,35.51,36.395,35.23,35.48,427519,27,1
93,35.57,36.04,35.17,35.84,631777,27,1
94,35.29,36.22,34.875,35.77,605892,27,1
95,36.14,36.238,34.92,35.41,504677,27,1
96,35.65,36.18,35.096,35.78,1081454,27,1
97,36.01,36.96,35.74,36.69,748375,27,1
98,36.71,37.38,36.14,37.04,863105,27,1
99,37.01,38.5,37.01,37.79,709476,27,1
100,37.99,38.19,37.04,37.3,531754,27,1
101,37.02,38.0,36.92,37.78,329665,27,1
102,38.36,38.39,37.83,38.39,361012,27,1
103,38.5,38.74,38.08,38.42,600800,27,1
104,38.58,38.99,38.01,38.88,583815,27,1
105,39.06,39.61,38.24,39.19,1600414,27,1
106,39.79,39.805,39.03,39.4,503420,27,1
107,39.22,39.68,38.99,39.2,510363,27,1
108,39.11,39.3,38.69,38.7,535259,27,1
109,38.64,38.789,37.97,38.19,1191724,27,1
110,38.4,38.98,38.13,38.92,824709,27,1
111,39.15,40.5,38.55,39.65,1128428,27,1
112,43.79,44.43,41.25,42.95,3084778,27,1
113,43.06,44.25,42.39,44.0,1167263,27,1
114,43.67,44.31,43.27,44.0,765088,27,1
115,44.0,44.15,43.31,43.43,711297,27,1
116,43.35,43.88,43.17,43.88,460741,27,1
117,43.47,43.8,42.39,42.75,1061201,27,1
118,42.7,42.8699,42.19,42.34,505826,27,1
119,42.64,42.88,42.0501,42.45,459026,27,1
120,42.54,43.37,42.35,43.04,897824,27,1
121,43.23,44.04,42.81,43.99,747752,27,1
122,43.49,44.48,43.44,43.61,828857,27,1
123,43.5,44.48,43.455,44.42,733358,27,1
124,44.13,44.85,44.12,44.27,738624,27,1
125,44.27,44.43,43.63,43.83,524266,27,1
126,44.11,44.35,43.76,44.08,423613,27,1
127,43.95,44.12,43.5,43.9,355557,27,1
128,43.59,44.64,43.45,44.44,362968,27,1
129,44.32,44.9,44.02,44.77,383624,27,1
130,44.69,44.87,44.22,44.38,362270,27,1
131,43.79,43.79,43.0,43.16,422356,27,1
132,42.93,43.48,42.56,42.96,366804,27,1
133,42.57,43.34,42.34,42.86,276030,27,1
134,43.05,43.64,42.84,43.61,516193,27,1
135,43.42,44.06,43.17,43.55,345096,27,1
136,43.7,44.37,43.6,44.36,230347,27,1
137,44.37,44.56,43.93,44.51,270947,27,1
138,44.47,45.0,44.0,44.45,307621,27,1
139,43.73,44.27,43.5,43.62,473874,27,1
140,43.52,43.88,43.02,43.13,373243,27,1
141,43.0,44.13,43.0,43.79,258768,27,1
142,43.66,44.15,43.37,43.55,513181,27,1
143,44.33,44.89,43.67,44.37,421989,27,1
144,44.37,44.72,44.0,44.72,544850,27,1
145,44.64,45.19,44.335,44.83,312668,27,1
146,45.14,45.49,44.01,44.85,229901,27,1
147,45.03,46.84,44.98,46.71,529481,27,1
148,47.0,47.05,46.17,47.03,707450,27,1
149,47.01,47.625,46.59,47.51,627121,27,1
150,47.38,47.43,46.94,47.12,370539,27,1
151,47.37,47.586,46.23,46.81,399032,27,1
152,47.35,47.584,46.22,46.25,466521,27,1
153,46.52,48.13,46.41,47.96,537250,27,1
154,48.06,48.51,46.79,48.25,619088,27,1
155,48.29,49.08,47.64,47.67,596609,27,1
156,47.72,48.08,47.24,47.59,1585445,27,1
157,47.45,47.7,47.2,47.45,930890,27,1
158,47.37,48.07,47.13,47.48,500331,27,1
159,47.47,47.96,47.135,47.42,436677,27,1
160,47.52,48.09,47.13,48.08,402908,27,1
161,47.63,48.01,47.3,47.78,637990,27,1
162,47.34,48.44,47.05,48.1,687624,27,1
163,48.0,49.26,47.81,49.26,691154,27,1
164,49.23,49.23,48.58,48.87,449656,27,1
165,48.85,49.21,47.33,47.87,544737,27,1
166,46.76,47.02,45.6,45.8,1557716,27,1
167,45.44,46.13,44.96,45.02,886059,27,1
168,44.89,45.38,43.99,44.03,1251117,27,1
169,44.24,44.365,43.5,44.02,1258465,27,1
170,44.15,44.665,41.83,42.52,3324017,27,1
171,42.27,43.51,42.18,43.35,1220926,27,1
172,43.32,43.79,43.08,43.46,1059857,27,1
173,43.47,43.61,42.85,43.01,893431,27,1
174,43.48,43.74,43.07,43.72,1230267,27,1
175,43.58,46.34,43.01,45.93,4490032,27,1
176,53.2,60.0,53.15,57.98,7358451,27,1
177,58.5,59.4301,57.93,58.25,2143205,27,1
178,58.2,58.51,56.58,56.67,1478491,27,1
179,56.97,57.9,56.1,57.51,1426671,27,1
180,57.43,57.5,56.39,56.57,1131528,27,1
181,56.79,56.79,55.8,56.0,800810,27,1
182,56.14,56.57,55.91,56.05,641264,27,1
183,56.29,57.27,56.26,57.24,1042428,27,1
184,57.45,57.71,56.27,56.78,863388,27,1
185,56.97,57.59,56.31,57.06,427697,27,1
186,56.96,57.36,56.24,56.75,710511,27,1
187,57.17,58.95,56.931,58.03,1523279,27,1
188,57.78,58.284,56.2,56.65,906016,27,1
189,57.19,57.75,56.31,57.09,665333,27,1
190,57.22,57.909,56.45,56.63,649832,27,1
191,56.71,58.44,56.7,58.24,814371,27,1
192,58.41,59.799,57.771,58.59,869740,27,1
193,58.52,58.7,57.81,58.5,548810,27,1
194,58.0,58.89,57.66,58.38,882462,27,1
195,55.87,55.95,54.05,54.68,3970602,27,1
196,54.91,55.53,54.9,55.41,1381000,27,1
197,55.82,55.99,53.64,54.0,1155822,27,1
198,53.87,53.98,51.82,52.44,1972203,27,1
199,52.78,53.17,52.45,52.69,795725,27,1
200,52.78,53.93,52.68,53.89,767537,27,1
201,54.01,54.83,53.8,54.15,728133,27,1
202,54.2,54.88,52.87,53.58,826253,27,1
203,53.67,54.13,53.1,53.93,637451,27,1
204,53.88,54.92,53.63,54.76,584443,27,1
205,54.89,55.33,54.42,54.64,311490,27,1
206,54.8,55.5,54.05,55.11,547442,27,1
207,54.89,55.39,54.64,55.17,662241,27,1
208,54.75,55.25,53.94,54.65,558690,27,1
209,54.54,54.57,53.83,54.53,520876,27,1
210,54.91,55.79,54.16,55.46,453290,27,1
211,55.74,56.17,55.13,55.75,855809,27,1
212,55.51,55.7,54.735,54.87,720294,27,1
213,55.13,55.38,53.5,53.68,580207,27,1
214,53.48,54.43,52.74,54.12,881105,27,1
215,54.37,54.849,54.02,54.2,374655,27,1
216,54.59,55.61,54.45,55.58,656426,27,1
217,55.7,56.24,55.11,56.0,848199,27,1
218,56.14,57.21,55.75,57.16,1236379,27,1
