id_date,open,high,low,close,volume,id_stock,id_index
1,45.05,45.29,44.89,45.14,3510945,29,1
2,45.03,45.45,44.91,45.25,2357686,29,1
3,45.19,45.67,45.15,45.61,2702968,29,1
4,45.59,45.91,45.48,45.88,2424640,29,1
5,45.68,46.08,45.46,45.88,3968755,29,1
6,45.99,46.19,45.72,45.85,3815132,29,1
7,45.85,46.75,45.85,46.74,4273843,29,1
8,46.71,47.08,46.35,46.41,5044762,29,1
9,46.38,46.53,46.15,46.47,4037755,29,1
10,46.64,46.85,46.54,46.74,2443775,29,1
11,46.87,46.88,45.36,45.36,4534011,29,1
12,45.27,45.72,45.02,45.56,4348191,29,1
13,45.44,46.14,45.11,46.05,2914117,29,1
14,45.98,46.34,45.77,46.02,3876898,29,1
15,45.96,46.36,45.5,46.35,3861744,29,1
16,46.12,46.54,45.91,46.54,3114322,29,1
17,46.77,47.42,46.76,47.21,5247467,29,1
18,47.5,47.75,47.13,47.33,2542559,29,1
19,47.35,47.44,47.2,47.29,1705995,29,1
20,47.32,47.61,47.1175,47.42,3018624,29,1
21,47.39,47.76,47.26,47.75,2619108,29,1
22,47.74,47.88,47.55,47.71,2453674,29,1
23,47.75,47.98,47.73,47.93,2361252,29,1
24,47.99,48.28,47.83,48.2,2623909,29,1
25,48.0,48.3,47.89,47.98,4529309,29,1
26,47.36,48.23,47.19,47.86,3312630,29,1
27,48.01,48.189,47.51,47.64,3427618,29,1
28,47.95,48.135,47.84,47.93,3033656,29,1
29,47.81,48.13,47.66,47.8,2145484,29,1
30,48.03,48.26,47.79,48.22,2119005,29,1
31,48.92,49.0,48.333,48.48,4346258,29,1
32,48.57,48.9,48.465,48.65,2308896,29,1
33,48.38,48.75,48.31,48.67,1832481,29,1
34,48.75,49.13,48.73,49.07,2467712,29,1
35,49.17,49.64,49.09,49.28,2879702,29,1
36,49.52,49.915,49.42,49.81,2885293,29,1
37,49.95,49.95,49.25,49.38,3178654,29,1
38,49.53,49.85,49.264,49.51,2560785,29,1
39,49.03,49.5,48.78,49.32,3763851,29,1
40,49.24,50.16,49.24,50.11,4154443,29,1
41,50.2,50.3898,49.655,49.73,3739232,29,1
42,49.86,50.04,49.57,49.73,3700402,29,1
43,49.89,50.43,49.7701,50.28,3474603,29,1
44,50.07,50.56,50.02,50.35,2675533,29,1
45,50.17,50.24,49.09,49.09,3384981,29,1
46,49.34,49.55,49.17,49.5,2669938,29,1
47,49.31,49.36,48.725,49.07,3589623,29,1
48,48.86,49.0,48.22,48.44,4683418,29,1
49,48.64,49.02,48.54,48.97,2276964,29,1
50,48.96,49.164,48.5,49.01,1692149,29,1
51,49.39,49.98,49.36,49.8,3809540,29,1
52,49.65,49.89,49.56,49.7,3034105,29,1
53,49.86,49.97,49.3,49.53,3851742,29,1
54,49.56,49.77,49.09,49.09,3674595,29,1
55,49.3,49.5,49.065,49.25,2724078,29,1
56,49.27,49.48,49.05,49.26,3147353,29,1
57,49.28,49.54,48.38,48.4,4699523,29,1
58,48.56,48.81,48.08,48.25,5378371,29,1
59,49.23,49.4199,48.55,48.69,4783373,29,1
60,48.57,49.2,48.55,49.1,2760385,29,1
61,49.13,49.37,49.07,49.31,3156167,29,1
62,49.26,49.7,49.18,49.69,3377596,29,1
63,49.62,49.69,49.27,49.43,3222806,29,1
64,49.5,49.64,49.171,49.39,2965148,29,1
65,49.22,49.5,49.12,49.4,1794781,29,1
66,49.38,50.38,49.36,50.36,3932301,29,1
67,50.33,50.69,50.12,50.66,3401907,29,1
68,50.36,50.525,50.03,50.16,2849023,29,1
69,50.19,50.27,49.76,50.0,4361504,29,1
70,49.99,50.18,49.725,49.8,3028153,29,1
71,49.48,49.55,48.53,49.08,5987295,29,1
72,48.99,49.88,48.54,48.79,4997375,29,1
73,48.41,49.01,48.26,48.76,3829750,29,1
74,48.56,48.84,48.03,48.73,3131575,29,1
75,49.15,49.49,48.55,48.82,3295041,29,1
76,48.25,48.83,48.1,48.55,3198148,29,1
77,48.69,49.05,48.59,48.83,3215866,29,1
78,48.66,49.0,48.24,48.24,3024948,29,1
79,48.24,48.37,47.105,47.47,5573702,29,1
80,47.39,47.66,46.45,46.68,4947544,29,1
81,46.45,46.65,45.83,45.86,4327603,29,1
82,45.84,46.49,45.595,46.49,4164116,29,1
83,46.81,47.52,46.63,47.46,3965246,29,1
84,47.51,47.74,47.14,47.3,3518769,29,1
85,46.96,47.565,46.63,47.25,4054032,29,1
86,47.51,47.6,46.971,47.02,4352987,29,1
87,46.97,47.515,46.53,47.41,3063890,29,1
88,47.42,47.55,46.77,46.87,2723344,29,1
89,47.09,47.66,47.05,47.42,2193909,29,1
90,47.64,47.73,47.27,47.67,2060991,29,1
91,47.61,47.92,47.04,47.05,3277206,29,1
92,46.74,47.99,46.47,46.57,5386347,29,1
93,46.95,47.43,46.5,47.23,7306918,29,1
94,46.68,47.0159,46.29,46.6,4402543,29,1
95,46.87,47.2,46.78,46.88,3360866,29,1
96,47.11,47.9,46.96,47.76,4191693,29,1
97,48.06,48.42,48.0,48.3,2486186,29,1
98,48.3,48.57,48.1,48.12,3726784,29,1
99,48.3,49.02,48.28,48.69,2751348,29,1
100,48.68,49.21,48.38,48.52,2589918,29,1
101,48.3,48.6436,48.04,48.47,1103570,29,1
102,48.71,49.15,48.615,49.13,1755810,29,1
103,49.32,50.34,49.32,50.07,4126761,29,1
104,50.31,50.65,50.09,50.55,3136628,29,1
105,50.54,50.57,49.87,50.3,2928702,29,1
106,50.76,50.85,50.27,50.38,2735594,29,1
107,50.43,51.11,50.41,51.11,1903078,29,1
108,51.21,51.28,50.65,51.2,2966644,29,1
109,51.19,51.57,50.89,51.0,1732640,29,1
110,51.2,51.39,50.94,51.03,2240433,29,1
111,51.31,52.375,51.25,52.08,3134683,29,1
112,52.09,52.18,51.63,52.1,1864099,29,1
113,52.08,52.45,51.93,52.41,1389709,29,1
114,52.36,52.38,51.77,52.08,2525358,29,1
115,52.14,52.37,50.72,50.99,3555783,29,1
116,51.13,51.28,50.61,51.22,2933843,29,1
117,50.99,51.55,50.97,51.52,2069189,29,1
118,51.57,51.57,51.21,51.35,1762524,29,1
119,51.5,51.5,50.86,50.91,2433788,29,1
120,50.83,51.5,50.75,50.98,2942489,29,1
121,51.93,52.61,51.75,52.22,3831019,29,1
122,52.09,52.3,51.775,52.15,2910004,29,1
123,51.83,51.83,51.11,51.29,2933880,29,1
124,51.2,51.23,50.46,50.7,3984062,29,1
125,50.5,50.61,50.14,50.17,4881281,29,1
126,50.41,50.94,50.26,50.39,3445645,29,1
127,50.38,50.92,50.34,50.66,2094538,29,1
128,50.38,50.735,50.16,50.26,2779454,29,1
129,50.29,50.76,50.04,50.48,1717981,29,1
130,50.71,50.7105,50.14,50.22,1929661,29,1
131,49.67,50.12,49.195,49.36,2454352,29,1
132,49.16,49.75,49.07,49.39,4463782,29,1
133,49.28,49.32,48.94,48.94,2120514,29,1
