id_date,open,high,low,close,volume,id_stock,id_index
1,93.11,93.99,92.9,93.66,1059844,31,1
2,93.66,93.97,91.98,92.3,1707183,31,1
3,92.34,92.43,89.81,90.21,3115852,31,1
4,90.12,92.21,89.85,92.01,2496134,31,1
5,94.52,95.25,84.52,87.63,5936469,31,1
6,87.93,88.47,85.53,86.01,3690421,31,1
7,82.77,85.47,81.82,83.39,3996771,31,1
8,84.44,85.28,83.3,84.46,4062371,31,1
9,84.38,87.9785,83.62,87.28,3895591,31,1
10,87.28,87.8,86.93,87.44,2005904,31,1
11,87.19,87.89,86.18,86.29,1949996,31,1
12,86.41,86.75,85.17,85.36,2840012,31,1
13,85.31,87.32,84.465,86.54,1455350,31,1
14,86.24,87.75,86.0,86.74,1324733,31,1
15,86.74,87.07,86.09,86.77,1506792,31,1
16,86.69,89.93,86.11,89.9,2328466,31,1
17,90.17,91.9,90.03,91.01,2383043,31,1
18,91.21,93.5,91.0,93.181,2446183,31,1
19,92.7,93.17,91.46,92.24,1289377,31,1
20,92.69,92.99,90.76,91.06,1466183,31,1
21,90.8,92.35,90.46,91.67,1151039,31,1
22,91.58,92.01,90.69,91.75,998059,31,1
23,91.71,92.16,91.0,91.51,1060936,31,1
24,91.64,92.05,91.41,91.84,875456,31,1
25,91.41,94.41,91.41,93.66,2874530,31,1
26,92.41,94.35,91.22,93.64,1853697,31,1
27,93.58,94.06,91.93,92.74,1365757,31,1
28,93.51,94.48,92.79,93.88,1151819,31,1
29,92.99,93.8,91.85,92.34,834525,31,1
30,92.785,93.51,92.42,93.48,721307,31,1
31,93.54,94.09,91.82,92.35,816572,31,1
32,92.8,93.06,91.32,91.37,1115785,31,1
33,91.14,94.04,89.75,93.92,1489079,31,1
34,91.69,93.0,90.29,92.14,2555273,31,1
35,91.07,95.86,91.07,95.6,2536460,31,1
36,96.18,100.25,96.0,99.03,3116353,31,1
37,98.68,99.59,96.525,97.27,2286221,31,1
38,97.98,99.14,97.1,98.9,1720610,31,1
39,98.05,99.7,97.46,99.2,1501072,31,1
40,98.99,99.42,97.01,98.18,1066118,31,1
41,97.36,99.02,97.27,98.32,1099769,31,1
42,98.48,100.55,98.3,100.05,1394835,31,1
43,100.21,100.776,99.78,100.42,1013441,31,1
44,100.43,100.43,99.2801,100.1,1182475,31,1
45,99.71,100.04,96.09,96.22,1381089,31,1
46,97.38,97.38,95.52,96.2,1884500,31,1
47,95.84,95.85,93.83,94.75,1634836,31,1
48,94.72,94.72,91.43,92.02,1365403,31,1
49,92.29,93.41,91.16,92.6,3864610,31,1
50,92.61,93.17,88.86,90.45,2651646,31,1
51,90.79,92.43,90.34,91.69,1625962,31,1
52,91.44,92.28,89.12,89.23,2063142,31,1
53,92.65,99.07,91.1,98.82,4363556,31,1
54,98.67,99.79,97.5,99.34,1490811,31,1
55,99.55,99.58,98.27,98.66,1399016,31,1
56,98.16,98.46,96.06,98.0,1461520,31,1
57,98.0,98.37,96.09,96.67,1237538,31,1
58,96.38,97.65,95.68,96.2,1171131,31,1
59,97.67,98.62,96.86,98.17,1137416,31,1
60,98.25,98.635,96.95,97.07,902308,31,1
61,97.25,97.83,95.94,96.35,820599,31,1
62,96.28,98.05,95.73,96.6,808842,31,1
63,96.74,99.84,96.7,98.19,1853685,31,1
64,98.52,104.21,97.9,104.14,2346155,31,1
65,103.61,105.02,102.0601,104.86,1256528,31,1
66,104.86,108.13,104.61,107.86,1896096,31,1
67,107.87,108.0,103.32,105.208,1283036,31,1
68,104.84,104.85,100.03,101.82,1670443,31,1
69,102.57,104.29,101.77,102.9,977654,31,1
70,102.79,103.5325,99.84,100.03,914398,31,1
71,100.52,102.87,100.03,102.67,1020276,31,1
72,103.0,104.5,99.35,100.57,1131564,31,1
73,99.74,101.28,98.0,99.88,779971,31,1
74,98.83,99.71,98.045,99.17,684979,31,1
75,100.5,102.14,99.9,101.19,996887,31,1
76,100.21,100.37,98.8,99.24,767820,31,1
77,99.58,101.71,99.44,101.13,725991,31,1
78,100.37,101.069,97.51,97.58,1336910,31,1
79,97.89,98.44,91.94,95.48,2311063,31,1
80,95.44,95.74,91.28,92.56,1640147,31,1
81,92.5,94.13,89.56,90.81,1520728,31,1
82,90.59,92.94,90.34,92.92,1437576,31,1
83,93.59,95.97,93.5,94.38,1271744,31,1
84,94.66,94.66,91.06,91.91,1429165,31,1
85,90.7301,95.4,90.5,93.03,1126441,31,1
86,93.84,94.71,91.0,91.35,945162,31,1
87,91.31,93.73,90.61,93.41,811240,31,1
88,92.95,93.43,91.13,92.22,940812,31,1
89,93.13,93.16,90.69,91.32,1058438,31,1
90,91.47,93.58,91.35,92.39,949242,31,1
91,93.79,95.85,90.86,91.09,2793694,31,1
92,90.17,91.01,87.39,88.47,1678734,31,1
93,89.17,90.74,87.36,88.492,3600671,31,1
94,88.02,89.399,87.012,87.99,1774412,31,1
95,88.7,89.14,87.02,88.38,1586236,31,1
96,89.41,93.23,89.16,92.75,1753984,31,1
97,93.67,94.2,92.845,93.79,968854,31,1
98,93.14,93.92,92.07,92.24,1272851,31,1
99,93.73,99.04,93.335,95.86,2095836,31,1
100,95.44,96.405,94.21,95.35,869287,31,1
101,94.5,96.42,94.11,96.04,444630,31,1
102,96.31,96.585,95.52,96.45,514962,31,1
103,97.0,97.0,93.72,94.34,1109707,31,1
104,95.08,96.17,94.0015,95.73,1018973,31,1
105,95.75,101.25,95.4501,100.12,1718575,31,1
106,101.19,102.37,100.5,101.44,1347565,31,1
107,101.51,125.65,100.54,114.26,10846766,31,1
108,115.0,115.15,107.39,107.93,4660586,31,1
109,108.38,108.85,106.36,107.04,2103555,31,1
110,107.13,110.19,106.74,108.69,1777144,31,1
111,108.9,112.12,108.55,111.58,2019738,31,1
112,113.58,113.58,111.39,112.17,2219956,31,1
113,113.5,113.88,110.21,112.8,1718077,31,1
114,112.75,113.03,109.23,109.42,1175182,31,1
115,109.5,111.5,108.9,109.76,1463738,31,1
116,107.87,110.88,105.32,107.56,2636867,31,1
117,107.88,112.61,107.4901,112.5,2226952,31,1
118,110.7,111.5,109.49,110.05,1529455,31,1
119,110.86,121.47,108.97,117.08,5469116,31,1
120,115.64,117.355,114.66,116.19,1672039,31,1
121,117.55,118.4,116.44,117.21,1235004,31,1
122,117.0,117.31,114.63,117.28,1283432,31,1
123,116.87,117.9,116.07,117.17,703325,31,1
124,116.06,116.4599,113.88,114.37,920936,31,1
125,114.32,115.92,113.111,114.65,944870,31,1
126,114.93,115.25,112.74,114.13,678625,31,1
127,114.78,115.85,113.52,114.09,579093,31,1
128,112.07,112.07,108.25,109.26,1288700,31,1
129,109.74,110.34,108.06,110.12,799843,31,1
130,110.2,111.23,109.4301,109.69,589821,31,1
131,108.87,108.9999,105.79,106.148,908048,31,1
132,105.45,106.29,104.2501,105.0,1121286,31,1
133,104.52,106.02,104.245,104.43,595657,31,1
134,103.02,106.21,103.02,105.1,754844,31,1
135,104.47,106.898,104.04,105.32,620933,31,1
136,105.08,106.95,104.31,106.77,428615,31,1
137,107.0,107.0,104.84,105.46,929133,31,1
138,106.01,109.3,105.675,107.19,748285,31,1
139,106.16,106.588,105.0,105.7,613049,31,1
140,105.97,107.83,104.9496,107.56,665996,31,1
141,107.31,109.98,107.05,109.3,755859,31,1
142,109.67,109.99,107.29,107.76,510393,31,1
143,109.34,111.18,108.27,110.17,733114,31,1
144,110.65,113.575,109.58,112.65,945206,31,1
145,112.65,113.2299,111.52,112.49,433972,31,1
146,113.05,113.05,109.45,111.56,551836,31,1
147,111.84,113.05,111.3801,112.78,581431,31,1
148,112.92,113.86,111.49,113.62,1064604,31,1
149,113.91,114.79,109.75,114.74,1478544,31,1
150,114.71,114.74,113.42,114.21,500410,31,1
151,114.33,114.57,113.52,114.14,591983,31,1
152,115.0,115.45,113.24,113.74,524846,31,1
153,113.83,114.94,113.01,114.24,418470,31,1
154,114.2,116.74,112.54,115.932,837161,31,1
155,116.07,116.24,112.57,114.03,1064143,31,1
156,114.22,115.58,113.47,113.65,1462149,31,1
157,113.94,114.3699,112.28,112.5,880907,31,1
158,112.54,114.44,112.0,113.59,764367,31,1
159,113.85,115.19,112.83,113.05,663230,31,1
160,113.63,116.01,113.322,115.97,1084598,31,1
161,114.84,116.91,114.4,116.42,743251,31,1
162,115.32,116.31,114.5,116.16,1277625,31,1
163,116.8,118.29,115.06,117.39,1060040,31,1
164,117.09,117.739,115.79,116.75,703347,31,1
165,116.24,116.44,112.7201,114.22,895224,31,1
166,113.85,116.72,113.37,116.44,890537,31,1
167,115.0,115.77,114.34,114.49,592115,31,1
168,114.24,114.375,108.35,108.47,1245728,31,1
169,108.71,109.23,104.42,105.48,1480403,31,1
170,106.94,109.0819,106.25,108.674,744934,31,1
171,108.0,109.75,107.57,108.81,699649,31,1
172,107.91,108.02,105.74,107.01,962773,31,1
173,106.84,109.13,106.53,108.24,901987,31,1
174,109.27,111.7,108.75,110.96,923224,31,1
175,110.75,110.92,109.47,110.79,937987,31,1
176,111.04,111.04,108.25,108.43,1033023,31,1
177,108.45,108.97,105.52,105.88,956264,31,1
178,106.27,108.02,100.89,107.72,902150,31,1
179,107.39,110.07,106.825,109.66,1092482,31,1
180,111.22,117.0,110.67,116.7,2090827,31,1
181,118.1,125.26,117.765,125.17,2626550,31,1
182,123.93,124.78,121.5,124.2,1688577,31,1
