id_date,open,high,low,close,volume,id_stock,id_index
1,85.61,87.165,85.39,86.77,7888920,36,1
2,85.48,85.98,84.59,84.92,7538344,36,1
3,85.0,85.23,84.28,84.54,4655977,36,1
4,84.96,85.13,84.45,84.94,7943132,36,1
5,86.0,86.398,84.609,84.72,6189005,36,1
6,84.24,84.7199,83.32,83.61,5622197,36,1
7,83.51,84.27,82.92,84.131,5944265,36,1
8,84.37,85.34,84.24,84.65,6388286,36,1
9,84.59,85.32,84.15,85.13,4094108,36,1
10,85.07,86.88,85.07,86.82,4920383,36,1
11,89.3,91.25,89.3,89.55,11421682,36,1
12,89.63,90.21,88.66,89.47,4805195,36,1
13,89.15,91.3,89.06,91.03,3549796,36,1
14,91.0,93.42,90.87,91.55,6528557,36,1
15,91.16,92.76,90.51,92.58,4317624,36,1
16,92.11,92.75,91.5,92.73,3186645,36,1
17,93.11,93.76,92.56,93.44,3570108,36,1
18,93.82,94.29,93.09,93.27,3716274,36,1
19,93.43,93.88,92.82,92.95,2980007,36,1
20,93.4293,93.88,92.85,93.0,3084803,36,1
21,92.66,93.36,90.87,91.44,5699566,36,1
22,91.58,91.81,91.04,91.75,4997477,36,1
23,91.6,91.79,90.67,91.54,2606015,36,1
24,91.6528,92.29,91.15,92.18,3436357,36,1
25,91.84,92.16,91.26,91.808,10172673,36,1
26,91.27,91.36,90.35,90.39,3605821,36,1
27,90.68,92.52,90.54,92.4,4010846,36,1
28,92.92,94.89,92.875,94.05,4157701,36,1
29,93.65,94.31,93.47,94.31,3673992,36,1
30,94.69,96.6,94.1,96.56,4710502,36,1
31,96.92,97.52,96.01,96.81,5042037,36,1
32,97.29,98.76,97.07,98.66,3126921,36,1
33,98.06,100.32,98.02,100.15,3478212,36,1
34,99.84,102.62,99.79,102.51,5506774,36,1
35,102.6199,103.9,101.7,102.31,4099647,36,1
36,102.39,106.61,102.39,106.4,4969690,36,1
37,106.68,106.79,103.93,104.81,5306631,36,1
38,105.19,106.54,104.74,105.88,2850248,36,1
39,104.21,104.62,103.47,104.04,4015816,36,1
