id_date,open,high,low,close,volume,id_stock,id_index
1,52.46,54.01,52.46,53.86,3366384,40,1
2,54.44,55.0,54.0,54.55,3681623,40,1
3,54.7,54.95,53.095,53.49,4234809,40,1
4,53.55,54.49,53.4,54.07,2664552,40,1
5,54.15,55.5799,53.73,55.18,3266120,40,1
6,55.1,55.395,54.14,54.64,2564154,40,1
7,54.91,55.16,54.135,55.13,3346185,40,1
8,54.98,55.37,51.74,52.02,3724020,40,1
9,51.73,53.82,50.07,53.28,7007284,40,1
10,53.77,54.65,52.54,54.6,2326477,40,1
11,54.89,55.45,52.79,52.81,4842729,40,1
12,52.4,54.38,51.66,54.29,3443936,40,1
13,54.24,56.0,54.03,55.55,3984585,40,1
14,55.7,57.04,55.57,56.24,4581884,40,1
15,55.85,58.3,55.05,58.29,5366715,40,1
16,58.26,59.09,57.55,58.97,5159665,40,1
17,59.45,59.56,56.9101,58.3,4235977,40,1
18,58.62,59.342,57.67,57.7,3114092,40,1
19,57.89,58.455,56.93,57.75,3797430,40,1
20,58.0,58.75,57.37,58.4,2788952,40,1
21,58.17,58.17,55.93,57.5,3664093,40,1
22,57.23,58.55,57.01,57.79,2536200,40,1
23,57.0,57.47,55.05,56.0,6087329,40,1
24,56.3,57.065,55.89,56.95,3915184,40,1
25,56.77,57.86,56.48,56.5,4115428,40,1
26,55.92,57.57,55.67,56.86,3147337,40,1
27,56.83,57.75,56.0,56.83,2419449,40,1
28,57.27,59.06,57.18,58.88,3698021,40,1
29,58.43,58.78,57.36,58.0,2895319,40,1
30,58.13,59.09,57.85,58.87,2578165,40,1
31,59.2,59.9,57.6,57.85,3493109,40,1
32,58.18,58.98,57.895,58.5,2422489,40,1
33,58.22,58.82,57.5435,57.96,2087785,40,1
34,57.97,58.94,57.73,58.55,2166659,40,1
35,58.27,58.45,56.48,56.85,3098805,40,1
36,57.1,57.14,54.16,55.02,5327380,40,1
37,54.84,54.89,51.22,52.26,6665542,40,1
38,52.1,53.41,51.66,52.98,3209516,40,1
39,51.75,53.78,51.07,53.24,3498184,40,1
