id_date,open,high,low,close,volume,id_stock,id_index
1,56.01,56.56,55.88,56.53,2069181,43,1
2,56.47,56.72,56.2,56.66,1656442,43,1
3,56.62,56.82,56.335,56.7,2702710,43,1
4,56.76,57.44,56.5,57.28,1382960,43,1
5,57.18,57.53,57.05,57.3,1593327,43,1
6,57.29,57.38,56.82,57.0,2939778,43,1
7,57.1,57.92,57.1,57.91,2695460,43,1
8,58.02,59.44,58.01,59.02,3457707,43,1
9,58.81,59.5,58.6,59.42,3668478,43,1
10,59.6,60.85,59.39,60.79,3669035,43,1
11,60.9,61.48,59.45,59.45,2869498,43,1
12,60.32,60.55,59.2,60.05,3195318,43,1
13,60.2,60.945,59.97,60.83,2828277,43,1
14,60.93,61.87,60.7102,61.09,3514598,43,1
15,60.8,61.05,60.3,60.89,2513651,43,1
16,60.05,60.66,59.86,60.49,2692613,43,1
17,60.82,61.03,60.705,60.75,1982785,43,1
18,61.0,61.0,60.28,60.34,1880696,43,1
19,60.35,60.69,60.06,60.29,4026119,43,1
20,60.62,60.62,59.985,60.21,6544137,43,1
21,60.2,60.23,59.88,60.1,3254552,43,1
22,60.05,60.1,59.56,59.64,2566586,43,1
23,59.83,59.83,59.48,59.7,2180243,43,1
24,59.73,60.08,59.705,60.03,2860557,43,1
25,59.67,60.03,59.55,59.9,2836482,43,1
26,59.21,59.47,58.815,58.96,4084151,43,1
27,59.0,59.22,58.66,59.01,3063738,43,1
28,59.05,59.79,58.97,59.71,4131909,43,1
29,59.48,59.89,59.38,59.45,2504373,43,1
30,59.64,60.31,59.56,60.27,1702533,43,1
31,60.46,61.22,60.19,61.16,2515891,43,1
32,61.41,61.84,61.1,61.82,1884920,43,1
33,61.36,61.635,61.05,61.5,1332181,43,1
34,61.6,61.82,61.4,61.5,1741420,43,1
35,61.35,61.84,60.97,61.1,1280891,43,1
36,61.39,61.76,61.235,61.44,984004,43,1
37,61.48,61.65,60.43,60.45,1565193,43,1
38,60.65,61.08,60.39,60.67,1038054,43,1
39,59.9,60.31,59.65,60.27,1270138,43,1
40,59.94,60.63,59.94,60.61,774360,43,1
41,60.71,61.07,60.33,60.9,1264638,43,1
42,61.07,61.55,60.835,61.53,1203441,43,1
43,61.59,63.07,61.59,62.66,2257703,43,1
44,62.44,62.66,62.13,62.62,847282,43,1
45,62.56,62.75,61.49,61.49,1630819,43,1
46,61.78,62.16,61.5,62.11,1501204,43,1
47,61.64,61.87,60.61,60.67,2470859,43,1
48,60.56,60.86,59.5,59.67,1940062,43,1
49,59.83,60.205,59.64,60.15,1910111,43,1
50,60.26,60.81,60.16,60.6,1503697,43,1
51,60.69,61.16,60.6,61.13,1463634,43,1
52,61.31,61.715,61.09,61.16,915498,43,1
53,61.23,61.56,61.16,61.29,1495521,43,1
