id_date,open,high,low,close,volume,id_stock,id_index
1,84.13,85.18,84.11,84.65,2181859,45,1
2,84.81,85.47,83.73,83.81,2207403,45,1
3,84.06,84.43,83.33,84.18,2735842,45,1
4,84.18,84.43,83.7,84.33,3168636,45,1
5,83.72,84.0,80.11,80.33,8653948,45,1
6,80.08,80.16,76.61,76.85,10830529,45,1
7,76.84,77.36,76.27,77.3,5854522,45,1
8,77.22,77.26,75.41,75.48,5908765,45,1
9,75.2,75.64,74.48,75.11,4569254,45,1
10,75.42,75.85,74.78,75.4,2984091,45,1
11,76.04,76.04,73.25,73.25,3972365,45,1
12,73.69,74.19,72.62,73.56,4187541,45,1
13,73.35,74.8,73.35,74.38,3952579,45,1
14,74.26,74.8,73.845,74.27,3508393,45,1
15,73.56,74.12,72.76,73.75,3794127,45,1
16,73.45,73.85,72.2,72.73,4529277,45,1
17,73.21,73.44,72.72,72.85,3305402,45,1
18,73.38,73.77,73.01,73.55,3090688,45,1
19,74.51,76.48,74.24,75.65,5420042,45,1
20,76.06,76.17,75.42,75.65,2493947,45,1
21,75.43,75.73,74.51,75.51,2730073,45,1
22,75.53,75.87,75.16,75.27,2289670,45,1
23,75.18,75.6,75.07,75.28,1938732,45,1
24,75.45,75.99,75.23,75.48,2648031,45,1
25,75.13,76.24,74.7,75.68,4665624,45,1
26,74.68,76.34,74.67,75.72,3283512,45,1
27,75.78,75.91,74.14,74.66,2835770,45,1
28,75.27,75.53,74.345,75.37,2579626,45,1
29,74.91,75.33,74.12,74.15,2885996,45,1
30,74.48,75.25,74.23,74.47,2936194,45,1
31,74.65,75.15,74.29,74.63,2806704,45,1
32,75.05,75.21,74.3,74.4,3880051,45,1
33,74.01,75.98,73.675,75.93,4416315,45,1
34,75.93,78.08,75.86,77.16,6026028,45,1
35,77.21,77.245,75.7,76.71,2755770,45,1
36,76.87,76.87,75.84,76.16,2567054,45,1
37,76.07,76.09,74.4,74.85,3144492,45,1
38,74.96,75.65,74.4,75.0,2450017,45,1
39,74.1,74.79,73.58,74.2,3406031,45,1
40,74.2,74.765,73.97,74.64,2177537,45,1
41,74.6,75.8701,74.03,75.49,2359485,45,1
42,75.75,76.12,75.24,75.63,2509320,45,1
43,75.89,76.78,75.69,76.52,2978022,45,1
44,75.95,76.02,74.99,75.09,3672666,45,1
45,74.34,74.52,72.59,72.62,3982657,45,1
46,73.38,74.0,70.52,72.05,5597971,45,1
47,71.41,72.0,70.6,71.45,5052741,45,1
48,70.18,71.05,69.85,70.82,4833728,45,1
49,71.25,71.3,68.57,68.84,5657405,45,1
50,69.12,69.45,67.91,69.21,3213165,45,1
51,69.5,70.77,69.17,70.46,3528490,45,1
52,70.82,71.49,70.52,71.34,3159010,45,1
53,71.61,73.26,71.12,72.48,3699054,45,1
54,72.57,72.69,71.4,72.27,2107150,45,1
55,72.63,73.665,71.71,73.16,2172587,45,1
56,73.55,73.94,72.41,73.88,3337882,45,1
57,73.45,73.88,72.53,73.42,3278457,45,1
58,73.68,73.97,72.51,73.8,2391744,45,1
59,74.3,75.91,74.3,75.24,2591334,45,1
60,75.25,76.34,75.01,76.02,2211271,45,1
61,76.51,77.58,76.31,76.7,2843916,45,1
62,76.8,77.83,76.1,77.76,3701980,45,1
63,78.51,81.85,78.51,81.47,9768150,45,1
64,81.07,83.41,80.62,83.33,5826573,45,1
65,81.84,83.5,81.84,83.28,4690026,45,1
66,83.41,83.8,82.61,83.03,3521836,45,1
67,82.73,82.81,80.85,81.89,3303098,45,1
68,81.9,81.94,80.88,80.89,3029918,45,1
69,81.03,81.69,80.55,81.3,4380726,45,1
70,81.3,84.2,81.23,84.08,4729254,45,1
71,83.96,84.86,83.68,84.36,3207039,45,1
72,84.33,85.52,83.12,83.37,3961628,45,1
73,81.27,81.88,80.74,81.85,4890239,45,1
74,81.45,81.86,80.97,81.66,1873021,45,1
75,82.71,83.2,81.4074,82.39,3050344,45,1
76,81.71,85.14,81.54,84.29,4129449,45,1
77,83.91,85.15,83.111,84.75,3585067,45,1
78,84.4,85.29,82.09,82.13,3875347,45,1
79,82.71,84.58,82.12,84.57,5404826,45,1
80,84.13,84.92,83.5,84.35,2648583,45,1
81,84.99,86.31,84.68,84.74,4577800,45,1
82,85.0,85.86,84.22,85.8,3540400,45,1
83,85.75,86.1,84.59,84.73,4017750,45,1
84,84.93,85.82,84.37,85.61,3812964,45,1
85,84.58,84.925,84.15,84.4,3810766,45,1
86,85.0,85.36,84.26,84.45,5127477,45,1
87,84.14,85.24,83.9,85.12,2531202,45,1
88,85.44,85.61,84.49,84.89,2514304,45,1
89,85.34,86.92,85.29,86.52,3371726,45,1
90,86.45,87.57,86.26,87.12,2982790,45,1
91,87.23,87.57,86.57,86.57,3406717,45,1
92,85.61,85.85,84.2,84.93,4893340,45,1
93,85.56,85.645,84.45,85.04,4977221,45,1
94,83.72,84.27,81.67,82.18,4594826,45,1
95,82.87,83.12,82.3,82.64,3147572,45,1
96,83.21,83.59,82.85,83.17,2421542,45,1
97,83.55,84.22,83.3,84.06,2607454,45,1
98,83.61,84.59,83.295,83.83,3273918,45,1
99,84.21,84.32,83.03,83.3,4721253,45,1
100,83.22,84.33,81.47,82.13,5070557,45,1
101,81.77,81.93,79.5,80.23,5294820,45,1
102,81.77,83.01,81.28,82.17,5102685,45,1
103,82.52,82.88,81.32,81.45,3260789,45,1
104,81.87,82.19,80.75,81.46,3758413,45,1
105,81.4,81.43,80.1247,80.33,4649616,45,1
106,80.95,81.94,80.07,81.69,4687761,45,1
107,81.57,82.575,81.45,82.41,2286752,45,1
108,82.39,83.205,82.13,82.97,2733393,45,1
109,82.96,83.2199,81.45,82.03,2831368,45,1
110,82.06,82.52,81.8,82.51,2763787,45,1
111,82.51,83.675,82.47,83.6,2929406,45,1
112,85.25,85.41,83.89,84.98,5977373,45,1
113,84.9,84.97,83.71,83.9,3149151,45,1
114,83.89,84.15,83.3,83.57,1917227,45,1
115,83.31,83.56,81.8628,82.51,2298406,45,1
116,82.54,83.31,81.9,82.77,2185266,45,1
117,82.29,82.41,81.73,82.06,1880731,45,1
118,81.8,81.92,80.49,81.15,2458472,45,1
119,81.0,81.05,79.99,80.58,2333536,45,1
120,80.77,81.95,80.25,80.25,3034448,45,1
121,81.85,82.33,80.52,81.68,2924486,45,1
122,81.25,82.29,80.89,82.0,3832257,45,1
123,81.97,82.485,81.46,82.31,2437991,45,1
124,82.29,82.49,81.62,82.26,3302568,45,1
125,82.12,82.54,81.35,81.94,3248570,45,1
126,82.0,83.51,81.92,83.18,2331981,45,1
127,83.04,83.51,82.38,83.2,1845186,45,1
128,82.565,83.37,82.4,82.7,1369137,45,1
129,82.87,83.0,82.14,82.51,1837130,45,1
130,82.41,82.56,80.72,80.74,3349790,45,1
131,80.34,80.42,79.56,80.27,2642289,45,1
132,80.05,80.18,78.83,78.99,3453335,45,1
133,78.42,78.45,75.28,75.37,6771658,45,1
134,75.8,76.99,75.07,76.27,4361959,45,1
135,76.49,77.87,76.3,77.22,4464549,45,1
136,77.47,79.34,77.16,78.99,2402159,45,1
137,79.28,79.92,78.4,79.8,2471119,45,1
138,79.95,80.8,79.69,79.73,2307100,45,1
139,78.22,79.23,78.16,78.57,2879671,45,1
140,78.72,80.31,78.64,79.17,2377777,45,1
141,78.91,79.05,78.42,78.64,1737272,45,1
142,84.86,85.99,84.15,85.68,13946814,45,1
143,86.5,86.6899,84.41,84.79,4539509,45,1
144,84.56,86.0,84.5,85.53,3669547,45,1
145,85.98,86.73,85.76,86.19,3765304,45,1
146,86.19,87.1697,85.81,86.51,2794218,45,1
147,86.06,87.03,86.01,86.66,2411844,45,1
148,87.65,87.76,86.85,87.26,3453394,45,1
149,86.62,87.23,86.23,87.03,3094941,45,1
150,87.03,87.63,86.76,87.2,2334236,45,1
151,87.08,87.4225,86.43,86.81,1932800,45,1
152,87.78,87.865,86.905,87.0,2794698,45,1
153,87.82,88.74,87.55,88.25,3331210,45,1
154,88.05,89.17,87.445,88.93,2608013,45,1
155,89.0,89.11,88.05,88.47,1659421,45,1
156,88.54,88.605,87.6,87.85,4750073,45,1
157,87.5,87.82,87.0,87.37,1810780,45,1
158,87.5,87.88,86.573,87.0,2051043,45,1
159,87.28,87.55,86.59,86.63,2203498,45,1
160,86.92,86.995,86.03,86.49,2030340,45,1
161,86.24,86.9,86.06,86.25,1849866,45,1
162,85.43,85.59,84.75,85.14,2061314,45,1
163,84.76,86.84,84.76,86.47,2491715,45,1
164,85.96,86.46,84.97,86.07,2725281,45,1
165,86.08,86.46,85.28,85.63,1662152,45,1
166,85.56,87.29,85.36,87.0,1983042,45,1
167,86.04,87.16,85.63,86.82,1910481,45,1
168,87.04,87.45,85.98,86.1,2622125,45,1
169,86.42,86.48,84.95,85.92,2162275,45,1
170,86.62,87.68,86.44,87.62,2005818,45,1
171,86.88,88.31,86.8025,87.95,1764444,45,1
172,87.24,89.33,87.13,88.62,1608618,45,1
173,88.52,89.59,88.18,88.73,2721665,45,1
174,89.0,90.74,89.0,90.23,2965820,45,1
175,90.0,90.64,89.68,90.57,2231506,45,1
176,90.77,91.65,90.57,91.26,2761441,45,1
177,90.6,91.13,88.811,89.59,3557658,45,1
178,89.85,90.6,89.21,89.7,1799187,45,1
179,89.26,89.59,88.09,88.74,1981249,45,1
180,88.73,90.24,88.47,89.77,2026030,45,1
181,90.11,90.53,89.77,90.45,1705582,45,1
182,90.53,90.715,90.0,90.36,1757644,45,1
183,90.55,91.2077,90.41,90.85,1563934,45,1
184,90.64,91.18,88.21,88.93,2157668,45,1
185,89.11,89.97,88.53,88.8,1951777,45,1
186,88.89,89.7,88.35,89.24,2323162,45,1
187,89.59,90.4,89.246,90.35,1772834,45,1
188,90.09,90.09,89.02,89.13,2527311,45,1
189,89.5,89.89,87.73,88.45,3192725,45,1
190,89.37,91.1,88.13,88.59,4677771,45,1
191,88.78,89.9,88.59,89.8,3248050,45,1
192,90.0,90.17,89.42,89.79,2142888,45,1
