id_date,open,high,low,close,volume,id_stock,id_index
1,84.13,84.83,84.13,84.45,1937086,46,1
2,83.98,83.98,83.0105,83.47,1962625,46,1
3,83.91,83.97,82.78,83.45,1880572,46,1
4,83.46,84.13,83.3,84.13,2597192,46,1
5,83.63,84.43,83.11,84.0,2166797,46,1
6,83.69,83.83,81.69,82.08,4173627,46,1
7,82.42,84.13,82.4,84.13,3277862,46,1
8,83.75,83.75,80.29,80.37,4711642,46,1
9,80.02,80.54,79.29,80.21,4692105,46,1
10,80.77,81.75,80.535,81.75,2393730,46,1
11,82.28,82.5,78.57,78.57,3865033,46,1
12,79.05,79.27,77.01,78.58,4558655,46,1
13,78.21,80.99,78.09,80.04,3698447,46,1
14,80.18,80.32,79.35,79.58,3607739,46,1
15,78.87,80.23,78.29,79.82,3071019,46,1
16,80.09,81.26,79.235,80.34,3423121,46,1
17,81.38,83.74,81.36,82.73,6382297,46,1
18,83.26,83.4099,81.28,81.74,3456737,46,1
19,81.87,83.247,80.9,82.81,2366710,46,1
20,83.3,83.429,82.39,83.09,2120301,46,1
21,83.21,83.8,82.37,83.58,2354461,46,1
22,83.56,84.46,83.29,84.26,3285139,46,1
23,83.64,84.415,83.53,83.94,2270826,46,1
24,84.16,85.58,83.95,85.19,3913770,46,1
25,84.85,85.635,84.57,85.35,4188454,46,1
26,84.44,85.7,84.1,84.62,2846899,46,1
27,84.94,85.131,82.552,83.28,2614718,46,1
28,87.26,87.5,85.59,86.4,5663185,46,1
29,85.59,86.82,85.42,85.49,3079193,46,1
30,85.88,87.17,85.88,86.58,3104652,46,1
31,86.85,88.8,86.85,87.29,3127460,46,1
32,88.28,88.98,87.89,88.88,3321048,46,1
33,88.41,89.16,88.0,88.76,2704247,46,1
34,89.0,89.2,87.15,87.45,4238883,46,1
35,87.16,87.95,86.01,86.36,2936710,46,1
36,86.27,86.63,85.219,85.64,3002354,46,1
37,85.51,85.58,83.22,84.02,3119068,46,1
38,83.9,84.33,82.97,84.27,2568214,46,1
39,82.96,85.27,82.5,85.03,3243727,46,1
40,84.73,86.57,84.72,86.55,2612072,46,1
41,86.49,86.975,85.7698,86.81,2650380,46,1
42,87.15,87.2,85.96,86.38,3100981,46,1
43,86.78,87.395,86.02,87.35,2696675,46,1
44,86.92,87.03,85.05,85.29,3639411,46,1
45,83.79,83.88,79.46,79.47,7224907,46,1
46,80.6,82.64,80.56,82.16,4262817,46,1
47,81.27,81.27,78.8472,79.45,4393191,46,1
48,79.79,81.08,78.3,80.64,4307298,46,1
