id_date,open,high,low,close,volume,id_stock,id_index
1,87.55,88.49,87.33,88.35,782915,47,1
2,88.47,88.74,88.11,88.42,744599,47,1
3,88.43,88.88,87.79,88.83,929048,47,1
4,88.94,89.05,88.35,88.78,856548,47,1
5,88.49,88.8664,88.03,88.69,660901,47,1
6,88.71,88.8,87.96,88.23,800357,47,1
7,88.63,89.13,88.18,88.7,558836,47,1
8,88.64,88.8,87.55,87.61,1276047,47,1
9,87.21,87.75,85.0,85.67,2003368,47,1
10,86.02,86.1,85.32,86.09,1368480,47,1
11,86.49,86.51,84.22,84.23,997593,47,1
12,84.59,84.93,84.15,84.34,1235923,47,1
13,84.43,85.94,84.27,85.56,1039911,47,1
14,85.48,86.83,85.44,86.34,1195693,47,1
15,85.85,86.65,85.32,86.34,739891,47,1
16,86.12,86.53,85.57,86.34,577902,47,1
17,86.75,87.72,86.625,86.9,866919,47,1
18,87.2,87.28,86.62,86.71,649540,47,1
19,86.87,87.94,86.68,87.85,904129,47,1
20,88.27,89.23,88.11,89.1,1205892,47,1
21,88.84,89.03,88.16,88.83,888563,47,1
22,88.83,89.31,88.44,88.91,702889,47,1
23,88.91,89.12,88.08,89.0,681643,47,1
24,89.2,89.9,89.0001,89.9,658433,47,1
25,89.56,90.34,89.344,90.17,1904607,47,1
26,89.23,89.28,88.5,88.92,942677,47,1
27,88.95,89.28,87.66,88.21,839568,47,1
28,88.59,89.09,88.33,88.84,889497,47,1
29,86.85,87.9499,86.58,87.1,1396827,47,1
30,87.77,88.04,87.23,87.52,836860,47,1
31,87.99,88.14,87.15,87.47,977859,47,1
32,87.79,88.07,87.445,87.92,749202,47,1
33,86.54,86.55,85.65,86.28,983321,47,1
34,86.3,87.27,86.06,87.12,1339829,47,1
35,86.69,86.83,85.24,85.51,1277346,47,1
36,85.96,86.07,84.7,85.01,966267,47,1
37,85.14,85.2,84.04,84.28,1105572,47,1
38,84.45,85.4,84.32,85.37,781010,47,1
39,84.58,85.18,84.06,85.13,665810,47,1
40,85.2,85.68,84.71,85.65,498664,47,1
41,85.97,86.4,85.38,86.0,667549,47,1
42,86.2,86.43,85.86,86.34,1278097,47,1
43,86.43,87.32,86.228,87.24,1231832,47,1
44,87.02,87.2,86.43,86.93,1084435,47,1
45,86.45,86.63,84.85,84.86,2014162,47,1
46,85.16,86.58,85.16,86.5,931172,47,1
47,86.06,86.46,85.48,85.78,1220134,47,1
48,86.08,86.375,84.66,84.85,1060595,47,1
49,85.08,85.92,85.08,85.71,1613468,47,1
50,85.71,86.51,85.64,86.29,837340,47,1
51,85.72,86.4,84.53,85.18,2129386,47,1
