id_date,open,high,low,close,volume,id_stock,id_index
1,72.72,72.72,72.2,72.62,447039,50,1
2,72.74,73.18,72.66,72.73,352801,50,1
3,73.38,73.495,72.79,72.79,409155,50,1
4,72.8,73.1,72.29,72.36,429597,50,1
5,72.31,72.36,71.42,71.56,762407,50,1
6,71.68,72.01,70.97,71.62,964380,50,1
7,71.6,72.15,71.58,71.92,460009,50,1
8,72.01,72.48,71.4,71.86,1001007,50,1
9,71.75,71.85,71.2,71.43,523086,50,1
10,71.87,72.26,71.75,72.12,270236,50,1
11,72.19,72.235,70.55,70.58,363643,50,1
12,70.97,71.155,70.07,70.88,297370,50,1
13,70.8,71.52,70.5,71.24,262815,50,1
14,71.03,71.6,71.02,71.14,476029,50,1
15,70.85,71.37,70.2,71.01,429874,50,1
16,70.89,71.9448,70.68,71.85,406274,50,1
17,71.69,72.52,71.69,72.52,234257,50,1
18,72.84,72.84,71.78,72.29,261233,50,1
19,72.41,72.72,71.975,72.25,295801,50,1
20,72.48,72.53,71.79,71.97,306834,50,1
21,71.9,72.31,71.52,72.29,307848,50,1
22,72.06,72.21,71.61,72.03,313389,50,1
23,72.15,72.3,71.76,71.82,274591,50,1
24,71.72,72.31,71.45,71.51,370035,50,1
25,71.71,71.72,71.27,71.41,709748,50,1
26,71.09,71.5,70.81,70.91,602031,50,1
27,71.05,71.24,70.49,71.0,251065,50,1
28,71.22,71.26,70.7,71.03,266920,50,1
29,70.65,71.56,70.65,71.34,427325,50,1
30,71.56,71.93,71.41,71.61,299940,50,1
31,71.86,71.89,71.21,71.43,244252,50,1
32,71.0,71.61,70.87,71.49,249351,50,1
33,71.0,71.0,70.2,70.86,552666,50,1
34,70.97,71.18,70.71,70.98,456935,50,1
35,70.71,71.09,70.54,70.87,308591,50,1
36,71.03,71.38,70.595,70.67,336023,50,1
37,70.84,71.15,70.0,70.21,333509,50,1
38,70.49,70.74,70.1525,70.61,879776,50,1
39,70.09,70.67,69.68,70.59,654539,50,1
40,70.76,71.65,70.41,71.65,625602,50,1
41,71.62,71.79,70.87,71.42,309990,50,1
42,71.63,71.88,71.5,71.59,415503,50,1
43,71.6,72.46,71.6,72.09,374865,50,1
44,71.91,72.24,71.73,72.24,342190,50,1
45,71.89,72.245,70.71,70.89,602577,50,1
46,71.38,71.45,70.7,71.45,447869,50,1
47,71.0,71.36,70.03,70.43,427019,50,1
48,70.53,70.53,70.0025,70.33,283241,50,1
49,70.35,71.53,70.17,71.24,567477,50,1
50,71.17,71.37,70.64,70.8,276140,50,1
51,71.17,71.61,70.93,71.58,589754,50,1
52,71.41,71.9,71.4,71.58,458754,50,1
53,71.53,71.845,70.9,71.0,444437,50,1
54,71.1,71.1,70.09,70.55,607664,50,1
55,70.85,71.52,70.48,71.49,567097,50,1
56,71.12,72.77,70.77,72.77,638158,50,1
57,72.3,73.04,72.2541,72.63,469186,50,1
58,72.58,73.59,72.525,73.15,376070,50,1
59,73.4,74.01,73.26,73.42,570945,50,1
60,73.61,73.72,73.22,73.63,481299,50,1
61,73.55,74.39,73.55,74.28,424260,50,1
62,73.99,75.3,73.99,75.3,553748,50,1
63,75.22,75.41,74.83,75.27,941864,50,1
64,75.21,75.64,74.85,75.4,446942,50,1
65,75.4,75.63,75.1735,75.63,415926,50,1
66,74.39,77.54,74.25,77.4,4649088,50,1
67,77.08,78.11,76.62,78.09,1098748,50,1
68,78.07,78.4292,77.49,77.8,801318,50,1
69,77.86,78.13,77.13,77.31,633793,50,1
70,77.02,77.26,76.83,77.2,634889,50,1
71,77.35,77.65,76.9,77.04,1330432,50,1
72,76.97,77.11,73.29,74.17,1396528,50,1
73,73.38,73.93,72.01,73.63,1413288,50,1
74,73.25,73.74,72.41,73.7,1362831,50,1
75,74.28,74.36,71.81,72.22,650573,50,1
76,71.71,71.84,69.76,70.41,897946,50,1
77,70.35,70.93,69.63,69.77,972772,50,1
78,69.75,70.08,68.47,68.5,1471386,50,1
79,68.62,68.86,67.55,68.7,932750,50,1
80,68.86,69.11,67.89,67.89,762309,50,1
81,67.87,68.12,66.97,67.29,635357,50,1
82,67.18,68.05,66.46,68.04,627233,50,1
83,68.19,68.51,66.27,67.26,421093,50,1
84,67.8,68.22,67.08,67.45,512699,50,1
85,66.41,67.31,66.26,66.31,398612,50,1
86,66.76,66.76,65.03,65.21,381519,50,1
87,65.03,67.44,65.02,67.24,553471,50,1
88,67.15,68.47,66.99,67.75,513143,50,1
89,68.09,68.46,67.08,67.43,538604,50,1
90,67.33,68.25,67.14,68.09,460158,50,1
91,68.18,68.18,65.01,65.4,401805,50,1
92,64.81,64.96,63.07,63.28,565898,50,1
93,63.56,64.39,62.6,62.89,799508,50,1
94,61.99,64.08,61.2,62.66,674392,50,1
95,63.07,63.46,62.495,63.15,653636,50,1
96,63.26,64.16,62.95,63.87,606045,50,1
97,64.78,66.58,64.68,65.86,646982,50,1
98,65.99,66.66,65.16,65.72,944639,50,1
99,66.02,66.89,65.46,66.02,662376,50,1
100,65.88,67.55,65.88,67.44,662644,50,1
101,67.11,67.566,66.49,66.92,338460,50,1
102,67.26,67.51,65.46,66.71,406639,50,1
103,67.16,67.65,66.94,67.32,333894,50,1
104,67.43,68.7775,67.36,68.29,287344,50,1
105,68.08,68.85,67.775,68.44,466970,50,1
106,69.27,69.93,69.19,69.93,512514,50,1
107,69.78,70.15,68.78,68.79,406326,50,1
108,68.96,69.9,68.96,69.47,283880,50,1
109,69.44,69.93,68.97,69.32,316752,50,1
110,69.68,69.82,69.16,69.53,228091,50,1
111,69.56,70.62,69.56,70.38,348112,50,1
112,70.4,70.64,69.94,70.08,286968,50,1
113,70.08,70.37,69.75,70.36,355717,50,1
114,70.44,71.29,70.07,71.11,463182,50,1
115,71.17,71.17,69.01,69.68,398826,50,1
116,69.49,70.2,69.21,70.04,279467,50,1
117,69.86,70.36,69.25,69.62,298504,50,1
118,69.63,69.84,68.54,68.73,442749,50,1
119,69.09,70.05,68.79,69.36,289726,50,1
120,69.48,69.81,67.63,68.5,436545,50,1
121,68.91,69.69,68.27,68.44,817682,50,1
122,68.4,68.66,67.01,67.88,490965,50,1
123,67.69,68.4,67.65,68.1,521603,50,1
124,67.89,68.97,67.76,68.65,573750,50,1
125,68.45,68.74,67.87,68.15,247034,50,1
126,68.39,68.4,67.58,67.71,249086,50,1
127,67.45,68.98,66.08,68.45,243978,50,1
128,68.26,68.33,67.23,67.41,224368,50,1
129,67.36,67.36,65.92,66.15,465854,50,1
130,66.08,66.51,65.8,65.85,253113,50,1
131,65.52,65.52,64.07,64.07,445742,50,1
132,63.83,64.02,62.08,62.15,355210,50,1
133,61.96,62.34,60.91,61.02,468760,50,1
134,61.16,62.71,61.16,62.46,411131,50,1
135,62.26,62.815,61.4,61.88,360747,50,1
136,61.86,62.26,61.29,62.04,323183,50,1
137,62.26,62.4,61.82,61.97,922150,50,1
138,62.14,62.51,61.77,62.25,308178,50,1
139,61.81,62.51,61.52,62.3,248892,50,1
140,62.41,62.41,61.79,61.92,254073,50,1
141,61.95,62.17,61.57,62.16,213313,50,1
142,62.3,62.59,61.49,61.67,407389,50,1
143,62.21,62.44,60.86,61.5,938940,50,1
144,61.69,62.12,61.34,61.77,812085,50,1
145,61.85,62.29,61.38,61.43,439102,50,1
146,61.99,62.4,61.69,61.92,626636,50,1
147,62.2,63.52,61.83,63.3,992929,50,1
148,63.47,63.88,62.7,63.28,876381,50,1
149,63.12,63.61,62.9,63.39,355316,50,1
150,63.46,63.92,62.77,62.99,462121,50,1
151,63.22,63.28,62.86,63.1,335816,50,1
152,64.16,64.665,63.43,63.53,403067,50,1
153,63.69,64.1,63.47,64.0,271569,50,1
154,63.84,66.97,63.16,66.95,472496,50,1
155,66.98,67.62,66.58,67.4,591409,50,1
156,67.56,67.63,65.8,65.89,563427,50,1
157,65.75,66.55,65.515,66.25,423348,50,1
158,66.17,66.36,65.37,65.44,293835,50,1
159,65.49,66.14,65.05,65.39,273983,50,1
160,64.72,65.19,64.251,64.89,285983,50,1
161,64.58,64.94,63.89,64.29,349050,50,1
162,63.92,64.5,63.16,63.85,461906,50,1
163,63.91,65.39,63.81,64.51,722591,50,1
164,64.28,64.72,63.62,64.56,499543,50,1
165,64.56,64.72,63.38,63.46,438909,50,1
166,63.44,63.99,63.0,63.36,251051,50,1
