id_date,open,high,low,close,volume,id_stock,id_index
1,26.76,26.91,26.7,26.82,3333740,51,1
2,26.7,26.79,26.58,26.61,2791559,51,1
3,26.61,27.12,26.55,27.09,5419631,51,1
4,27.15,27.3,27.09,27.3,6273361,51,1
5,27.21,28.11,27.12,27.87,10368995,51,1
6,28.02,28.08,27.6,27.96,9927535,51,1
7,27.93,27.96,27.15,27.18,8057467,51,1
8,27.21,27.24,26.25,26.28,9810713,51,1
9,26.25,26.445,25.8,25.98,8894203,51,1
10,26.16,26.19,25.83,25.92,6079333,51,1
11,26.1,26.16,25.23,25.26,8042930,51,1
12,25.425,25.5,25.05,25.23,7304351,51,1
13,25.26,25.71,25.2,25.62,5943026,51,1
14,25.59,25.8,25.41,25.56,7523100,51,1
15,25.35,25.5,25.14,25.32,7014777,51,1
16,25.17,25.26,24.9,25.05,6795289,51,1
17,25.29,25.35,25.05,25.05,5514577,51,1
18,25.32,25.89,25.17,25.71,5406976,51,1
19,25.8,25.98,25.68,25.92,3915109,51,1
20,26.04,26.1,25.8,25.83,5166080,51,1
21,25.83,26.04,25.74,26.01,3674870,51,1
22,26.01,26.1,25.7166,25.86,3816582,51,1
23,25.83,25.89,25.44,25.62,4363691,51,1
24,25.56,25.725,25.53,25.65,4341684,51,1
25,25.65,25.89,25.56,25.89,4289903,51,1
26,25.5,25.95,25.5,25.68,4174011,51,1
27,25.68,25.86,25.245,25.44,6923738,51,1
28,25.56,25.77,25.44,25.62,5827491,51,1
29,25.5,25.62,25.35,25.35,2967403,51,1
30,25.41,25.5,25.26,25.35,3517274,51,1
31,25.44,25.44,25.11,25.26,3140338,51,1
32,25.32,25.44,25.05,25.26,6210171,51,1
33,25.08,25.56,24.99,25.47,3732221,51,1
34,25.32,25.65,25.23,25.56,5335381,51,1
35,25.53,25.62,24.99,25.17,7080155,51,1
36,25.26,25.26,24.81,24.9,5831927,51,1
37,24.9,24.96,24.6,24.81,6270748,51,1
38,24.87,25.17,24.6,24.66,7611565,51,1
39,24.42,24.87,24.315,24.72,8078732,51,1
40,24.9,25.23,24.6,25.17,13685112,51,1
41,24.9,25.5,24.84,25.17,13855442,51,1
42,25.29,25.41,24.9,24.93,6941743,51,1
43,24.9,25.2,24.81,24.96,4393128,51,1
44,24.9,24.96,24.51,24.66,7150153,51,1
45,24.42,24.51,24.03,24.12,10819086,51,1
46,24.225,24.6,24.18,24.3,7608707,51,1
47,24.12,24.24,23.79,23.88,9080078,51,1
48,24.0,24.24,23.7,24.09,6359960,51,1
49,24.27,24.33,24.0,24.24,5220566,51,1
50,24.36,24.45,23.97,24.33,4919484,51,1
51,24.36,24.51,24.12,24.36,5418548,51,1
52,24.36,25.35,24.36,25.23,7343671,51,1
53,25.26,25.5,25.0305,25.17,6131972,51,1
54,25.05,25.08,24.78,24.81,5046871,51,1
55,24.87,25.32,24.81,25.26,4024943,51,1
56,25.14,25.56,24.93,25.5,4966733,51,1
57,25.35,25.56,24.96,25.29,6727563,51,1
