id_date,open,high,low,close,volume,id_stock,id_index
1,35.28,35.53,35.05,35.32,3296565,54,1
2,35.38,35.69,35.0,35.4,2999864,54,1
3,35.2,35.35,34.78,35.14,3122384,54,1
4,35.36,35.49,34.89,35.17,2658949,54,1
5,35.09,35.67,34.99,35.64,3237126,54,1
6,35.58,35.78,34.98,35.14,2531614,54,1
7,35.0,35.55,34.8,35.545,2439532,54,1
8,35.48,35.73,34.67,34.67,3326153,54,1
9,34.47,34.675,32.96,33.67,6185262,54,1
10,33.97,34.47,33.71,34.09,1896307,54,1
11,34.13,34.225,32.94,32.95,3063134,54,1
12,33.13,33.4,32.66,33.13,3455298,54,1
13,33.8,34.37,33.63,33.69,3597093,54,1
14,33.69,34.31,33.33,34.22,3478535,54,1
15,33.92,34.09,33.261,33.7,3149992,54,1
16,33.56,33.7,33.01,33.54,1700436,54,1
17,33.7,34.36,33.68,34.33,3050936,54,1
18,34.31,34.77,34.21,34.71,2460909,54,1
19,34.69,35.13,34.4,34.97,3073743,54,1
20,35.05,35.41,34.98,35.27,1968766,54,1
21,35.08,35.66,34.97,35.26,2817204,54,1
22,35.22,35.535,35.0,35.45,2247628,54,1
23,35.5,36.105,35.26,35.99,2749443,54,1
24,36.05,36.98,36.03,36.66,4344860,54,1
25,36.7,36.78,35.81,36.0,3444622,54,1
26,35.58,35.9008,35.05,35.26,2868879,54,1
27,35.39,35.82,35.04,35.3,3339990,54,1
28,35.68,36.08,35.35,35.93,2963569,54,1
29,35.41,35.755,35.13,35.56,2781503,54,1
30,35.77,36.04,35.38,35.8,1717608,54,1
31,35.87,35.89,35.25,35.52,1288782,54,1
32,35.67,35.98,35.56,35.79,955539,54,1
33,35.47,35.73,35.25,35.64,1486027,54,1
34,35.8,35.93,35.48,35.9,1473985,54,1
35,35.82,36.0,35.19,35.34,1850042,54,1
36,35.57,35.61,34.77,34.88,2301908,54,1
37,34.88,35.075,34.1,34.31,1829679,54,1
38,34.24,34.68,33.96,34.6,1534769,54,1
39,34.01,34.42,33.33,34.33,1444850,54,1
40,34.25,34.67,33.97,34.66,1235607,54,1
41,34.71,35.13,34.22,34.78,1600750,54,1
42,34.81,35.5,34.79,35.38,1481693,54,1
43,35.24,35.92,35.01,35.63,1828184,54,1
44,35.5,35.53,34.565,34.91,1612406,54,1
45,34.68,34.73,33.725,33.78,2463398,54,1
46,34.08,34.6,33.856,34.58,2249023,54,1
47,33.75,33.77,32.28,32.405,6400977,54,1
48,33.1,33.28,31.245,31.37,4105566,54,1
49,31.25,31.88,30.83,31.26,3717980,54,1
50,31.36,31.84,30.57,31.58,3639500,54,1
51,31.86,32.42,31.72,32.37,2554104,54,1
52,32.37,32.84,32.045,32.62,3206167,54,1
53,32.81,33.19,32.53,32.63,2512560,54,1
54,32.59,32.59,31.96,32.11,3094499,54,1
55,32.35,32.79,32.2,32.53,2042968,54,1
56,32.47,32.47,31.55,31.96,5251088,54,1
57,32.06,32.0732,31.25,31.32,3706776,54,1
58,31.55,32.23,31.31,32.09,3253577,54,1
59,32.16,32.39,31.851,31.88,4690029,54,1
60,32.05,32.9,31.96,32.8,3284721,54,1
61,32.92,32.95,32.47,32.54,1609250,54,1
62,32.63,33.52,32.575,33.5,2543620,54,1
63,33.48,34.08,33.4008,33.87,2976811,54,1
64,33.96,34.14,33.825,34.06,1564370,54,1
65,33.83,34.13,33.59,33.62,1495190,54,1
66,33.58,33.82,33.33,33.7,1593800,54,1
67,33.66,34.19,33.54,34.18,1694682,54,1
68,34.17,34.52,33.9,34.205,2474809,54,1
69,34.49,34.78,34.36,34.43,2744300,54,1
70,34.24,34.5523,34.24,34.44,1388037,54,1
71,34.61,35.125,34.44,35.09,2073711,54,1
72,34.98,35.24,34.23,34.56,3387282,54,1
73,34.24,34.35,33.84,33.97,2851216,54,1
74,33.86,34.1,33.675,34.1,1511767,54,1
75,34.53,34.61,34.01,34.44,2091831,54,1
76,34.37,34.7,34.15,34.43,2268226,54,1
77,36.2,38.23,36.1,37.82,8260699,54,1
78,37.33,38.266,37.11,37.73,3343187,54,1
79,37.68,37.73,36.59,37.3,2720978,54,1
80,37.4,38.19,37.39,37.8,3311910,54,1
81,37.74,37.77,36.82,37.0,1501877,54,1
82,37.19,37.22,36.4421,36.75,2973052,54,1
83,36.76,37.325,36.15,37.29,3073226,54,1
84,37.5,37.5099,36.79,36.83,2635930,54,1
85,36.43,36.76,36.26,36.29,2169845,54,1
86,36.66,36.68,35.72,35.98,2130615,54,1
87,35.74,37.16,35.62,37.11,2910563,54,1
88,37.14,37.8,37.05,37.59,2176149,54,1
89,37.8,38.34,37.73,38.09,2472651,54,1
90,38.04,38.8,37.9825,38.75,2738253,54,1
91,38.69,38.87,38.07,38.07,2403434,54,1
92,37.71,37.94,36.92,37.06,3163726,54,1
93,37.04,37.48,36.615,37.38,8004002,54,1
94,36.98,36.99,36.1,36.69,3685747,54,1
95,37.13,37.59,36.81,37.1,2601868,54,1
96,37.39,37.72,36.99,37.25,2066045,54,1
97,37.48,37.84,37.29,37.32,2635886,54,1
98,37.0,37.62,36.76,37.38,2299702,54,1
99,37.85,37.87,37.34,37.61,2714655,54,1
100,37.95,38.98,37.82,38.48,4037680,54,1
101,38.39,38.87,38.13,38.59,1521724,54,1
102,38.62,39.18,38.16,38.81,1444695,54,1
103,38.93,39.03,37.19,37.27,2264288,54,1
104,37.72,37.9699,37.38,37.58,1385454,54,1
105,37.58,38.345,37.44,38.33,1736256,54,1
106,37.53,38.6,37.48,38.59,1676899,54,1
107,38.69,38.98,38.68,38.95,1834116,54,1
108,38.98,39.08,37.96,38.01,2155097,54,1
109,38.16,39.14,38.16,38.87,3125367,54,1
110,39.01,39.74,38.86,38.92,2399117,54,1
111,38.75,38.88,37.45,37.6,3704826,54,1
112,37.75,38.15,37.505,37.85,1775699,54,1
113,38.23,38.23,37.54,37.79,986863,54,1
114,38.08,38.16,37.51,37.61,1650020,54,1
115,37.27,37.99,36.86,36.89,2050595,54,1
116,36.5,36.98,36.3,36.9,2551188,54,1
117,36.53,36.85,36.35,36.78,1225595,54,1
118,36.62,36.9,36.38,36.59,1309433,54,1
119,36.75,37.0,36.34,36.85,1165148,54,1
120,37.01,37.06,36.56,36.68,1319667,54,1
121,37.03,37.52,36.83,37.4,1949883,54,1
122,37.29,37.49,36.93,37.49,1518306,54,1
123,37.22,37.4,36.96,37.02,1177324,54,1
124,36.93,36.95,36.7,36.86,1073007,54,1
125,36.97,37.31,36.68,37.29,1803533,54,1
126,37.6,37.6,37.28,37.32,1939590,54,1
127,37.18,37.24,36.74,36.83,1385765,54,1
128,36.84,37.8,36.745,37.7,987998,54,1
129,37.84,38.12,37.32,38.02,1375379,54,1
130,37.9,37.94,37.15,37.22,1527135,54,1
131,36.14,36.94,35.75,36.02,2511136,54,1
132,35.97,36.355,35.89,36.25,1354331,54,1
133,36.32,36.41,36.08,36.25,2324650,54,1
134,36.34,37.1,36.28,36.79,1741569,54,1
135,36.64,36.99,36.3799,36.59,1442544,54,1
136,36.22,37.13,36.08,36.61,993976,54,1
137,36.79,37.045,36.485,36.74,1832200,54,1
138,36.95,37.715,36.85,37.48,1389981,54,1
139,37.84,37.84,36.355,36.555,2945057,54,1
140,38.93,39.45,37.9,38.28,6780591,54,1
141,38.4,39.0,38.13,38.95,3595486,54,1
142,38.96,38.99,38.29,38.51,2507278,54,1
143,38.82,39.135,38.04,38.35,1735133,54,1
144,38.58,39.13,38.16,38.98,1258780,54,1
145,39.15,39.2,38.715,38.79,1437160,54,1
146,39.18,39.18,38.23,38.56,1715547,54,1
147,38.87,39.0,38.63,38.77,1636411,54,1
148,39.0,39.67,38.95,39.66,2434406,54,1
149,39.23,39.465,38.68,39.25,2392722,54,1
150,39.33,39.455,38.61,39.03,2000557,54,1
151,39.16,39.28,38.7,38.99,1447964,54,1
152,39.37,39.68,39.04,39.28,2158817,54,1
153,39.75,40.36,39.5,40.12,3724705,54,1
154,40.22,40.68,39.84,40.67,2364759,54,1
155,40.75,40.8,40.15,40.75,2501680,54,1
156,41.155,42.58,40.83,41.62,8719198,54,1
157,42.58,42.69,41.4875,41.87,2971146,54,1
158,41.85,42.585,41.64,42.41,2978000,54,1
159,42.52,42.6,41.42,42.21,2058429,54,1
160,42.47,42.66,42.04,42.27,1687371,54,1
161,42.11,42.77,41.845,42.7,2199835,54,1
162,42.1,43.29,41.97,43.08,3522878,54,1
163,43.14,43.635,42.975,43.42,2741057,54,1
164,43.07,43.45,42.94,43.41,1736639,54,1
165,43.39,43.59,42.826,43.3,2281651,54,1
166,43.42,43.725,43.29,43.5,1724554,54,1
167,43.5,43.5,42.88,43.0,1458667,54,1
168,43.11,43.47,42.36,42.6,2172133,54,1
169,42.97,43.06,41.83,42.2,2759419,54,1
170,43.31,43.67,42.575,43.51,3246424,54,1
171,43.25,43.5,42.775,43.29,1897907,54,1
172,43.13,44.31,43.01,44.23,2018267,54,1
173,44.27,44.44,43.58,43.74,1876104,54,1
174,44.08,44.6,43.87,44.5,1701991,54,1
175,44.09,45.13,44.0,45.1,2328631,54,1
176,46.28,46.28,45.05,46.06,2741679,54,1
177,46.15,47.21,46.05,47.05,4336446,54,1
178,47.06,47.06,46.4602,46.87,4781368,54,1
179,46.51,46.5725,44.71,45.39,5667274,54,1
180,45.28,45.7,44.96,45.49,3002062,54,1
181,45.18,45.9,45.175,45.63,2191191,54,1
182,45.35,45.75,45.22,45.51,1904760,54,1
183,45.87,46.28,45.58,45.8,2216188,54,1
184,46.06,46.06,44.4,44.85,2074009,54,1
185,45.0,45.61,44.9975,45.43,1739448,54,1
186,45.79,45.885,44.57,44.72,2207402,54,1
187,45.09,45.3,44.6,45.04,1391063,54,1
188,45.04,45.2,44.59,45.03,1248427,54,1
189,45.18,45.489,44.97,45.37,1048543,54,1
190,45.36,45.5,43.58,43.66,3230946,54,1
191,43.73,44.39,43.1,44.35,3606937,54,1
192,44.44,44.575,43.89,44.21,914004,54,1
193,44.56,45.18,44.31,45.13,1343817,54,1
194,44.35,45.38,44.35,45.38,986313,54,1
195,44.9,45.09,42.58,42.95,5965988,54,1
196,42.98,44.81,42.89,44.61,4836877,54,1
197,44.61,44.72,43.855,43.96,1346290,54,1
198,43.84,44.25,42.925,42.95,1229621,54,1
199,43.25,43.26,42.45,42.7,1108511,54,1
200,42.93,43.22,42.72,43.05,1543378,54,1
