id_date,open,high,low,close,volume,id_stock,id_index
1,38.99,39.23,38.8,39.18,586961,56,1
2,39.16,39.35,38.95,39.04,625700,56,1
3,39.01,39.3,38.89,39.22,476262,56,1
4,39.46,39.5,39.2,39.41,461942,56,1
5,39.3,39.431,39.09,39.15,353335,56,1
6,39.1,39.19,38.86,39.17,593013,56,1
7,39.24,39.75,39.15,39.75,825649,56,1
8,39.56,39.83,39.465,39.53,655121,56,1
9,39.47,39.83,39.28,39.45,496787,56,1
10,39.51,39.83,39.3775,39.82,483168,56,1
11,39.91,39.98,39.215,39.24,880655,56,1
12,39.36,39.74,39.2,39.43,706563,56,1
13,39.58,39.633,38.7,39.37,793301,56,1
14,39.35,39.61,39.2499,39.45,1055335,56,1
15,39.51,39.895,39.17,39.57,989238,56,1
16,39.65,40.27,39.48,40.27,1023170,56,1
17,40.46,40.69,40.17,40.24,1177922,56,1
18,40.05,40.2348,39.78,40.06,615333,56,1
19,39.57,40.005,39.38,39.56,1227122,56,1
20,39.5,40.16,39.47,40.11,689497,56,1
21,40.2,40.46,39.95,40.36,855733,56,1
22,40.45,40.47,39.99,40.13,1247567,56,1
23,40.13,40.35,40.02,40.14,895789,56,1
24,40.06,40.23,39.73,40.0,862389,56,1
25,40.07,40.26,39.82,40.26,2397630,56,1
26,39.82,40.25,39.8,40.22,678082,56,1
27,40.25,40.45,40.15,40.41,499587,56,1
28,40.5,40.89,40.44,40.69,625898,56,1
29,40.5,40.8,40.11,40.61,571398,56,1
30,40.61,41.0,40.43,40.77,529589,56,1
31,40.92,41.24,40.55,40.87,803639,56,1
32,40.97,41.1,40.86,40.95,914746,56,1
33,40.9,41.14,40.67,41.03,757484,56,1
34,41.12,41.45,41.045,41.44,927402,56,1
35,41.42,41.5799,40.8469,41.27,588448,56,1
36,41.29,41.489,41.125,41.37,487943,56,1
37,41.52,41.52,40.72,41.11,794113,56,1
38,41.23,41.46,41.1,41.4,594617,56,1
39,41.12,41.5,40.76,41.47,729159,56,1
40,41.41,41.85,41.04,41.84,679588,56,1
41,41.95,41.95,41.56,41.64,635889,56,1
42,41.84,42.24,41.66,42.18,700635,56,1
43,42.39,42.4156,42.05,42.3,675964,56,1
44,42.1,42.5294,42.05,42.35,488577,56,1
45,42.27,42.41,41.04,41.23,1020461,56,1
46,41.39,42.34,41.348,42.28,853044,56,1
47,42.06,42.2,41.37,41.92,922911,56,1
48,42.01,42.18,41.6,41.83,919872,56,1
49,41.92,42.35,41.78,42.01,656351,56,1
50,41.97,41.99,41.36,41.6,651945,56,1
51,41.53,41.67,40.96,41.16,1117785,56,1
52,41.58,41.66,40.97,41.15,1244446,56,1
53,41.16,41.53,41.1,41.39,694065,56,1
54,41.17,41.54,41.0599,41.16,677390,56,1
55,41.26,41.515,41.09,41.35,518529,56,1
56,41.37,41.88,41.2,41.88,940229,56,1
57,41.74,42.25,41.62,41.76,822255,56,1
58,41.87,42.23,41.8,42.13,709224,56,1
59,42.3,42.43,41.88,41.88,614456,56,1
60,41.75,41.88,41.5662,41.67,778132,56,1
61,41.55,42.1,41.38,41.98,965760,56,1
62,40.98,41.7694,40.8,41.73,959334,56,1
63,42.2,43.09,41.85,41.88,1511992,56,1
64,42.5,42.56,41.87,42.03,775966,56,1
65,41.77,42.06,41.6,41.98,860757,56,1
66,41.95,42.69,41.95,42.44,973578,56,1
67,42.39,42.76,42.39,42.74,1234712,56,1
68,42.8,42.91,42.46,42.5,642842,56,1
69,42.67,42.831,42.43,42.67,506988,56,1
70,42.51,42.72,42.38,42.72,851648,56,1
71,42.68,42.98,42.58,42.69,1268604,56,1
72,42.55,42.6,42.0,42.03,1453787,56,1
73,41.73,42.024,41.25,41.8,1124521,56,1
74,41.74,41.78,41.27,41.33,803003,56,1
75,41.57,42.1,41.42,41.6,799449,56,1
76,41.51,41.59,40.73,40.93,1431478,56,1
77,40.93,41.53,40.91,40.91,777016,56,1
78,40.86,41.05,39.91,39.94,1475249,56,1
79,40.06,40.77,39.87,40.31,891705,56,1
80,40.28,40.49,39.52,39.81,1033577,56,1
81,39.64,39.86,39.17,39.61,1026039,56,1
82,39.66,40.06,39.45,40.02,755083,56,1
83,40.08,40.3,39.46,39.87,854335,56,1
84,39.9,39.9485,39.5,39.82,595148,56,1
85,39.55,39.96,39.51,39.86,813691,56,1
86,40.3,40.72,40.29,40.49,1825687,56,1
87,40.4,40.99,40.26,40.88,1075688,56,1
88,40.74,41.01,40.64,41.01,752638,56,1
89,41.19,41.56,40.95,41.05,1339324,56,1
90,41.12,41.37,41.0,41.16,940332,56,1
91,41.22,41.32,40.6001,40.64,856203,56,1
92,40.18,40.43,39.42,39.57,788296,56,1
93,39.67,39.85,38.95,39.45,1268966,56,1
94,39.0,39.64,38.91,39.4,777649,56,1
95,39.68,40.33,39.63,40.13,847265,56,1
96,40.33,40.61,40.24,40.26,486967,56,1
97,40.48,40.75,40.425,40.46,646442,56,1
98,40.52,41.7,40.38,41.23,1530875,56,1
99,41.29,41.49,39.79,39.98,1273407,56,1
100,39.86,40.1,39.54,39.9,1530850,56,1
101,39.89,40.47,39.64,40.46,934379,56,1
102,40.51,40.87,39.9997,40.29,468801,56,1
103,40.47,41.24,40.31,41.01,696012,56,1
104,41.33,41.52,40.83,41.46,619172,56,1
105,41.46,41.78,41.33,41.75,638856,56,1
106,42.11,42.3,41.46,41.87,776836,56,1
107,41.78,42.06,41.35,41.96,686717,56,1
108,42.03,42.82,41.905,42.79,701807,56,1
109,42.74,42.9,42.25,42.32,813613,56,1
110,42.55,42.64,42.07,42.11,503118,56,1
