id_date,open,high,low,close,volume,id_stock,id_index
1,62.06,62.33,61.48,61.8,6734994,57,1
2,61.7,62.05,61.36,61.98,3436008,57,1
3,62.09,62.559,61.95,62.2,4255159,57,1
4,62.45,62.76,61.89,62.1,3408905,57,1
5,62.08,62.65,61.83,62.34,4433246,57,1
6,62.57,62.68,61.43,61.69,5355342,57,1
7,61.67,62.4,61.67,62.28,3599689,57,1
8,62.06,62.47,61.87,61.91,5532971,57,1
9,61.87,62.0,61.14,61.54,5287941,57,1
10,61.86,62.58,61.79,62.57,5197361,57,1
11,62.77,63.0,61.99,62.02,8625097,57,1
12,62.06,62.18,61.55,61.92,5938052,57,1
13,61.73,62.6,61.63,62.5,4757140,57,1
14,62.43,62.65,61.88,62.15,5366623,57,1
15,61.84,62.49,61.51,62.37,5266056,57,1
16,62.22,63.0,62.04,62.89,4688246,57,1
17,63.26,64.42,63.06,64.12,7317773,57,1
18,64.41,64.94,64.35,64.65,5780885,57,1
19,64.73,64.88,64.14,64.56,4446477,57,1
20,64.66,64.76,63.67,64.7,5810008,57,1
21,64.73,65.62,64.71,65.5,5307652,57,1
22,65.63,65.79,65.06,65.29,5304372,57,1
23,65.24,65.6,65.12,65.3,4203812,57,1
24,65.42,65.75,65.29,65.38,3758946,57,1
25,65.64,66.43,65.34,66.09,10269034,57,1
26,65.06,66.13,64.76,65.78,4880320,57,1
27,65.99,66.14,64.8,65.13,4587010,57,1
28,65.45,66.1347,65.45,66.0,4137770,57,1
29,65.83,65.99,65.255,65.41,3600096,57,1
30,65.59,66.35,65.54,66.22,3843629,57,1
31,66.59,66.77,65.82,66.1,6599282,57,1
32,66.4,67.24,66.37,67.17,4295546,57,1
33,66.6,67.26,66.6,67.15,2905064,57,1
34,67.31,67.48,67.0,67.46,4355396,57,1
35,67.42,67.75,67.01,67.26,3012629,57,1
36,67.38,67.76,67.1,67.64,3921782,57,1
37,67.66,67.69,66.04,66.25,5102025,57,1
38,66.42,66.96,66.3,66.73,3633700,57,1
39,65.77,65.8,64.77,65.3,6898242,57,1
40,65.56,65.7784,65.13,65.6,4662225,57,1
41,65.64,65.68,65.15,65.22,4882274,57,1
42,65.45,65.58,65.36,65.4,7884860,57,1
43,65.47,65.925,65.2,65.74,6357698,57,1
44,65.46,65.85,65.18,65.68,3967929,57,1
45,65.53,65.6,64.09,64.1,7008039,57,1
46,64.5,65.05,64.27,64.59,6198774,57,1
47,64.12,64.31,63.43,64.13,6924097,57,1
48,64.04,65.889,63.64,65.04,10457780,57,1
49,65.33,67.25,65.33,67.24,8461663,57,1
50,67.12,67.25,66.25,66.66,5791530,57,1
51,66.81,67.54,66.64,67.45,4780016,57,1
52,67.41,67.62,67.04,67.42,4077699,57,1
53,67.75,69.05,67.64,68.13,5834140,57,1
54,68.12,68.405,67.57,67.75,4355754,57,1
55,68.01,68.2,67.61,67.63,2931856,57,1
56,67.88,68.48,67.6,68.41,4686785,57,1
57,68.25,68.853,68.16,68.28,3767224,57,1
58,68.43,69.47,68.37,69.38,3575826,57,1
59,69.92,71.09,69.9,70.23,6987378,57,1
60,70.22,70.58,69.95,70.06,4685226,57,1
61,70.07,70.46,69.96,70.24,4374921,57,1
62,69.92,70.42,69.568,70.31,3587475,57,1
63,70.25,70.51,69.71,70.21,3754829,57,1
64,70.16,70.25,69.655,70.08,3543084,57,1
65,70.09,70.21,69.34,69.79,5139397,57,1
66,69.95,71.61,69.8501,71.51,6117658,57,1
67,71.33,73.04,71.33,72.78,5216257,57,1
68,72.61,72.95,72.13,72.23,3861519,57,1
69,72.28,73.38,72.26,73.32,4866760,57,1
70,73.31,74.54,73.22,74.4,5345487,57,1
71,74.47,75.46,74.4,75.11,5130771,57,1
72,75.43,77.01,74.28,74.44,12448430,57,1
73,73.88,74.99,73.61,74.69,7985023,57,1
74,74.09,75.35,73.98,75.27,5563903,57,1
75,75.91,77.12,75.89,76.16,7341426,57,1
76,75.8,76.655,75.39,75.83,5679153,57,1
77,76.02,76.9,75.92,76.14,5417344,57,1
78,76.13,77.385,75.71,75.71,7188362,57,1
79,75.89,76.67,75.631,76.47,6777986,57,1
80,76.5,77.24,75.96,76.06,5667771,57,1
81,75.98,76.28,74.64,74.76,6267278,57,1
82,74.75,76.25,74.64,76.24,5455837,57,1
83,76.68,78.12,76.45,78.04,6827944,57,1
84,77.98,78.615,77.69,78.28,4035013,57,1
85,77.61,77.85,76.5,76.52,5443079,57,1
86,76.94,77.0,74.68,74.72,7057159,57,1
87,74.46,75.26,73.79,75.21,6739212,57,1
88,74.79,74.98,72.72,72.97,8450924,57,1
89,73.69,74.215,73.39,73.84,6020826,57,1
90,74.08,75.47,74.03,74.98,5714675,57,1
91,74.92,75.1,74.19,74.23,5989260,57,1
92,73.76,73.995,72.81,72.92,5658329,57,1
93,73.38,73.79,72.37,73.31,7547392,57,1
94,72.57,72.84,71.68,72.01,6293049,57,1
95,72.63,73.65,72.56,73.23,4754300,57,1
96,73.64,74.25,73.33,73.9,4894727,57,1
97,74.38,75.43,74.38,75.12,4216892,57,1
98,75.01,75.33,74.33,74.76,7965245,57,1
99,75.53,76.455,75.43,75.64,5008504,57,1
100,75.43,76.29,74.3,74.62,5043301,57,1
101,74.02,74.78,73.91,74.58,3012072,57,1
102,75.31,76.37,75.12,76.31,4505358,57,1
103,76.91,77.8115,76.85,77.04,5106797,57,1
104,77.74,77.95,77.08,77.61,3915474,57,1
105,77.39,77.5699,75.94,76.33,4872825,57,1
106,77.54,77.62,76.56,76.94,5715000,57,1
107,77.33,78.45,77.29,78.33,4879600,57,1
108,78.61,78.63,77.5,77.85,4243260,57,1
109,78.09,78.34,77.75,78.27,4633669,57,1
110,75.35,77.45,74.62,76.8,16304315,57,1
111,75.44,75.75,73.86,74.01,10352792,57,1
112,73.62,74.738,73.47,74.06,8073139,57,1
113,74.43,75.2,74.21,74.72,5456610,57,1
114,75.03,75.18,74.355,74.41,4113774,57,1
115,74.85,76.07,74.75,75.36,6138992,57,1
116,75.06,75.81,75.03,75.77,4080239,57,1
117,75.5,75.55,74.41,75.34,3537588,57,1
118,75.16,75.36,74.33,75.06,3249375,57,1
119,75.48,75.54,74.83,75.19,3762171,57,1
120,75.15,75.86,73.47,73.77,10320661,57,1
121,74.53,76.1,74.51,75.63,5981231,57,1
122,75.62,75.7301,75.0,75.69,2485403,57,1
123,75.47,76.04,75.21,75.93,2237069,57,1
124,75.87,76.1,75.47,75.81,2565951,57,1
125,75.46,75.707,74.85,75.14,3083919,57,1
126,75.79,77.27,75.48,76.19,3293582,57,1
127,76.18,76.36,75.01,75.5,3963605,57,1
128,75.11,75.61,74.89,75.49,2292606,57,1
129,75.49,76.44,74.89,76.23,2964929,57,1
130,76.04,76.43,75.75,75.88,2945521,57,1
131,75.27,75.43,74.62,74.88,3834357,57,1
132,74.86,75.35,74.65,75.17,4248237,57,1
133,75.12,75.21,74.3,74.34,3478903,57,1
134,74.41,74.67,73.8,74.27,2900821,57,1
135,74.01,74.33,73.25,73.44,2983131,57,1
136,73.66,74.0,73.4,73.86,2354898,57,1
137,73.87,74.0,73.13,73.65,2521379,57,1
138,73.76,74.47,73.43,73.61,2372305,57,1
139,72.8,72.93,71.765,71.91,3712581,57,1
140,71.7,72.34,71.54,72.01,2963188,57,1
141,71.81,72.62,71.58,72.22,2957050,57,1
142,72.15,72.24,71.47,71.91,3779472,57,1
143,72.59,73.41,72.14,72.43,3994061,57,1
144,72.52,73.495,72.23,73.14,2913296,57,1
145,73.16,74.23,72.89,73.8,3605800,57,1
146,73.92,74.02,72.4,73.35,3369196,57,1
147,73.59,73.81,73.15,73.66,3189517,57,1
148,74.22,74.66,74.0,74.6,3269145,57,1
149,74.7,75.22,74.4,75.18,3297931,57,1
150,75.29,75.61,74.97,75.29,2502216,57,1
151,75.58,75.75,75.07,75.3,2664414,57,1
152,76.34,76.43,75.44,75.6,4541649,57,1
153,75.6,77.0,75.6,76.92,4013790,57,1
154,76.99,77.81,76.54,77.64,4135979,57,1
155,77.81,77.9,77.15,77.57,3998910,57,1
156,77.62,77.89,77.15,77.32,10114953,57,1
157,77.29,77.66,76.13,76.44,4079381,57,1
158,76.39,76.94,75.96,76.07,2955212,57,1
159,76.13,76.56,75.62,75.99,3090317,57,1
160,76.0,77.0,75.78,76.32,2926950,57,1
161,76.06,76.09,75.43,75.89,2522523,57,1
162,74.97,75.85,74.64,75.52,3330490,57,1
163,75.64,76.01,75.45,75.93,2969556,57,1
164,75.13,75.29,74.17,74.58,4363410,57,1
165,74.11,74.29,73.3,74.02,4364503,57,1
166,73.88,74.3251,73.61,74.31,2883534,57,1
167,73.5,73.53,72.9,72.94,3320317,57,1
168,73.03,73.1,72.13,72.22,3958903,57,1
169,72.38,72.71,72.08,72.22,4701450,57,1
170,73.19,74.67,73.01,74.66,3769850,57,1
171,74.67,75.445,74.41,75.4,3913859,57,1
172,75.33,76.11,75.1,76.07,3015244,57,1
173,75.63,76.359,75.23,75.25,4114134,57,1
174,75.64,76.75,75.45,76.32,6438354,57,1
175,77.94,80.4,77.8,80.23,10366788,57,1
176,80.11,80.68,79.31,80.52,7598175,57,1
177,80.47,80.99,80.31,80.4,3665497,57,1
178,80.77,81.17,80.43,80.87,3300010,57,1
179,80.56,80.82,80.01,80.63,2895056,57,1
180,80.77,81.0,80.45,80.9,3181810,57,1
181,80.76,82.67,80.76,82.61,6291115,57,1
182,82.72,83.14,82.03,82.76,4502945,57,1
183,83.12,83.74,82.93,83.66,3485204,57,1
184,83.7,83.83,82.8,83.1,3747903,57,1
185,82.79,82.99,81.69,81.8,5637802,57,1
186,82.12,82.64,81.79,82.16,3358873,57,1
187,82.41,82.64,81.75,81.93,2643625,57,1
188,81.63,82.13,81.09,81.9,2597832,57,1
189,82.55,82.6,81.8245,82.12,2636880,57,1
190,82.33,82.6,80.88,80.92,3485763,57,1
191,81.31,81.95,81.08,81.78,4369510,57,1
192,81.59,81.68,81.19,81.4,2224187,57,1
193,81.23,81.35,80.58,81.03,2237273,57,1
194,80.57,81.47,80.22,81.44,2828191,57,1
195,81.61,81.91,81.35,81.89,2284072,57,1
196,83.03,83.255,82.37,82.8,4439659,57,1
197,82.85,82.98,82.16,82.34,3104783,57,1
198,82.38,82.88,82.266,82.46,2775011,57,1
199,82.96,83.42,81.96,82.25,3511744,57,1
200,82.63,84.0,82.57,83.95,4355359,57,1
201,83.92,83.93,83.37,83.85,2690261,57,1
202,84.32,84.7601,84.08,84.59,3657829,57,1
203,84.75,85.59,84.7,85.09,4897289,57,1
204,85.26,85.655,84.98,85.59,2520022,57,1
205,85.88,86.19,85.51,85.8,2144567,57,1
206,86.02,86.53,85.16,85.29,3623462,57,1
207,84.89,85.33,84.2,84.61,3546119,57,1
208,84.21,85.24,83.76,84.5,3588807,57,1
209,84.27,84.99,84.15,84.54,3677829,57,1
210,85.59,86.09,85.35,85.93,2666576,57,1
211,86.17,86.4,85.35,85.75,2436507,57,1
212,85.38,85.74,85.08,85.29,2362757,57,1
213,85.28,85.67,83.809,83.9,3782340,57,1
214,83.78,84.28,83.21,83.3,3574325,57,1
215,83.32,83.92,83.23,83.68,3596186,57,1
216,83.96,84.97,83.96,84.52,3599041,57,1
217,84.71,84.715,83.99,84.11,2896919,57,1
218,84.3001,86.12,83.551,85.99,5332346,57,1
219,85.94,86.53,85.91,86.41,3956320,57,1
220,86.71,87.78,86.44,87.57,6294709,57,1
221,88.0,88.58,87.94,88.31,3242658,57,1
222,88.34,88.74,88.1901,88.69,1042661,57,1
223,88.9,89.23,88.7599,89.0,1745279,57,1
224,88.82,89.51,88.82,89.19,1797438,57,1
225,89.19,89.6201,89.14,89.59,1769019,57,1
226,89.87,90.79,89.52,90.73,3084500,57,1
227,90.9,91.08,89.38,89.45,5120019,57,1
228,89.15,90.08,88.63,89.74,3888564,57,1
229,89.7,90.25,89.38,89.7,2844831,57,1
230,90.17,90.7,89.01,89.36,4039511,57,1
231,88.66,89.64,88.66,89.41,3880302,57,1
232,89.89,89.93,88.07,88.88,3469242,57,1
233,89.26,89.56,88.095,88.55,2901681,57,1
234,88.52,89.0,86.88,86.99,5641388,57,1
235,87.08,87.45,86.07,87.12,4778234,57,1
236,87.46,88.53,87.08,88.25,4495476,57,1
237,88.0,88.24,87.2601,87.78,3336545,57,1
238,91.83,93.62,90.55,90.97,15012583,57,1
239,91.97,92.71,89.64,90.59,7954764,57,1
240,90.64,91.42,90.62,91.13,3849166,57,1
241,90.49,90.49,88.68,89.17,5261291,57,1
242,88.56,89.369,86.66,86.95,6360684,57,1
243,87.15,87.77,85.71,85.72,5653519,57,1
244,85.85,87.18,85.6,86.64,4108711,57,1
245,86.29,86.9,85.4332,85.55,3358104,57,1
246,86.45,86.98,86.07,86.62,4259912,57,1
247,85.28,85.91,84.91,85.02,4778814,57,1
248,84.99,85.42,82.77,82.86,5770127,57,1
249,83.19,84.71,82.631,84.0,5380458,57,1
250,83.51,84.12,82.95,83.72,3260150,57,1
251,84.5,85.76,84.32,85.69,5432386,57,1
252,85.96,87.17,85.78,87.0,4526594,57,1
253,87.83,88.96,87.5,88.34,5388045,57,1
254,88.36,88.84,88.17,88.58,3610805,57,1
255,88.69,89.05,88.4,89.02,2488737,57,1
256,88.37,88.98,88.01,88.9,2759782,57,1
257,88.86,89.27,88.26,89.0,2705492,57,1
258,88.8,89.14,88.29,89.02,3591615,57,1
259,88.89,90.32,88.75,88.84,4332272,57,1
260,88.8,89.23,88.12,89.01,4412162,57,1
261,89.06,89.41,88.56,88.75,3808678,57,1
262,88.79,90.43,88.79,89.92,3267762,57,1
263,90.0,90.37,89.15,89.91,2914759,57,1
264,90.16,90.69,89.21,89.73,4840187,57,1
265,89.65,90.43,89.51,90.29,3075588,57,1
266,90.25,92.135,90.09,91.28,4691121,57,1
267,90.6,90.63,89.16,89.97,3465250,57,1
268,91.05,92.68,91.03,92.61,3755559,57,1
269,92.59,92.59,91.91,92.14,3086478,57,1
270,92.56,93.64,92.36,93.52,3962682,57,1
271,94.11,94.35,93.36,93.86,3864611,57,1
272,93.62,93.88,93.14,93.7,2218705,57,1
273,93.83,93.88,93.03,93.2,1946279,57,1
274,92.68,92.92,91.9,92.9,2486089,57,1
275,93.2,93.48,90.41,90.69,3990350,57,1
276,90.55,91.22,89.6398,90.17,3583900,57,1
277,90.51,91.73,90.49,91.26,3039966,57,1
278,91.27,91.97,91.13,91.59,2348331,57,1
279,91.67,91.96,90.28,90.73,3425706,57,1
280,90.48,91.9,90.23,91.69,3779744,57,1
281,92.78,93.72,91.36,91.52,6684544,57,1
282,91.64,91.75,90.285,91.01,2525775,57,1
283,91.37,91.9,90.63,90.84,2420122,57,1
284,91.36,91.6899,89.63,89.66,3011622,57,1
285,89.7,90.43,89.27,89.99,3602751,57,1
286,90.27,91.56,90.0,90.46,3138927,57,1
287,91.08,91.94,89.88,90.03,5172409,57,1
288,90.4,91.23,90.21,91.17,2821615,57,1
289,90.85,91.09,90.13,90.4,2886616,57,1
290,90.67,91.1999,90.4,90.98,2483562,57,1
291,91.17,91.4,89.07,89.17,2939772,57,1
292,89.03,89.43,86.55,86.6,5558259,57,1
293,86.63,86.8,85.58,86.49,3880357,57,1
294,86.9,88.72,86.64,88.72,3599617,57,1
295,88.47,88.745,85.3,85.36,5213765,57,1
296,84.9,85.445,83.99,84.54,4014277,57,1
297,85.09,86.34,84.04,85.5,4015913,57,1
298,85.87,86.73,84.32,86.04,3741860,57,1
299,86.84,87.48,86.48,87.4,4055995,57,1
300,87.16,87.92,85.1,86.22,9244808,57,1
301,86.38,86.855,86.16,86.67,3762330,57,1
302,86.71,87.44,86.43,87.07,3420444,57,1
303,87.01,87.64,86.673,87.13,3788218,57,1
304,87.26,87.98,86.91,87.41,3187102,57,1
305,87.02,87.3,86.62,87.03,4232260,57,1
306,87.44,87.58,85.85,87.06,4760553,57,1
307,87.34,87.95,87.19,87.79,2853035,57,1
308,87.61,87.66,86.96,87.43,4354497,57,1
309,87.53,87.575,86.33,86.82,4680412,57,1
310,86.77,87.31,86.41,86.93,3707385,57,1
311,86.0,87.42,85.75,87.36,3340078,57,1
312,87.25,87.25,86.08,86.2,3269355,57,1
313,86.79,88.05,86.11,87.98,4601515,57,1
314,87.88,89.28,87.66,88.62,4220350,57,1
315,88.46,89.03,88.13,88.84,2344736,57,1
316,89.42,89.97,89.3198,89.66,2343786,57,1
317,89.65,90.0,89.04,89.09,2298535,57,1
318,89.17,89.43,88.31,88.46,2238503,57,1
319,88.2,88.58,87.11,87.6,3329234,57,1
320,92.68,93.89,92.4,93.56,4467741,57,1
321,87.18,88.22,87.11,88.12,2005193,57,1
322,87.82,88.05,86.86,87.09,2802816,57,1
323,87.57,88.14,87.3801,87.86,2525553,57,1
324,87.79,88.39,87.55,88.15,2654758,57,1
325,88.11,88.86,88.0,88.78,1862385,57,1
326,89.6,91.47,89.35,91.39,5093826,57,1
327,91.31,91.36,90.63,91.06,2466846,57,1
328,91.12,91.3,90.53,91.28,2668484,57,1
329,91.0,91.68,90.89,91.5,3594761,57,1
330,91.79,92.11,91.43,91.89,2832071,57,1
331,91.61,91.85,91.27,91.73,2589094,57,1
332,91.59,91.9,91.33,91.81,2636958,57,1
333,91.9201,93.21,91.53,92.8,3222994,57,1
334,92.94,94.94,92.82,94.91,4551113,57,1
335,95.08,95.88,94.65,95.57,3825234,57,1
336,95.09,95.39,94.68,95.28,2421970,57,1
337,94.94,95.255,94.64,95.08,1884535,57,1
338,95.35,95.48,94.36,94.76,2870488,57,1
339,94.95,95.17,94.38,94.85,1792975,57,1
340,94.36,94.75,93.84,94.37,2832531,57,1
341,94.37,95.2,94.0103,94.66,2572316,57,1
