id_date,open,high,low,close,volume,id_stock,id_index
1,11.86,11.9,11.72,11.76,145217221,61,1
2,11.73,11.9,11.67,11.86,103499848,61,1
3,11.87,12.34,11.78,12.245,231771561,61,1
4,12.35,12.42,12.05,12.17,192478919,61,1
5,12.09,12.27,12.07,12.13,143901737,61,1
6,12.205,12.21,11.97,12.03,158078545,61,1
7,12.1,12.31,12.06,12.19,170570245,61,1
8,12.18,12.29,11.75,11.8,192999906,61,1
9,11.725,11.73,11.35,11.42,235454104,61,1
10,11.62,11.635,11.26,11.44,178923836,61,1
11,11.6,11.61,10.98,11.03,205958114,61,1
12,11.12,11.22,11.03,11.13,172817304,61,1
13,11.15,11.36,11.1,11.3,146918814,61,1
14,11.325,11.37,11.195,11.23,143393299,61,1
15,11.13,11.55,11.02,11.34,188886065,61,1
16,11.27,11.45,11.22,11.41,116254618,61,1
17,11.56,11.7085,11.53,11.55,135634212,61,1
18,11.77,12.02,11.76,11.92,182110891,61,1
19,12.0,12.28,11.98,12.26,211034158,61,1
20,12.42,12.44,12.02,12.07,209420201,61,1
21,12.08,12.2214,12.02,12.15,106267997,61,1
22,12.1099,12.18,11.91,12.01,127879351,61,1
23,12.04,12.11,11.98,12.06,86031320,61,1
24,12.12,12.19,12.1,12.11,113724590,61,1
25,12.52,12.66,12.35,12.57,318880083,61,1
26,12.29,12.68,12.26,12.56,189022386,61,1
27,12.79,12.94,12.59,12.71,242277564,61,1
28,12.785,12.89,12.71,12.78,218914598,61,1
29,12.71,12.84,12.55,12.57,154166594,61,1
30,12.62,12.67,12.48,12.56,101412682,61,1
31,12.68,12.72,12.32,12.4,154126353,61,1
32,12.45,12.5,12.15,12.28,135478116,61,1
33,12.14,12.28,12.12,12.23,106993108,61,1
34,12.24,12.28,12.11,12.18,91892522,61,1
35,12.15,12.28,12.1,12.15,86222962,61,1
36,12.24,12.245,12.14,12.15,102437614,61,1
37,12.115,12.14,11.72,11.81,199498319,61,1
38,11.81,11.99,11.72,11.94,117655560,61,1
39,11.67,12.01,11.64,11.97,140879614,61,1
40,12.0,12.21,11.91,12.21,100885999,61,1
41,12.25,12.35,12.21,12.25,132144798,61,1
42,12.31,12.4,12.26,12.32,105636019,61,1
43,12.31,12.33,12.16,12.27,100194781,61,1
44,12.145,12.25,12.07,12.17,87986609,61,1
45,12.19,12.32,11.97,11.98,176079807,61,1
46,12.21,12.36,12.08,12.28,146976210,61,1
47,11.91,12.02,11.45,11.7,335205627,61,1
48,11.61,11.65,11.23,11.44,219747653,61,1
49,11.56,11.69,11.43,11.66,119674638,61,1
50,11.68,11.75,11.57,11.72,88381360,61,1
51,11.92,12.16,11.9,12.07,176582555,61,1
52,12.135,12.37,12.12,12.31,120442535,61,1
53,12.39,12.54,12.36,12.44,118551353,61,1
54,12.34,12.46,12.29,12.42,83009491,61,1
55,12.45,12.48,12.37,12.38,65362048,61,1
56,12.39,12.4,12.2,12.31,89290204,61,1
57,12.2,12.27,12.08,12.14,88276232,61,1
58,12.17,12.21,12.05,12.19,76423681,61,1
59,12.36,12.41,12.205,12.24,94175767,61,1
60,12.39,12.89,12.36,12.88,264618705,61,1
61,12.92,13.11,12.76,12.9,218010362,61,1
62,12.85,13.18,12.84,13.02,149216151,61,1
63,13.05,13.06,12.87,12.91,112551683,61,1
64,12.94,13.04,12.89,13.02,87490693,61,1
65,12.98,13.1,12.95,12.98,94167932,61,1
66,13.04,13.36,13.02,13.34,153795352,61,1
67,13.29,13.55,13.29,13.44,139479051,61,1
68,13.41,13.55,13.32,13.36,117813465,61,1
69,13.5,13.52,13.39,13.43,107107681,61,1
70,13.39,13.6,13.39,13.51,88699484,61,1
71,13.525,13.56,13.36,13.44,111706562,61,1
72,13.485,13.73,13.17,13.31,174350542,61,1
73,12.93,13.42,12.82,13.21,190294898,61,1
74,13.17,13.26,13.12,13.24,83399436,61,1
75,13.49,13.51,13.31,13.35,133348611,61,1
76,13.31,13.555,13.27,13.48,126364220,61,1
77,13.5,13.93,13.43,13.83,153151171,61,1
78,13.91,13.99,13.6525,13.66,159789980,61,1
79,13.69,13.73,13.21,13.55,196972854,61,1
80,13.51,13.67,13.31,13.36,129834112,61,1
81,13.285,13.45,12.97,13.09,185545686,61,1
82,13.075,13.24,12.85,13.2,142211911,61,1
83,13.33,13.39,13.15,13.38,120915164,61,1
84,13.49,13.55,13.26,13.3,104531350,61,1
85,13.11,13.28,13.07,13.12,106241999,61,1
86,13.24,13.25,12.97,13.06,117108791,61,1
87,13.0,13.26,12.97,13.21,103439464,61,1
88,13.23,13.24,13.03,13.07,101276539,61,1
89,13.17,13.2617,13.13,13.21,115315833,61,1
90,13.215,13.34,13.2,13.27,67162936,61,1
91,13.285,13.4,13.17,13.19,103657265,61,1
92,13.08,13.14,12.8,12.89,185632868,61,1
93,12.99,13.0,12.39,12.69,195921288,61,1
94,12.4,12.45,12.13,12.3,159631350,61,1
95,12.61,12.77,12.4296,12.67,132644354,61,1
96,12.84,12.8533,12.68,12.76,105195057,61,1
97,12.84,13.03,12.78,13.01,124501164,61,1
98,12.97,13.0,12.84,12.86,90186158,61,1
99,12.95,13.1,12.92,12.93,83052051,61,1
100,12.95,13.1,12.8,12.9,83600455,61,1
