id_date,open,high,low,close,volume,id_stock,id_index
1,7.64,7.73,7.58,7.7,16664053,76,1
2,7.7,7.715,7.59,7.63,25170823,76,1
3,7.67,7.73,7.53,7.59,29098640,76,1
4,7.6,7.62,7.31,7.45,34767913,76,1
5,7.4,7.6201,7.36,7.53,24557444,76,1
6,7.51,7.56,7.44,7.54,17839301,76,1
7,7.49,7.53,7.36,7.5,20657395,76,1
8,7.48,7.54,7.28,7.29,23769305,76,1
9,7.26,7.35,7.165,7.26,21821651,76,1
10,7.27,7.4,7.22,7.37,16170251,76,1
11,7.4,7.47,7.22,7.23,14461480,76,1
12,7.24,7.34,7.18,7.31,19867807,76,1
13,7.27,7.395,7.17,7.33,18302795,76,1
14,7.31,7.445,7.29,7.39,16266876,76,1
15,7.35,7.43,7.26,7.37,15926036,76,1
16,7.37,7.4,7.24,7.36,16034768,76,1
17,7.4,7.44,7.28,7.38,15437682,76,1
18,7.43,7.62,7.35,7.52,25953495,76,1
19,7.53,7.6,7.42,7.43,11564942,76,1
20,7.45,7.565,7.4099,7.49,11780840,76,1
21,7.47,7.52,7.33,7.5,13266897,76,1
22,7.48,7.645,7.46,7.59,19515030,76,1
23,7.58,7.58,7.45,7.53,7493354,76,1
24,7.58,7.58,7.48,7.52,8545466,76,1
25,7.48,7.49,7.36,7.39,13346381,76,1
26,7.3,7.39,7.295,7.32,9509870,76,1
27,7.35,7.43,7.24,7.27,11274146,76,1
28,7.31,7.52,7.3,7.45,14122213,76,1
29,7.41,7.49,7.345,7.37,15274225,76,1
30,7.38,7.48,7.35,7.4,10343310,76,1
31,7.42,7.43,7.285,7.32,11806207,76,1
32,7.32,7.46,7.28,7.44,14323288,76,1
33,7.38,7.715,7.31,7.65,43993566,76,1
34,7.65,7.85,7.6,7.81,49203698,76,1
35,7.83,7.86,7.72,7.8,29659941,76,1
36,7.83,7.95,7.8,7.89,14036636,76,1
37,7.79,7.85,7.685,7.75,19796777,76,1
38,7.77,7.94,7.72,7.92,19238346,76,1
39,7.82,7.91,7.77,7.86,15638459,76,1
40,7.83,7.87,7.74,7.81,20338553,76,1
41,7.84,7.88,7.79,7.82,13054218,76,1
42,7.83,7.87,7.78,7.79,13606909,76,1
43,7.82,7.91,7.65,7.67,22500403,76,1
44,7.68,7.76,7.61,7.66,29403946,76,1
45,7.63,7.69,7.46,7.47,14095768,76,1
46,7.5,7.54,7.2825,7.43,20330715,76,1
47,7.36,7.4,7.18,7.28,18504507,76,1
48,7.27,7.29,7.07,7.09,17823047,76,1
49,7.18,7.31,7.13,7.27,17330564,76,1
50,7.26,7.32,7.19,7.27,9739087,76,1
51,7.29,7.42,7.28,7.35,10811760,76,1
52,7.35,7.43,7.3,7.36,15120170,76,1
53,7.35,7.58,7.29,7.54,44509025,76,1
54,7.6,7.66,7.38,7.45,17130792,76,1
55,7.45,7.525,7.44,7.49,6826369,76,1
56,7.44,7.53,7.41,7.49,16289177,76,1
57,7.47,7.61,7.45,7.49,12945815,76,1
58,7.52,7.68,7.48,7.61,12568902,76,1
59,7.7,7.76,7.65,7.69,10444679,76,1
60,7.69,7.78,7.52,7.74,8083834,76,1
61,7.74,7.755,7.63,7.69,8469714,76,1
62,7.69,7.86,7.67,7.85,13150073,76,1
63,7.87,8.32,7.87,8.3,32390496,76,1
64,8.4901,8.59,8.36,8.45,29974866,76,1
65,8.4,8.835,8.39,8.65,29685294,76,1
66,8.67,8.74,8.55,8.7,28730658,76,1
67,8.7,9.13,8.7,9.1,28149291,76,1
68,9.17,9.18,8.96,9.04,36963966,76,1
69,8.98,9.14,8.97,9.1,23431826,76,1
70,9.15,9.38,9.12,9.25,20048765,76,1
71,9.27,9.39,9.18,9.23,31314801,76,1
72,9.25,9.34,9.1,9.13,32703692,76,1
73,9.03,9.2,8.92,9.16,23811358,76,1
74,9.08,9.17,9.04,9.08,18912195,76,1
75,9.19,9.32,9.1482,9.22,15846620,76,1
76,9.17,9.24,9.075,9.16,12454352,76,1
77,9.18,9.29,9.13,9.27,13489244,76,1
78,9.23,9.5,9.22,9.24,26386546,76,1
79,9.25,9.425,9.16,9.41,17482632,76,1
80,9.37,9.39,9.15,9.15,21660752,76,1
81,9.14,9.2,8.97,9.0,20455272,76,1
82,9.0,9.195,8.93,9.18,27861798,76,1
83,9.25,9.4,9.2,9.3,12822783,76,1
84,9.33,9.48,9.26,9.45,12655142,76,1
85,9.33,9.61,9.27,9.44,14084488,76,1
86,9.53,9.55,9.38,9.42,9231587,76,1
87,9.39,9.6,9.33,9.58,9989802,76,1
88,9.55,9.64,9.47,9.51,6549589,76,1
89,9.54,9.75,9.54,9.64,9842679,76,1
90,9.64,9.68,9.51,9.54,12205354,76,1
91,9.57,9.63,9.35,9.4,14414490,76,1
92,9.34,9.415,9.07,9.11,16466853,76,1
93,9.21,9.285,9.01,9.14,16969929,76,1
94,9.07,9.23,8.95,9.21,18266512,76,1
95,9.31,9.41,9.02,9.03,28868936,76,1
96,9.13,9.36,9.11,9.25,27822051,76,1
97,9.4,9.45,9.19,9.22,14999510,76,1
98,9.21,9.4,9.21,9.27,20593265,76,1
99,9.32,9.42,9.19,9.37,21848337,76,1
100,9.34,9.4,9.14,9.17,25584336,76,1
101,9.15,9.21,9.05,9.15,11119210,76,1
102,9.19,9.31,9.17,9.3,6419374,76,1
103,9.19,9.37,9.16,9.37,16081086,76,1
104,9.32,9.365,9.15,9.15,18793804,76,1
105,9.13,9.27,9.1001,9.23,18498580,76,1
106,9.35,9.5,9.19,9.46,14516804,76,1
107,9.43,9.695,9.38,9.61,15070030,76,1
108,9.59,9.62,9.48,9.57,8087149,76,1
109,9.59,9.62,9.42,9.47,6365471,76,1
110,9.51,9.8,9.48,9.54,19246732,76,1
111,9.58,9.66,9.53,9.6,15879640,76,1
112,9.61,9.775,9.525,9.67,10673951,76,1
113,9.65,10.11,9.64,10.02,25315657,76,1
114,10.06,10.06,9.7,9.7,19490894,76,1
115,9.75,9.8,9.6,9.61,16028254,76,1
116,10.48,11.11,10.4,10.83,65440416,76,1
117,10.8,10.98,10.73,10.96,20699254,76,1
118,10.965,10.99,10.76,10.97,13572637,76,1
119,11.0,11.02,10.81,10.83,20161531,76,1
120,10.84,11.0,10.83,10.92,15118820,76,1
121,10.96,11.49,10.92,11.15,34326607,76,1
122,11.12,11.325,11.1,11.24,13222320,76,1
123,11.16,11.38,11.12,11.22,9282550,76,1
124,11.2,11.21,10.96,11.18,11857370,76,1
125,11.15,11.18,11.01,11.11,8570094,76,1
126,11.19,11.34,11.16,11.32,12392686,76,1
127,11.28,11.44,11.27,11.35,10046192,76,1
128,11.29,11.4,11.21,11.33,9140988,76,1
129,11.35,11.4,11.22,11.24,10931578,76,1
130,11.19,11.315,11.14,11.28,10780386,76,1
131,11.16,11.21,10.92,11.0,15249344,76,1
132,10.95,11.22,10.93,11.06,16074920,76,1
133,11.07,11.17,10.98,10.99,9258581,76,1
134,10.98,11.12,10.96,11.01,9102961,76,1
135,11.01,11.19,10.98,11.1,9840285,76,1
136,11.13,11.3,11.095,11.18,7762576,76,1
137,11.19,11.2975,11.08,11.14,12795626,76,1
138,11.12,11.39,11.12,11.28,13109745,76,1
139,11.2,11.2,10.66,10.7,16551954,76,1
140,10.68,10.875,10.67,10.69,14351381,76,1
141,10.68,10.85,10.61,10.66,10857357,76,1
142,10.69,10.73,10.535,10.58,9709780,76,1
143,10.77,11.08,10.75,10.9,13127649,76,1
144,10.87,11.085,10.68,10.93,23578662,76,1
145,10.96,11.67,10.95,11.57,39380538,76,1
146,11.54,11.675,11.37,11.5,19772298,76,1
147,11.51,12.02,11.46,11.99,24480080,76,1
148,12.06,12.16,11.93,11.95,23858422,76,1
149,11.93,11.95,11.72,11.92,26940458,76,1
150,11.91,12.04,11.83,11.91,31083945,76,1
151,11.95,11.98,11.82,11.84,10405529,76,1
152,11.98,12.05,11.87,11.92,13700800,76,1
153,11.97,12.005,11.8445,11.9,12270798,76,1
154,11.91,11.97,11.75,11.93,10724420,76,1
155,11.95,11.9836,11.72,11.74,13383752,76,1
156,11.81,11.85,11.62,11.63,11072127,76,1
157,11.56,11.57,11.36,11.5,9036935,76,1
158,11.52,11.6,11.45,11.46,8396096,76,1
159,11.49,11.54,11.37,11.45,7774446,76,1
160,11.45,11.69,11.44,11.67,11577057,76,1
161,11.61,11.655,11.475,11.52,6680001,76,1
162,11.38,11.8,11.361,11.74,18376279,76,1
163,11.78,11.79,11.61,11.76,10490920,76,1
164,11.7,11.81,11.65,11.75,10979994,76,1
165,11.74,11.82,11.5,11.66,10330944,76,1
166,11.66,11.75,11.6,11.69,8975580,76,1
167,11.62,11.69,11.51,11.63,8572088,76,1
168,11.71,11.73,11.45,11.46,11587513,76,1
169,11.48,11.79,11.48,11.72,15537014,76,1
170,11.82,11.91,11.78,11.88,13942499,76,1
171,11.82,11.9,11.7801,11.87,11747989,76,1
172,11.81,12.34,11.75,12.21,24444148,76,1
173,12.19,12.26,11.99,12.08,12615803,76,1
174,12.13,12.4,12.08,12.38,13280596,76,1
175,12.36,12.48,12.25,12.38,12414416,76,1
176,12.42,12.45,12.205,12.28,10329503,76,1
177,12.25,12.33,12.175,12.22,9529600,76,1
178,12.24,12.39,12.18,12.29,11099078,76,1
179,12.31,12.4,12.1,12.29,15959418,76,1
180,12.025,12.07,11.165,11.54,44734217,76,1
181,11.55,11.72,11.38,11.62,16792789,76,1
182,11.64,11.655,11.5,11.58,10486832,76,1
183,11.63,11.815,11.61,11.79,17639324,76,1
184,11.77,11.875,11.55,11.7,12683474,76,1
185,11.71,11.8275,11.64,11.69,18080728,76,1
186,11.69,11.82,11.645,11.75,13187863,76,1
187,11.77,12.03,11.75,11.99,13780516,76,1
188,11.91,12.03,11.81,12.0,11376209,76,1
189,12.01,12.07,11.84,11.91,10395711,76,1
190,11.91,11.95,11.6,11.64,12958692,76,1
191,11.67,11.88,11.65,11.88,10153410,76,1
192,11.9,12.15,11.83,12.05,8258992,76,1
193,12.02,12.04,11.86,11.91,8224209,76,1
194,11.87,11.93,11.75,11.93,8915534,76,1
195,11.94,11.99,11.885,11.96,5948343,76,1
196,11.95,12.0,11.86,11.89,12015536,76,1
197,11.88,11.98,11.55,11.57,12638368,76,1
198,11.63,12.05,11.63,11.96,13008503,76,1
199,12.15,12.15,11.92,11.97,9456941,76,1
200,11.99,12.05,11.93,11.93,13839541,76,1
201,11.875,12.07,11.875,12.05,10562008,76,1
202,12.1,12.12,11.88,11.89,7661967,76,1
203,11.87,11.92,11.73,11.73,13314618,76,1
204,11.71,11.75,11.6199,11.71,8575432,76,1
205,11.72,11.77,11.55,11.58,4875597,76,1
206,11.61,11.75,11.54,11.63,8200714,76,1
207,11.59,11.82,11.54,11.82,9688444,76,1
208,11.68,11.68,11.21,11.31,18412822,76,1
209,11.26,11.41,11.2,11.34,8939405,76,1
210,11.72,11.88,11.66,11.85,11570051,76,1
211,11.75,11.89,11.62,11.72,10919779,76,1
212,11.68,11.74,11.54,11.58,10056785,76,1
213,11.55,11.615,11.12,11.18,17035344,76,1
214,11.24,11.575,11.13,11.48,23995325,76,1
215,11.49,11.55,11.27,11.39,7665725,76,1
216,11.37,11.54,11.36,11.4,7348418,76,1
217,11.4,11.44,11.24,11.44,8841302,76,1
218,11.46,11.55,11.299,11.54,17850703,76,1
219,11.48,11.63,11.47,11.62,6680969,76,1
220,11.64,11.845,11.61,11.84,17398052,76,1
221,11.84,11.99,11.79,11.97,8566355,76,1
222,11.97,12.02,11.89,11.99,3818344,76,1
223,12.0,12.28,11.91,12.17,9633250,76,1
224,12.21,12.21,12.02,12.06,5538480,76,1
225,12.04,12.08,11.98,12.02,7166547,76,1
226,11.99,12.03,11.91,12.02,5607008,76,1
227,12.02,12.02,11.85,11.91,7971602,76,1
228,11.94,11.99,11.865,11.93,7278892,76,1
229,12.49,12.55,12.2,12.33,14817898,76,1
230,12.35,12.49,12.35,12.44,8661269,76,1
231,12.51,12.93,12.44,12.79,14313744,76,1
232,12.68,12.87,12.64,12.78,10029340,76,1
233,12.88,13.27,12.79,13.11,14995374,76,1
234,13.07,13.25,12.88,12.92,9197256,76,1
235,12.91,13.2,12.91,13.18,8036162,76,1
236,13.19,13.5,13.17,13.34,14748177,76,1
237,13.36,13.68,13.31,13.55,20084875,76,1
238,13.63,13.64,13.45,13.51,11157044,76,1
239,13.74,14.02,13.625,13.98,20088072,76,1
240,13.98,14.08,13.73,13.87,11150753,76,1
241,13.78,13.88,13.55,13.65,12428146,76,1
242,13.55,13.65,13.34,13.34,10556561,76,1
243,13.35,13.39,13.04,13.21,10145796,76,1
244,13.26,13.36,13.21,13.28,7322502,76,1
245,13.13,13.38,13.08,13.18,8557749,76,1
246,13.31,13.62,13.27,13.56,11052836,76,1
247,13.42,13.67,13.3,13.53,14001031,76,1
248,13.55,13.55,12.96,13.01,18772368,76,1
249,13.1,13.49,12.595,12.85,29030072,76,1
250,12.77,12.85,12.47,12.76,22161669,76,1
251,12.76,12.96,12.73,12.83,13854960,76,1
252,12.92,13.18,12.88,13.1,15209542,76,1
253,13.05,13.1,12.875,12.91,11968957,76,1
254,12.87,12.92,12.76,12.85,18535591,76,1
255,12.83,13.04,12.83,12.96,9368145,76,1
256,12.92,13.08,12.84,13.03,10309839,76,1
257,13.08,13.435,13.05,13.3,14856356,76,1
258,13.3,13.519,13.29,13.38,10683009,76,1
259,13.35,13.43,13.04,13.06,11678972,76,1
260,13.06,13.24,13.0,13.23,7949121,76,1
261,13.25,13.26,13.13,13.14,6452101,76,1
262,13.14,13.24,13.07,13.08,6551683,76,1
263,13.09,13.45,13.05,13.39,15637019,76,1
264,13.41,13.58,13.271,13.34,7316824,76,1
265,13.34,13.41,13.23,13.3,8489797,76,1
266,13.28,13.34,12.98,13.1,10209066,76,1
267,12.91,13.05,12.805,13.0,9447166,76,1
268,13.12,13.26,13.11,13.23,13015236,76,1
269,13.25,13.48,13.22,13.38,9877387,76,1
270,13.45,13.59,13.4301,13.55,9379753,76,1
271,13.61,13.74,13.36,13.7,16277896,76,1
272,13.73,13.84,13.4301,13.46,8147866,76,1
273,13.48,13.48,13.14,13.18,10731249,76,1
274,13.11,13.16,12.82,12.88,20050835,76,1
275,12.93,12.9799,12.61,12.74,23579816,76,1
276,12.75,13.205,12.68,13.01,19886332,76,1
277,13.06,13.16,12.94,12.98,9973769,76,1
278,13.0,13.27,12.96,13.21,6499447,76,1
279,13.23,13.38,13.04,13.15,8716568,76,1
280,13.1,13.18,13.035,13.1,7486964,76,1
281,13.37,13.39,12.82,12.82,15490846,76,1
282,13.05,13.14,12.69,12.84,11359238,76,1
283,12.92,13.42,12.92,13.26,13779251,76,1
284,13.31,13.465,13.21,13.23,10501885,76,1
285,13.21,13.26,12.94,13.21,11154810,76,1
286,13.2,13.44,13.16,13.2,6161622,76,1
287,13.3,13.57,13.265,13.52,8554218,76,1
288,13.55,13.65,13.49,13.62,6763744,76,1
289,13.65,13.73,13.52,13.69,6616478,76,1
290,13.71,13.8,13.63,13.77,9393478,76,1
291,13.79,13.9,13.47,13.5,12360984,76,1
292,13.46,13.545,13.16,13.22,8826939,76,1
293,13.18,13.2,12.85,12.91,10182463,76,1
294,12.98,13.585,12.88,13.54,15143201,76,1
295,13.53,13.59,12.88,12.93,11189217,76,1
296,12.81,12.84,12.48,12.69,25143148,76,1
297,13.0,13.32,12.98,13.31,16741597,76,1
298,13.22,13.43,12.97,13.35,13633183,76,1
299,13.57,13.64,13.37,13.5,9740700,76,1
300,13.48,13.71,13.43,13.65,8675932,76,1
301,13.62,13.72,13.5,13.72,9735404,76,1
302,13.75,13.8,13.63,13.75,8953033,76,1
303,13.8,13.82,13.62,13.69,9002742,76,1
304,13.76,13.81,13.56,13.75,8433479,76,1
305,13.72,13.72,13.33,13.38,10712204,76,1
306,13.49,13.65,13.23,13.58,14544552,76,1
307,12.79,13.32,12.64,12.73,35508150,76,1
308,12.74,12.74,12.365,12.61,27599007,76,1
309,12.64,12.74,12.5,12.6,14400526,76,1
310,12.61,12.82,12.57,12.81,17337614,76,1
311,12.75,13.1475,12.72,13.07,14657185,76,1
312,13.04,13.08,12.85,12.95,11597504,76,1
313,12.98,13.01,12.63,12.77,9748590,76,1
314,12.76,12.985,12.7,12.8,7199089,76,1
315,12.73,12.79,12.47,12.73,12957848,76,1
316,12.8,12.94,12.72,12.93,9417041,76,1
317,12.94,13.02,12.78,12.8,8806647,76,1
318,12.82,12.9,12.74,12.79,12606188,76,1
319,12.78,12.78,12.56,12.69,12954774,76,1
320,12.89,12.98,12.85,12.94,9787544,76,1
321,12.77,12.85,12.65,12.83,9444739,76,1
322,12.81,12.82,12.47,12.62,11616662,76,1
323,12.67,12.91,12.619,12.8,6774229,76,1
324,12.78,12.83,12.63,12.68,14167930,76,1
325,12.71,12.875,12.69,12.83,8081602,76,1
326,12.9,13.02,12.83,12.95,8627895,76,1
327,13.0,13.189,12.945,13.15,11589107,76,1
328,13.15,13.1699,12.945,12.99,13999286,76,1
329,12.99,13.08,12.79,12.83,12814622,76,1
330,12.86,12.95,12.73,12.88,6363956,76,1
331,12.82,12.99,12.81,12.97,6046451,76,1
332,12.9,13.05,12.82,13.05,7743789,76,1
333,12.96,13.19,12.96,13.18,8770689,76,1
334,13.19,13.2,13.06,13.13,6823015,76,1
