id_date,open,high,low,close,volume,id_stock,id_index
1,44.9,45.18,44.8,45.18,1877873,82,1
2,45.14,45.38,45.015,45.22,1616783,82,1
3,45.3,45.68,45.15,45.54,2351432,82,1
4,45.72,45.95,45.27,45.44,2776799,82,1
5,46.72,46.75,45.6,46.0,4641591,82,1
6,46.05,46.7,46.01,46.7,5181965,82,1
7,46.55,46.87,46.34,46.46,2973053,82,1
8,46.5,46.63,46.0,46.07,1842773,82,1
9,46.11,46.28,45.3,45.48,2767902,82,1
10,45.54,45.65,45.32,45.56,2083206,82,1
11,45.74,46.14,45.22,45.22,2378795,82,1
12,45.44,45.76,45.3,45.69,2049324,82,1
13,45.73,46.37,45.59,46.26,1899288,82,1
14,46.21,46.5,46.17,46.21,1786591,82,1
15,46.17,46.51,45.87,46.51,1425436,82,1
16,46.36,46.47,45.98,46.25,1906701,82,1
17,46.34,46.51,46.24,46.28,1988862,82,1
18,46.35,46.51,46.06,46.12,1816576,82,1
19,46.24,46.475,45.85,45.89,2677774,82,1
20,46.0,46.3,45.92,46.28,1903622,82,1
21,46.26,46.88,46.25,46.78,1718305,82,1
22,46.8,47.23,46.54,46.83,1912877,82,1
23,46.81,47.02,46.7,46.84,2453553,82,1
24,46.87,47.1,46.74,47.09,2555724,82,1
25,46.9,47.0,46.47,46.58,2483121,82,1
26,46.31,46.415,45.96,46.13,2374602,82,1
27,42.94,43.61,42.32,42.35,18453770,82,1
28,42.33,42.57,41.42,42.14,7249450,82,1
29,41.99,42.42,41.82,41.97,8530629,82,1
30,41.97,42.36,41.71,42.09,7696913,82,1
31,42.09,42.3,41.815,42.05,6005817,82,1
32,42.32,42.35,41.91,42.18,5047231,82,1
33,41.71,42.03,41.54,41.71,6042606,82,1
34,41.75,41.7975,41.55,41.62,6376112,82,1
35,41.69,42.06,41.65,41.85,3286268,82,1
36,42.04,42.16,41.83,42.05,4994185,82,1
37,42.17,42.56,42.11,42.38,6606051,82,1
38,42.51,42.71,42.3,42.53,4477815,82,1
39,42.27,42.5,42.09,42.45,5294102,82,1
40,42.43,42.86,42.265,42.77,3167272,82,1
41,42.88,43.02,42.685,42.88,2798004,82,1
42,43.01,43.3,42.83,42.95,3228433,82,1
43,43.08,43.71,42.99,43.5,2701213,82,1
44,43.36,43.47,43.19,43.27,1588915,82,1
45,43.42,43.615,42.99,43.01,3089214,82,1
46,43.18,43.26,42.68,43.12,2858387,82,1
47,43.0,43.07,42.48,42.59,1960302,82,1
48,42.58,42.82,42.4,42.7,2049248,82,1
49,42.82,43.08,42.5,43.07,3336474,82,1
50,43.15,43.61,42.79,43.38,2174919,82,1
51,43.57,44.06,43.45,43.8,2480727,82,1
52,43.92,44.43,43.92,44.39,2942454,82,1
53,45.56,45.92,44.125,44.22,6995716,82,1
54,44.21,44.27,43.54,43.98,3721971,82,1
55,44.02,44.23,43.83,44.0,1989061,82,1
56,44.08,44.36,43.615,44.22,3740969,82,1
57,44.22,44.86,43.895,43.94,4496173,82,1
58,44.5,46.24,44.5,46.16,5095970,82,1
59,46.39,46.82,46.23,46.39,2760723,82,1
60,46.05,46.34,45.9,45.96,2824711,82,1
61,45.97,46.465,45.93,46.45,2258159,82,1
62,46.37,46.66,46.04,46.37,4289754,82,1
63,46.42,46.46,45.94,46.03,2176486,82,1
64,46.03,46.44,46.03,46.36,1708999,82,1
65,46.46,46.46,46.13,46.16,1259026,82,1
66,46.1,46.56,46.1,46.26,2677798,82,1
67,46.32,47.05,46.29,46.77,2390473,82,1
68,46.87,47.25,46.83,47.0,5242304,82,1
69,47.03,47.79,47.03,47.79,5090839,82,1
70,47.7,48.4,47.68,48.02,2409217,82,1
71,48.09,48.3,47.74,47.96,3429174,82,1
72,48.0,48.22,47.455,47.59,3861799,82,1
73,47.31,47.52,46.94,47.17,2660444,82,1
74,47.1,47.37,46.6,47.17,1744714,82,1
75,47.47,47.86,47.18,47.28,1513136,82,1
76,47.05,47.2,46.58,47.09,1972442,82,1
77,47.1,47.825,47.03,47.67,1707141,82,1
78,47.52,47.86,46.96,46.96,3253394,82,1
79,47.07,47.26,46.81,47.23,1813350,82,1
80,47.14,47.49,46.16,46.49,3010051,82,1
81,46.37,46.725,45.96,46.02,2436417,82,1
82,46.26,46.34,45.59,46.13,2294383,82,1
83,46.48,46.9,46.4,46.9,2444528,82,1
84,46.99,47.19,46.54,46.84,1946685,82,1
85,46.47,47.42,46.44,46.99,3170941,82,1
86,47.25,47.56,47.13,47.16,2822740,82,1
87,47.13,47.95,46.85,47.9,2224822,82,1
88,47.81,48.37,47.69,47.83,1866223,82,1
89,48.09,48.43,47.95,48.25,2221854,82,1
90,48.37,48.79,48.21,48.76,2490130,82,1
91,48.81,48.99,48.18,48.37,3433472,82,1
92,48.02,48.08,46.91,47.07,3395250,82,1
93,47.78,48.38,47.21,47.23,4281912,82,1
94,47.03,47.14,46.42,46.58,2769724,82,1
95,46.96,47.0,46.32,46.64,2564072,82,1
96,47.02,48.13,46.7,47.93,3189258,82,1
97,47.77,48.15,47.66,47.72,1900671,82,1
98,47.71,47.94,47.2,47.2,6542108,82,1
99,47.54,47.9,47.1,47.59,1974604,82,1
100,47.58,47.68,46.66,47.02,2377497,82,1
101,46.78,47.43,46.52,47.3,953984,82,1
102,47.61,47.78,47.06,47.58,879421,82,1
103,47.82,47.9,47.48,47.54,2006601,82,1
104,47.75,48.18,47.7,48.01,1991363,82,1
105,48.03,48.93,48.01,48.79,2392448,82,1
106,49.01,49.58,48.72,49.54,2235821,82,1
107,49.59,49.63,49.22,49.61,1863721,82,1
108,49.59,49.99,49.57,49.74,1228508,82,1
109,49.7,49.7899,49.2,49.22,1637100,82,1
110,49.49,49.73,49.21,49.55,1474537,82,1
111,49.64,50.17,49.64,50.16,2154659,82,1
112,50.16,50.53,49.74,50.52,4004763,82,1
113,50.47,50.59,50.1,50.52,1289519,82,1
114,50.57,50.64,50.15,50.18,1249204,82,1
115,50.31,50.4185,49.72,49.86,1155400,82,1
116,49.67,49.85,49.33,49.67,1630307,82,1
117,49.72,51.09,49.68,51.06,2199313,82,1
118,50.78,50.79,50.045,50.58,1560040,82,1
119,50.77,50.77,50.24,50.25,1692262,82,1
120,50.4,50.76,49.88,50.09,3140652,82,1
121,50.73,51.33,50.31,51.09,2519195,82,1
122,51.09,51.3,50.92,51.11,1939956,82,1
123,51.0,51.59,50.9,51.54,1745435,82,1
124,51.42,51.54,50.86,51.44,2076743,82,1
125,51.41,51.41,51.11,51.14,1369217,82,1
126,51.31,51.56,51.04,51.52,1513787,82,1
127,51.42,51.78,51.25,51.57,1879588,82,1
128,51.33,51.65,51.23,51.6,1651249,82,1
129,51.79,52.25,51.67,52.19,3163651,82,1
130,52.19,52.49,52.12,52.23,2401675,82,1
131,51.89,51.93,51.167,51.49,2302205,82,1
132,51.26,51.54,51.195,51.32,2514910,82,1
133,51.1,51.49,51.05,51.13,1402074,82,1
134,51.08,51.25,50.86,51.07,1265936,82,1
135,51.07,51.12,50.19,50.28,2230728,82,1
136,50.26,50.78,50.02,50.6,1311155,82,1
137,50.68,51.3,50.41,51.24,1740354,82,1
138,51.24,51.3999,50.96,50.97,1158343,82,1
139,50.57,50.66,49.86,50.03,1670522,82,1
140,50.07,50.28,49.88,50.02,1402934,82,1
141,50.0,50.55,49.9,50.28,1242774,82,1
142,50.43,50.43,50.06,50.28,1196393,82,1
143,50.82,51.055,50.025,50.22,1781213,82,1
144,50.22,50.69,50.16,50.24,1867735,82,1
145,50.17,50.78,50.125,50.17,1970870,82,1
146,50.21,50.67,49.65,50.39,1502365,82,1
147,50.59,51.08,50.43,50.8,1167455,82,1
148,51.01,51.45,51.01,51.13,1379694,82,1
149,51.25,52.27,51.14,52.2,2119333,82,1
150,52.25,53.0,52.19,52.85,2928949,82,1
151,52.77,53.28,52.6,53.02,1855990,82,1
152,53.48,53.59,53.18,53.25,1504370,82,1
153,53.25,53.755,53.09,53.57,1570453,82,1
154,53.6,53.72,52.63,53.32,2363715,82,1
155,53.23,53.92,53.15,53.45,2336052,82,1
156,53.42,53.79,53.1,53.44,2631133,82,1
157,53.29,53.49,52.83,53.25,1677530,82,1
158,53.28,53.35,52.38,52.4,2220336,82,1
159,52.6,52.96,52.39,52.4,1946926,82,1
160,52.63,52.82,52.0,52.32,1534373,82,1
161,51.98,52.33,51.6445,52.28,1334980,82,1
162,52.0,52.23,51.79,52.15,1861484,82,1
163,52.29,53.19,52.05,53.08,2143613,82,1
164,52.82,53.33,52.65,53.21,3181544,82,1
165,52.92,53.61,52.72,53.5,3854465,82,1
166,53.44,53.9591,53.19,53.85,3097802,82,1
167,53.64,54.13,53.53,53.86,2020194,82,1
168,54.18,54.3,52.95,53.2,3937583,82,1
169,53.21,53.44,52.92,52.95,2570936,82,1
170,53.39,54.97,53.33,54.7,2612312,82,1
