id_date,open,high,low,close,volume,id_stock,id_index
1,85.1,86.23,85.01,86.2,1796871,84,1
2,85.93,86.77,85.56,86.41,1333860,84,1
3,86.34,86.96,86.102,86.82,875723,84,1
4,86.89,86.98,86.25,86.66,840327,84,1
5,86.13,86.7,86.12,86.44,1201303,84,1
6,86.66,86.75,86.08,86.5,1052922,84,1
7,86.71,87.09,86.41,86.95,1224803,84,1
8,87.05,87.41,85.95,85.97,1658488,84,1
9,85.94,86.47,85.72,86.15,2009135,84,1
10,86.55,86.87,86.45,86.69,1222700,84,1
11,86.85,86.9,84.41,84.42,1373200,84,1
12,84.78,85.35,84.6,85.03,1575879,84,1
13,84.74,85.8,84.7,85.77,1383900,84,1
14,85.6,86.16,85.39,85.39,1285467,84,1
15,85.14,85.71,84.71,85.67,1030070,84,1
16,85.35,85.86,85.19,85.78,977444,84,1
17,86.14,87.09,86.14,86.75,814737,84,1
18,87.12,87.34,86.52,86.66,1161223,84,1
19,86.68,86.9999,86.56,86.62,874322,84,1
20,87.0,87.24,86.58,86.98,1301929,84,1
21,86.9,87.35,86.64,87.34,1099609,84,1
22,87.36,88.52,87.242,88.04,1952970,84,1
23,87.98,88.65,87.83,88.6,937933,84,1
24,88.71,89.06,88.591,89.06,951668,84,1
25,88.78,88.91,88.26,88.26,2134183,84,1
26,87.51,88.36,87.46,87.71,972575,84,1
27,87.77,88.15,87.3201,87.74,1327700,84,1
28,88.27,88.685,88.06,88.45,936179,84,1
29,88.06,88.555,87.61,87.69,843921,84,1
30,87.99,88.32,87.825,88.32,1088710,84,1
31,88.64,88.98,88.05,88.47,986463,84,1
32,88.08,88.38,87.67,88.29,1367583,84,1
33,87.84,88.46,87.64,88.34,955125,84,1
34,88.46,89.05,87.98,88.97,1490629,84,1
35,89.1,89.3,88.465,88.7,718091,84,1
36,89.22,89.51,88.59,88.95,1190694,84,1
37,89.02,89.34,87.86,88.01,1237727,84,1
38,88.15,89.2,88.15,89.06,1804508,84,1
39,88.12,89.04,88.01,88.98,1803687,84,1
40,88.92,90.07,88.84,90.04,1371192,84,1
41,90.5,91.17,90.14,90.53,1299312,84,1
42,90.59,91.04,90.15,90.94,1149918,84,1
43,91.21,92.28,91.11,91.91,1531472,84,1
44,91.7,91.99,91.19,91.99,1071795,84,1
45,91.76,91.76,88.76,88.81,2243311,84,1
46,89.57,89.97,89.01,89.87,1335567,84,1
47,89.43,89.56,88.53,88.91,1515851,84,1
48,89.23,89.36,88.14,88.34,1016616,84,1
49,88.24,89.17,88.09,89.03,1412387,84,1
50,89.09,89.56,88.37,89.27,1213699,84,1
51,90.47,91.75,89.73,90.0,2282270,84,1
52,90.24,90.41,89.29,89.54,1845368,84,1
53,89.88,90.03,89.3,89.5,1663826,84,1
54,89.57,89.83,88.9,88.94,1307287,84,1
55,89.09,89.345,88.62,88.92,1272495,84,1
56,88.96,89.145,88.59,89.14,1478127,84,1
57,88.78,89.34,88.2,88.3,1236773,84,1
58,88.5,88.69,88.1801,88.65,975332,84,1
59,89.42,89.96,89.33,89.9,1782533,84,1
60,90.14,90.94,89.72,90.68,1505162,84,1
61,90.7,91.53,90.46,91.39,1416744,84,1
62,91.44,92.27,91.3,92.26,1224052,84,1
63,92.2,92.44,91.4001,91.78,1903980,84,1
64,91.71,91.9,90.96,91.6,1244969,84,1
65,91.42,91.62,91.051,91.42,919630,84,1
66,91.41,92.69,91.39,92.62,1062786,84,1
67,92.45,92.67,91.71,92.67,1567296,84,1
