id_date,open,high,low,close,volume,id_stock,id_index
1,42.41,42.85,42.38,42.83,5285592,87,1
2,42.7,42.73,42.05,42.28,4554939,87,1
3,42.4,43.21,42.37,43.21,6166218,87,1
4,43.37,43.47,42.38,42.67,5312608,87,1
5,42.43,43.1,42.2,42.94,9110084,87,1
6,43.09,45.87,42.99,44.64,15734099,87,1
7,44.63,45.09,44.57,44.88,7259365,87,1
8,44.75,45.01,43.78,43.82,7170724,87,1
9,43.6,43.85,43.23,43.41,6876233,87,1
10,43.55,43.55,42.955,43.37,6316518,87,1
11,43.48,43.63,42.36,42.36,7142310,87,1
12,42.4,42.62,42.05,42.49,10645049,87,1
13,42.53,44.02,42.53,43.8,10419973,87,1
14,43.61,43.68,42.87,43.39,10477740,87,1
15,42.93,43.63,42.91,43.55,7521188,87,1
16,43.31,43.87,43.1931,43.78,6451066,87,1
17,44.11,45.18,42.8,44.88,10590326,87,1
18,45.02,45.49,44.44,44.81,6313221,87,1
19,44.51,45.64,44.48,44.98,8036600,87,1
20,45.15,46.13,45.15,46.0,7999248,87,1
21,45.86,46.1,45.55,45.9,4325459,87,1
22,45.83,46.0,45.44,45.92,4209615,87,1
23,46.0,46.02,45.45,45.94,4647885,87,1
24,46.33,47.42,46.21,46.95,9221910,87,1
25,46.78,47.13,46.59,46.76,6936126,87,1
26,46.03,46.88,45.52,46.54,5859664,87,1
27,46.69,46.95,45.505,45.75,8394524,87,1
28,46.2,46.54,46.095,46.28,7360500,87,1
29,45.86,46.46,45.765,45.89,6177443,87,1
30,46.19,46.48,45.83,45.98,7168353,87,1
31,46.06,46.3,45.29,45.42,7587442,87,1
32,45.56,45.96,45.19,45.71,6117404,87,1
33,45.45,46.28,45.34,46.16,4105834,87,1
34,46.35,46.8,46.12,46.69,5958366,87,1
35,46.73,47.03,45.33,45.74,9449072,87,1
36,45.86,45.995,45.38,45.51,7122188,87,1
37,45.64,45.845,44.62,44.84,8530841,87,1
38,44.77,45.52,44.73,44.92,6933476,87,1
39,44.25,45.38,43.77,45.2,8296698,87,1
40,45.22,46.215,45.12,46.19,7021912,87,1
41,46.34,46.49,45.61,45.86,5262674,87,1
42,46.04,46.68,45.99,46.61,5757170,87,1
43,46.52,46.96,46.235,46.3,4563852,87,1
44,46.05,46.76,46.04,46.57,4808878,87,1
45,46.14,46.34,44.89,44.96,5201776,87,1
46,45.35,46.31,45.251,46.17,4102951,87,1
47,45.81,46.02,45.19,45.44,5428538,87,1
48,45.43,45.73,44.52,44.71,6696715,87,1
49,44.83,46.14,44.6,46.06,7563981,87,1
50,46.27,47.15,46.22,46.95,4959652,87,1
51,47.08,47.125,45.93,46.75,6603449,87,1
52,46.88,47.14,45.94,46.06,4478146,87,1
53,46.11,46.38,45.75,45.97,6974277,87,1
54,45.97,46.52,45.79,46.27,4845911,87,1
55,46.36,46.87,46.14,46.28,4432154,87,1
56,46.28,46.57,45.28,45.78,8811063,87,1
57,45.75,46.94,45.47,46.4,7927250,87,1
58,47.02,48.3,46.81,47.35,10445637,87,1
59,47.68,47.97,47.33,47.4,9128915,87,1
60,47.42,47.535,47.14,47.17,3705708,87,1
61,47.21,47.72,47.13,47.65,3395473,87,1
62,47.5,47.59,46.67,46.95,5899060,87,1
63,46.94,47.2,46.74,46.9,4401712,87,1
64,46.95,47.77,46.95,47.75,4817942,87,1
