id_date,open,high,low,close,volume,id_stock,id_index
1,70.32,71.035,70.13,70.79,2500131,88,1
2,70.74,70.74,69.99,70.03,1616172,88,1
3,70.03,70.09,68.2,68.31,3238840,88,1
4,68.31,68.38,67.5,68.04,4127114,88,1
5,67.68,67.83,66.13,66.66,7042139,88,1
6,66.68,68.0799,66.495,67.9,4525800,88,1
7,68.0,68.15,66.7,67.04,2547260,88,1
8,67.04,67.54,66.95,67.13,2476894,88,1
9,66.77,68.08,66.52,68.0,3078231,88,1
10,68.05,70.66,68.05,69.97,3815278,88,1
11,70.25,71.72,69.56,69.57,2193746,88,1
12,69.62,70.11,69.58,69.75,1817769,88,1
13,69.52,70.49,69.48,70.38,2215921,88,1
14,70.39,70.56,69.77,69.8,2515969,88,1
15,69.71,70.37,69.42,70.14,2271095,88,1
16,69.99,71.12,69.84,70.97,1579524,88,1
17,71.19,71.98,71.1,71.6,1572874,88,1
18,71.82,72.47,71.795,72.13,1609726,88,1
19,72.0,72.46,71.79,72.08,1473555,88,1
20,72.45,72.63,71.07,71.79,1216953,88,1
21,71.57,71.83,71.12,71.56,1192856,88,1
22,71.5,71.64,70.499,70.63,1736687,88,1
23,70.63,71.19,70.29,70.96,1482506,88,1
24,71.19,71.43,70.82,71.11,839382,88,1
25,70.77,70.86,69.9,69.99,1951594,88,1
26,69.41,70.11,69.035,69.66,1191933,88,1
27,70.01,70.2804,69.65,69.99,1580685,88,1
28,70.23,70.76,69.96,70.65,1486243,88,1
29,70.13,71.1,70.05,70.15,1672117,88,1
30,70.35,71.4,70.22,70.74,1341130,88,1
31,71.0,71.24,69.95,70.41,1147633,88,1
32,70.79,70.83,70.24,70.48,1613587,88,1
33,70.29,70.68,69.87,70.66,1290006,88,1
34,70.67,70.7,69.43,69.64,2783558,88,1
35,69.69,70.17,69.63,69.79,1935682,88,1
36,70.18,70.73,70.18,70.6,1442115,88,1
37,70.53,70.68,69.361,69.61,1661509,88,1
38,69.7,70.72,69.7,70.28,1478868,88,1
