id_date,open,high,low,close,volume,id_stock,id_index
1,13.96,14.16,13.9,14.16,1716539,90,1
2,14.1799,14.27,14.09,14.22,3221848,90,1
3,14.18,14.5,14.16,14.36,3306773,90,1
4,14.35,14.4,14.14,14.25,2253042,90,1
5,14.21,14.33,14.17,14.2,1382265,90,1
6,14.23,14.31,14.17,14.27,2511649,90,1
7,14.23,14.32,14.14,14.25,2447680,90,1
8,14.19,14.23,14.02,14.13,2683840,90,1
9,14.14,14.44,14.13,14.23,4932538,90,1
10,14.27,14.42,14.23,14.36,1574366,90,1
11,14.42,14.54,14.18,14.19,2041541,90,1
12,14.19,14.23,13.92,14.01,4283917,90,1
13,13.99,14.34,13.95,14.2,3954419,90,1
14,14.2,14.23,14.1,14.16,3911462,90,1
15,14.04,14.07,13.61,13.94,6134015,90,1
16,13.92,14.31,13.89,14.31,3797175,90,1
17,14.39,14.66,14.36,14.64,4441630,90,1
18,14.65,14.81,14.64,14.7,2875351,90,1
19,14.67,14.7,14.53,14.56,6813296,90,1
20,14.67,14.67,14.32,14.48,4162726,90,1
21,14.48,14.62,14.34,14.58,3096476,90,1
22,14.09,14.24,13.86,14.05,8682274,90,1
23,14.04,14.14,13.955,14.1,2938286,90,1
24,14.1,14.2,14.02,14.095,2532685,90,1
25,14.09,14.11,13.85,13.92,2534200,90,1
26,13.69,13.84,12.57,13.6,4805999,90,1
27,13.61,13.625,13.23,13.37,5422599,90,1
28,13.47,13.56,13.32,13.39,2530240,90,1
29,13.29,13.41,13.22,13.361,2147300,90,1
30,13.36,13.46,13.15,13.32,2613230,90,1
31,13.39,13.715,13.24,13.64,6089964,90,1
32,13.68,13.75,13.55,13.74,2823687,90,1
33,13.68,13.91,13.63,13.81,2797670,90,1
34,13.84,13.93,13.78,13.93,1554335,90,1
35,13.96,13.96,13.59,13.62,2413467,90,1
36,13.66,13.8,13.54,13.56,1150282,90,1
37,13.56,13.6,13.222,13.24,2534552,90,1
38,13.27,13.47,13.18,13.42,1861718,90,1
39,13.27,13.3,13.115,13.27,2381332,90,1
40,13.26,13.32,13.17,13.31,1367835,90,1
41,13.3,13.38,13.1887,13.32,1687039,90,1
42,13.31,13.53,13.31,13.509,1286080,90,1
43,13.47,13.5,13.3,13.33,2093335,90,1
44,13.33,13.4,13.2,13.36,1236504,90,1
45,13.33,13.33,13.01,13.1,5996579,90,1
46,13.18,13.21,12.96,12.98,3743443,90,1
47,12.96,12.96,12.59,12.66,4015336,90,1
48,12.7,12.7,12.51,12.54,2056019,90,1
49,12.58,12.59,12.36,12.4,1498958,90,1
50,12.43,12.6,12.33,12.56,1779091,90,1
51,12.6,12.74,12.52,12.67,1219215,90,1
52,12.65,12.76,12.53,12.72,3418725,90,1
53,12.86,13.82,12.85,13.72,11329088,90,1
54,13.75,13.86,13.6,13.65,2838941,90,1
55,13.73,13.89,13.569,13.84,2344147,90,1
56,13.8,13.91,13.67,13.8,2241153,90,1
57,13.82,14.01,13.71,13.72,2224688,90,1
58,13.71,13.88,13.7,13.82,1381486,90,1
