id_date,open,high,low,close,volume,id_stock,id_index
1,35.19,35.4054,35.0,35.37,1480748,103,1
2,34.72,35.25,34.71,35.06,2061452,103,1
3,35.15,35.22,34.93,35.0,2151916,103,1
4,35.19,35.4,34.94,35.1,1822309,103,1
5,35.0,35.4,34.95,35.32,2133554,103,1
6,34.91,35.2,34.73,34.83,2635569,103,1
7,35.01,35.56,34.81,35.4,2730326,103,1
8,35.37,35.43,34.68,34.71,3540529,103,1
9,34.52,34.62,33.565,33.6,4883181,103,1
10,33.88,34.35,33.84,34.3,1783160,103,1
11,34.52,34.61,33.434,33.52,2132010,103,1
12,33.68,33.77,33.29,33.56,1577726,103,1
13,33.59,33.92,33.5,33.86,2153044,103,1
14,33.83,34.68,33.8299,34.38,2528970,103,1
15,34.17,34.56,33.79,34.48,2100919,103,1
16,34.34,35.19,34.31,35.16,2377038,103,1
17,35.31,35.46,34.715,34.83,3173757,103,1
18,35.09,35.42,34.96,35.29,2102683,103,1
19,35.34,35.89,35.17,35.32,3126513,103,1
20,35.63,36.35,35.6,36.29,2696251,103,1
21,36.28,36.99,36.26,36.7,2624746,103,1
22,36.66,36.74,36.23,36.32,1697819,103,1
23,36.27,36.52,36.05,36.45,1037218,103,1
24,36.66,36.82,36.55,36.78,1839140,103,1
25,36.57,36.92,36.36,36.77,2903473,103,1
26,36.03,36.46,35.98,36.17,2386187,103,1
27,36.28,36.34,35.78,35.92,2010598,103,1
28,36.24,36.35,36.07,36.11,1195625,103,1
29,35.94,36.12,35.72,35.99,2683176,103,1
30,36.11,36.265,35.93,36.25,2008834,103,1
31,36.4,36.43,35.82,36.0,1175469,103,1
32,36.18,36.29,35.985,36.09,1093576,103,1
33,35.85,35.85,35.44,35.7,1405694,103,1
34,35.71,35.98,35.47,35.95,1765835,103,1
35,35.95,35.95,35.11,35.28,1651721,103,1
36,35.55,35.59,35.051,35.15,1539000,103,1
37,35.16,35.25,34.13,34.19,3277242,103,1
38,34.28,34.51,33.93,34.24,4539767,103,1
39,33.75,34.58,33.55,34.51,2718379,103,1
40,34.54,34.655,34.08,34.65,1690778,103,1
41,34.71,35.12,34.58,34.95,1525595,103,1
42,35.01,35.49,35.0,35.46,1198752,103,1
43,35.49,35.73,35.13,35.45,1590810,103,1
44,35.2,35.45,34.895,35.05,1075531,103,1
45,34.83,35.09,34.13,34.13,2245764,103,1
46,34.06,34.85,33.93,34.78,2405337,103,1
47,34.58,34.77,34.07,34.42,2322106,103,1
48,34.44,34.57,33.9,34.3,2554780,103,1
49,34.5,35.02,34.36,34.86,1664985,103,1
50,34.9,34.9,34.32,34.7,1327589,103,1
51,34.94,35.27,34.8,35.1,2351853,103,1
52,35.14,35.93,35.04,35.87,1607621,103,1
53,35.95,36.45,35.88,36.22,2537435,103,1
54,36.15,36.31,35.67,35.91,1458311,103,1
55,36.03,36.28,35.95,36.23,1464786,103,1
56,36.22,36.29,35.96,36.25,1543401,103,1
57,36.24,36.34,35.72,35.78,1550071,103,1
58,35.87,36.325,35.81,36.25,1201714,103,1
59,36.59,37.1,36.42,37.07,2917995,103,1
60,36.72,37.47,36.62,37.47,2325027,103,1
61,37.67,37.95,37.325,37.86,1498694,103,1
62,37.41,38.015,37.26,38.0,1955145,103,1
63,37.98,38.12,37.67,37.75,963426,103,1
64,37.84,37.9575,37.56,37.95,1058958,103,1
65,37.9,38.71,37.86,38.31,1770584,103,1
66,38.38,39.08,38.35,39.04,2134443,103,1
67,39.06,39.55,38.88,39.48,1509090,103,1
68,39.33,39.875,39.3101,39.5,1753394,103,1
69,39.8,40.02,39.68,39.88,1671164,103,1
70,39.79,40.44,39.74,39.75,2631277,103,1
71,39.43,39.99,39.43,39.65,2478460,103,1
72,39.21,39.99,38.57,38.69,3538601,103,1
73,38.03,38.87,38.02,38.71,2227731,103,1
74,38.52,39.0,38.42,38.96,1455872,103,1
75,39.5,39.87,39.435,39.53,2048204,103,1
76,39.14,39.8,39.1,39.6,2203205,103,1
77,39.7,40.43,39.59,40.15,2281387,103,1
78,39.99,40.2,39.48,39.49,1851908,103,1
79,39.56,39.78,38.36,38.86,2964564,103,1
80,38.9,39.3325,38.405,38.61,1604904,103,1
81,38.56,38.76,37.93,37.97,1769996,103,1
82,37.99,38.44,37.78,38.25,2050844,103,1
83,38.52,38.97,38.29,38.86,2125702,103,1
84,38.78,39.12,38.46,38.86,2009776,103,1
85,38.47,38.83,38.12,38.12,1830595,103,1
86,38.37,38.49,37.485,37.58,1462187,103,1
87,37.61,38.03,37.45,37.93,1648871,103,1
88,37.94,38.02,37.18,37.35,1455801,103,1
89,37.67,37.77,37.34,37.59,1582845,103,1
90,37.31,37.84,37.31,37.76,1776866,103,1
91,37.69,37.89,37.33,37.42,2131881,103,1
92,37.12,38.0,37.0,37.46,4263029,103,1
93,37.68,38.839,37.51,38.64,4855882,103,1
94,38.22,38.645,37.74,38.44,2475007,103,1
95,38.86,39.835,38.5,39.67,3168592,103,1
96,40.0,40.28,39.38,39.82,2367657,103,1
97,40.05,40.2,39.705,40.03,2011014,103,1
98,39.98,39.98,39.29,39.83,2386515,103,1
99,40.04,40.6,39.98,40.23,1739870,103,1
100,40.17,40.94,40.14,40.73,2339532,103,1
101,40.76,41.12,40.49,40.93,1493361,103,1
102,41.3,42.57,41.13,42.57,2419102,103,1
103,42.71,43.0,42.09,42.45,2533141,103,1
104,42.68,42.82,41.98,42.54,2544432,103,1
105,42.46,42.55,41.19,41.63,3610956,103,1
106,42.06,42.17,40.44,40.94,2821614,103,1
