id_date,open,high,low,close,volume,id_stock,id_index
1,57.38,57.56,56.89,57.27,3733093,111,1
2,57.02,57.08,56.33,56.55,3865901,111,1
3,56.42,56.525,55.33,55.78,8458987,111,1
4,55.8,56.1,55.05,55.07,7386722,111,1
5,54.96,55.62,54.7382,55.59,6629363,111,1
6,56.09,56.09,53.68,54.03,9782559,111,1
7,53.99,54.0,52.95,53.12,9927033,111,1
8,52.25,52.99,51.9,52.27,12105838,111,1
9,52.14,52.42,51.83,52.21,6306541,111,1
10,52.61,52.66,51.92,52.28,5696397,111,1
11,52.45,52.57,50.8,50.8,6377039,111,1
12,51.28,51.61,50.69,51.47,6155322,111,1
13,51.34,51.73,50.92,51.59,6581849,111,1
14,51.4,51.63,50.74,51.03,6472254,111,1
15,50.21,51.95,50.21,51.87,11378537,111,1
16,51.74,53.23,51.73,53.12,9441436,111,1
17,53.61,54.85,53.43,53.95,10794753,111,1
18,54.29,54.595,53.95,54.31,6279888,111,1
19,54.36,54.71,54.03,54.42,4861261,111,1
20,54.8,54.84,53.59,54.2,4185607,111,1
21,54.26,55.02,53.8401,54.98,3983941,111,1
22,55.0,55.23,54.435,54.6,5322530,111,1
23,54.615,55.12,54.53,54.63,3115636,111,1
24,54.82,55.04,54.22,54.51,3735429,111,1
25,54.66,55.26,54.37,55.19,8661165,111,1
26,54.53,54.98,54.25,54.66,3220958,111,1
27,54.94,54.94,53.17,53.64,6081028,111,1
28,53.97,54.1,53.54,53.91,4934798,111,1
29,53.48,54.07,53.48,53.71,3291892,111,1
30,53.69,54.16,53.58,54.1,2406571,111,1
31,54.4,54.71,53.9,54.59,4539930,111,1
32,54.9,55.52,54.845,55.06,4867738,111,1
33,54.65,55.21,54.57,54.82,2531188,111,1
34,54.75,55.0,54.65,54.95,2640679,111,1
35,55.06,55.06,53.44,53.68,3321253,111,1
36,53.85,54.68,53.85,54.63,4061450,111,1
37,54.63,54.71,53.94,54.16,4133601,111,1
38,54.15,55.13,54.084,55.07,4848690,111,1
39,54.36,54.84,53.82,54.71,3680155,111,1
40,54.53,55.47,54.32,55.41,2752491,111,1
41,55.5,56.1591,55.4,55.81,4490892,111,1
42,55.96,56.5,55.74,55.76,3652373,111,1
43,55.77,55.82,54.79,54.82,4461302,111,1
44,54.59,54.8,53.91,54.66,4026222,111,1
45,54.36,54.39,53.06,53.1,5634700,111,1
46,53.55,53.71,52.75,53.33,4770308,111,1
47,52.83,53.12,52.445,52.76,5380981,111,1
48,52.85,53.27,52.34,52.79,5467049,111,1
49,54.97,56.49,54.4,56.17,13363753,111,1
50,56.29,56.34,55.13,55.36,4598354,111,1
51,56.03,56.58,55.49,56.34,5028547,111,1
52,56.25,57.11,56.185,57.06,5587193,111,1
53,57.05,57.55,56.78,57.03,4301294,111,1
54,57.17,57.39,56.67,57.15,3425915,111,1
55,57.3,57.57,57.2,57.51,4659205,111,1
56,57.49,57.93,57.33,57.78,3219605,111,1
57,57.78,57.85,57.16,57.35,2751998,111,1
58,57.33,58.3162,57.05,58.18,3556868,111,1
59,58.7,59.64,58.3975,58.52,4099256,111,1
60,58.47,59.27,58.26,59.05,3410597,111,1
61,59.1,59.395,58.89,59.08,3236156,111,1
62,58.84,59.85,58.47,59.84,3882928,111,1
63,59.69,59.69,58.84,59.15,2566927,111,1
64,59.29,59.51,58.84,59.51,2723365,111,1
65,59.38,59.52,58.5,58.81,2380612,111,1
66,58.96,59.8,58.89,59.6,3261536,111,1
67,59.59,60.28,59.33,60.11,3206947,111,1
68,59.92,60.0,58.975,59.15,3576660,111,1
69,59.51,60.95,59.38,60.83,4108234,111,1
70,60.72,62.065,60.72,61.81,3618456,111,1
71,61.86,62.41,61.59,62.11,3339320,111,1
72,62.13,63.63,61.23,61.54,5842615,111,1
73,60.98,61.66,60.5,61.24,3538875,111,1
74,60.81,61.22,60.5,61.13,3902903,111,1
75,62.0,62.535,61.74,61.81,5252056,111,1
76,61.32,62.02,61.07,61.6,3918277,111,1
77,61.73,62.98,61.54,62.43,5352822,111,1
78,62.07,62.12,60.93,60.93,5335561,111,1
79,61.18,62.0,60.815,61.91,3295906,111,1
80,61.88,62.26,61.11,61.26,2851611,111,1
81,61.07,61.36,59.89,60.19,3487113,111,1
82,60.13,60.79,59.6701,60.77,2940204,111,1
83,61.31,62.39,61.25,62.33,3685484,111,1
84,62.34,62.94,62.18,62.54,2270848,111,1
85,61.9,62.17,61.2701,61.46,2624275,111,1
86,61.86,62.11,61.12,61.38,2058126,111,1
87,61.43,62.495,61.16,62.35,2415515,111,1
88,62.2,62.215,60.58,61.01,3501742,111,1
89,61.42,62.04,60.87,62.0,3936677,111,1
90,61.93,62.28,61.79,62.1,3661806,111,1
91,62.25,62.39,61.6175,61.81,3641471,111,1
92,61.72,62.5,61.39,61.62,5222973,111,1
93,62.09,62.16,60.71,61.36,4596052,111,1
94,60.93,61.0,59.81,59.97,3147118,111,1
95,60.51,61.42,60.42,61.11,2926151,111,1
96,61.6,61.88,61.15,61.57,2749324,111,1
97,62.0,63.0,61.84,62.69,2651521,111,1
98,62.41,63.115,61.77,62.81,3695840,111,1
99,63.17,63.99,63.09,63.59,2924243,111,1
100,63.64,64.72,63.59,64.24,4960396,111,1
101,63.82,64.135,63.33,63.92,1511571,111,1
102,64.53,65.66,64.29,65.66,2451124,111,1
103,66.07,66.33,65.281,65.54,3291655,111,1
104,65.93,66.14,65.375,65.53,2890435,111,1
105,65.53,65.53,64.6,64.91,3139835,111,1
106,65.71,65.93,65.1,65.81,2801059,111,1
107,65.99,66.96,65.82,66.81,2192575,111,1
108,67.63,67.7,66.165,66.85,2027474,111,1
109,66.76,67.08,65.94,66.68,1973817,111,1
110,66.77,67.06,65.97,66.9,3079987,111,1
111,66.9,67.52,66.42,67.05,3841967,111,1
