id_date,open,high,low,close,volume,id_stock,id_index
1,60.18,60.8,60.17,60.49,553059,113,1
2,60.27,60.38,59.96,60.22,598029,113,1
3,60.36,60.44,59.37,59.49,783425,113,1
4,59.64,59.71,58.97,59.14,454847,113,1
5,58.84,59.54,58.64,59.13,637865,113,1
6,59.01,59.34,58.81,59.1,1029370,113,1
7,59.2,59.3,58.9001,59.12,808603,113,1
8,59.12,59.46,58.75,58.77,594013,113,1
9,58.58,58.72,57.75,57.89,1281212,113,1
10,58.3,59.09,58.28,58.82,630175,113,1
11,59.08,59.28,57.92,57.92,859178,113,1
12,58.15,58.64,58.08,58.5,792436,113,1
13,58.44,60.04,58.35,59.92,899900,113,1
14,60.0,60.55,59.9,60.11,887016,113,1
15,59.82,60.315,59.27,60.03,1335377,113,1
16,59.81,59.89,58.78,59.47,1091528,113,1
17,59.71,60.4,59.65,60.2,711762,113,1
18,60.39,60.48,59.57,60.17,981537,113,1
19,60.22,61.04,60.04,60.69,867050,113,1
20,60.94,61.08,60.68,60.95,897299,113,1
21,60.83,61.62,60.81,61.5,1277922,113,1
22,61.5,61.897,61.23,61.81,560429,113,1
23,61.9,63.37,61.75,63.36,1198178,113,1
24,63.38,63.78,62.99,63.2,1061051,113,1
25,62.99,63.605,62.71,63.41,1607911,113,1
26,63.12,63.69,62.92,63.38,905453,113,1
27,63.49,63.775,62.94,63.55,812284,113,1
28,63.77,64.16,63.52,63.82,615096,113,1
29,63.41,63.77,62.66,63.03,535818,113,1
30,63.24,63.48,62.68,62.74,540266,113,1
31,62.88,63.31,62.26,62.53,452240,113,1
32,62.78,63.02,62.43,62.7,559657,113,1
33,62.4,62.78,61.86,62.58,630377,113,1
34,62.68,63.22,62.44,63.12,1298722,113,1
35,62.94,63.07,62.18,62.34,438581,113,1
36,62.56,62.59,61.64,61.89,496495,113,1
37,62.01,62.75,61.91,62.08,882603,113,1
38,62.24,62.705,62.15,62.41,979806,113,1
39,61.81,62.26,61.68,62.09,976235,113,1
40,62.2,62.42,61.44,62.35,633870,113,1
41,62.56,62.79,61.905,62.72,590525,113,1
42,62.8,63.69,62.69,63.69,862342,113,1
43,63.77,63.93,63.48,63.69,612568,113,1
44,63.37,63.39,62.55,62.88,957770,113,1
45,62.52,62.83,61.13,61.13,928496,113,1
46,61.54,61.64,60.83,61.4,805241,113,1
47,60.64,60.7,59.54,59.59,1119403,113,1
48,59.69,59.8,58.79,59.68,1164441,113,1
49,60.33,61.3,60.25,61.1,1575582,113,1
50,61.09,61.31,60.16,61.05,876667,113,1
51,61.46,61.53,60.76,61.35,1104722,113,1
52,61.66,62.5,61.63,61.67,1075155,113,1
53,61.71,62.45,61.65,61.92,1169181,113,1
54,62.01,62.21,61.68,61.9,622711,113,1
55,61.96,62.28,61.7,62.25,522400,113,1
56,62.25,63.095,61.98,62.92,784775,113,1
57,62.65,63.36,62.44,62.44,1813673,113,1
58,62.5,63.51,62.5,63.4,643898,113,1
59,64.0,64.47,63.89,64.41,532458,113,1
60,64.23,65.07,64.23,64.89,552144,113,1
61,65.0,65.36,64.67,65.35,460196,113,1
62,65.39,65.48,64.95,65.37,447868,113,1
63,65.18,65.68,64.95,65.31,527192,113,1
64,65.28,65.59,65.05,65.38,368353,113,1
65,65.23,65.77,65.17,65.28,342811,113,1
66,65.28,65.75,65.28,65.75,465562,113,1
67,65.67,66.67,65.44,66.49,473186,113,1
68,66.29,66.62,65.66,65.66,408283,113,1
69,65.71,66.66,65.71,66.46,856105,113,1
70,66.28,66.915,66.28,66.7,483031,113,1
71,66.58,66.92,66.31,66.76,445734,113,1
72,66.8,67.11,65.77,65.92,605993,113,1
73,65.47,66.4724,65.37,66.05,535577,113,1
74,65.81,66.29,65.53,66.18,714252,113,1
75,66.76,67.58,66.47,66.79,586369,113,1
76,66.37,66.83,65.96,66.33,480537,113,1
77,66.34,66.76,65.885,65.93,669663,113,1
78,65.71,66.25,64.75,64.75,734278,113,1
79,64.93,65.24,64.17,65.12,827270,113,1
80,65.07,65.5,64.42,64.92,472436,113,1
81,64.68,64.94,63.87,63.91,436389,113,1
82,63.9,64.74,63.63,64.72,550146,113,1
83,65.07,65.68,64.9,65.51,593460,113,1
84,65.6,65.79,64.68,64.99,442200,113,1
85,64.39,65.39,64.23,64.88,650793,113,1
86,65.33,65.3832,64.59,64.63,736361,113,1
87,64.49,65.03,64.19,64.87,723638,113,1
88,64.93,65.13,64.23,64.48,597359,113,1
89,64.98,65.13,64.14,64.44,802795,113,1
90,64.5,64.83,64.18,64.7,863706,113,1
91,64.66,64.89,63.76,63.77,519806,113,1
92,63.16,63.36,62.07,62.36,825022,113,1
93,62.8,63.32,62.43,62.84,1062532,113,1
94,62.38,62.39,61.13,61.73,839974,113,1
95,62.245,62.245,61.53,61.74,646900,113,1
96,62.22,62.96,61.89,62.79,517364,113,1
97,63.0,63.28,62.63,62.93,608149,113,1
98,62.85,63.96,62.7,63.41,970816,113,1
99,63.6,64.39,63.5,63.58,496630,113,1
100,63.54,63.6,62.44,63.1,572957,113,1
101,62.78,63.77,62.48,63.57,460804,113,1
102,63.94,64.46,63.93,64.38,576220,113,1
103,64.58,65.27,64.49,65.13,642204,113,1
104,65.39,66.71,65.32,66.45,829011,113,1
105,66.4,66.94,66.29,66.68,810201,113,1
106,67.0,67.595,67.0,67.56,556871,113,1
107,67.56,67.94,66.81,67.74,1103387,113,1
108,67.68,68.0,67.39,67.99,502134,113,1
109,67.99,68.18,67.84,67.85,648027,113,1
110,68.08,68.4,67.95,68.3,531026,113,1
111,68.31,68.99,68.31,68.52,743781,113,1
112,69.94,71.52,68.74,70.42,1879886,113,1
113,70.57,71.23,70.23,70.78,543788,113,1
114,70.76,70.97,70.24,70.68,579366,113,1
115,70.99,71.5,70.55,71.11,687726,113,1
116,70.89,71.23,70.35,70.97,559563,113,1
117,70.59,70.84,70.38,70.78,465030,113,1
118,70.24,70.77,70.21,70.38,569371,113,1
119,70.65,71.04,70.24,70.63,379011,113,1
120,70.82,71.83,70.78,71.17,583370,113,1
121,71.59,73.29,71.05,73.21,657184,113,1
122,73.02,74.1,72.83,73.98,776333,113,1
123,73.71,74.38,73.71,74.17,694470,113,1
124,73.99,74.47,73.78,74.13,847813,113,1
125,73.92,74.86,73.845,74.69,883880,113,1
126,74.76,75.25,74.25,74.64,468196,113,1
127,74.53,74.84,74.09,74.42,568015,113,1
128,74.66,74.96,71.54,73.33,2192768,113,1
129,73.76,74.37,72.74,74.29,1662292,113,1
130,74.32,74.48,73.58,74.2,1397459,113,1
131,73.67,73.78,72.4,72.96,1071993,113,1
132,72.96,73.42,72.255,72.56,2469552,113,1
133,72.45,72.91,72.1,72.13,779268,113,1
134,72.14,72.55,71.69,72.0,578750,113,1
135,71.97,72.11,71.14,71.18,622914,113,1
136,71.42,71.98,71.27,71.78,400229,113,1
137,71.69,72.12,71.58,72.03,367979,113,1
138,72.04,72.59,71.818,72.01,313315,113,1
139,71.43,71.75,70.5,70.66,425108,113,1
140,70.67,71.28,70.62,71.02,342753,113,1
141,70.84,71.7,70.62,71.43,345232,113,1
142,71.66,71.7,70.56,70.77,395040,113,1
143,71.2,71.96,70.27,70.68,974015,113,1
144,70.61,71.29,70.41,71.25,576679,113,1
145,71.24,71.47,70.89,71.12,641540,113,1
146,71.26,71.52,70.12,71.08,337823,113,1
147,71.24,71.56,71.127,71.4,491138,113,1
148,71.68,72.28,71.65,71.97,585141,113,1
149,72.1,72.76,72.05,72.58,373255,113,1
150,72.41,73.28,72.41,72.79,407909,113,1
151,73.0,73.19,72.24,73.03,325309,113,1
152,73.05,73.91,72.71,73.67,610846,113,1
153,73.58,74.59,73.39,74.5,432661,113,1
154,74.27,74.592,73.13,73.99,1041630,113,1
155,74.06,75.05,74.06,74.28,736765,113,1
156,72.3,72.59,69.19,70.0,2858034,113,1
157,69.47,69.7,68.06,68.68,1904218,113,1
158,68.49,70.01,68.12,69.41,1384768,113,1
159,69.35,69.35,68.44,68.99,2303771,113,1
160,68.95,69.32,68.52,68.93,1182400,113,1
161,68.47,68.83,68.31,68.59,715900,113,1
162,67.87,68.185,67.68,67.86,917282,113,1
163,68.12,69.51,67.91,69.25,1316517,113,1
164,68.85,68.85,67.33,67.72,1264037,113,1
165,67.48,67.71,66.2,66.84,998473,113,1
166,66.88,67.16,66.31,66.99,494555,113,1
167,66.52,67.26,66.28,66.87,409012,113,1
168,66.92,66.92,65.86,65.9,813907,113,1
169,66.21,66.79,65.76,66.53,910664,113,1
170,67.57,68.31,66.99,68.27,784987,113,1
171,67.99,68.55,67.63,68.54,527105,113,1
172,68.04,68.96,67.86,68.92,553053,113,1
173,68.81,69.13,67.87,68.06,888571,113,1
174,68.7,69.19,68.6,69.0,813437,113,1
175,68.75,70.46,68.64,70.17,1086062,113,1
176,70.56,70.56,69.4,70.54,1047106,113,1
177,70.54,70.54,69.5,69.84,625518,113,1
178,70.27,70.83,69.69,70.71,950553,113,1
179,70.61,72.05,70.5,72.03,990496,113,1
180,72.05,72.46,71.66,72.24,802512,113,1
181,70.24,71.03,68.75,70.69,1597248,113,1
182,70.56,70.84,69.945,70.12,909663,113,1
183,70.32,70.48,69.57,70.19,784403,113,1
184,70.55,70.82,69.83,70.03,684601,113,1
185,70.1,70.31,69.47,69.83,652140,113,1
186,70.03,70.39,69.51,70.09,706471,113,1
187,70.25,70.68,70.0,70.57,556747,113,1
188,70.51,71.23,70.28,70.66,679342,113,1
189,70.82,71.28,70.37,71.27,538759,113,1
190,71.11,71.52,69.93,70.0,526862,113,1
191,70.04,71.2815,69.72,70.9,661548,113,1
192,70.93,71.18,70.73,70.97,489092,113,1
193,70.81,71.0,70.2701,70.35,554876,113,1
194,69.75,70.57,69.75,70.53,578693,113,1
195,70.45,70.99,70.01,70.74,500533,113,1
196,70.72,71.11,70.23,71.11,1450826,113,1
197,71.49,72.6,71.33,72.17,869095,113,1
198,72.16,72.59,71.53,72.0,1473365,113,1
199,72.04,72.72,71.72,72.05,588706,113,1
200,72.34,72.97,72.24,72.93,560000,113,1
201,73.0,73.23,72.76,73.0,851665,113,1
202,73.09,73.19,72.42,72.55,427531,113,1
203,72.63,73.22,72.44,72.9,669541,113,1
204,73.06,73.27,72.74,73.26,447749,113,1
205,73.25,73.432,72.73,72.73,418584,113,1
206,72.73,73.24,72.56,72.66,522412,113,1
207,72.43,72.94,72.07,72.47,577648,113,1
208,72.2,72.87,71.8079,72.66,834886,113,1
209,72.55,72.96,72.22,72.41,604770,113,1
210,72.9,73.58,72.79,73.5,415195,113,1
211,73.45,73.83,73.04,73.4,596850,113,1
212,73.05,73.475,72.68,72.89,393796,113,1
213,72.87,72.87,71.48,71.58,569994,113,1
214,71.64,71.838,71.01,71.26,571974,113,1
215,71.39,71.5399,71.15,71.31,512696,113,1
216,71.67,72.285,71.67,71.86,885510,113,1
217,72.08,72.12,70.97,71.05,1108455,113,1
218,71.29,72.38,70.58,72.22,902583,113,1
219,72.27,72.49,71.65,71.9,982720,113,1
220,71.82,73.1,71.81,72.87,723161,113,1
221,73.61,73.61,72.93,73.07,427682,113,1
222,73.26,73.79,73.14,73.73,111290,113,1
223,73.92,74.27,73.55,74.04,171277,113,1
224,74.21,74.43,73.8772,74.0,224754,113,1
225,74.11,74.21,73.54,73.78,266393,113,1
226,73.79,74.22,73.57,73.92,316818,113,1
227,74.0,74.0,72.952,73.11,731153,113,1
228,73.08,73.88,73.06,73.81,567235,113,1
229,74.79,76.62,74.32,75.67,2243465,113,1
230,75.75,76.06,75.59,75.78,891031,113,1
231,75.78,76.2,75.02,76.01,1068899,113,1
232,76.25,76.64,75.71,76.19,429822,113,1
233,76.25,76.37,75.74,75.98,873698,113,1
234,75.78,76.2125,75.085,75.14,806295,113,1
235,75.52,76.11,74.87,76.11,931387,113,1
236,76.13,76.56,75.71,75.99,835126,113,1
237,76.04,77.23,75.86,77.05,1071577,113,1
238,77.37,78.36,77.32,77.58,2003252,113,1
239,78.0,79.57,76.81,78.22,1975684,113,1
240,78.75,79.395,77.34,79.19,1575363,113,1
241,79.09,79.59,78.84,79.29,1265060,113,1
242,78.46,78.55,77.06,77.07,1163093,113,1
243,77.05,77.6,76.34,76.6,990308,113,1
244,76.62,76.73,75.78,76.37,833936,113,1
245,75.47,75.76,74.9445,75.42,1036309,113,1
246,76.02,76.19,75.54,75.97,693145,113,1
247,74.94,76.21,74.76,75.56,940532,113,1
248,75.67,75.96,74.53,74.57,1822783,113,1
249,74.79,75.02,73.51,74.82,1332172,113,1
250,74.35,75.0,73.76,74.91,848946,113,1
251,75.74,76.14,75.0,76.1,1138264,113,1
252,76.29,77.21,76.29,77.18,650852,113,1
253,77.01,77.45,76.6,76.82,953243,113,1
254,76.83,77.42,76.61,77.02,675242,113,1
255,77.32,77.86,77.2,77.56,807654,113,1
256,77.05,77.84,76.84,77.84,488654,113,1
257,77.77,78.53,77.49,78.52,723853,113,1
258,78.44,78.94,78.11,78.75,958428,113,1
259,78.74,80.09,78.558,78.8,1073030,113,1
260,78.94,81.18,78.86,80.98,1355882,113,1
261,81.0,82.38,80.98,81.97,1305111,113,1
262,81.69,83.8,81.57,82.82,1236071,113,1
263,82.48,82.93,82.06,82.42,1086531,113,1
264,82.57,83.0,81.91,81.97,883657,113,1
265,82.27,82.49,81.63,82.47,584650,113,1
266,82.6,83.17,81.99,82.54,611977,113,1
267,82.02,83.07,81.78,82.77,679965,113,1
268,83.25,83.96,83.038,83.47,912011,113,1
269,83.73,84.06,82.8,83.01,958601,113,1
270,83.16,83.34,82.07,82.35,919627,113,1
271,82.77,82.93,80.91,82.18,1422976,113,1
272,81.84,81.9,81.2,81.7,599443,113,1
273,81.77,81.92,80.4775,80.66,642203,113,1
274,80.36,80.46,79.74,80.27,1323866,113,1
275,80.54,80.93,79.28,79.65,703951,113,1
276,79.46,80.38,79.46,79.7,662679,113,1
277,80.03,80.795,79.93,80.68,621851,113,1
278,80.83,81.2,80.67,80.94,477430,113,1
279,81.0,81.39,79.46,80.02,395511,113,1
280,80.02,80.25,79.63,80.17,452035,113,1
281,81.08,81.3,80.24,80.41,1187060,113,1
