id_date,open,high,low,close,volume,id_stock,id_index
1,57.82,57.87,57.58,57.87,17871725,115,1
2,57.94,57.94,57.53,57.59,19329629,115,1
3,57.84,58.26,57.6,58.25,21826388,115,1
4,58.35,58.62,58.0,58.61,6787827,115,1
5,57.8,58.01,57.6199,57.92,5764412,115,1
6,57.9,58.01,56.78,57.02,9695518,115,1
7,57.64,58.61,57.52,58.6,8119745,115,1
8,58.6,58.61,57.64,57.67,5927128,115,1
9,57.56,58.16,57.09,58.11,7298826,115,1
10,58.3,58.33,57.65,58.2,4387306,115,1
11,58.47,58.55,56.83,56.89,8409594,115,1
12,57.3,57.92,56.9495,57.75,7763493,115,1
13,57.56,58.18,57.41,58.04,6117022,115,1
14,57.9,58.3,57.85,57.95,7528251,115,1
15,57.93,58.28,57.65,58.28,6732252,115,1
16,58.14,58.19,57.25,57.62,5845181,115,1
17,57.94,58.01,57.36,57.66,7148360,115,1
18,57.93,58.04,57.44,58.0,6691277,115,1
19,58.002,58.14,57.85,57.86,5328649,115,1
20,57.97,58.49,57.83,58.39,4797968,115,1
21,58.41,58.595,58.08,58.44,4725968,115,1
22,58.56,58.92,58.45,58.73,4664590,115,1
23,58.76,58.94,58.56,58.78,4485313,115,1
24,59.0,59.56,58.87,59.52,5130118,115,1
25,59.1,59.39,58.81,59.07,10307678,115,1
26,58.67,59.65,58.55,59.15,5002603,115,1
27,59.21,59.48,58.71,59.31,6726904,115,1
28,60.0,60.54,59.63,60.44,8142013,115,1
29,60.17,61.03,60.01,60.94,8956935,115,1
30,61.11,61.11,60.68,60.91,6376945,115,1
31,61.0,61.19,60.06,60.21,5776829,115,1
32,60.5,60.62,60.08,60.44,4516225,115,1
33,60.2,60.71,60.03,60.38,4103163,115,1
34,60.4,60.59,60.06,60.1,5282993,115,1
35,60.2,60.7,60.02,60.48,4124336,115,1
36,60.58,60.65,59.85,60.04,4769837,115,1
37,60.14,60.35,59.13,59.28,5534713,115,1
38,59.22,59.41,58.7,58.88,4965199,115,1
39,58.38,58.69,58.06,58.54,6736481,115,1
40,58.6,59.34,58.51,59.31,4744039,115,1
41,59.51,60.06,59.0,59.78,4603934,115,1
42,59.98,60.6,59.89,60.25,5450608,115,1
43,60.4,60.63,59.83,60.16,6837247,115,1
44,59.63,59.86,59.08,59.36,5149196,115,1
45,58.72,58.72,57.2,57.24,9772626,115,1
46,58.01,58.01,56.883,57.44,9321865,115,1
47,57.17,57.2,56.38,56.81,7038608,115,1
48,56.96,57.57,56.465,57.32,6170444,115,1
49,57.64,57.99,57.04,57.49,6396654,115,1
50,57.58,57.79,56.915,57.39,5465652,115,1
51,57.61,57.8,57.0,57.78,7519919,115,1
52,57.89,58.55,57.89,58.26,7812011,115,1
53,58.37,58.77,57.72,58.37,6271337,115,1
54,58.42,59.0,58.359,58.91,6303916,115,1
55,59.29,60.05,59.021,59.9,5621023,115,1
56,59.84,60.45,59.51,60.45,6208662,115,1
57,60.15,60.72,59.9,60.01,7149676,115,1
58,60.1,61.23,59.95,60.96,8344476,115,1
59,61.41,61.97,61.25,61.92,6434510,115,1
60,61.96,62.42,61.71,62.22,5802476,115,1
61,62.38,62.99,62.26,62.84,5933479,115,1
62,62.8,62.94,62.33,62.59,6476002,115,1
63,62.56,62.89,62.33,62.58,11004265,115,1
64,62.44,62.58,61.82,62.23,12466209,115,1
65,62.11,62.33,61.75,62.0,12518462,115,1
66,62.02,63.14,61.84,63.06,6908589,115,1
67,62.84,62.84,61.86,62.42,8092235,115,1
68,62.37,62.87,62.24,62.43,5215543,115,1
69,62.39,63.31,62.37,63.31,7081760,115,1
70,63.3,64.4562,63.25,64.03,6190150,115,1
71,64.25,64.769,63.8,64.31,6543784,115,1
72,63.54,63.97,62.57,62.74,9357667,115,1
73,62.03,62.9257,61.9,62.79,5245193,115,1
74,62.54,62.6233,62.1801,62.53,4623657,115,1
75,63.24,63.61,62.72,62.84,5906433,115,1
76,62.49,63.01,62.2,62.78,6431668,115,1
77,62.58,62.61,62.053,62.28,5658119,115,1
78,62.12,62.65,61.34,61.34,8033079,115,1
79,61.58,62.1,61.28,62.09,6814092,115,1
80,61.89,62.08,61.32,61.68,5171843,115,1
81,61.96,62.11,61.44,61.62,7571868,115,1
82,61.51,61.92,60.963,61.91,6616704,115,1
83,62.17,62.38,61.76,62.32,5081016,115,1
84,62.36,62.44,61.95,62.2,4148183,115,1
85,61.72,62.1754,61.36,61.91,4697993,115,1
86,62.27,62.27,60.793,60.88,5031353,115,1
87,60.67,61.72,60.38,61.65,5346507,115,1
88,61.67,61.71,60.865,61.03,3327760,115,1
89,61.45,62.05,61.44,61.94,3663814,115,1
90,61.94,62.23,61.75,62.1,3436957,115,1
91,62.15,62.57,61.71,61.71,5932510,115,1
92,61.13,61.21,60.12,60.28,7999018,115,1
93,60.77,60.8,59.5514,60.36,8781148,115,1
94,59.78,59.895,58.71,59.35,7389868,115,1
95,59.81,60.015,59.37,59.83,6079147,115,1
96,60.37,60.45,59.758,60.33,4010484,115,1
97,60.62,61.1,60.31,60.34,3705351,115,1
98,60.3,60.77,60.04,60.5,6164469,115,1
99,60.73,61.63,60.73,61.23,5100523,115,1
100,61.21,62.185,61.05,61.79,6708306,115,1
101,61.47,62.01,61.06,61.84,3783103,115,1
102,62.11,62.415,61.52,62.31,4281660,115,1
103,62.51,63.21,62.3101,63.04,5877394,115,1
104,63.31,63.68,63.205,63.5,4831337,115,1
105,63.62,63.88,63.31,63.53,4850519,115,1
106,64.11,64.44,63.88,64.32,6187457,115,1
107,64.26,64.85,64.25,64.84,16577650,115,1
108,64.79,65.32,64.67,65.26,15601243,115,1
109,65.24,65.4,64.71,64.95,16526358,115,1
110,65.24,65.64,65.13,65.56,4853408,115,1
111,65.37,65.7755,65.15,65.3,5061061,115,1
112,65.59,66.0,65.28,66.0,6958845,115,1
113,66.08,66.17,65.725,65.83,3984591,115,1
114,65.97,66.24,65.92,66.12,4089608,115,1
115,66.25,66.25,65.13,65.59,5025618,115,1
116,65.41,65.9299,65.3,65.71,4092389,115,1
117,65.41,65.73,65.33,65.72,3117946,115,1
118,65.54,65.58,64.9,65.18,4256175,115,1
119,65.45,65.46,64.51,64.83,5285110,115,1
120,64.92,65.64,64.86,64.86,5529882,115,1
121,65.72,66.29,65.5225,66.09,7274709,115,1
122,65.96,67.23,65.79,67.23,7479764,115,1
123,67.0,67.415,66.57,67.19,4002619,115,1
124,67.12,67.47,66.63,67.09,6247951,115,1
125,66.93,66.97,66.285,66.52,4172355,115,1
126,67.04,67.29,66.37,67.09,4646247,115,1
127,67.01,67.02,66.17,66.83,3668819,115,1
128,66.32,66.52,66.06,66.1,4489215,115,1
129,66.43,67.295,66.3,66.9,4963347,115,1
130,67.15,67.5,66.72,67.16,6489085,115,1
131,66.76,67.7,66.62,67.62,6476369,115,1
132,67.37,67.91,66.97,67.38,6536032,115,1
133,67.41,67.41,65.79,65.83,6449437,115,1
134,65.82,66.4,65.56,65.98,5589580,115,1
135,65.97,66.02,65.29,65.52,4414205,115,1
136,65.58,66.43,65.45,66.15,4100877,115,1
137,66.26,66.65,66.04,66.55,4396340,115,1
138,66.59,66.94,66.207,66.31,3220866,115,1
139,65.95,66.5599,65.94,66.02,5351272,115,1
140,66.18,67.33,66.18,66.77,6656946,115,1
141,66.51,66.55,65.9826,66.16,4382774,115,1
142,66.28,66.54,66.12,66.3,4963254,115,1
143,66.96,66.99,66.51,66.79,5541901,115,1
144,66.87,68.1,66.71,67.66,6529127,115,1
145,67.66,68.11,67.46,67.77,4285456,115,1
146,67.88,68.765,67.45,68.2,5990230,115,1
147,68.25,68.92,68.05,68.87,5166011,115,1
148,68.9,68.97,68.315,68.66,4464796,115,1
149,68.73,69.375,68.585,69.16,3783030,115,1
150,69.19,69.21,68.72,68.78,3616344,115,1
151,69.14,69.42,68.88,69.19,3996157,115,1
152,69.77,69.81,69.14,69.34,4791653,115,1
153,69.31,69.92,69.26,69.7,3738794,115,1
154,69.59,70.94,69.415,70.56,5209405,115,1
155,70.6,70.905,70.06,70.84,4743937,115,1
156,70.85,71.09,70.2725,71.0,10136837,115,1
157,70.66,70.73,69.8,70.58,4680532,115,1
158,70.63,71.04,70.34,70.4,5670911,115,1
159,70.49,70.69,70.035,70.32,3969984,115,1
160,70.34,70.44,69.89,70.23,3836833,115,1
161,70.16,70.38,69.92,70.31,3422972,115,1
162,69.69,69.92,69.3,69.51,4802084,115,1
163,69.46,70.455,69.32,70.04,4141263,115,1
164,70.02,70.57,69.75,70.36,5022403,115,1
165,70.19,70.32,69.57,70.17,6550472,115,1
166,70.18,70.99,70.03,70.97,4996680,115,1
167,70.4,71.18,70.15,70.88,4621580,115,1
168,70.77,71.13,70.15,70.17,5165220,115,1
169,70.24,70.389,69.62,69.77,5769138,115,1
170,69.8,71.11,69.69,71.08,4454695,115,1
171,70.82,71.8502,70.7615,71.71,4592065,115,1
172,71.3,72.03,71.25,71.96,4223796,115,1
173,71.9,72.245,71.475,71.89,6252155,115,1
174,72.32,73.09,72.2,72.96,5534951,115,1
175,72.68,73.47,72.54,73.41,4494264,115,1
176,73.58,73.59,72.73,73.43,5223675,115,1
177,73.53,73.58,72.9002,73.05,3407014,115,1
178,73.26,73.53,72.88,73.26,3597326,115,1
179,72.92,72.92,71.95,72.39,4437491,115,1
180,72.67,73.49,72.44,73.39,3707977,115,1
181,73.53,74.1,73.0092,74.06,4218735,115,1
182,73.91,74.06,73.6,73.89,3455964,115,1
183,74.2,74.594,74.0,74.34,3389860,115,1
184,74.4,74.48,72.87,73.25,5278938,115,1
185,73.66,74.48,73.28,73.33,5556627,115,1
186,73.56,73.56,72.21,73.09,4920983,115,1
187,73.37,73.51,72.84,73.33,3604456,115,1
188,73.03,73.28,72.5,72.57,4592512,115,1
189,73.19,73.97,73.11,73.9,5643187,115,1
190,73.85,73.93,72.27,72.51,5836644,115,1
191,72.49,73.72,72.37,73.69,4819568,115,1
192,73.46,73.83,73.3256,73.56,2786703,115,1
193,73.25,73.47,72.61,72.82,3125294,115,1
194,72.74,73.36,72.57,73.34,3463567,115,1
195,73.58,73.8,73.2,73.68,3832969,115,1
196,73.55,73.57,72.75,73.3,5343373,115,1
197,73.47,73.6299,72.201,72.31,4718321,115,1
198,72.12,72.69,71.76,72.26,7124186,115,1
199,72.49,72.93,72.09,72.25,4139521,115,1
200,72.47,73.6,72.4,73.34,3988873,115,1
201,73.49,74.07,73.24,74.02,3633766,115,1
202,73.76,73.92,72.75,72.81,5295445,115,1
203,72.82,73.51,72.49,72.93,4089777,115,1
204,72.94,73.4,72.38,72.62,3301279,115,1
205,72.64,73.54,72.5,72.8,2434292,115,1
206,73.39,73.49,72.25,72.57,5696595,115,1
207,72.47,73.14,72.14,72.47,5419612,115,1
208,72.34,72.62,71.12,71.41,5399327,115,1
209,71.21,71.35,70.12,70.84,5041529,115,1
210,71.18,71.48,70.2,70.77,5560678,115,1
211,70.55,70.99,70.2,70.44,4952904,115,1
212,70.2,70.63,69.81,70.31,4717946,115,1
213,70.31,70.33,69.05,69.11,5776941,115,1
214,69.13,69.79,68.91,69.48,5714604,115,1
215,69.54,70.16,69.29,69.43,4648978,115,1
216,69.7,70.14,69.52,69.79,4170897,115,1
217,69.82,69.85,69.045,69.06,4883150,115,1
218,69.45,69.6,68.23,69.4,7962474,115,1
219,68.91,69.38,68.72,69.08,6962522,115,1
220,69.11,70.49,69.05,69.88,8311703,115,1
221,70.08,70.75,69.45,69.56,4177397,115,1
222,69.63,69.98,69.31,69.93,1625036,115,1
223,70.0,70.44,69.93,70.19,2413248,115,1
224,70.07,70.59,70.06,70.39,1965754,115,1
225,70.47,70.64,69.87,69.91,3035409,115,1
