id_date,open,high,low,close,volume,id_stock,id_index
1,41.17,41.38,41.1,41.36,4276175,124,1
2,41.29,41.59,41.27,41.51,3009444,124,1
3,41.57,42.01,41.43,41.76,6403569,124,1
4,41.77,41.88,41.46,41.69,8139116,124,1
5,33.97,34.15,32.05,32.27,70769166,124,1
6,32.5,33.07,32.1597,33.02,39372361,124,1
7,33.36,35.17,33.36,34.14,30218580,124,1
8,34.53,34.79,33.92,33.93,10164660,124,1
9,33.93,34.44,33.85,34.27,10954539,124,1
10,34.4,34.8282,34.35,34.64,8236813,124,1
11,34.71,34.94,34.08,34.09,9308552,124,1
12,34.37,34.53,34.03,34.13,9930657,124,1
13,34.16,34.53,33.86,34.51,8643929,124,1
14,34.5,35.03,34.47,34.67,8638320,124,1
15,34.53,35.07,34.53,34.89,6545795,124,1
16,34.85,35.2,34.8,35.11,5474246,124,1
17,35.19,35.5,35.16,35.23,5382757,124,1
18,35.33,35.84,35.25,35.6,6010106,124,1
19,34.84,34.96,34.18,34.53,7543741,124,1
20,34.68,34.94,34.18,34.39,6309274,124,1
21,34.26,34.48,34.2,34.43,7968952,124,1
22,34.38,34.85,34.24,34.57,5299420,124,1
23,34.62,34.92,34.49,34.72,3319752,124,1
24,34.83,35.05,34.56,34.75,4360604,124,1
25,34.58,34.84,34.0,34.37,8856862,124,1
26,34.21,34.5,34.12,34.2,5225583,124,1
27,34.21,34.45,34.0501,34.25,4380525,124,1
28,34.41,34.69,34.27,34.58,10043379,124,1
29,34.38,34.76,34.0762,34.49,5477392,124,1
30,34.59,35.15,34.57,35.03,6264965,124,1
31,35.03,35.44,34.895,34.99,4910880,124,1
32,35.1,35.27,34.96,35.2,4088242,124,1
33,35.0,35.29,34.87,35.12,3570372,124,1
34,35.12,35.215,34.8,35.13,4865073,124,1
35,35.11,35.22,34.66,34.86,4201694,124,1
36,35.03,35.32,34.86,35.18,5338124,124,1
37,35.37,35.7399,35.04,35.06,6475866,124,1
38,35.63,36.19,35.56,36.02,6688770,124,1
39,35.69,36.15,35.59,36.11,4075107,124,1
40,36.01,36.18,35.86,36.16,3033848,124,1
41,36.09,36.44,35.93,36.35,3451952,124,1
42,36.47,37.13,36.44,36.95,5814105,124,1
43,36.86,37.5,36.85,37.26,4436164,124,1
44,37.12,37.25,36.83,37.22,4297917,124,1
45,36.95,37.15,36.545,36.69,5090212,124,1
46,36.86,37.44,36.85,37.16,7114122,124,1
47,36.99,37.0002,36.34,36.76,3996064,124,1
48,36.81,37.35,36.77,36.85,3669660,124,1
49,37.01,37.46,36.94,37.17,4072343,124,1
50,37.17,37.36,37.02,37.35,3975632,124,1
51,37.44,37.9,37.36,37.89,4056304,124,1
52,37.7,37.73,36.345,37.1,14627256,124,1
53,37.24,37.77,37.16,37.53,5142827,124,1
54,37.53,37.71,37.14,37.15,3907077,124,1
55,37.24,37.57,37.05,37.45,3681299,124,1
56,37.28,37.61,37.185,37.57,3936668,124,1
