id_date,open,high,low,close,volume,id_stock,id_index
1,39.49,39.615,39.05,39.365,4520014,125,1
2,39.27,39.325,38.495,38.56,3191766,125,1
3,38.56,38.575,38.25,38.3,3078208,125,1
4,38.235,38.43,37.95,38.19,3159290,125,1
5,38.105,38.215,37.93,38.09,3294272,125,1
6,38.11,38.615,38.01,38.425,3725586,125,1
7,38.475,39.225,38.295,39.1605,3590614,125,1
8,39.095,39.12,38.515,38.525,3048194,125,1
9,38.49,38.5,37.5625,37.585,3601616,125,1
10,37.74,38.22,37.7,38.19,3045056,125,1
11,38.435,38.8,37.73,37.74,3601706,125,1
12,37.78,38.1238,37.635,37.93,3121106,125,1
13,38.06,38.77,37.85,38.59,2392606,125,1
14,38.58,38.71,38.355,38.385,2436104,125,1
15,38.225,39.035,37.875,38.97,2908938,125,1
16,38.895,39.345,38.6,39.295,2570758,125,1
17,39.42,39.9775,39.415,39.92,4042934,125,1
18,40.235,40.375,39.835,40.35,3400362,125,1
19,40.31,40.42,40.0125,40.265,2016340,125,1
20,40.325,40.54,39.94,40.255,2800688,125,1
21,39.6,39.895,39.505,39.89,2921344,125,1
22,39.86,39.87,39.2725,39.5075,2338506,125,1
23,39.625,39.625,39.06,39.595,3773390,125,1
24,39.645,39.72,39.1575,39.34,3412328,125,1
25,39.225,39.515,39.12,39.18,6011962,125,1
26,38.92,39.145,38.555,38.805,2724894,125,1
27,38.88,39.145,38.315,38.55,2560490,125,1
28,38.9,39.09,38.63,38.805,2628214,125,1
29,38.435,38.445,38.015,38.07,3640504,125,1
30,38.2,38.33,37.24,37.45,8047472,125,1
31,37.56,37.8425,37.015,37.195,5473496,125,1
32,37.495,37.705,37.225,37.31,2852056,125,1
33,37.17,37.47,37.035,37.105,3743968,125,1
34,37.125,38.365,37.035,38.3105,5644222,125,1
35,38.27,38.6,38.135,38.37,3540848,125,1
36,38.45,38.945,38.13,38.18,3045248,125,1
37,38.14,38.215,37.425,37.46,3642006,125,1
38,37.445,37.64,37.005,37.24,3225418,125,1
39,36.78,36.89,36.075,36.83,3829038,125,1
40,36.815,37.295,36.61,37.295,2389094,125,1
41,37.31,37.565,36.845,37.21,2151658,125,1
42,37.41,38.475,37.275,38.15,4010330,125,1
43,38.245,38.85,38.125,38.83,5391472,125,1
44,37.79,37.89,37.055,37.78,9171892,125,1
45,37.75,37.75,36.525,36.53,8525696,125,1
46,36.805,37.1,36.295,36.315,8952624,125,1
47,36.095,36.095,35.33,35.475,9982082,125,1
48,35.62,35.64,35.15,35.24,4885284,125,1
49,35.145,35.18,33.855,33.905,11732402,125,1
50,34.08,34.27,33.2025,33.35,9908950,125,1
51,33.525,33.59,32.435,32.495,17676232,125,1
52,32.495,32.595,30.885,30.965,31609800,125,1
53,31.395,31.88,30.645,30.675,18130584,125,1
54,30.655,31.18,30.65,30.98,12815958,125,1
55,31.135,31.58,31.0725,31.465,10227852,125,1
56,31.45,32.61,31.415,32.4,14370254,125,1
57,32.23,32.425,31.705,31.745,5536670,125,1
58,31.8,32.205,31.4675,32.17,7686000,125,1
59,32.55,33.335,32.375,33.305,9763504,125,1
60,33.39,33.39,32.775,32.825,7357920,125,1
61,32.87,33.2,32.08,32.44,9718854,125,1
62,34.0,34.115,32.58,34.075,13004590,125,1
63,34.24,34.335,33.845,34.225,11530318,125,1
64,34.355,34.365,32.1048,32.515,11786598,125,1
65,32.525,32.59,31.315,31.44,15485072,125,1
66,31.56,31.815,30.945,31.195,11703160,125,1
67,31.17,32.45,31.005,32.22,16701028,125,1
68,32.115,32.2875,31.57,31.61,5756358,125,1
69,31.86,32.785,31.415,32.75,11365278,125,1
70,32.75,33.215,32.025,32.265,9405210,125,1
71,32.37,32.445,32.035,32.305,11978274,125,1
72,31.945,33.2,31.925,32.575,16925054,125,1
73,32.445,32.6,31.84,32.055,9318330,125,1
74,31.885,31.925,31.455,31.885,5860836,125,1
75,32.345,32.345,31.75,31.87,6427844,125,1
76,31.645,32.355,31.43,32.14,7384034,125,1
77,32.185,32.5,31.89,32.4,5071642,125,1
78,32.36,32.585,32.065,32.325,4702430,125,1
79,32.43,32.6,32.1,32.435,5266186,125,1
80,32.65,32.9425,32.365,32.41,5869096,125,1
81,32.245,32.38,31.65,31.94,4851308,125,1
82,32.1,32.68,31.7188,32.675,8197294,125,1
83,32.895,33.33,32.8,33.29,7185268,125,1
84,33.305,33.32,32.0,32.055,7069204,125,1
85,31.7,32.365,31.625,32.215,4157344,125,1
86,32.365,32.57,31.925,32.0,5435152,125,1
87,31.925,32.135,31.59,31.955,6217312,125,1
88,31.875,32.075,31.245,31.49,6040790,125,1
89,31.8,32.105,31.6855,31.73,6664000,125,1
90,31.82,32.225,31.625,32.0225,6617456,125,1
91,32.085,32.335,31.695,31.77,6154188,125,1
92,31.2901,31.7,31.205,31.355,6857362,125,1
93,31.38,31.625,30.995,31.155,8958258,125,1
94,30.935,31.055,30.46,30.85,4096860,125,1
95,31.06,31.445,30.73,31.4,4826322,125,1
96,31.6612,32.0775,31.475,31.925,5123828,125,1
97,32.065,32.145,31.43,31.55,6731794,125,1
98,30.77,31.685,30.735,31.32,9464406,125,1
99,31.7,32.415,31.57,32.035,6092648,125,1
100,32.15,32.285,31.84,32.175,4322368,125,1
101,31.98,32.6,31.975,32.38,2115582,125,1
102,32.61,32.75,32.305,32.63,2007154,125,1
103,32.52,33.185,32.475,33.035,4406844,125,1
104,33.155,33.405,32.985,33.275,3668306,125,1
105,33.37,34.89,33.325,34.845,9906744,125,1
106,35.215,35.595,35.005,35.525,10913644,125,1
107,36.26,36.355,35.505,35.715,7589934,125,1
108,35.705,35.8475,35.335,35.475,5550210,125,1
109,35.575,35.88,35.315,35.505,5489872,125,1
110,35.555,35.84,35.47,35.605,5977142,125,1
111,35.98,36.66,35.975,36.245,6752486,125,1
112,36.16,36.375,35.82,36.18,7941634,125,1
113,37.455,37.46,36.355,36.435,4740854,125,1
114,36.525,36.525,36.1175,36.15,3871800,125,1
115,36.445,36.605,35.845,35.875,4038444,125,1
116,35.85,36.575,35.805,36.31,4395290,125,1
117,36.05,36.38,36.01,36.37,3097918,125,1
118,36.295,36.61,36.15,36.285,3352928,125,1
119,36.45,36.55,36.115,36.185,5170568,125,1
120,36.415,36.755,36.16,36.195,4184900,125,1
121,36.365,37.1,36.365,36.74,4031950,125,1
122,36.95,36.95,36.5,36.755,3737616,125,1
123,37.13,37.13,36.52,36.705,6487652,125,1
124,37.86,38.04,36.905,37.005,15187730,125,1
125,37.19,37.19,36.415,36.905,6502572,125,1
126,36.9,36.985,36.435,36.445,3658328,125,1
127,36.37,36.8499,36.37,36.58,2518330,125,1
128,36.39,36.815,36.39,36.695,3178090,125,1
129,36.745,36.92,36.345,36.67,2700702,125,1
130,36.495,36.62,36.185,36.19,2954606,125,1
131,35.825,35.92,35.1848,35.43,3786918,125,1
132,35.4,35.905,35.185,35.73,4347416,125,1
133,35.62,36.14,35.395,35.495,3453024,125,1
134,35.535,35.59,35.2175,35.325,2366552,125,1
135,35.13,36.465,35.0,36.25,5787770,125,1
136,36.13,36.485,36.13,36.38,2584276,125,1
137,36.38,37.0,35.89,36.875,3356260,125,1
138,36.795,36.9,36.545,36.81,3674146,125,1
139,36.445,36.54,36.005,36.095,3558850,125,1
140,36.205,37.0025,36.095,36.89,6092792,125,1
141,36.8,37.125,36.515,37.01,3337608,125,1
142,37.105,37.105,36.575,36.65,3741526,125,1
143,37.0,37.45,36.7875,37.245,4129666,125,1
144,37.25,38.145,37.085,37.85,6542764,125,1
145,37.77,38.15,37.71,38.0,5453586,125,1
146,38.28,38.995,38.055,38.75,8171362,125,1
147,38.905,39.25,38.765,39.16,4956260,125,1
148,39.5,39.745,39.345,39.63,3539224,125,1
149,39.515,40.115,39.515,39.93,5788940,125,1
150,39.8,39.85,39.365,39.4045,3493356,125,1
151,39.385,39.895,39.373,39.845,3280398,125,1
152,40.215,40.57,40.215,40.425,4262704,125,1
153,40.52,40.915,40.315,40.55,3937104,125,1
154,40.96,41.875,40.9,41.796,7063530,125,1
155,42.015,42.085,41.305,41.32,5209910,125,1
156,41.34,41.675,41.125,41.15,5391922,125,1
157,41.015,41.34,40.8114,41.215,3342474,125,1
158,41.315,41.685,41.085,41.445,3589138,125,1
159,41.365,41.695,41.115,41.57,2988652,125,1
160,41.735,41.735,41.196,41.495,2328898,125,1
161,41.08,41.41,40.955,41.35,2437320,125,1
162,40.775,41.24,39.75,41.06,4926378,125,1
163,40.89,41.625,40.82,41.615,2856186,125,1
