id_date,open,high,low,close,volume,id_stock,id_index
1,51.12,51.39,51.03,51.2,3656318,127,1
2,51.25,51.4,51.17,51.24,3992289,127,1
3,51.26,51.31,51.13,51.17,4303149,127,1
4,51.13,51.185,50.81,51.06,4837994,127,1
5,50.92,52.06,50.92,51.89,5182875,127,1
6,52.1,52.1,50.89,51.12,8492298,127,1
7,51.38,52.77,51.38,52.66,7829897,127,1
8,52.5,52.66,51.85,51.85,6350366,127,1
9,51.72,51.92,51.52,51.86,5439758,127,1
10,51.89,51.94,51.24,51.35,4224209,127,1
11,51.69,51.97,50.53,50.53,4479064,127,1
12,50.71,50.985,50.2119,50.64,4128438,127,1
13,50.71,51.255,50.51,51.16,3475912,127,1
14,51.21,51.63,51.05,51.12,6022565,127,1
15,51.07,51.64,50.88,51.56,4564945,127,1
16,51.4,51.87,51.25,51.87,3132766,127,1
17,52.01,52.43,51.87,52.3,5345192,127,1
18,52.58,52.69,52.14,52.22,5022964,127,1
19,52.22,52.22,51.7,52.09,3688645,127,1
20,52.3,52.45,51.8432,52.28,3982604,127,1
21,52.27,52.63,52.2,52.63,4622087,127,1
22,52.17,52.5,51.77,52.08,6388462,127,1
23,52.22,52.93,52.17,52.9,4521655,127,1
24,53.07,53.3,52.95,53.26,5796378,127,1
25,53.33,53.61,53.175,53.58,8932987,127,1
26,53.2,54.03,53.03,53.8,7208862,127,1
27,54.0,54.485,53.95,54.38,8913637,127,1
28,54.78,55.35,54.7,55.15,9135216,127,1
29,54.85,55.18,54.61,54.65,7506477,127,1
30,54.72,55.25,54.71,55.2,5196483,127,1
31,55.27,55.64,55.13,55.3,6376508,127,1
32,55.53,56.069,55.26,55.29,7632100,127,1
33,55.05,55.23,54.76,54.99,8530138,127,1
34,54.95,55.06,54.79,54.99,9382981,127,1
35,54.75,54.97,54.33,54.53,5450989,127,1
36,54.53,55.3,54.53,55.24,8003483,127,1
37,55.13,55.2,53.94,54.13,6749460,127,1
38,54.33,55.39,54.3,55.35,5981951,127,1
39,54.83,55.66,54.765,55.64,5724534,127,1
40,55.65,56.44,55.2,56.44,5237555,127,1
41,56.55,57.0,56.13,56.58,5694169,127,1
42,56.6,57.09,56.53,56.96,5630026,127,1
