id_date,open,high,low,close,volume,id_stock,id_index
1,14.77,14.88,14.52,14.62,9197133,131,1
2,14.66,14.9,14.61,14.69,7583776,131,1
3,14.64,14.79,14.46,14.5,7146775,131,1
4,14.57,14.8,14.5,14.78,7230362,131,1
5,14.6,14.68,14.02,14.24,17917839,131,1
6,14.37,14.56,14.31,14.45,14249465,131,1
7,14.4,14.62,14.2,14.3,12246285,131,1
8,14.29,14.32,13.78,13.82,13826728,131,1
9,13.96,13.99,13.16,13.56,21228568,131,1
10,13.56,13.77,13.39,13.75,8462715,131,1
11,13.84,14.34,13.82,14.02,16935296,131,1
12,13.94,14.0,13.6,13.9,11452117,131,1
13,13.89,14.35,13.85,14.27,7946610,131,1
14,14.34,14.42,14.23,14.27,7523444,131,1
15,14.26,15.08,14.26,14.82,16028376,131,1
16,14.75,15.89,14.61,15.65,25402812,131,1
17,15.71,15.93,15.67,15.86,12264228,131,1
18,16.0,16.07,15.465,15.67,12824771,131,1
19,15.7,15.93,15.59,15.9,6444054,131,1
20,16.14,16.4,15.81,16.24,18025734,131,1
21,16.05,16.42,15.77,16.23,11617216,131,1
22,16.2,16.3,15.97,16.03,9584199,131,1
23,15.95,16.41,15.95,16.36,11475544,131,1
24,16.34,16.48,16.17,16.28,9249191,131,1
25,16.15,16.23,15.82,16.0,15200424,131,1
26,15.83,16.38,15.755,16.27,7994738,131,1
27,16.42,16.73,16.3,16.54,9136970,131,1
28,16.71,17.09,16.58,17.07,13071851,131,1
29,16.94,17.25,16.83,16.84,10704542,131,1
30,17.03,17.04,16.59,16.71,10070507,131,1
31,16.78,16.88,16.22,16.31,11365904,131,1
32,16.5,16.6899,16.29,16.55,10005383,131,1
33,16.37,16.76,16.285,16.59,7921721,131,1
34,16.69,16.94,16.47,16.51,10111078,131,1
35,16.43,16.94,16.25,16.25,10897687,131,1
36,15.4,15.58,14.77,14.94,41031013,131,1
37,14.98,15.14,14.26,14.56,26394954,131,1
38,14.42,14.85,14.41,14.75,16123131,131,1
39,14.04,14.62,13.94,14.39,38513339,131,1
40,14.6,14.98,14.4001,14.93,12334009,131,1
41,15.17,15.24,14.75,14.8,14994769,131,1
42,14.92,15.32,14.87,15.25,11900304,131,1
43,15.25,15.74,15.25,15.55,11817699,131,1
44,15.49,15.91,15.39,15.48,8502034,131,1
45,15.58,15.69,14.71,14.91,15396447,131,1
46,15.4,15.89,15.27,15.87,11531039,131,1
47,15.69,15.7,15.2,15.53,22305559,131,1
48,15.53,15.53,15.07,15.15,14416076,131,1
49,15.22,15.465,14.85,15.26,9013469,131,1
50,15.33,15.7,14.91,15.14,17102631,131,1
51,14.93,16.75,14.84,16.72,28040579,131,1
52,16.62,16.75,16.32,16.47,11143351,131,1
53,16.51,16.9,16.28,16.29,20772854,131,1
54,16.35,16.87,16.18,16.81,11495032,131,1
55,16.74,17.1,16.675,16.95,10949977,131,1
56,16.93,17.33,16.75,17.14,12023650,131,1
57,17.26,17.55,16.679,16.84,13514599,131,1
58,16.87,17.54,16.69,17.49,16788159,131,1
59,17.72,18.305,17.68,17.96,17301888,131,1
60,17.99,18.24,17.77,18.06,7968631,131,1
61,18.06,18.15,17.9,18.08,7301341,131,1
62,18.25,18.84,18.25,18.66,26614806,131,1
63,18.73,18.88,17.63,17.7,23001575,131,1
64,17.82,18.24,17.72,18.13,11567190,131,1
65,18.08,18.18,17.78,17.89,8181633,131,1
66,18.0,18.27,17.95,18.25,8453592,131,1
