id_date,open,high,low,close,volume,id_stock,id_index
1,58.64,58.75,58.15,58.5,977273,135,1
2,58.59,58.73,57.92,57.93,827475,135,1
3,57.86,57.91,56.73,56.88,1640669,135,1
4,56.89,57.3,56.68,56.97,1037180,135,1
5,56.78,56.95,56.47,56.53,1743369,135,1
6,56.64,57.41,56.53,57.32,1156911,135,1
7,57.25,57.85,57.13,57.54,960872,135,1
8,57.49,57.61,56.83,56.84,1152080,135,1
9,56.76,56.84,56.0,56.13,991832,135,1
10,56.38,56.52,55.69,55.75,1222134,135,1
11,56.16,56.6,55.64,55.64,1956849,135,1
12,55.92,56.03,55.16,55.8,993053,135,1
13,55.71,56.335,55.71,56.17,898002,135,1
14,56.25,56.66,56.16,56.17,969173,135,1
15,55.99,56.29,55.5,56.13,914909,135,1
16,55.99,56.2,55.74,55.99,1934044,135,1
17,56.15,56.72,55.97,56.41,1051436,135,1
18,56.4,56.96,56.31,56.34,917267,135,1
19,56.26,56.46,55.33,55.42,1364647,135,1
20,55.53,56.025,55.395,55.94,1216762,135,1
21,55.92,56.52,55.776,56.25,1168539,135,1
22,56.28,56.84,55.962,56.2,1826522,135,1
23,56.27,56.36,55.82,55.99,903857,135,1
24,56.13,56.73,55.85,56.5,1381490,135,1
25,56.34,56.62,56.06,56.22,1025573,135,1
26,55.9,56.02,55.48,55.52,965754,135,1
27,55.71,56.62,55.69,56.25,1677176,135,1
28,56.5,56.85,56.25,56.51,2509461,135,1
29,56.31,56.63,56.0,56.3,745934,135,1
30,56.33,56.6005,56.25,56.56,751361,135,1
31,56.71,57.03,56.18,56.4,889832,135,1
32,56.65,57.5,56.522,57.25,959709,135,1
33,56.8,56.84,56.35,56.4,1143495,135,1
34,56.18,56.65,55.8,56.461,1933888,135,1
35,56.42,56.4925,56.01,56.32,695725,135,1
36,56.68,57.58,56.64,56.8,1224106,135,1
37,57.0,57.51,56.725,56.83,1315500,135,1
38,57.0,57.92,56.91,57.68,914247,135,1
39,57.33,57.33,56.62,57.01,1159542,135,1
40,56.89,57.03,56.52,57.03,585123,135,1
41,56.98,57.03,56.5,56.65,899814,135,1
42,56.64,57.36,56.41,57.3,954341,135,1
43,58.37,60.0,58.06,59.83,3202834,135,1
44,59.65,59.66,58.83,59.34,1519091,135,1
45,59.06,59.55,58.37,58.37,1692119,135,1
46,58.49,59.23,57.34,58.35,2329620,135,1
47,58.04,59.24,56.95,57.37,4058951,135,1
48,57.31,57.54,55.59,55.76,2459362,135,1
49,55.95,56.71,55.56,55.92,1674086,135,1
50,55.85,56.18,55.26,55.48,1843646,135,1
51,56.18,57.24,56.18,56.51,2839605,135,1
52,56.33,56.5,55.51,56.09,2388487,135,1
53,56.28,56.52,55.645,55.85,1012523,135,1
54,55.86,56.54,55.7,56.16,1222226,135,1
55,56.19,56.5,56.16,56.19,606237,135,1
56,56.05,56.44,55.78,56.33,859012,135,1
57,56.23,57.38,56.0,56.37,1176281,135,1
58,56.49,57.33,56.42,57.32,1462100,135,1
59,57.54,57.75,57.18,57.21,1149909,135,1
60,57.15,58.205,57.15,57.94,1275706,135,1
61,57.96,58.12,57.74,57.78,788697,135,1
62,57.68,59.07,57.68,59.06,1300812,135,1
63,59.17,59.41,58.79,59.19,1458034,135,1
64,59.13,59.78,59.05,59.77,1023446,135,1
65,59.56,59.59,58.9001,59.42,1556098,135,1
66,59.45,59.88,59.215,59.87,1077942,135,1
67,59.67,60.1,59.26,59.99,1685013,135,1
68,59.74,60.35,59.46,59.88,1149859,135,1
69,59.86,60.79,59.79,60.69,972471,135,1
70,60.48,61.0,60.35,60.8,1078083,135,1
71,60.94,61.62,60.83,61.39,1325183,135,1
72,61.36,62.24,60.9748,61.12,1457065,135,1
73,60.7,62.07,60.6901,61.97,1116784,135,1
74,61.64,62.56,61.44,62.5,1383721,135,1
75,63.0,63.3,62.58,62.76,1301828,135,1
76,62.69,62.85,61.86,62.55,865768,135,1
77,62.51,63.02,62.26,62.42,1051695,135,1
78,62.2,62.85,61.83,61.84,1261972,135,1
79,61.91,62.55,61.52,62.53,1185809,135,1
80,62.53,62.91,62.11,62.4,988359,135,1
81,62.28,62.31,61.03,61.64,1200128,135,1
82,61.6,62.09,61.27,62.08,941964,135,1
83,62.55,63.0,62.06,62.22,1277964,135,1
84,62.44,63.4,62.44,63.2,935248,135,1
85,62.68,63.22,62.38,62.55,845332,135,1
86,62.97,63.18,62.0,62.0,940010,135,1
87,62.0,62.98,61.71,62.89,866772,135,1
