id_date,open,high,low,close,volume,id_stock,id_index
1,23.21,23.35,22.88,23.08,2813549,136,1
2,23.12,23.45,22.89,22.92,4342054,136,1
3,23.05,24.66,23.04,24.05,10275451,136,1
4,24.03,24.45,23.73,23.83,6267253,136,1
5,23.78,23.98,23.72,23.78,3426160,136,1
6,23.74,24.08,23.5377,23.66,3934829,136,1
7,23.76,24.095,22.95,23.29,6641339,136,1
8,22.98,23.08,21.75,21.93,12674507,136,1
9,22.0,22.42,21.53,22.17,8511594,136,1
10,22.26,22.49,22.15,22.31,4018232,136,1
11,22.44,22.58,21.35,21.37,6176340,136,1
12,21.58,22.31,21.53,22.25,6184692,136,1
13,22.25,22.77,22.11,22.65,4833012,136,1
14,22.67,22.955,22.29,22.3,4502625,136,1
15,22.14,22.7,21.75,22.51,6232408,136,1
16,22.4,23.34,22.32,23.24,6483809,136,1
17,23.31,23.99,23.29,23.8,6751460,136,1
18,23.9,24.3,23.65,23.71,7252351,136,1
19,23.7,23.87,23.36,23.82,5059269,136,1
20,24.02,24.18,23.57,24.07,4098238,136,1
21,24.07,24.24,23.865,23.96,4907559,136,1
22,23.9,24.03,23.525,23.63,3851377,136,1
23,23.61,24.185,23.4235,24.02,5375243,136,1
24,24.2,24.5825,24.155,24.53,4225842,136,1
25,24.42,24.76,24.3,24.34,6230603,136,1
26,24.06,24.5,23.97,24.25,4692941,136,1
27,24.48,24.72,24.13,24.31,4681085,136,1
28,24.54,25.56,24.48,25.43,6454897,136,1
29,25.335,25.335,24.45,24.88,9329299,136,1
30,25.01,25.07,24.64,24.72,3686243,136,1
31,24.79,25.22,24.325,24.48,4327043,136,1
32,24.64,24.81,24.06,24.21,4406132,136,1
33,24.09,24.42,23.9,24.39,3616700,136,1
34,24.39,24.5,24.02,24.3,4056359,136,1
35,24.32,24.4099,23.74,23.85,3544627,136,1
36,24.06,24.19,23.35,23.41,4529330,136,1
37,23.45,23.57,22.1,22.84,8908488,136,1
38,22.89,23.04,22.6,22.88,4511329,136,1
39,22.43,23.12,22.155,23.08,6263275,136,1
40,23.1,23.53,22.9,23.48,5831547,136,1
41,23.51,23.625,23.15,23.27,4505155,136,1
42,23.44,23.44,22.94,23.15,4529693,136,1
43,23.03,23.59,23.03,23.33,3251258,136,1
44,23.22,23.93,23.16,23.42,4622645,136,1
45,23.21,23.22,21.85,21.9,6431436,136,1
46,22.42,22.56,21.71,22.45,5696470,136,1
47,22.2,22.23,21.64,22.14,5011932,136,1
48,22.1,22.14,21.24,21.48,5303385,136,1
49,21.58,22.21,21.54,21.98,5141797,136,1
50,22.01,22.46,21.47,22.36,4021530,136,1
51,22.84,23.97,22.84,23.55,7457496,136,1
52,23.59,24.11,23.48,24.02,6468088,136,1
53,24.21,24.79,24.01,24.53,7274769,136,1
54,25.83,26.92,25.6,26.66,15528536,136,1
