id_date,open,high,low,close,volume,id_stock,id_index
1,60.15,60.81,60.09,60.81,1532380,137,1
2,60.78,60.83,60.33,60.68,1867926,137,1
3,60.85,61.17,60.68,60.97,2290020,137,1
4,61.2,61.31,60.57,61.02,2389915,137,1
5,60.78,61.36,60.52,61.16,2789273,137,1
6,61.18,61.9,60.84,61.68,3662471,137,1
7,61.75,62.14,61.55,61.8,1996711,137,1
8,61.87,62.0,60.89,60.97,3911769,137,1
9,60.71,61.2,60.59,60.99,2733441,137,1
10,61.11,61.46,61.01,61.46,2155617,137,1
11,61.51,61.7,59.88,59.89,3214495,137,1
12,60.14,60.55,60.12,60.3,2128594,137,1
13,60.35,61.49,60.23,61.24,2300427,137,1
14,61.4,61.99,61.13,61.6,2567753,137,1
15,61.25,61.76,60.95,61.57,2345743,137,1
16,61.52,61.68,60.89,61.66,2018848,137,1
17,61.83,62.43,61.721,62.22,2027605,137,1
18,62.32,62.46,61.67,61.77,2336097,137,1
19,61.9,62.0,61.41,61.42,2049542,137,1
20,61.83,62.07,61.54,61.94,2233500,137,1
21,61.95,62.3,61.94,62.26,1740969,137,1
22,62.3,62.47,61.86,62.16,2834332,137,1
23,62.15,62.23,61.8175,62.12,1973084,137,1
24,62.25,62.6,62.22,62.6,1800669,137,1
25,62.23,62.9,62.15,62.65,4223112,137,1
26,61.97,62.195,61.67,61.81,2494911,137,1
27,62.02,62.236,60.96,61.28,3478379,137,1
28,61.47,61.8,61.093,61.31,2893824,137,1
29,61.07,61.7,60.99,61.19,2286019,137,1
30,61.28,61.78,61.11,61.67,2308531,137,1
31,61.8,62.01,60.715,61.04,2856937,137,1
32,61.42,61.86,61.27,61.84,1791241,137,1
33,61.47,61.87,61.29,61.84,1865428,137,1
34,61.84,62.23,61.59,62.15,2548107,137,1
35,61.86,62.1,61.51,61.79,2189002,137,1
36,62.0,62.05,61.56,61.74,2589802,137,1
37,61.84,61.9,60.85,61.09,3528437,137,1
38,61.17,61.465,60.62,60.75,3274797,137,1
39,60.02,60.585,59.78,60.55,2699020,137,1
40,60.53,60.898,60.39,60.77,1710010,137,1
41,60.82,60.85,60.185,60.54,2592411,137,1
42,60.74,61.84,60.47,61.78,2355448,137,1
43,61.75,62.115,61.55,61.94,2368825,137,1
44,61.78,61.98,61.16,61.56,1682129,137,1
45,61.28,61.58,59.91,59.91,2883866,137,1
46,60.24,60.98,60.07,60.96,2223588,137,1
47,60.66,60.72,59.58,59.74,3411132,137,1
48,57.96,58.56,57.61,58.05,9090720,137,1
49,58.36,59.16,58.13,59.1,3531059,137,1
50,59.12,59.42,58.5,58.99,2384137,137,1
51,59.35,59.52,58.4856,59.09,4404349,137,1
52,59.26,60.27,59.03,59.96,3794635,137,1
53,60.05,60.915,59.83,60.44,2620719,137,1
55,60.0,60.41,59.88,60.23,2103955,137,1
56,60.29,61.53,60.08,60.94,5108250,137,1
57,60.67,61.38,60.095,60.14,2868120,137,1
58,60.42,60.65,60.1,60.46,2494407,137,1
59,61.09,61.29,60.61,60.8,3772330,137,1
60,60.79,61.45,60.54,61.31,2079017,137,1
61,61.51,61.77,61.22,61.53,1767249,137,1
62,61.5,61.72,61.35,61.64,2077608,137,1
63,61.61,62.12,61.45,61.74,2008275,137,1
64,61.72,61.95,61.53,61.9,1454866,137,1
65,61.68,61.955,61.57,61.6,2302415,137,1
66,61.73,62.075,61.6201,61.85,3878008,137,1
67,61.75,62.14,61.58,62.06,3952594,137,1
68,61.76,62.85,61.74,62.27,4665027,137,1
69,62.75,63.34,62.74,63.25,3838019,137,1
70,63.18,64.09,63.1,64.07,3577715,137,1
71,64.0,64.39,63.76,63.84,2351916,137,1
72,63.83,64.04,62.48,62.76,2821350,137,1
73,62.31,62.71,62.18,62.39,2822608,137,1
74,62.0,62.39,61.71,62.1,2287504,137,1
