id_date,open,high,low,close,volume,id_stock,id_index
1,54.38,54.72,54.31,54.66,9584224,138,1
2,54.65,54.98,54.59,54.75,6358524,138,1
3,54.77,55.05,54.69,54.95,8758025,138,1
4,55.08,55.3,54.665,54.96,5701775,138,1
5,54.92,55.17,54.71,54.88,8564486,138,1
6,55.05,55.62,54.89,55.61,17783635,138,1
7,55.58,55.95,55.57,55.73,7780451,138,1
8,55.62,55.82,54.56,54.6,8461042,138,1
9,54.58,54.82,54.01,54.17,6802578,138,1
10,54.39,54.58,53.93,54.25,7604629,138,1
11,54.6,54.79,53.59,53.59,9831166,138,1
12,53.81,54.035,53.6,53.9,6238418,138,1
13,53.9,54.66,53.85,54.48,7244992,138,1
14,54.54,55.04,54.39,54.59,6605615,138,1
15,54.31,55.37,54.3,55.33,8314387,138,1
16,55.16,55.84,55.0,55.8,6356424,138,1
17,55.95,56.58,55.9,56.48,7068470,138,1
18,56.53,56.84,56.25,56.36,5572562,138,1
19,56.36,56.4655,56.01,56.32,4814197,138,1
20,56.56,57.51,56.52,57.39,8157710,138,1
21,57.39,57.75,57.34,57.66,7155409,138,1
22,57.52,57.63,56.7,57.11,7159414,138,1
23,57.16,57.435,56.94,57.34,5209862,138,1
24,57.35,57.82,57.27,57.75,5915351,138,1
25,57.5,57.78,57.34,57.58,13796440,138,1
26,57.08,57.19,56.75,56.83,5125876,138,1
27,56.83,57.05,55.76,56.31,8883930,138,1
28,56.59,57.1499,56.54,56.94,6018271,138,1
29,56.74,56.85,56.16,56.31,5168737,138,1
30,56.65,57.1,56.515,56.78,5489554,138,1
31,57.0,57.108,55.865,56.21,7881490,138,1
32,56.41,56.73,56.33,56.63,4675601,138,1
33,56.34,56.5,55.99,56.47,6392319,138,1
34,56.59,56.94,56.5,56.8,6705892,138,1
35,56.89,57.14,56.15,56.69,6728034,138,1
36,57.04,57.46,56.96,57.46,6574424,138,1
37,57.64,57.75,57.0,57.25,8102375,138,1
38,57.28,57.72,57.18,57.59,6413435,138,1
39,56.89,57.73,56.37,57.7,7042202,138,1
40,57.83,58.82,57.76,58.82,9796152,138,1
41,58.72,59.24,58.52,59.14,8864758,138,1
42,59.37,60.14,59.34,60.11,8438296,138,1
43,60.11,60.67,60.02,60.55,9241626,138,1
44,60.29,60.73,60.27,60.55,8533853,138,1
45,60.26,60.67,58.84,58.88,12027906,138,1
46,59.26,60.75,59.08,60.75,10307479,138,1
47,60.35,60.685,60.02,60.68,11531693,138,1
48,60.64,60.67,59.88,59.99,9203177,138,1
49,60.25,61.56,60.25,61.56,9488269,138,1
50,61.59,62.1,61.15,62.01,6307788,138,1
51,62.4,62.62,61.54,62.59,6261121,138,1
52,62.71,62.9,61.59,61.94,7335400,138,1
53,62.01,62.17,61.55,62.0,6683979,138,1
54,62.06,62.285,61.55,61.87,7038566,138,1
55,62.82,63.25,62.59,63.0,7205960,138,1
56,62.93,63.08,62.44,62.84,8529501,138,1
57,62.88,63.5006,62.8,63.21,7468820,138,1
58,63.4,63.93,63.11,63.88,5249288,138,1
59,64.1801,64.85,63.875,64.8,9196237,138,1
60,65.09,65.59,64.51,65.06,10232888,138,1
61,65.44,66.09,64.77,66.07,14407218,138,1
62,66.0,66.0,64.56,65.99,17802902,138,1
63,65.7301,67.11,65.51,66.67,11324407,138,1
64,66.69,67.43,66.34,67.2,8653958,138,1
65,66.96,67.52,66.92,67.32,5194936,138,1
66,67.43,67.4929,66.98,67.47,9676356,138,1
67,67.42,67.79,67.18,67.67,7925722,138,1
68,67.62,67.89,66.2,66.47,8472812,138,1
69,66.16,66.58,65.68,66.58,9161351,138,1
70,66.58,66.6,66.05,66.12,5893353,138,1
71,66.35,66.4,65.71,65.83,7359058,138,1
72,65.76,66.7101,65.265,65.57,8144063,138,1
73,64.87,65.44,64.24,65.23,7517695,138,1
74,64.75,65.53,64.39,65.49,8846052,138,1
75,65.98,66.76,65.92,66.69,8279038,138,1
76,66.37,66.48,65.74,66.26,6954404,138,1
77,66.44,67.11,64.32,64.65,13052538,138,1
78,64.57,65.03,63.07,63.08,11281989,138,1
79,63.06,63.82,62.53,63.8,8706952,138,1
80,63.93,64.93,63.86,64.35,8147696,138,1
81,64.05,64.12,62.8,63.12,8892949,138,1
82,63.1,63.32,62.04,63.14,8663655,138,1
83,63.63,64.87,63.25,64.85,7610904,138,1
84,64.91,64.97,63.7,63.83,6729481,138,1
85,63.32,64.3,62.97,63.8,6454788,138,1
86,64.32,64.45,62.865,62.99,7662841,138,1
87,62.99,64.4,62.52,64.3,5584275,138,1
88,64.01,64.43,63.63,63.8,5311740,138,1
89,64.3,65.125,64.25,64.49,6755060,138,1
90,64.61,65.49,64.56,65.29,5234787,138,1
91,65.19,65.55,64.33,64.33,6871351,138,1
92,63.22,63.515,61.82,61.98,12262997,138,1
93,62.62,63.08,61.82,62.73,11892309,138,1
94,62.25,62.99,61.82,62.44,6494408,138,1
95,62.88,63.1,62.5,62.57,6777687,138,1
96,62.95,63.46,62.75,63.21,5721661,138,1
97,63.65,63.965,63.45,63.72,4877613,138,1
98,63.76,64.52,63.15,63.15,10567010,138,1
99,63.84,64.92,63.63,63.93,8221603,138,1
100,63.83,64.14,63.075,63.26,7691561,138,1
101,62.85,63.83,62.57,63.61,3352066,138,1
102,63.88,63.95,63.1133,63.82,5647439,138,1
103,64.28,64.79,64.16,64.71,6679630,138,1
104,65.32,65.54,64.65,64.94,4556432,138,1
105,64.86,65.3,64.57,64.91,5761972,138,1
106,65.65,66.83,65.65,66.58,8330372,138,1
107,66.39,67.0,65.93,66.98,5891977,138,1
108,67.02,67.36,65.89,65.93,6457909,138,1
109,65.95,66.1,64.93,65.03,7470773,138,1
110,65.42,65.46,64.76,65.36,6846861,138,1
111,65.7,66.37,65.66,65.82,4962794,138,1
112,65.89,66.03,64.91,65.16,7221472,138,1
113,65.15,65.33,64.26,64.4,5973470,138,1
114,64.6,64.77,64.33,64.45,4534425,138,1
115,64.59,65.12,64.53,64.64,5327606,138,1
116,64.32,64.74,64.2599,64.55,5407853,138,1
117,64.4699,65.07,64.11,64.98,4950018,138,1
118,64.8,65.03,64.47,64.61,3805781,138,1
119,64.7001,64.87,64.1,64.18,6210486,138,1
120,64.43,65.12,64.38,64.65,7155261,138,1
121,65.16,65.87,65.125,65.36,6338790,138,1
122,65.56,66.59,65.33,66.51,6078137,138,1
123,66.5,66.54,65.61,66.02,7265776,138,1
124,66.09,67.16,65.97,67.05,11531873,138,1
125,64.93,66.3,64.12,65.91,16970485,138,1
126,66.34,66.46,65.205,65.75,8826419,138,1
127,65.47,65.75,64.6,64.73,7945849,138,1
128,64.26,64.43,63.67,63.93,8005135,138,1
129,64.26,64.26,63.405,63.98,6025118,138,1
130,63.95,64.17,63.47,63.96,6413661,138,1
131,63.28,63.32,62.2,62.38,9014450,138,1
132,61.97,62.5,61.71,62.17,8238836,138,1
133,62.15,62.18,61.83,61.83,5659879,138,1
134,61.79,62.39,61.79,61.88,5192537,138,1
135,61.62,61.88,61.09,61.14,7185414,138,1
136,61.32,61.82,61.16,61.64,5302299,138,1
137,61.96,61.99,61.46,61.73,5510670,138,1
138,61.76,62.11,61.33,61.35,4506432,138,1
139,60.9,61.35,60.57,60.69,7733878,138,1
140,60.44,61.15,60.41,60.81,7161726,138,1
141,60.77,61.52,60.55,61.08,5396200,138,1
142,61.14,61.27,60.55,60.83,5404116,138,1
143,61.42,61.99,60.6,60.93,7016364,138,1
144,60.92,61.22,60.52,61.11,14014636,138,1
145,61.07,61.6,60.96,61.3,6356567,138,1
146,61.47,61.83,60.63,61.39,7319446,138,1
147,61.6,61.835,61.27,61.59,7224547,138,1
148,62.09,62.97,61.93,62.83,9919708,138,1
149,63.12,63.94,62.98,63.94,9439782,138,1
150,63.8,66.35,63.41,65.49,22428102,138,1
151,65.87,67.03,65.495,66.69,12703560,138,1
152,67.32,67.65,66.875,66.94,9731743,138,1
153,66.83,67.2,66.72,66.98,6451520,138,1
154,66.67,67.37,66.21,67.11,9865637,138,1
155,66.39,66.5,65.4,65.72,11808780,138,1
156,65.61,65.84,64.91,65.01,29015758,138,1
157,65.04,65.48,64.68,64.75,8286597,138,1
158,64.94,65.16,64.285,64.32,8166656,138,1
159,64.42,64.93,64.2,64.45,7281578,138,1
160,64.36,65.29,64.25,65.24,6971153,138,1
161,64.97,65.435,64.69,65.19,5586022,138,1
162,64.73,64.95,64.39,64.49,7463188,138,1
163,64.37,65.245,64.36,64.83,4881181,138,1
164,64.45,65.345,64.4,64.88,7218755,138,1
165,64.72,64.93,63.83,64.02,7264104,138,1
166,64.02,65.43,63.97,65.3,6546049,138,1
167,64.81,65.31,64.57,64.59,5840877,138,1
168,64.52,64.77,63.97,64.0,8662499,138,1
169,64.02,64.18,63.1,63.59,8689741,138,1
170,64.48,65.67,64.29,65.58,7676613,138,1
171,65.66,66.59,65.5,66.21,6733879,138,1
172,65.88,66.98,65.78,66.83,6461548,138,1
173,66.73,66.94,65.93,66.44,5943056,138,1
174,66.64,66.86,66.13,66.35,7724755,138,1
175,66.19,66.59,65.98,66.42,6952307,138,1
176,66.5,67.27,65.9899,67.15,7587047,138,1
177,67.27,67.63,67.16,67.61,4846265,138,1
178,67.94,69.126,67.75,69.0,7846811,138,1
179,68.81,69.2,68.02,68.12,5864454,138,1
180,68.18,69.19,68.02,69.05,6035209,138,1
181,69.32,69.87,68.97,69.26,6613325,138,1
182,69.35,69.48,68.92,69.0,4455996,138,1
183,69.12,69.39,68.775,68.92,4450203,138,1
184,69.22,69.3,67.93,68.47,5816116,138,1
185,68.47,69.3,68.35,68.59,5706091,138,1
186,68.71,69.18,68.5,69.01,5008592,138,1
187,69.41,69.55,68.41,68.81,4790193,138,1
188,68.77,69.055,68.06,68.85,5148448,138,1
189,69.18,69.62,68.62,69.0,6508970,138,1
190,69.34,69.34,67.09,67.15,10458705,138,1
191,66.87,69.41,66.72,68.58,16182773,138,1
192,68.48,68.74,68.19,68.34,4954159,138,1
193,68.33,68.45,67.4237,67.77,6586688,138,1
194,67.43,68.99,67.303,68.97,5681029,138,1
195,69.14,70.15,69.0,70.02,7246568,138,1
196,69.77,70.17,69.55,70.0,6185387,138,1
197,70.06,70.09,69.33,69.5,4910795,138,1
198,69.49,69.72,69.04,69.12,4801712,138,1
199,69.12,69.9175,69.08,69.23,4729280,138,1
200,69.46,70.005,69.27,69.94,4505225,138,1
201,69.95,70.33,69.8,70.2,4667718,138,1
202,70.54,70.58,69.6,69.74,5830793,138,1
203,69.92,71.69,69.9,71.18,8850128,138,1
204,71.21,71.25,70.46,70.77,5446131,138,1
205,71.04,71.27,70.39,70.54,4800980,138,1
206,70.79,71.31,70.76,70.91,6775388,138,1
207,70.22,70.41,69.38,69.9,8304746,138,1
208,69.42,70.48,69.32,69.97,4884539,138,1
209,70.29,70.675,70.08,70.23,5587900,138,1
