id_date,open,high,low,close,volume,id_stock,id_index
1,70.9,71.35,70.77,71.13,921228,144,1
2,71.1,71.56,71.01,71.06,1079451,144,1
3,71.16,71.7,71.04,71.46,1121815,144,1
4,71.46,71.83,71.23,71.61,948596,144,1
5,71.48,71.89,71.29,71.86,1049107,144,1
6,71.91,72.824,71.87,72.56,1544769,144,1
7,72.8,73.25,72.331,72.86,1081771,144,1
8,72.97,73.13,72.16,72.22,1764561,144,1
9,71.85,72.04,71.3,71.62,1557213,144,1
10,71.93,73.45,71.9,73.12,2486134,144,1
11,73.43,73.64,71.38,71.4,1842897,144,1
12,71.51,72.6197,71.13,72.25,1292056,144,1
13,72.36,73.85,72.04,73.62,1047698,144,1
14,73.57,73.99,73.17,73.35,1272292,144,1
15,72.89,73.42,71.93,72.96,1341292,144,1
16,72.65,72.74,71.57,72.37,1521905,144,1
17,72.76,73.8,72.76,73.47,790677,144,1
18,73.69,73.72,73.12,73.28,678152,144,1
19,73.39,73.676,72.965,73.1,900653,144,1
20,73.6,73.82,73.15,73.75,718162,144,1
21,73.71,73.99,73.43,73.89,686511,144,1
22,73.76,73.76,72.83,73.21,671767,144,1
23,73.29,73.77,72.89,73.7,1132020,144,1
24,73.9,74.62,73.71,74.52,923687,144,1
25,74.25,74.57,73.84,74.08,1233477,144,1
26,73.31,74.45,73.2112,73.89,583469,144,1
27,73.99,74.3,73.05,73.58,860973,144,1
28,73.88,74.01,73.0,73.38,1403860,144,1
29,73.74,73.86,72.14,72.35,1687925,144,1
30,72.4,72.86,72.0,72.79,1488878,144,1
31,73.09,73.36,71.64,72.22,1505432,144,1
32,72.72,72.98,72.415,72.76,1024674,144,1
33,72.36,72.39,71.64,72.34,999112,144,1
34,72.34,72.96,72.12,72.88,1532072,144,1
35,72.76,72.97,71.52,71.77,739010,144,1
36,72.04,72.32,70.94,71.17,703848,144,1
37,71.07,71.77,70.32,70.92,1351085,144,1
38,71.15,72.11,71.09,71.92,1489691,144,1
39,70.94,72.01,70.62,71.75,1086562,144,1
40,72.25,73.1,72.25,72.94,1609706,144,1
41,72.97,73.36,72.33,73.03,1016311,144,1
42,73.12,74.41,73.05,74.41,1084718,144,1
43,74.38,74.76,73.9,74.7,1359197,144,1
44,74.4,74.64,73.05,73.41,864462,144,1
45,72.92,73.07,70.435,70.47,1198474,144,1
46,71.18,72.23,70.47,72.22,2150397,144,1
47,71.93,72.81,69.29,69.91,2182076,144,1
48,70.09,70.29,68.21,68.59,1625309,144,1
49,68.58,68.97,68.04,68.15,1424069,144,1
50,68.18,68.31,67.45,68.0,2121487,144,1
51,68.47,69.1,68.1087,69.1,1607010,144,1
52,69.35,70.25,68.95,70.07,1107230,144,1
53,69.95,70.66,69.82,69.94,986920,144,1
54,69.98,69.98,68.66,69.1,604246,144,1
55,69.45,69.91,68.72,69.7,1027783,144,1
56,69.7,69.72,68.71,68.98,1643402,144,1
57,68.77,68.94,67.98,68.03,1401162,144,1
58,68.39,69.43,68.12,69.33,1129613,144,1
59,69.83,71.785,69.83,71.16,955098,144,1
60,71.02,72.56,70.8,71.98,1060590,144,1
61,71.97,72.45,71.67,72.2,838912,144,1
62,72.19,73.01,71.82,73.01,693915,144,1
63,72.95,73.6212,72.81,73.24,644048,144,1
64,73.55,74.1,73.3,74.0,624927,144,1
65,73.75,74.41,73.42,73.99,940703,144,1
66,74.0,75.53,73.94,75.43,1085971,144,1
67,75.14,76.21,75.03,76.0,634644,144,1
68,75.6,76.18,75.45,75.77,750354,144,1
69,75.93,77.21,75.93,77.21,744792,144,1
70,76.92,78.0,76.81,77.82,894906,144,1
71,78.0,78.38,77.6,77.87,967210,144,1
72,77.88,78.34,76.02,76.41,867514,144,1
73,78.76,80.36,78.5,79.54,3201612,144,1
74,79.51,79.51,78.18,79.19,1812840,144,1
75,80.21,80.45,78.95,79.19,1192166,144,1
76,78.05,78.76,77.79,77.95,1479089,144,1
77,78.21,78.925,77.95,78.57,899088,144,1
78,78.19,79.91,77.96,78.25,1375527,144,1
79,78.38,79.1,77.44,79.03,1404698,144,1
80,78.85,79.78,78.44,79.21,1526486,144,1
81,79.17,79.65,77.47,77.59,1263920,144,1
82,77.65,79.04,77.0,79.04,1046448,144,1
83,79.83,79.99,78.94,79.52,1187085,144,1
84,79.72,79.759,78.47,78.79,920249,144,1
85,77.93,78.94,77.66,78.25,1025812,144,1
86,78.82,78.86,77.16,77.3,708331,144,1
87,77.26,78.91,77.09,78.61,751205,144,1
88,78.63,79.45,78.3,78.6,654871,144,1
89,79.37,79.58,78.78,79.14,570454,144,1
90,79.41,80.75,79.2,80.62,909705,144,1
91,80.68,80.73,79.39,79.39,698048,144,1
92,78.51,78.64,76.91,77.06,1271146,144,1
