id_date,open,high,low,close,volume,id_stock,id_index
1,47.41,47.41,46.984,47.36,1417982,147,1
2,47.31,47.5,46.97,47.08,1365607,147,1
3,47.0,47.03,46.47,46.81,1330572,147,1
4,46.33,46.4,45.55,45.86,2659106,147,1
5,45.78,45.91,45.37,45.52,1562751,147,1
6,45.5,45.98,45.06,45.15,1964151,147,1
7,45.3,45.85,45.05,45.25,2147274,147,1
8,45.32,45.73,44.8,44.85,2196323,147,1
9,44.83,45.2999,44.11,44.74,3913555,147,1
10,45.13,46.65,45.06,46.23,7661613,147,1
11,46.21,46.549,45.23,45.25,3423748,147,1
12,44.89,46.0,44.81,45.79,2761882,147,1
13,46.21,47.12,46.08,46.83,2252524,147,1
14,46.83,46.84,46.17,46.27,2118331,147,1
15,45.94,46.21,45.43,46.18,3374496,147,1
16,46.18,46.65,46.16,46.27,1845382,147,1
17,46.5,46.76,46.34,46.62,1153914,147,1
18,46.65,47.4599,46.65,47.26,2039628,147,1
19,47.26,47.54,46.865,47.48,1713083,147,1
20,47.69,47.7,46.93,47.33,1368728,147,1
21,47.18,47.67,47.06,47.59,1247725,147,1
22,47.63,47.97,47.55,47.93,1454059,147,1
23,47.91,49.17,47.91,49.01,2592604,147,1
24,49.02,49.13,48.645,48.88,1117736,147,1
25,48.64,49.53,48.63,49.37,2078690,147,1
26,48.95,49.124,48.54,48.88,1206364,147,1
27,48.9,49.0,48.43,48.66,961730,147,1
28,48.77,49.17,48.45,48.74,1393704,147,1
29,48.56,49.045,48.32,48.96,2046118,147,1
30,48.8,49.87,48.66,49.62,2342200,147,1
31,50.21,50.91,49.9,50.38,2638568,147,1
32,50.46,50.69,50.01,50.69,1655330,147,1
33,50.5,50.72,50.12,50.66,870835,147,1
34,50.59,51.86,50.55,51.68,2047675,147,1
35,51.74,51.74,50.84,50.9,1682836,147,1
36,51.17,51.5,51.11,51.33,1670613,147,1
37,51.52,52.0,50.5,50.61,1694676,147,1
38,50.82,51.3575,50.805,51.08,3553922,147,1
39,50.57,50.7,49.93,50.54,3344556,147,1
40,49.99,50.25,49.495,49.9,1408588,147,1
41,49.93,50.21,48.66,49.1,3729258,147,1
42,49.34,50.36,49.24,50.17,2014838,147,1
43,50.09,50.55,49.63,49.83,2192406,147,1
44,49.73,50.39,49.6935,50.26,1465238,147,1
45,50.12,50.47,48.68,48.81,1592132,147,1
46,49.22,49.57,48.76,49.44,1624653,147,1
47,49.1,49.24,48.37,48.77,1111200,147,1
48,48.86,49.03,48.25,48.83,1300469,147,1
49,49.08,49.17,48.68,48.89,830626,147,1
50,49.0,49.18,48.481,49.06,1079686,147,1
51,49.23,50.21,49.07,49.88,2050138,147,1
52,50.05,50.7,49.95,50.35,2098614,147,1
53,50.78,51.4,50.65,50.97,1741584,147,1
54,50.82,51.34,50.73,50.99,1054666,147,1
55,51.15,51.15,50.701,50.88,1020564,147,1
56,51.3,51.63,51.01,51.63,1902581,147,1
57,51.43,51.96,51.38,51.69,1685642,147,1
58,51.69,52.4899,51.47,52.33,1752156,147,1
59,52.5,53.3,52.41,52.82,1616469,147,1
60,52.75,53.2,52.66,52.91,722243,147,1
61,53.03,53.27,52.69,53.16,735045,147,1
62,53.0,53.31,52.745,53.31,908339,147,1
63,53.41,53.43,52.68,52.99,709264,147,1
64,53.04,53.71,53.04,53.56,682703,147,1
65,53.48,53.74,53.07,53.16,940493,147,1
66,53.23,53.8,52.85,53.76,901279,147,1
67,53.64,54.21,53.61,53.91,996334,147,1
68,53.75,53.75,52.76,52.78,1470651,147,1
69,52.83,53.43,52.71,53.43,1121584,147,1
70,53.44,53.75,53.13,53.45,601768,147,1
71,53.56,53.74,53.35,53.65,829174,147,1
72,53.57,53.77,52.49,52.62,1207227,147,1
73,52.25,53.239,52.07,53.22,709990,147,1
74,52.72,52.998,52.5,52.83,1001685,147,1
75,53.25,53.6,53.01,53.33,744883,147,1
76,53.03,53.3199,52.81,52.91,933416,147,1
77,53.07,53.22,52.4,52.48,754907,147,1
78,52.44,52.87,51.79,51.8,984519,147,1
79,51.91,52.61,51.895,52.56,879435,147,1
80,52.73,53.91,52.73,53.28,1484584,147,1
81,53.19,53.19,52.45,52.74,1069757,147,1
82,52.72,53.35,52.579,53.31,928873,147,1
83,53.54,54.33,53.39,54.23,922499,147,1
84,54.56,55.25,54.211,54.66,891248,147,1
85,54.29,54.81,54.06,54.23,966122,147,1
86,54.27,54.295,52.08,52.67,2670873,147,1
87,52.71,53.495,52.44,53.28,1285803,147,1
88,53.21,53.36,52.47,52.54,874808,147,1
89,52.94,53.15,52.465,52.77,1282749,147,1
90,52.75,53.32,52.62,53.13,1574492,147,1
91,53.27,53.65,52.56,52.62,1593240,147,1
92,52.41,52.64,50.98,51.23,2439045,147,1
93,50.94,51.0,48.78,50.12,5735459,147,1
94,49.48,49.56,48.4305,49.03,3396725,147,1
95,49.48,49.5425,48.7,49.07,3022575,147,1
96,49.4,49.93,49.21,49.55,1256628,147,1
97,49.93,50.29,49.32,49.41,1579862,147,1
98,49.4,50.729,49.11,50.48,3480211,147,1
99,50.73,51.28,50.51,50.64,1648275,147,1
100,50.63,51.19,50.53,50.91,1408307,147,1
101,50.63,51.1,50.34,50.96,673031,147,1
102,51.34,51.46,50.84,51.33,649141,147,1
103,51.1,51.9,51.1,51.72,1411139,147,1
104,52.01,52.24,51.75,51.89,827657,147,1
105,51.81,51.89,50.53,50.95,1608759,147,1
106,51.37,51.5,50.3,50.55,1553259,147,1
107,50.59,50.86,50.32,50.43,1523574,147,1
108,50.3,51.18,50.3,51.15,1592226,147,1
109,50.75,51.08,50.08,50.34,1050321,147,1
110,50.4,50.58,49.39,49.56,1243195,147,1
111,49.8,50.11,49.8,50.07,1349840,147,1
112,50.15,50.19,49.45,49.49,1101803,147,1
113,49.46,49.69,49.14,49.22,1177255,147,1
114,49.44,49.5,49.06,49.21,1148415,147,1
115,49.21,49.32,48.15,48.38,1388961,147,1
116,48.15,48.41,47.763,48.39,1393090,147,1
117,48.19,48.95,48.16,48.93,1734377,147,1
118,49.0,49.329,48.81,49.02,994570,147,1
119,49.13,49.34,48.89,49.02,1027709,147,1
120,49.02,49.62,48.97,49.05,1320129,147,1
121,49.38,49.94,49.32,49.56,1380084,147,1
122,49.7,49.97,49.34,49.88,1067109,147,1
123,49.7,49.83,49.11,49.62,998144,147,1
124,49.64,50.15,49.19,49.25,1432686,147,1
125,49.23,49.99,49.15,49.68,910865,147,1
126,49.86,49.98,49.47,49.54,733123,147,1
127,49.55,49.97,49.42,49.56,881146,147,1
128,49.38,49.55,49.06,49.26,1078335,147,1
129,49.18,49.22,48.71,49.14,854518,147,1
130,48.99,49.0499,48.555,48.76,1095520,147,1
131,48.4,48.48,47.67,47.84,1531181,147,1
132,47.81,48.1,47.6,47.91,1072358,147,1
133,47.92,48.05,47.51,47.65,1069091,147,1
134,47.72,48.47,47.6,47.84,2582608,147,1
