id_date,open,high,low,close,volume,id_stock,id_index
1,64.25,64.28,63.78,64.28,480522,148,1
2,64.21,64.52,64.2,64.4,260965,148,1
3,64.23,64.56,63.92,64.51,552548,148,1
4,64.48,64.68,64.255,64.4,407343,148,1
5,64.24,64.56,63.89,64.36,698953,148,1
6,64.37,64.59,64.25,64.42,588298,148,1
7,64.56,65.14,64.47,64.75,977569,148,1
8,64.54,65.37,64.24,64.86,745839,148,1
9,64.85,64.91,64.45,64.83,767734,148,1
10,65.03,65.64,64.93,65.62,614905,148,1
11,65.77,66.18,65.29,65.34,1716649,148,1
12,65.46,65.81,65.071,65.79,1190687,148,1
13,65.8,66.29,65.7,66.26,769841,148,1
14,66.3,67.01,66.18,66.8,1183294,148,1
15,66.66,66.74,66.08,66.43,1316820,148,1
16,66.37,67.45,66.37,67.08,977929,148,1
17,67.27,67.775,67.21,67.52,1066204,148,1
18,67.7,67.7,66.61,66.81,978071,148,1
19,66.82,67.25,66.48,66.49,688630,148,1
20,66.61,66.76,66.08,66.65,2052459,148,1
21,66.58,66.84,66.52,66.75,2647957,148,1
22,66.64,66.7,66.32,66.66,3571388,148,1
23,66.74,67.0,66.52,66.89,466735,148,1
24,66.36,66.66,66.18,66.41,681598,148,1
25,66.15,66.62,66.02,66.36,1165227,148,1
26,66.0,66.36,65.87,66.1,616331,148,1
27,66.26,66.52,65.74,66.02,779673,148,1
28,66.35,66.68,66.3,66.47,627423,148,1
29,66.28,66.5,66.07,66.2,553268,148,1
30,66.27,66.63,66.14,66.28,442400,148,1
31,66.62,66.95,65.82,66.06,719475,148,1
32,66.37,66.82,66.35,66.82,579145,148,1
33,66.47,67.02,66.28,66.99,797121,148,1
34,66.97,68.375,66.87,68.34,1241676,148,1
35,68.34,68.64,68.13,68.39,592339,148,1
36,68.48,68.92,68.24,68.53,791392,148,1
37,68.58,68.91,68.22,68.43,644939,148,1
38,68.5,68.91,68.459,68.84,463251,148,1
39,68.43,68.88,68.33,68.83,562642,148,1
40,68.74,69.47,68.56,69.45,511744,148,1
41,69.43,69.5,68.54,68.58,962078,148,1
42,68.67,69.27,68.67,69.24,787025,148,1
43,69.31,69.61,69.03,69.55,644694,148,1
44,69.43,70.42,69.43,70.35,766985,148,1
45,70.17,70.86,70.05,70.39,1630601,148,1
46,70.5,71.4,69.95,71.36,1450330,148,1
47,71.06,72.03,70.87,71.95,1737684,148,1
48,71.93,72.48,71.65,72.05,1409825,148,1
49,72.09,72.549,71.88,72.26,1431389,148,1
50,72.26,73.05,71.96,72.9,891790,148,1
51,73.1,73.32,72.35,72.77,1143265,148,1
52,72.92,73.16,72.57,72.68,1123762,148,1
53,72.96,73.09,72.09,72.25,1864567,148,1
54,72.32,72.958,71.12,72.26,1707257,148,1
55,72.7,73.24,72.02,72.19,1860353,148,1
56,72.27,73.07,72.07,72.88,1530769,148,1
57,72.86,73.205,72.31,72.44,1237346,148,1
58,72.39,72.72,72.12,72.38,772292,148,1
59,72.63,73.0,72.3,72.6,983427,148,1
60,72.52,72.7,71.46,71.46,614282,148,1
61,71.9,72.25,71.65,71.98,1309617,148,1
62,71.85,72.21,71.44,71.63,1151875,148,1
