id_date,open,high,low,close,volume,id_stock,id_index
1151,66.66,67.3,65.66,67.18,7341133,152,1
1152,67.02,67.17,64.98,64.98,10832692,152,1
1153,65.2,65.33,64.01,64.87,10345913,152,1
1154,64.6,64.95,64.22,64.68,6382521,152,1
1155,64.9,65.2,64.64,64.85,8099999,152,1
1156,65.25,67.16,65.2,66.85,11567033,152,1
1157,68.2,69.25,67.8007,68.52,14631020,152,1
1158,68.9,69.6,68.29,69.5,9223585,152,1
1159,69.6,70.3,69.22,70.02,12264841,152,1
1160,70.26,70.7,69.5,69.86,32382148,152,1
1161,70.0,70.37,69.62,69.77,7193708,152,1
1162,70.02,70.11,69.64,70.05,6713280,152,1
1163,70.28,70.5,69.6601,70.41,6812432,152,1
1164,70.41,70.5,70.1,70.32,4450285,152,1
1165,70.14,70.23,69.68,69.96,4078750,152,1
1166,70.07,70.38,69.21,70.34,6419196,152,1
1167,70.26,70.4757,69.33,69.35,5244251,152,1
1168,69.52,69.52,68.27,68.8,7044021,152,1
1169,68.44,69.07,67.77,69.06,7885679,152,1
1170,69.0,69.41,68.57,69.23,5746573,152,1
1171,69.4,70.42,69.15,70.42,6044629,152,1
1172,70.41,70.62,69.9001,70.36,6796348,152,1
1173,70.58,70.91,70.44,70.45,5999448,152,1
1174,70.82,71.0,70.24,70.97,5481589,152,1
1175,70.8,71.23,70.62,71.22,4247331,152,1
1176,71.2,71.88,71.0,71.68,5278932,152,1
1177,71.56,71.75,71.16,71.57,4829699,152,1
1178,71.5,71.63,70.92,71.62,5091115,152,1
1179,71.5,71.63,71.21,71.4,4464655,152,1
1180,71.53,71.7,71.15,71.43,5136216,152,1
1181,71.8,71.81,70.81,70.93,4336975,152,1
1182,70.8,70.935,70.53,70.88,5606700,152,1
1183,70.86,70.97,70.56,70.78,4755382,152,1
1184,70.65,71.075,70.29,70.89,6006408,152,1
1185,71.2,71.3901,71.0,71.18,7374262,152,1
1186,71.95,72.1798,71.4,71.55,11205340,152,1
1187,71.84,72.12,71.61,71.86,10364834,152,1
1188,71.86,72.1,70.93,71.12,6559212,152,1
1189,72.33,73.85,72.03,73.05,16846954,152,1
1190,73.0,73.1,72.23,72.54,8587317,152,1
1191,72.32,72.61,71.5199,71.68,5860821,152,1
1192,71.91,72.465,71.6,72.31,6007601,152,1
1193,73.11,73.58,72.32,73.32,7968525,152,1
1194,72.02,73.2,71.56,72.04,10314302,152,1
1195,72.09,72.27,70.86,71.16,8619088,152,1
1196,71.4,71.73,70.13,70.24,9270953,152,1
1197,70.89,71.15,70.32,71.14,6719034,152,1
1198,71.31,71.5,70.71,70.81,6091437,152,1
1199,70.5,70.54,70.01,70.23,4529926,152,1
1200,70.23,70.49,69.74,69.97,7127142,152,1
1201,71.03,71.05,70.02,70.13,6865130,152,1
1202,69.8,69.93,68.335,68.57,8133045,152,1
1203,68.22,69.14,67.995,68.97,14901145,152,1
1204,69.36,70.77,69.07,70.68,9595780,152,1
1205,70.65,71.21,70.5,70.74,8784131,152,1
1206,70.66,71.27,70.54,70.85,5600160,152,1
1207,71.4,71.775,71.1,71.26,8091913,152,1
1208,71.35,71.38,70.6,70.6,6403981,152,1
1209,70.6,71.39,70.53,71.16,2636225,152,1
1210,71.03,71.05,70.02,70.13,6865430,152,1
1211,70.3,71.2,70.13,71.09,8536608,152,1
1212,71.17,71.93,70.87,71.78,6437722,152,1
