id_date,open,high,low,close,volume,id_stock,id_index
1,17.05,17.505,16.86,17.37,4846238,154,1
2,17.3,17.6,17.13,17.41,4414898,154,1
3,17.38,17.585,17.28,17.54,4443470,154,1
4,17.39,17.55,17.06,17.17,5300187,154,1
5,17.13,17.36,16.98,17.15,5670436,154,1
6,17.1501,17.18,16.83,16.97,5481025,154,1
7,17.05,17.75,17.0,17.585,4936238,154,1
8,17.51,17.75,17.45,17.48,5319875,154,1
9,17.65,17.92,17.16,17.64,10889854,154,1
10,17.67,17.87,17.67,17.81,3526120,154,1
11,17.84,18.03,17.69,17.7,5689852,154,1
12,17.76,17.82,17.45,17.69,4559987,154,1
13,17.65,18.2,17.41,18.12,5373351,154,1
14,17.59,18.0,17.52,17.53,7160430,154,1
15,17.53,18.08,17.42,18.04,5916742,154,1
16,17.97,18.3,17.93,18.2,4846642,154,1
17,18.34,18.9,18.3,18.51,4899017,154,1
18,18.63,18.87,18.448,18.62,3182505,154,1
19,18.56,18.94,18.44,18.71,4026345,154,1
20,18.75,18.82,18.48,18.58,3831286,154,1
21,18.58,19.51,18.58,19.13,7736128,154,1
22,19.06,19.25,18.99,19.25,3947990,154,1
23,19.04,19.15,18.79,18.94,5548080,154,1
24,19.07,19.36,18.95,19.34,3483409,154,1
25,19.33,19.34,18.87,18.88,5657897,154,1
26,18.7,18.765,18.42,18.71,5062438,154,1
27,18.71,18.85,16.93,17.15,20063818,154,1
28,17.18,17.41,17.08,17.34,5450525,154,1
29,17.58,17.99,17.54,17.7,5885339,154,1
30,17.68,18.03,17.68,17.97,4669594,154,1
31,18.12,18.14,17.51,17.56,4829193,154,1
32,18.11,18.15,17.69,17.77,4608114,154,1
33,17.76,17.83,17.4701,17.79,2672531,154,1
34,17.63,17.73,17.39,17.7,6487310,154,1
35,17.61,18.02,17.61,17.915,4288548,154,1
36,17.75,17.9401,17.43,17.545,3959783,154,1
37,17.55,17.59,17.19,17.24,4527809,154,1
38,17.34,17.39,17.11,17.245,4305693,154,1
39,17.14,17.37,17.0,17.35,2580191,154,1
40,17.33,17.3799,16.975,17.27,2726253,154,1
41,17.36,17.51,17.24,17.45,1778421,154,1
42,17.41,17.84,17.28,17.8,3976231,154,1
43,17.96,17.96,17.6,17.63,3190211,154,1
44,17.53,17.605,17.34,17.58,2168739,154,1
45,17.5,17.6,16.9,16.91,4217961,154,1
46,17.1,17.47,16.87,17.37,4365903,154,1
47,17.15,17.31,16.84,17.01,4159696,154,1
48,17.02,17.1,16.75,16.94,2282306,154,1
49,16.88,17.145,16.645,17.09,2654259,154,1
50,17.1,17.37,16.76,17.28,3144539,154,1
51,17.29,17.59,17.14,17.42,2200224,154,1
52,17.43,17.86,17.42,17.8,2525864,154,1
53,17.86,18.06,17.79,17.94,3347249,154,1
54,17.96,18.12,17.855,17.88,3222285,154,1
55,17.89,18.0,17.71,17.77,2157382,154,1
56,17.77,17.79,17.36,17.61,2409249,154,1
57,17.59,17.65,17.16,17.3,2412031,154,1
58,17.39,17.54,17.15,17.54,2373187,154,1
59,17.69,18.13,17.675,17.955,6220540,154,1
60,17.67,18.31,17.62,18.29,4307483,154,1
61,18.85,18.85,18.05,18.41,8044935,154,1
62,19.8,21.68,19.8,21.56,22311029,154,1
63,21.04,21.8941,20.95,21.64,11145635,154,1
64,21.5,22.57,21.45,22.48,9168284,154,1
65,22.27,22.48,21.45,21.74,7215038,154,1
66,21.8,22.43,21.78,22.41,4407575,154,1
67,22.04,22.84,22.02,22.64,4810135,154,1
68,22.6,22.7,22.0,22.02,4394142,154,1
69,21.75,22.35,21.5,22.21,5621004,154,1
70,22.0,22.33,21.765,21.79,4693441,154,1
71,21.63,22.59,21.58,21.97,6469854,154,1
72,22.13,22.77,21.68,21.75,6620496,154,1
73,21.59,22.7,21.5,22.65,5805821,154,1
74,22.27,22.98,22.26,22.77,6060983,154,1
75,22.99,23.53,22.77,23.26,6106347,154,1
76,23.24,23.48,22.96,23.155,4520888,154,1
77,23.04,23.54,23.03,23.35,3288222,154,1
78,23.19,23.595,22.99,22.99,4525747,154,1
79,23.01,23.11,22.51,22.99,3861696,154,1
80,22.85,23.13,22.54,22.72,4815387,154,1
81,22.76,23.0,22.565,22.88,3446720,154,1
82,22.83,23.28,22.71,23.28,3555736,154,1
83,23.5,23.66,23.23,23.61,3476129,154,1
84,23.6,23.66,22.8,22.87,3780231,154,1
85,22.74,23.31,22.54,22.6,3851872,154,1
86,22.79,22.9099,21.43,21.54,6642906,154,1
87,21.53,21.65,20.95,21.49,7727634,154,1
88,21.49,22.03,21.45,21.81,3587820,154,1
89,21.84,22.75,21.84,22.43,4715583,154,1
90,22.42,23.09,22.42,23.03,4485502,154,1
91,22.96,23.21,22.83,22.84,3879101,154,1
92,22.61,22.77,22.14,22.15,3922831,154,1
93,22.15,22.66,21.75,21.975,5704209,154,1
94,21.89,21.94,21.33,21.61,3102549,154,1
95,21.85,22.02,21.56,21.78,2307022,154,1
96,22.08,22.11,21.65,21.79,2625821,154,1
97,21.96,22.59,21.9405,22.21,2949034,154,1
98,21.93,23.12,21.93,22.99,7366851,154,1
99,22.89,23.39,22.87,23.18,3606588,154,1
100,23.2,23.54,22.99,23.52,3334654,154,1
101,23.22,23.56,23.19,23.306,2066138,154,1
102,23.5,23.88,23.3182,23.83,1894248,154,1
103,23.89,23.99,23.17,23.54,3816703,154,1
104,23.73,23.86,23.4,23.565,2352505,154,1
105,23.51,23.91,23.34,23.9,3341626,154,1
106,24.1,24.3,23.65,24.27,3735628,154,1
107,24.25,24.49,23.98,24.32,2703000,154,1
108,24.25,24.36,23.98,24.19,4182490,154,1
109,24.1,24.385,24.059,24.19,2719789,154,1
110,24.3,24.3,23.39,23.81,4703358,154,1
111,23.9,24.45,23.85,24.16,2215989,154,1
112,24.17,24.35,23.75,24.265,1881646,154,1
113,24.46,24.46,23.9,24.01,3073018,154,1
114,24.43,24.43,23.8,23.825,3739483,154,1
115,25.22,26.98,25.21,25.41,15657326,154,1
116,25.26,25.45,24.51,24.64,5763908,154,1
117,24.38,25.945,24.35,25.82,6655888,154,1
118,25.41,25.86,25.35,25.48,3011211,154,1
119,25.77,26.53,25.54,26.07,7516190,154,1
120,26.0,26.42,25.93,26.12,4136748,154,1
121,26.33,26.6699,26.07,26.53,4938567,154,1
122,26.65,26.65,26.14,26.57,3633946,154,1
123,26.41,26.89,26.16,26.53,2610056,154,1
124,26.5,26.76,26.22,26.44,2271209,154,1
125,26.24,26.52,26.04,26.34,2016396,154,1
126,26.4,26.86,26.4,26.64,2816984,154,1
127,26.49,26.85,26.49,26.65,1502078,154,1
128,26.4,26.85,26.375,26.68,1554367,154,1
129,26.7,26.77,26.42,26.55,1733132,154,1
130,26.13,26.8,26.12,26.66,3318284,154,1
131,26.75,26.75,26.441,26.48,3814732,154,1
132,26.36,26.96,26.33,26.885,4219388,154,1
133,26.74,27.07,26.52,26.57,3308688,154,1
134,26.52,27.92,26.5025,26.75,6261828,154,1
135,26.58,26.88,26.32,26.66,3303694,154,1
136,27.0,27.94,26.95,27.78,2959082,154,1
137,27.97,28.13,27.83,27.97,3759264,154,1
138,28.07,28.11,27.62,27.86,2932116,154,1
139,27.49,27.77,26.96,26.99,4283709,154,1
140,26.86,27.25,26.66,27.13,2145916,154,1
141,27.13,27.7,27.04,27.57,2784850,154,1
142,26.98,27.2,26.56,26.64,2997310,154,1
143,27.03,27.64,27.03,27.36,3014145,154,1
144,27.49,28.0,27.1,27.99,3311568,154,1
145,27.77,28.0,27.64,27.68,1690476,154,1
146,27.37,27.41,26.46,26.76,5234875,154,1
147,26.93,27.37,26.64,27.11,3585366,154,1
