id_date,open,high,low,close,volume,id_stock,id_index
1,56.46,57.08,56.39,56.62,8066626,155,1
2,56.52,56.58,55.75,56.41,5150867,155,1
3,56.4,57.18,56.11,56.78,10023081,155,1
4,56.86,57.26,56.41,57.05,9095970,155,1
5,56.79,57.12,56.63,56.83,7054543,155,1
6,56.81,57.15,56.41,56.7,9130168,155,1
7,56.86,56.98,56.36,56.68,5701679,155,1
8,56.9,57.1,55.48,55.53,7395537,155,1
9,55.34,55.58,53.9,54.62,10735036,155,1
10,54.96,55.13,54.57,55.02,5087109,155,1
11,55.4101,55.65,53.6,53.61,7336305,155,1
12,53.77,53.97,53.12,53.82,8462971,155,1
13,54.02,54.56,53.67,54.15,7662227,155,1
14,54.5,55.18,54.26,54.71,9575489,155,1
15,54.59,55.095,54.02,54.9,6422863,155,1
16,54.34,55.49,54.25,55.48,9698078,155,1
17,55.55,56.0,54.76,55.26,9812533,155,1
18,54.98,55.0,53.44,53.57,14560268,155,1
19,53.69,53.87,52.75,52.98,9449904,155,1
20,53.18,53.46,52.26,53.13,13076854,155,1
21,53.1,53.34,52.67,52.76,8964994,155,1
22,51.7,53.1,50.9,52.96,16123180,155,1
23,52.96,53.0,50.62,50.98,19803467,155,1
24,51.79,52.9,51.6,51.8,17143357,155,1
25,51.72,52.08,50.33,50.41,21766686,155,1
26,49.86,50.55,49.55,50.11,14338953,155,1
27,51.0,53.63,50.46,51.095,14623091,155,1
28,51.67,52.61,51.05,52.42,14632601,155,1
29,52.2,53.05,51.94,52.92,14056441,155,1
30,53.01,53.46,52.96,53.27,8500846,155,1
31,53.4,53.4,51.1301,51.31,18177461,155,1
32,51.67,52.14,51.1,52.09,10759028,155,1
33,51.66,52.58,50.95,52.07,12416146,155,1
34,52.04,54.505,51.45,54.22,24201193,155,1
35,55.64,56.75,55.44,55.71,20618557,155,1
36,56.26,56.79,55.945,56.16,15228753,155,1
37,55.81,56.0,55.32,55.5,11496019,155,1
38,55.34,55.865,55.1,55.79,5906745,155,1
39,54.73,55.59,54.5,55.52,7236248,155,1
40,55.42,56.84,55.29,55.87,10187510,155,1
41,55.44,56.4499,55.32,56.07,6264180,155,1
42,56.33,57.58,56.28,57.3,8000793,155,1
43,57.42,58.04,57.21,57.78,7291116,155,1
44,57.9,57.9,56.8099,57.31,6315378,155,1
45,56.98,57.48,55.685,55.84,9195842,155,1
46,56.19,57.15,56.0,57.01,8629262,155,1
47,56.49,56.83,55.65,56.1,14637769,155,1
48,53.85,54.2406,52.73,52.82,25355365,155,1
49,52.77,53.235,51.9,52.39,15600000,155,1
50,52.14,52.32,51.16,51.63,13761168,155,1
51,51.96,52.77,51.85,52.49,12678591,155,1
52,53.0,53.33,52.64,52.97,10227602,155,1
53,53.31,53.36,52.07,52.36,11477105,155,1
54,52.4,52.86,51.89,52.54,10612266,155,1
55,52.61,52.995,52.21,52.84,7171243,155,1
56,52.6701,53.14,52.13,52.39,9056833,155,1
57,52.38,52.87,51.92,52.4,7917150,155,1
58,52.42,53.7,52.03,53.55,9885069,155,1
59,54.0,54.51,53.6,54.21,7207364,155,1
60,54.06,54.82,53.76,54.09,6353919,155,1
61,53.93,54.13,53.1,53.94,9679914,155,1
62,54.01,54.98,53.77,54.96,7027436,155,1
63,54.99,55.99,54.79,55.17,9297974,155,1
64,55.39,55.82,55.21,55.65,7125347,155,1
65,55.79,55.8,55.09,55.33,7220555,155,1
66,55.15,56.41,55.14,56.27,9227059,155,1
67,56.27,56.68,56.06,56.65,8567696,155,1
68,56.8,56.9,55.72,55.8,8521430,155,1
69,56.49,57.105,56.47,56.71,11558570,155,1
70,56.56,56.66,55.755,55.95,8759545,155,1
71,55.96,56.11,54.94,54.95,13018940,155,1
72,55.32,55.82,54.13,54.4,11450333,155,1
73,53.69,54.56,53.32,54.48,9468822,155,1
74,53.8,54.65,53.57,54.64,7309950,155,1
75,55.25,56.25,55.21,55.53,9747516,155,1
76,55.15,55.4,54.53,55.05,8693671,155,1
77,55.01,55.69,54.963,55.1,8751139,155,1
78,54.7,54.91,53.99,54.1,12809286,155,1
79,53.86,53.89,52.4,53.41,13126383,155,1
80,53.74,53.75,52.22,52.59,10614612,155,1
81,52.57,52.68,50.91,51.36,14462475,155,1
82,51.15,51.66,50.83,51.52,9848329,155,1
83,51.95,52.19,51.42,51.452,11738183,155,1
84,51.8,53.39,51.6,53.25,11672201,155,1
85,52.25,52.64,51.87,52.05,12793267,155,1
86,52.34,52.37,50.73,50.75,10346579,155,1
87,50.71,51.62,50.64,51.48,10662213,155,1
88,51.5,51.77,51.07,51.29,6593146,155,1
89,51.9,52.735,51.76,52.07,7824156,155,1
90,52.21,52.86,52.1,52.565,5673113,155,1
91,52.64,52.99,52.17,52.23,12643155,155,1
92,51.79,51.83,50.48,50.745,10442850,155,1
93,50.81,51.24,50.25,51.13,13678330,155,1
94,50.83,51.3349,50.09,50.82,9419695,155,1
95,51.34,51.91,51.3,51.64,8569442,155,1
96,52.03,52.1,51.0,51.33,10948875,155,1
97,51.77,52.29,51.69,52.14,9038326,155,1
98,51.59,52.44,51.225,51.72,15340443,155,1
99,52.2,53.285,52.03,52.905,8950155,155,1
100,53.02,53.63,52.94,53.33,8189480,155,1
101,52.85,53.5299,52.8,53.17,4199875,155,1
102,53.77,53.89,53.01,53.85,4513494,155,1
103,54.28,54.38,53.37,53.711,6064112,155,1
104,54.12,54.62,54.02,54.49,7096802,155,1
105,54.66,55.22,54.61,54.88,6978721,155,1
106,55.36,56.15,55.34,55.88,9691197,155,1
107,55.8,57.07,55.75,57.04,8640794,155,1
108,57.02,57.09,56.18,56.45,6877879,155,1
109,56.83,56.96,56.26,56.81,9015681,155,1
110,56.85,57.5,56.68,57.38,15062645,155,1
111,53.58,53.85,53.16,53.52,43064884,155,1
112,53.75,53.92,52.12,52.185,19224062,155,1
113,52.42,52.47,51.89,52.31,15575845,155,1
114,52.38,52.46,51.52,51.64,11019539,155,1
115,51.61,52.37,51.6,52.1,15498085,155,1
116,52.0,52.23,51.33,51.5,10149854,155,1
117,51.42,52.41,50.92,52.25,12707912,155,1
118,52.1,52.53,51.5,51.64,7495340,155,1
119,51.98,52.11,51.6,51.98,7814357,155,1
120,52.18,52.18,51.4,51.69,7731885,155,1
121,52.14,52.43,51.79,52.41,8103155,155,1
122,52.45,52.75,52.13,52.54,8453797,155,1
123,52.63,52.95,52.33,52.71,5380615,155,1
124,52.71,53.79,52.44,53.7,10340994,155,1
125,53.43,53.8799,52.98,53.01,7060408,155,1
126,53.53,53.73,52.843,53.57,5634604,155,1
127,53.54,53.78,52.97,53.33,6381518,155,1
128,52.75,53.46,52.52,53.28,4712378,155,1
129,53.74,54.48,53.51,54.12,9442158,155,1
130,54.14,54.52,53.99,54.23,6767394,155,1
131,53.39,53.46,51.68,53.18,15264763,155,1
132,53.09,53.635,52.69,52.92,7531418,155,1
133,52.74,53.28,52.04,52.07,6643580,155,1
134,52.3,52.625,51.775,51.99,9378923,155,1
135,51.735,51.87,50.8125,50.96,12848703,155,1
136,51.2,51.623,51.0098,51.08,7477649,155,1
137,51.2232,51.7,51.14,51.65,7025148,155,1
138,51.67,52.135,51.21,51.96,8070708,155,1
139,51.24,51.49,50.42,50.61,10340794,155,1
140,50.75,51.01,50.42,50.43,8135985,155,1
141,50.22,51.48,50.2,50.99,7109171,155,1
142,51.09,51.1,49.62,49.99,11121725,155,1
143,50.58,51.085,50.075,50.32,8138203,155,1
144,50.75,51.65,50.41,51.45,9500564,155,1
145,51.48,52.23,51.29,51.95,6752734,155,1
146,52.53,53.24,52.28,52.83,12072213,155,1
147,52.78,53.29,52.1,52.67,8990614,155,1
148,53.05,53.54,52.96,53.49,8747139,155,1
149,53.0,54.47,53.0,54.28,10001832,155,1
150,54.46,54.61,53.5,54.035,7936698,155,1
151,54.19,54.22,53.4032,53.82,5218729,155,1
152,54.48,54.65,53.44,53.65,6995520,155,1
153,53.96,55.07,53.86,54.63,10349334,155,1
154,54.31,54.75,53.76,54.68,10318420,155,1
155,54.98,55.1,54.135,54.45,6311257,155,1
156,54.6,55.25,54.54,54.95,11465844,155,1
157,55.01,55.3,54.2816,54.76,7240287,155,1
158,55.0,55.47,54.64,55.17,6587261,155,1
159,55.02,55.18,54.015,54.21,7504214,155,1
160,54.63,56.9,54.47,56.64,13903871,155,1
161,56.1,56.3,55.67,55.78,7229460,155,1
162,55.27,56.07,55.0,55.795,8075033,155,1
163,55.65,56.25,55.59,55.97,5801712,155,1
164,55.57,55.72,55.11,55.63,6322889,155,1
165,55.5,55.77,54.49,54.91,6698629,155,1
166,55.06,55.8,54.82,55.58,5869147,155,1
167,54.9,55.43,54.52,54.57,5321176,155,1
168,54.515,54.6,52.63,52.97,9257330,155,1
169,53.13,53.23,52.095,52.33,9095933,155,1
170,52.88,53.55,52.58,53.42,8850739,155,1
171,53.55,54.79,53.49,54.37,8762457,155,1
172,54.11,54.78,53.86,54.77,6031497,155,1
173,54.59,54.8,53.82,53.97,8921700,155,1
174,54.44,54.44,53.16,53.52,19320622,155,1
175,50.33,51.87,50.23,51.38,34376189,155,1
176,51.58,52.68,50.46,52.2,30624874,155,1
177,52.43,52.59,51.6,51.94,14252661,155,1
178,52.31,52.36,51.57,51.83,11155104,155,1
179,51.75,52.28,51.57,51.731,8359574,155,1
180,52.07,52.51,51.85,52.34,9700225,155,1
181,52.59,52.92,51.05,51.635,15838077,155,1
182,51.8,52.28,51.46,51.97,8551595,155,1
183,52.29,53.37,52.08,53.34,12253291,155,1
184,53.51,53.51,52.5156,52.725,8700053,155,1
185,52.73,52.93,52.25,52.71,9047478,155,1
186,52.94,52.99,51.85,51.94,12346728,155,1
187,51.99,52.28,51.31,51.37,8835564,155,1
188,51.27,51.34,50.52,51.08,11341673,155,1
189,51.57,53.82,51.12,53.28,25126766,155,1
190,53.5,53.85,52.31,52.57,9687193,155,1
191,52.84,53.169,52.47,53.0,9804309,155,1
192,52.63,53.08,52.5,52.82,6898854,155,1
193,52.05,53.2,51.96,52.83,10741792,155,1
194,52.6,53.04,52.47,53.03,7658912,155,1
195,53.1,53.48,52.68,52.88,10519427,155,1
196,53.02,53.12,52.32,52.6,10588533,155,1
197,52.33,52.69,51.73,52.08,12753940,155,1
198,52.43,52.5,51.94,52.13,10263297,155,1
199,52.48,52.5,49.86,50.39,34262761,155,1
200,50.77,50.8,49.93,50.21,17609612,155,1
201,50.27,50.52,50.18,50.33,13722817,155,1
202,50.72,50.74,48.47,49.04,34904347,155,1
203,49.26,49.27,48.06,48.76,23429501,155,1
204,49.29,49.855,49.15,49.3,12640187,155,1
205,49.77,50.75,49.71,50.52,9636624,155,1
206,52.21,53.08,51.231,51.35,24811361,155,1
207,51.85,52.225,51.274,51.93,14471956,155,1
208,51.29,51.54,50.51,51.09,15465897,155,1
209,51.08,51.65,50.83,51.41,9928610,155,1
210,51.72,52.41,51.7,52.01,9431508,155,1
211,52.0,52.25,51.56,51.69,7912227,155,1
212,51.63,52.3,51.62,51.92,9549725,155,1
213,51.87,52.07,51.31,51.37,8226524,155,1
214,51.24,51.96,51.19,51.37,8126790,155,1
215,51.65,52.17,51.4199,51.55,7322474,155,1
216,52.24,53.295,52.01,53.11,13067781,155,1
217,52.13,53.24,52.0,52.58,15204229,155,1
218,52.84,53.18,51.56,53.13,13210341,155,1
219,53.12,53.43,52.43,53.4,10221373,155,1
220,53.42,54.8,53.37,54.58,17229822,155,1
221,54.7,55.32,54.6,55.3,13508205,155,1
222,54.74,55.23,54.74,55.17,5520026,155,1
223,54.8,54.81,53.71,54.06,10292182,155,1
224,54.01,54.48,53.74,54.18,6623438,155,1
