id_date,open,high,low,close,volume,id_stock,id_index
1,57.12,57.2,56.86,57.15,1482500,157,1
2,56.56,56.75,56.491,56.59,845513,157,1
3,56.72,56.72,56.29,56.56,1568127,157,1
4,56.58,56.79,56.47,56.62,1193577,157,1
5,56.46,56.76,56.26,56.36,1558789,157,1
6,56.5,56.73,56.3,56.58,1701578,157,1
7,56.65,57.1,56.6,57.0,1299039,157,1
8,57.0,57.5868,56.9,57.19,1365264,157,1
9,57.05,57.46,57.05,57.4,1707015,157,1
10,57.55,58.49,57.51,58.48,2490956,157,1
11,58.59,58.99,57.92,57.94,2322267,157,1
12,58.21,58.72,58.08,58.22,1697382,157,1
13,58.18,58.72,58.17,58.57,1205321,157,1
14,58.66,59.2,58.51,59.0,1682488,157,1
15,58.95,59.04,58.55,59.02,1341632,157,1
16,58.99,59.465,58.8,59.4,1353950,157,1
17,59.5,59.9,59.41,59.58,1473217,157,1
18,59.58,59.79,59.25,59.25,1389484,157,1
19,59.3,59.54,58.98,58.98,1188364,157,1
20,59.03,59.098,58.33,58.95,1264610,157,1
21,58.92,59.06,58.75,59.05,888738,157,1
22,59.08,59.13,58.62,58.87,1165551,157,1
23,58.88,59.0,58.7,58.77,1058077,157,1
24,58.79,58.83,58.51,58.8,1443069,157,1
25,58.73,59.17,58.6,59.17,2845829,157,1
26,58.77,59.04,58.62,58.67,1200269,157,1
27,58.78,59.03,58.6,58.96,1019169,157,1
28,59.15,59.25,58.93,59.16,822292,157,1
29,59.03,59.16,58.78,58.91,1009468,157,1
30,58.92,59.345,58.85,59.09,889826,157,1
31,59.24,59.48,58.85,59.1,1470611,157,1
32,59.28,59.7,59.2,59.66,1171312,157,1
33,59.46,60.18,59.25,60.11,1537236,157,1
34,60.21,61.13,60.05,61.03,2159283,157,1
35,60.93,61.0,60.63,60.71,1182754,157,1
36,60.76,61.22,60.44,60.51,1687077,157,1
37,60.53,60.94,60.52,60.68,1443153,157,1
38,60.77,61.28,60.7,61.23,1325721,157,1
39,60.91,61.33,60.86,61.31,1023939,157,1
40,61.2,61.48,60.91,61.48,1028919,157,1
41,61.45,61.765,61.15,61.49,1652261,157,1
42,61.41,61.86,61.41,61.77,1297915,157,1
43,61.8,61.97,61.61,61.73,1044056,157,1
44,61.64,62.12,61.58,61.91,1317493,157,1
45,61.84,62.12,61.27,61.27,1402591,157,1
46,61.39,61.64,60.851,61.53,1316381,157,1
47,61.38,61.56,61.02,61.34,1567850,157,1
48,61.58,61.75,61.14,61.44,1457481,157,1
49,61.63,62.55,61.54,62.48,1429528,157,1
50,62.45,62.6,62.12,62.37,957825,157,1
51,62.46,62.58,61.99,62.5,1001541,157,1
52,62.61,63.0,62.21,62.77,1077173,157,1
53,62.82,63.05,62.56,62.99,1180901,157,1
54,62.9,63.23,62.77,62.84,919541,157,1
55,63.04,63.81,62.88,63.63,1051323,157,1
56,63.5,63.65,63.32,63.65,1174791,157,1
57,63.61,64.0285,63.26,63.32,1202855,157,1
58,63.32,63.69,63.01,63.63,1579280,157,1
59,63.82,63.95,63.02,63.66,2069637,157,1
60,63.53,63.67,62.7,62.72,2116378,157,1
61,62.92,63.2,62.7,63.06,1977801,157,1
62,62.92,63.16,62.19,62.28,1309774,157,1
63,62.32,62.48,61.25,61.45,4391963,157,1
64,61.46,61.575,61.13,61.57,4312217,157,1
65,60.75,60.8675,60.35,60.44,1582310,157,1
66,60.35,60.82,60.21,60.47,1954593,157,1
67,60.37,61.25,60.31,60.69,1738279,157,1
68,60.56,60.6799,60.08,60.16,1425202,157,1
69,60.13,60.8,60.13,60.79,1767583,157,1
70,60.79,61.06,60.52,60.9,1317014,157,1
71,60.94,61.19,60.44,60.87,1241470,157,1
72,60.78,61.16,59.48,59.61,2024482,157,1
73,59.38,59.44,58.35,59.01,1982679,157,1
74,58.77,58.97,58.37,58.66,1389592,157,1
75,58.67,58.88,58.3099,58.56,2261151,157,1
76,58.28,58.38,56.85,57.74,2907421,157,1
77,57.92,58.48,57.51,57.68,2489059,157,1
78,57.53,58.2,57.07,57.07,2352302,157,1
79,57.01,57.33,55.83,56.98,3716928,157,1
80,56.95,57.05,56.23,56.49,2306673,157,1
81,56.35,57.19,56.0,56.99,3124604,157,1
82,56.98,57.73,56.56,57.33,2293658,157,1
83,57.41,57.75,56.88,57.43,1434030,157,1
84,57.5,57.7,57.126,57.4,1211679,157,1
85,57.12,57.65,57.01,57.15,1255536,157,1
86,57.33,57.51,56.59,56.77,1409681,157,1
87,56.76,57.58,56.5,57.56,2033197,157,1
88,57.85,58.12,57.55,57.82,2058573,157,1
89,58.26,58.7,58.24,58.57,2537390,157,1
90,58.49,58.95,58.13,58.95,1984035,157,1
91,58.81,58.95,57.27,57.28,1736811,157,1
92,57.0,57.17,55.7,55.78,2500720,157,1
93,56.23,56.836,55.6,56.39,3251936,157,1
94,55.98,56.66,55.42,56.29,2418157,157,1
95,56.5,57.25,56.15,57.03,1726106,157,1
96,57.47,58.21,57.4,58.11,1947919,157,1
97,58.25,58.72,57.9,58.04,1796412,157,1
98,57.81,58.41,57.53,58.31,5117351,157,1
99,58.52,58.676,57.35,57.51,1699682,157,1
100,57.43,57.973,57.32,57.56,1533104,157,1
101,57.4,57.59,57.18,57.46,725539,157,1
