id_date,open,high,low,close,volume,id_stock,id_index
1,64.98,65.08,63.58,64.47,3966540,172,1
2,64.42,64.73,64.32,64.62,2989886,172,1
3,63.79,64.11,63.7644,63.93,884380,172,1
4,63.93,64.17,63.59,63.66,1043371,172,1
5,63.1,63.1,61.5,61.8,2615527,172,1
6,61.6,61.69,61.09,61.45,1847574,172,1
7,61.7,62.0,61.56,61.78,1199085,172,1
8,61.79,62.21,61.53,61.55,1316589,172,1
9,61.53,61.72,61.24,61.52,946348,172,1
10,61.61,62.16,61.53,62.05,809115,172,1
11,62.24,62.86,61.58,61.58,1039546,172,1
12,61.88,62.3635,61.29,61.54,1094769,172,1
13,61.74,62.1,61.46,62.02,874752,172,1
14,62.14,62.52,61.98,62.26,1347884,172,1
15,62.21,62.46,61.64,62.12,1137892,172,1
16,61.95,63.01,61.95,62.95,892659,172,1
17,63.2,63.82,63.06,63.58,1221570,172,1
18,63.73,63.94,63.475,63.65,917505,172,1
19,63.72,64.06,63.42,63.52,615284,172,1
20,63.59,63.71,62.97,63.43,943826,172,1
21,63.28,63.56,63.22,63.52,760903,172,1
22,63.55,63.8,63.21,63.47,687560,172,1
23,63.45,64.0,63.45,63.68,924134,172,1
24,63.71,63.92,63.59,63.64,1105601,172,1
25,63.33,65.39,63.26,65.23,1972537,172,1
26,64.78,65.06,64.33,64.46,805873,172,1
27,64.42,64.74,63.74,64.02,932365,172,1
28,64.29,64.3,63.8,63.97,1564672,172,1
29,63.7,63.93,62.75,62.92,1086800,172,1
30,62.94,62.9965,62.1,62.38,1696669,172,1
31,62.43,62.65,61.42,61.67,1645491,172,1
32,61.92,62.75,61.83,62.69,2189642,172,1
33,62.37,63.0,62.29,62.94,911909,172,1
34,63.0,63.41,62.73,63.24,878885,172,1
35,63.37,63.48,63.12,63.39,521183,172,1
36,63.67,64.35,63.51,64.03,1197297,172,1
37,64.19,65.19,63.9501,65.0,2150972,172,1
38,65.01,66.56,65.0,66.52,1672794,172,1
39,66.35,67.47,66.161,67.28,1403388,172,1
40,67.3,67.89,67.0,67.86,1232788,172,1
41,67.86,67.96,67.56,67.65,955202,172,1
42,67.92,68.34,67.84,68.26,1701864,172,1
43,68.26,69.14,67.81,69.05,1285181,172,1
44,68.96,69.7,68.915,69.7,1262897,172,1
45,69.39,69.97,68.65,68.65,1006276,172,1
46,69.18,69.76,68.83,69.53,1102542,172,1
47,69.23,69.51,68.76,69.2,1218971,172,1
48,69.53,70.38,69.53,70.29,1616908,172,1
49,70.52,70.7,69.08,69.71,2316047,172,1
50,69.65,69.94,69.2,69.69,1049577,172,1
51,69.96,69.96,68.73,69.5,1875911,172,1
52,69.54,70.17,69.3,70.12,1275719,172,1
53,70.14,70.19,68.24,68.62,4423476,172,1
54,68.64,69.44,68.64,69.11,3813804,172,1
55,69.47,70.88,69.26,70.86,3668645,172,1
56,70.72,71.81,70.54,71.23,1336291,172,1
57,71.22,72.1,70.96,71.39,1629182,172,1
58,71.36,71.83,70.96,71.57,1087568,172,1
59,71.88,71.98,70.68,71.1,1200870,172,1
60,71.01,71.24,68.98,69.13,1675779,172,1
61,68.26,69.13,68.1,68.77,1251062,172,1
62,68.8,69.11,67.71,68.05,1359555,172,1
63,68.11,68.1661,66.84,67.0,1151918,172,1
64,67.01,67.57,66.72,67.49,921296,172,1
65,67.21,67.61,66.86,67.29,863884,172,1
66,67.34,68.2,67.19,68.08,1380139,172,1
67,67.99,70.45,67.9,69.61,3153905,172,1
68,69.42,70.175,68.9,69.67,1773445,172,1
69,69.8,71.3,69.63,71.14,2281332,172,1
70,71.0,71.13,70.3,70.6,1229719,172,1
71,70.76,70.76,69.89,70.3,1176545,172,1
72,70.23,70.82,68.68,69.07,1197093,172,1
73,68.11,69.12,67.59,68.92,1123305,172,1
74,68.87,69.17,68.41,68.94,773415,172,1
75,68.73,70.66,68.5401,69.5,2140293,172,1
76,68.99,69.25,68.35,68.59,1707621,172,1
77,68.81,70.21,68.81,69.1,1122080,172,1
78,69.07,70.48,68.88,68.88,1254558,172,1
79,69.18,70.48,68.16,69.71,1451270,172,1
80,69.55,69.68,68.13,68.24,1528200,172,1
81,68.05,68.21,67.23,67.39,1025618,172,1
82,67.48,68.11,67.09,68.01,891800,172,1
83,68.27,68.98,67.49,68.19,1107076,172,1
84,69.29,69.88,68.75,69.57,1607675,172,1
85,69.12,69.54,68.64,68.66,792190,172,1
86,69.05,69.23,67.3,67.71,1107515,172,1
87,67.68,68.93,67.1801,68.88,950071,172,1
88,68.7,69.37,68.41,68.47,937518,172,1
89,68.67,69.75,68.21,68.62,1103918,172,1
90,68.57,69.56,68.17,69.17,853416,172,1
91,69.22,70.1,68.25,68.25,1089123,172,1
92,67.84,68.1,66.25,66.37,1328446,172,1
93,66.644,68.42,66.31,68.13,1971381,172,1
94,67.55,68.54,66.9,68.11,1257751,172,1
95,68.6,69.59,68.11,69.16,1180764,172,1
96,69.47,70.52,69.185,70.28,1032086,172,1
97,70.39,71.59,69.91,70.05,1335822,172,1
98,69.9,70.11,69.26,69.68,1320640,172,1
99,69.94,70.0,68.84,69.34,1236705,172,1
100,69.3,70.1825,69.04,69.35,1264562,172,1
101,69.06,69.6325,68.8705,69.29,628074,172,1
102,69.24,69.29,67.425,68.06,863470,172,1
103,68.29,69.11,68.04,68.95,872284,172,1
104,69.37,69.71,68.35,69.14,1806413,172,1
105,69.13,70.01,68.7492,69.7,870263,172,1
106,70.32,71.32,70.3,71.31,987652,172,1
107,71.29,71.29,70.435,70.89,731011,172,1
108,70.98,71.97,70.795,71.6,1086928,172,1
109,71.44,71.72,70.64,71.02,860433,172,1
110,71.42,71.52,70.45,70.64,637493,172,1
111,70.87,71.8,70.87,71.77,993079,172,1
112,71.72,72.19,71.26,71.91,1033780,172,1
113,71.94,72.58,71.9,72.35,920852,172,1
114,72.29,72.595,71.55,72.33,949734,172,1
115,72.17,72.17,70.02,70.42,1243722,172,1
116,70.16,70.59,69.49,70.09,5862875,172,1
117,70.02,70.32,69.49,70.13,5783613,172,1
118,70.04,70.88,70.04,70.53,3703925,172,1
119,70.76,71.77,69.1,69.6,2334248,172,1
120,69.38,69.85,67.34,67.5,2311749,172,1
121,67.76,68.2,67.38,67.89,1326191,172,1
122,67.92,68.27,67.74,68.19,920144,172,1
123,68.11,68.17,67.48,67.53,1138839,172,1
124,66.55,67.05,66.47,66.86,2028884,172,1
125,66.75,69.1,66.5,68.77,2144466,172,1
