id_date,open,high,low,close,volume,id_stock,id_index
1,43.19,43.53,42.96,43.34,1448181,176,1
2,43.29,43.46,42.8,43.0,913213,176,1
3,42.95,43.19,42.715,42.75,1519621,176,1
4,42.92,43.11,42.44,42.67,1361478,176,1
5,42.56,42.78,42.23,42.4,1920533,176,1
6,42.4,42.85,42.21,42.26,1628775,176,1
7,42.39,42.74,42.14,42.6,1857939,176,1
8,42.6,42.67,41.72,41.81,1535342,176,1
9,41.67,41.67,40.66,40.75,2490052,176,1
10,40.86,41.33,40.6,40.81,2289683,176,1
11,41.08,41.56,39.925,39.99,2763573,176,1
12,39.16,39.96,36.08,37.06,9355795,176,1
13,37.19,38.52,37.15,38.22,4708356,176,1
14,38.17,39.1,38.15,38.85,4339501,176,1
15,38.51,38.91,38.19,38.82,2858873,176,1
16,38.65,38.95,38.26,38.94,2431455,176,1
17,39.02,39.76,38.99,39.55,1846145,176,1
18,39.73,39.78,38.9801,39.09,1807549,176,1
19,39.06,39.25,38.74,38.78,1817996,176,1
20,39.25,39.29,38.63,38.69,1621386,176,1
21,38.76,38.87,38.564,38.64,1236833,176,1
22,38.61,38.94,38.09,38.24,1744300,176,1
23,38.48,38.54,38.13,38.29,2099797,176,1
24,38.44,38.53,38.185,38.37,1773950,176,1
25,38.27,38.5,38.2,38.44,2182861,176,1
26,38.12,38.7,37.85,38.18,1756619,176,1
27,38.18,38.345,37.015,37.43,2790565,176,1
28,37.55,37.66,36.51,37.19,3526648,176,1
29,37.05,37.14,36.46,36.59,2395476,176,1
30,36.78,36.96,36.32,36.54,2418804,176,1
31,36.69,36.78,35.45,35.67,3626744,176,1
32,35.6,35.97,35.45,35.8,3118510,176,1
33,35.63,35.85,35.33,35.73,2262815,176,1
34,35.58,35.75,35.4,35.73,2269712,176,1
35,35.79,36.12,35.24,35.37,1871926,176,1
36,35.42,35.88,35.19,35.3,2162352,176,1
37,35.21,35.87,35.21,35.62,2807576,176,1
38,35.71,36.275,35.55,36.08,2610388,176,1
39,35.58,36.28,35.16,36.21,2191803,176,1
40,36.16,36.495,35.66,36.475,1880900,176,1
41,36.57,37.045,36.46,37.01,1979872,176,1
42,36.66,37.11,36.34,37.05,2730822,176,1
43,37.17,37.25,36.9,37.03,1552565,176,1
44,36.97,37.01,36.32,36.7,1771431,176,1
45,36.62,36.805,35.72,35.86,1927920,176,1
46,36.06,36.29,35.66,36.07,1876871,176,1
47,35.71,35.83,35.0,35.22,2279900,176,1
48,34.89,35.48,34.88,35.13,3031131,176,1
49,35.07,35.67,34.95,35.34,1980488,176,1
50,35.51,35.61,34.83,35.53,1457148,176,1
51,35.72,35.778,35.26,35.42,1229471,176,1
52,35.55,35.995,35.4,35.54,1842045,176,1
53,35.66,35.71,35.38,35.44,2297009,176,1
54,35.59,35.595,35.17,35.42,1358818,176,1
55,35.44,35.79,35.31,35.66,725021,176,1
56,35.56,35.94,35.44,35.93,1663596,176,1
57,36.02,36.16,35.03,35.32,1716562,176,1
58,37.0,38.45,36.94,37.03,5317139,176,1
59,36.99,37.7607,36.901,37.11,2763541,176,1
60,37.24,38.17,37.01,37.9,2121609,176,1
61,37.83,38.88,37.7525,38.73,2269511,176,1
62,38.45,39.1,38.27,39.08,1720808,176,1
63,39.0,39.08,38.4,38.45,1728737,176,1
64,38.5,38.885,38.28,38.43,1262127,176,1
65,38.27,38.46,38.13,38.32,1538061,176,1
66,38.41,38.83,38.29,38.71,1443923,176,1
67,38.71,38.78,38.46,38.63,1246211,176,1
68,38.48,38.81,38.08,38.2,1240126,176,1
69,38.36,38.53,38.11,38.53,1649330,176,1
70,38.48,38.679,38.29,38.57,1837363,176,1
71,38.5,38.89,38.46,38.71,1757581,176,1
72,38.67,39.2,38.07,38.3,1821249,176,1
73,38.25,40.19,38.0,40.14,3499090,176,1
74,39.84,39.96,39.02,39.33,1836967,176,1
75,40.16,40.71,39.24,39.59,1754888,176,1
76,39.25,39.64,39.1,39.36,1114446,176,1
77,39.18,39.35,38.855,39.03,1130254,176,1
78,38.86,39.385,38.84,39.03,1608908,176,1
79,39.02,39.21,38.48,39.0,1822529,176,1
80,38.97,39.18,38.305,38.49,1389924,176,1
81,38.62,38.62,37.66,37.78,1253806,176,1
82,37.89,38.5,37.8,38.29,1411694,176,1
83,38.42,38.89,38.26,38.62,1406042,176,1
84,38.63,38.767,38.36,38.48,1310828,176,1
85,38.19,38.36,37.7501,37.84,912021,176,1
86,38.15,38.26,37.48,37.61,1072328,176,1
87,37.67,38.66,37.47,38.57,889711,176,1
88,38.61,38.95,38.16,38.28,631699,176,1
89,38.65,39.26,38.32,38.65,1890621,176,1
90,38.75,39.21,38.59,38.99,1000789,176,1
91,39.07,39.37,38.455,38.48,790408,176,1
92,38.06,38.06,37.28,37.29,1591288,176,1
93,37.37,37.59,36.96,37.05,2145877,176,1
94,36.93,37.3,36.445,36.71,1322105,176,1
95,37.43,37.53,36.93,37.18,1703012,176,1
96,37.5,37.72,37.28,37.32,1000072,176,1
97,37.6,37.88,37.41,37.82,1222380,176,1
98,37.62,38.265,37.62,38.04,2155683,176,1
99,38.58,39.19,38.42,38.66,1867463,176,1
100,38.57,38.7799,38.05,38.18,1028065,176,1
101,38.02,38.18,37.79,37.98,417966,176,1
102,38.13,38.52,37.9,38.52,619099,176,1
103,38.62,38.81,38.445,38.65,849639,176,1
104,38.75,39.97,38.67,39.66,1953688,176,1
105,39.47,39.75,39.4,39.6,1300019,176,1
106,39.98,40.39,39.98,40.3,1222473,176,1
107,39.88,40.14,39.68,40.0,1772739,176,1
108,39.98,40.73,39.8805,40.67,943365,176,1
109,40.8,40.99,40.4735,40.62,1159196,176,1
110,40.75,40.84,40.32,40.47,883765,176,1
111,40.47,41.35,40.42,41.31,1169326,176,1
112,41.31,41.575,41.002,41.2,1201888,176,1
113,41.56,41.6,41.2,41.27,928429,176,1
114,41.24,41.39,40.37,40.39,1327163,176,1
115,40.47,40.74,39.99,40.06,898708,176,1
116,40.05,40.33,39.66,40.02,970707,176,1
117,39.78,40.8,39.66,40.8,1322320,176,1
118,40.54,40.77,40.11,40.16,959351,176,1
119,40.25,40.44,40.05,40.27,966144,176,1
120,40.43,40.79,40.2,40.32,850517,176,1
121,40.57,41.8,40.56,41.68,1474602,176,1
122,41.51,41.58,40.99,41.19,1073931,176,1
123,41.1,41.16,39.98,40.34,1839566,176,1
124,41.9183,42.95,40.91,41.21,3283481,176,1
125,40.6,41.27,40.14,41.21,2783271,176,1
126,41.35,41.55,40.98,41.11,1589399,176,1
127,41.1,41.1,40.6,40.79,1026892,176,1
128,40.59,41.0,40.5,40.8,699834,176,1
129,40.78,40.97,40.47,40.71,757150,176,1
130,40.73,40.75,40.25,40.51,724837,176,1
131,40.11,40.34,39.68,39.84,901160,176,1
132,39.75,40.22,39.7325,40.03,1047769,176,1
133,40.0,40.33,39.91,39.92,1052691,176,1
134,40.12,40.75,39.825,40.55,987288,176,1
135,40.32,40.8,39.92,40.51,1067681,176,1
136,40.6,41.35,40.5,41.26,714335,176,1
137,41.25,41.43,40.97,41.25,1406645,176,1
138,41.23,42.0,41.06,41.62,1431938,176,1
139,41.05,41.22,40.415,40.67,1679146,176,1
140,40.79,40.865,40.52,40.65,718114,176,1
141,40.5,40.95,40.38,40.45,778328,176,1
142,40.43,40.65,40.23,40.56,1165318,176,1
143,40.91,41.56,40.91,41.46,2169157,176,1
144,40.495,42.09,40.495,41.98,1716344,176,1
145,42.02,42.3,41.58,42.14,1932828,176,1
146,42.32,43.04,41.75,42.9,2739564,176,1
147,42.93,43.69,42.91,43.62,2034483,176,1
148,43.81,44.5,43.65,44.29,1992801,176,1
149,44.1,44.75,44.1,44.74,1607344,176,1
150,44.55,44.69,44.225,44.34,1587120,176,1
151,44.44,44.47,44.17,44.28,1499441,176,1
152,44.74,45.0,44.51,44.64,1472322,176,1
153,44.68,44.775,43.68,43.89,1907223,176,1
154,44.06,45.39,44.04,45.23,2534445,176,1
155,45.22,45.48,44.88,44.93,1840901,176,1
156,45.01,45.4,44.8,44.811,2902240,176,1
157,44.76,44.865,44.34,44.57,1216343,176,1
158,44.65,45.0,44.58,44.7,982539,176,1
159,44.64,44.89,44.06,44.18,1145427,176,1
