id_date,open,high,low,close,volume,id_stock,id_index
1,65.5,66.35,65.16,65.65,1791202,177,1
2,65.24,65.49,64.37,64.8,2153193,177,1
3,64.91,65.92,64.785,65.55,2169487,177,1
4,65.7,65.83,64.854,65.47,1871751,177,1
5,64.98,65.43,64.51,65.17,2404110,177,1
6,65.25,65.79,64.23,64.58,2602143,177,1
7,64.9,65.13,64.06,64.42,1906627,177,1
8,64.52,64.95,62.82,63.11,1828065,177,1
9,63.27,63.9,62.69,63.76,2904054,177,1
10,63.86,64.64,63.79,64.49,2044896,177,1
11,64.66,64.92,62.031,62.14,2079000,177,1
12,62.28,63.12,61.49,62.82,2226594,177,1
13,63.41,64.92,62.11,64.18,2052012,177,1
14,63.93,64.535,63.19,63.9,2806471,177,1
15,63.5,64.15,62.86,63.74,1788756,177,1
16,63.2,64.51,63.12,64.42,2172415,177,1
17,64.99,66.22,64.82,65.91,3362865,177,1
18,65.89,66.1,64.59,64.95,1731100,177,1
19,64.8,65.41,64.195,64.32,1279385,177,1
20,64.81,65.0,63.71,64.72,1561742,177,1
21,64.42,65.05,63.93,64.98,1770296,177,1
22,64.75,66.0,64.51,64.97,1752898,177,1
23,65.14,66.095,64.35,65.75,1499351,177,1
24,65.75,66.5,65.663,66.35,1304106,177,1
25,66.09,66.8299,65.65,66.221,1676426,177,1
26,65.32,65.61,64.32,64.44,1494868,177,1
27,64.78,64.86,61.43,62.65,2878353,177,1
28,63.35,63.505,62.79,63.28,1798013,177,1
29,62.79,63.61,61.63,61.93,1845954,177,1
30,62.39,63.06,61.78,62.94,1944912,177,1
31,63.19,63.65,61.96,62.38,1267515,177,1
32,62.78,63.45,61.88,62.09,2001062,177,1
33,61.47,61.68,60.76,60.9,2602408,177,1
34,60.92,60.92,59.5,60.015,2732315,177,1
35,60.49,60.91,59.82,60.5,3274497,177,1
36,61.13,62.37,60.61,61.87,3091320,177,1
37,61.82,61.87,60.675,60.8,2498527,177,1
38,60.74,61.75,60.07,61.18,1263181,177,1
39,60.03,61.64,59.711,61.62,1364580,177,1
40,61.47,62.35,61.15,62.32,1270194,177,1
41,62.27,62.68,61.48,62.43,1283974,177,1
42,62.87,64.35,62.712,64.35,1476783,177,1
43,64.35,65.39,64.0625,65.01,2052413,177,1
44,64.7,65.15,63.97,64.43,1134644,177,1
45,63.89,64.31,61.3,61.46,2176457,177,1
46,61.85,63.36,61.82,63.13,1634177,177,1
47,62.3,62.88,61.1,61.77,2059835,177,1
48,61.96,62.43,60.25,60.5,1579984,177,1
49,60.46,62.34,60.16,61.67,2515403,177,1
50,61.77,63.65,61.38,63.34,2597993,177,1
51,63.75,64.4,63.26,64.2,2022138,177,1
52,64.2,64.96,63.46,64.18,1489198,177,1
53,64.67,65.22,64.4,64.97,4767592,177,1
54,61.51,61.9,58.0801,58.56,8903220,177,1
