id_date,open,high,low,close,volume,id_stock,id_index
1,40.06,40.28,39.85,40.28,536440,178,1
2,40.35,40.74,40.35,40.41,463389,178,1
3,40.48,40.61,40.32,40.35,508025,178,1
4,40.49,40.66,39.87,40.06,756691,178,1
5,40.04,40.04,39.53,39.54,1268707,178,1
6,39.16,39.325,37.9501,38.7,2269237,178,1
7,38.57,38.82,38.06,38.5,1404244,178,1
8,38.49,38.8399,38.37,38.4,945088,178,1
9,38.27,38.31,37.56,37.82,1358666,178,1
10,37.8,38.28,37.4,38.12,833771,178,1
11,38.4,38.49,37.14,37.19,1092086,178,1
12,37.18,37.31,36.5,37.29,1996413,178,1
13,37.28,37.58,37.14,37.53,544381,178,1
14,37.56,37.77,37.41,37.44,1291965,178,1
15,37.39,37.62,36.89,37.52,1054982,178,1
16,37.54,38.51,37.53,38.44,860361,178,1
17,38.55,39.46,38.48,39.46,996152,178,1
18,39.59,39.599,39.08,39.17,816707,178,1
19,39.18,39.5,38.93,39.03,736783,178,1
20,39.13,39.23,38.77,39.21,880790,178,1
21,39.16,39.16,38.54,38.86,572250,178,1
22,38.73,39.07,38.67,38.91,629133,178,1
23,38.79,39.42,38.09,38.12,991118,178,1
24,38.06,38.41,37.88,38.12,1068263,178,1
25,38.15,38.2,37.83,38.13,1238441,178,1
26,38.0,38.41,37.88,38.41,629287,178,1
27,38.47,38.57,37.9705,38.21,617923,178,1
28,38.38,38.66,38.24,38.64,447974,178,1
29,38.53,39.03,38.42,38.42,673264,178,1
30,38.43,39.09,38.31,39.09,574760,178,1
31,39.16,39.45,38.83,39.14,957331,178,1
32,39.24,39.53,39.2,39.49,706165,178,1
33,39.26,39.39,39.01,39.39,483242,178,1
34,39.46,39.61,39.19,39.27,1022289,178,1
35,39.24,39.44,38.87,39.44,558529,178,1
36,39.57,39.86,39.42,39.61,496533,178,1
37,39.65,39.74,39.05,39.19,661585,178,1
38,39.28,39.51,39.13,39.49,365894,178,1
39,39.17,39.76,39.01,39.75,352529,178,1
40,39.83,40.24,39.56,40.12,518136,178,1
41,40.24,40.68,40.01,40.53,830932,178,1
42,40.54,41.15,40.461,41.09,1153527,178,1
43,41.08,41.69,41.02,41.49,919554,178,1
44,41.33,41.57,41.27,41.54,572117,178,1
45,41.25,41.5,40.81,40.88,1073147,178,1
46,41.02,41.72,40.66,41.7,721922,178,1
47,41.35,41.57,40.9,41.2,869689,178,1
48,41.33,41.38,40.98,41.22,497381,178,1
49,41.34,42.05,41.05,42.01,610424,178,1
50,42.11,42.11,41.45,41.52,496673,178,1
51,41.6,41.84,41.32,41.65,545576,178,1
52,41.77,41.95,41.49,41.86,552490,178,1
53,41.99,41.99,41.5,41.68,736305,178,1
54,41.8,42.23,41.74,41.99,636657,178,1
55,42.77,43.13,42.32,42.96,674552,178,1
56,42.85,43.58,42.85,43.58,1737477,178,1
57,43.48,43.96,43.32,43.48,946540,178,1
58,43.65,44.13,43.48,44.0,661137,178,1
59,44.36,44.45,43.99,44.07,484542,178,1
60,44.15,44.36,43.77,44.27,455899,178,1
61,44.36,44.42,44.14,44.19,395603,178,1
62,44.19,44.24,43.895,44.23,651879,178,1
63,44.36,44.5,44.04,44.25,580803,178,1
64,44.26,44.41,43.65,43.72,425144,178,1
65,43.73,43.84,43.385,43.84,460911,178,1
