id_date,open,high,low,close,volume,id_stock,id_index
1,13.1,13.16,13.05,13.1,18596061,179,1
2,13.06,13.2,13.02,13.11,17685616,179,1
3,13.12,13.2,13.05,13.08,26231279,179,1
4,13.11,13.14,12.99,13.04,24501066,179,1
5,13.0,13.17,12.96,13.11,33487476,179,1
6,13.14,13.14,13.01,13.02,32438244,179,1
7,13.04,13.09,12.9,12.99,31088822,179,1
8,12.95,12.98,12.57,12.6,50348019,179,1
9,12.51,12.51,12.3,12.39,43703152,179,1
10,12.44,12.5,12.31,12.48,23866354,179,1
11,12.53,12.57,12.1,12.13,38611381,179,1
12,12.24,12.35,12.11,12.34,29191591,179,1
13,12.35,12.85,12.35,12.76,51560391,179,1
14,12.78,12.87,12.6,12.61,37682253,179,1
15,12.56,12.75,12.38,12.61,38806557,179,1
16,12.55,12.75,12.53,12.75,24336487,179,1
17,12.87,12.98,12.79,12.87,26862736,179,1
18,12.97,13.0,12.85,12.89,28940729,179,1
19,12.89,12.91,12.77,12.83,27701475,179,1
20,12.94,12.99,12.805,12.98,24715071,179,1
21,12.97,13.4,12.9,13.34,48682461,179,1
22,13.37,13.47,13.17,13.39,46031840,179,1
23,13.37,13.45,13.35,13.4,26454559,179,1
24,13.43,13.45,13.37,13.43,31644702,179,1
25,13.31,13.45,13.26,13.45,63013516,179,1
26,13.16,13.39,12.8,13.26,36838343,179,1
27,13.27,13.35,13.09,13.16,37621767,179,1
28,13.22,13.4,13.18,13.36,32687455,179,1
29,13.25,13.42,13.23,13.26,29707625,179,1
30,13.24,13.31,13.2,13.26,21412966,179,1
31,13.31,13.4,13.26,13.29,27237196,179,1
32,13.35,13.37,13.24,13.31,24236688,179,1
33,13.23,13.25,13.1,13.22,26224393,179,1
34,13.235,13.235,13.1,13.15,25471870,179,1
35,13.01,13.15,12.9,12.9,32947765,179,1
36,13.0,13.19,12.96,13.01,35187038,179,1
37,13.05,13.05,12.59,12.68,45186258,179,1
38,12.68,12.78,12.4463,12.65,29793838,179,1
39,12.43,12.5,12.15,12.44,42605678,179,1
40,12.46,12.83,12.4,12.78,23884039,179,1
41,12.85,12.96,12.75,12.8,29807577,179,1
42,12.87,13.13,12.82,13.12,31089780,179,1
43,13.15,13.58,13.13,13.55,51475808,179,1
44,13.43,13.55,13.26,13.53,37951747,179,1
45,13.36,13.46,12.91,12.95,55849913,179,1
46,13.17,13.24,12.995,13.12,36337661,179,1
47,12.97,13.05,12.7983,12.925,44568647,179,1
48,12.94,12.98,12.65,12.75,34873364,179,1
49,12.88,12.97,12.75,12.93,26971377,179,1
50,12.97,13.08,12.8,13.06,26083460,179,1
51,13.12,13.45,13.11,13.36,39987461,179,1
52,13.48,13.54,13.12,13.33,46012776,179,1
53,13.4,13.5576,13.35,13.47,42021434,179,1
54,13.52,13.76,13.45,13.67,43812094,179,1
55,13.73,13.76,13.57,13.66,20663649,179,1
56,13.66,13.74,13.52,13.71,24844398,179,1
57,13.6399,13.78,13.35,13.38,39342774,179,1
58,13.54,13.55,13.38,13.41,33952640,179,1
59,13.58,13.83,13.57,13.83,45905500,179,1
60,13.86,14.15,13.83,14.09,53810265,179,1
61,14.2,14.25,14.09,14.19,42069744,179,1
62,14.15,14.24,14.1,14.21,33327500,179,1
63,14.19,14.26,14.16,14.2,30566130,179,1
64,14.21,14.23,14.02,14.11,30873268,179,1
65,14.1,14.12,13.92,14.01,22756624,179,1
66,14.0,14.3,13.98,14.27,32350627,179,1
67,14.28,14.77,14.27,14.67,56843256,179,1
68,14.77,14.85,14.6,14.64,40919484,179,1
69,14.79,15.15,14.75,15.08,59733067,179,1
70,15.01,15.23,15.0,15.05,34578841,179,1
71,15.07,15.22,14.75,14.95,61823152,179,1
72,15.08,15.32,14.86,14.97,67114125,179,1
73,14.5,14.94,14.37,14.81,49123180,179,1
74,14.71,14.88,14.66,14.79,25287612,179,1
75,15.22,15.35,15.1,15.28,59223351,179,1
76,15.27,15.72,15.24,15.63,65140238,179,1
77,15.76,16.02,15.74,15.9,61753537,179,1
78,15.88,16.04,15.68,15.68,52086386,179,1
79,15.93,16.08,15.51,15.89,58994803,179,1
80,15.98,16.09,15.63,15.78,50248660,179,1
81,15.7,15.71,15.18,15.25,64777642,179,1
82,15.25,15.48,15.06,15.44,54782758,179,1
83,15.58,15.76,15.46,15.73,37090231,179,1
84,15.86,15.9,15.6,15.71,29575359,179,1
85,15.52,15.68,15.4,15.51,35348661,179,1
86,15.63,15.71,15.31,15.37,36194322,179,1
87,15.31,15.5988,15.18,15.58,34300811,179,1
88,15.52,15.57,15.35,15.37,27185740,179,1
89,15.53,15.72,15.44,15.55,31354450,179,1
90,15.54,15.71,15.44,15.65,25948107,179,1
91,15.6,15.62,15.31,15.32,35981899,179,1
92,15.19,15.28,14.75,14.82,57279330,179,1
93,15.02,15.055,14.59,15.0,48233720,179,1
94,14.67,14.83,14.3,14.67,58595845,179,1
95,14.85,15.0,14.84,14.97,34018810,179,1
96,15.16,15.31,15.095,15.29,39596179,179,1
97,15.43,15.7,15.39,15.65,35793732,179,1
98,15.56,15.65,15.44,15.47,45062806,179,1
99,15.61,15.79,15.555,15.74,35984832,179,1
100,15.76,16.21,15.69,16.18,70247177,179,1
101,16.15,16.45,16.14,16.43,38114464,179,1
102,16.53,16.74,16.48,16.7,44706795,179,1
103,16.85,16.93,16.75,16.81,41996739,179,1
104,16.86,16.94,16.72,16.84,33762023,179,1
105,16.76,16.88,16.65,16.72,38187401,179,1
106,16.95,16.99,16.86,16.98,34589170,179,1
107,16.98,17.11,16.9698,17.11,27298852,179,1
108,17.24,17.29,17.1,17.12,26627980,179,1
109,16.95,16.95,16.41,16.6,63262660,179,1
110,16.64,16.83,16.62,16.78,27868231,179,1
111,16.82,16.98,16.78,16.93,24574565,179,1
112,16.89,16.89,16.65,16.76,29559210,179,1
113,16.87,17.04,16.83,17.04,28719723,179,1
114,17.16,17.17,16.82,16.94,34935843,179,1
115,17.48,17.675,17.25,17.37,78595655,179,1
116,17.26,17.27,16.88,16.96,51475164,179,1
117,16.92,17.13,16.9,17.02,30337399,179,1
118,17.08,17.19,17.05,17.08,27823585,179,1
119,17.19,17.25,17.06,17.08,25848016,179,1
120,17.09,17.15,16.84,16.88,42111658,179,1
121,17.04,17.21,16.95,17.19,39508701,179,1
122,17.15,17.5,17.12,17.5,32148204,179,1
123,17.44,17.5,17.11,17.19,53799772,179,1
124,17.18,17.23,17.0,17.03,28981308,179,1
125,16.95,16.96,16.72,16.77,33042464,179,1
126,16.94,17.03,16.87,16.98,26592071,179,1
127,16.95,17.11,16.94,17.02,25629457,179,1
128,16.91,17.14,16.89,17.07,23157208,179,1
129,17.15,17.21,16.96,17.06,22344026,179,1
130,17.04,17.06,16.85,16.89,29230304,179,1
131,16.71,16.73,16.22,16.43,55886189,179,1
132,16.45,16.6,16.22,16.3,30460172,179,1
133,16.29,16.31,16.11,16.12,27960353,179,1
134,16.06,16.36,15.82,16.31,42591893,179,1
135,16.31,16.42,16.11,16.25,34915642,179,1
136,16.29,16.49,16.25,16.41,16465117,179,1
137,16.47,16.52,16.35,16.45,21544827,179,1
138,16.44,16.62,16.38,16.41,24777171,179,1
139,16.16,16.18,15.85,15.88,43962950,179,1
140,15.86,16.15,15.71,16.02,37027579,179,1
141,16.21,16.66,16.15,16.5,47715136,179,1
142,16.58,16.59,16.121,16.19,40255706,179,1
143,16.42,16.54,16.21,16.34,33447103,179,1
144,16.38,17.02,16.37,16.91,69374295,179,1
145,17.1,17.35,17.03,17.3,55960956,179,1
146,17.33,17.34,16.82,17.0,61723626,179,1
147,17.11,17.41,17.1,17.31,38467666,179,1
148,17.49,17.68,17.37,17.55,45821291,179,1
149,17.5,17.58,17.39,17.54,32883634,179,1
150,17.55,17.56,17.31,17.39,26827826,179,1
151,17.45,17.4876,17.28,17.35,21573764,179,1
152,17.53,17.59,17.3,17.35,27058546,179,1
153,17.35,17.45,17.3,17.44,23154889,179,1
154,17.36,17.77,17.34,17.625,45118246,179,1
155,17.75,17.77,17.51,17.66,30735416,179,1
156,17.71,17.71,17.3,17.39,47932603,179,1
157,17.27,17.35,16.98,17.2,42733755,179,1
158,17.23,17.4,17.08,17.26,33519439,179,1
159,17.25,17.4,17.16,17.19,31631410,179,1
160,17.26,17.38,17.12,17.27,32322032,179,1
161,17.17,17.2,17.0,17.05,33993002,179,1
162,16.77,17.01,16.69,16.87,36489432,179,1
163,16.93,17.34,16.92,17.19,41793221,179,1
164,17.09,17.22,16.95,17.21,29500880,179,1
165,17.11,17.17,16.76,16.95,36603752,179,1
166,16.97,17.14,16.94,17.09,24993902,179,1
167,16.86,16.95,16.81,16.81,30310095,179,1
168,16.83,16.85,16.45,16.5,45571503,179,1
169,16.51,16.74,16.35,16.62,50821049,179,1
170,16.87,17.0,16.83,16.93,46907526,179,1
171,17.02,17.12,16.88,17.11,30799401,179,1
172,16.93,17.25,16.92,17.18,31205665,179,1
173,17.18,17.21,16.95,16.97,39223865,179,1
174,17.08,17.29,17.03,17.29,33045989,179,1
175,17.24,17.49,17.24,17.46,26850557,179,1
176,17.52,17.55,17.43,17.53,23007267,179,1
177,17.59,17.6,17.41,17.5,22146804,179,1
178,17.55,17.68,17.44,17.6,30053047,179,1
179,17.66,17.71,17.39,17.52,45360882,179,1
180,18.01,18.02,17.64,17.76,71305135,179,1
181,17.84,17.85,17.42,17.6,47471182,179,1
182,17.66,17.72,17.52,17.57,37125608,179,1
183,17.57,17.62,17.41,17.61,36910437,179,1
184,17.62,17.64,17.25,17.34,39727514,179,1
185,17.29,17.33,17.1,17.11,38648221,179,1
186,17.24,17.24,16.76,16.89,52484476,179,1
