id_date,open,high,low,close,volume,id_stock,id_index
1,64.7,64.7,63.24,63.71,1856494,192,1
2,64.01,64.34,63.15,63.43,1434577,192,1
3,63.6,63.7,63.19,63.57,1172858,192,1
4,64.06,64.99,63.98,64.05,1434754,192,1
5,63.85,64.89,63.7034,64.57,1277750,192,1
6,64.47,64.7,64.19,64.51,1082102,192,1
7,64.47,66.28,64.28,66.28,2033090,192,1
8,65.98,66.12,64.33,64.34,2010745,192,1
9,63.74,64.04,61.89,63.53,3061390,192,1
10,63.91,64.285,63.18,64.05,1418251,192,1
11,64.48,64.56,61.45,61.45,2002364,192,1
12,61.71,61.78,59.61,61.36,3035755,192,1
13,61.32,62.92,61.17,62.53,1249643,192,1
14,62.53,62.843,61.89,61.9,1609080,192,1
15,61.29,61.3,59.49,60.51,3538675,192,1
16,60.17,60.28,58.56,60.03,2849365,192,1
17,60.61,61.79,60.53,61.63,1850398,192,1
18,62.09,62.92,61.81,62.75,2008077,192,1
19,62.92,63.62,62.72,63.41,2141427,192,1
20,63.88,64.52,63.45,64.31,1093026,192,1
21,64.27,64.27,63.75,63.96,1272863,192,1
22,63.97,64.16,63.03,63.83,1033370,192,1
23,63.8,63.99,63.3702,63.78,1041404,192,1
24,64.0,64.87,63.94,64.79,1005480,192,1
25,64.47,65.15,64.2,64.48,1522365,192,1
26,63.46,63.94,62.73,63.55,1506224,192,1
27,63.84,63.985,62.76,63.5,1389954,192,1
28,63.79,64.25,63.62,64.03,772513,192,1
29,63.58,64.315,63.26,63.63,857823,192,1
30,63.95,65.08,63.59,64.94,1333774,192,1
31,65.11,65.5,63.8,64.3,1291422,192,1
32,64.68,65.51,64.61,65.49,861500,192,1
33,64.84,65.41,64.11,65.25,1036517,192,1
34,65.42,66.46,65.06,66.33,1259388,192,1
35,66.3,66.8295,65.13,65.44,1181931,192,1
36,65.56,65.98,64.14,64.28,1137342,192,1
37,64.24,64.66,61.1,61.91,2845373,192,1
38,62.02,62.42,61.18,61.82,1817576,192,1
39,60.74,62.16,60.0,62.03,1352722,192,1
40,62.07,62.93,61.86,62.45,919126,192,1
41,62.59,63.1,61.91,62.68,1016008,192,1
42,62.86,63.64,62.06,62.57,2109090,192,1
43,62.64,63.19,62.02,62.92,1052801,192,1
44,62.51,62.61,60.01,60.22,2519770,192,1
45,59.72,59.72,54.91,55.3,15361919,192,1
46,56.58,57.27,56.12,56.64,4489807,192,1
47,56.08,56.08,54.42,55.27,3759905,192,1
48,55.45,55.8,54.22,54.33,2462555,192,1
