id_date,open,high,low,close,volume,id_stock,id_index
1,48.07,48.67,48.06,48.62,1552466,198,1
2,48.44,48.75,48.26,48.33,1864248,198,1
3,48.54,48.72,47.975,48.06,3852185,198,1
4,49.12,51.59,49.12,50.46,4385073,198,1
5,50.09,51.56,49.25,51.52,3298810,198,1
6,52.01,52.26,50.86,51.8,2757273,198,1
7,52.02,53.18,51.83,53.05,2834550,198,1
8,52.94,53.115,51.35,51.45,2730672,198,1
9,51.08,51.25,50.25,50.96,3161704,198,1
10,51.57,52.03,51.43,51.87,2557362,198,1
11,52.0,52.38,50.495,50.5,2395297,198,1
12,50.81,51.31,50.38,50.93,2381442,198,1
13,50.6,52.21,50.6,51.98,1792482,198,1
14,52.0,52.3,51.45,51.91,1835048,198,1
15,51.74,51.84,50.86,51.5,1830665,198,1
16,51.24,51.85,50.53,50.8,2376888,198,1
17,51.34,51.58,50.945,51.32,1750913,198,1
18,51.5,51.56,50.57,50.96,1327699,198,1
19,51.11,51.28,50.63,50.84,1318913,198,1
20,51.11,51.68,50.91,51.55,1116264,198,1
21,51.48,51.86,51.14,51.72,1214162,198,1
22,51.7,51.96,51.11,51.64,885907,198,1
23,51.71,52.0,51.32,51.86,1049423,198,1
24,51.88,52.58,51.88,52.4,1570928,198,1
25,52.24,52.84,52.07,52.59,2281507,198,1
26,51.78,52.19,51.47,51.69,1528487,198,1
27,51.77,51.84,50.25,51.0,1918739,198,1
28,51.32,52.76,51.3,52.5,1977647,198,1
29,52.15,52.32,51.465,51.95,2450958,198,1
30,52.01,52.63,51.62,52.39,1330734,198,1
31,52.7,53.2,52.4,52.57,1645233,198,1
32,52.7,53.6599,52.69,53.59,920222,198,1
33,52.91,54.42,52.68,54.08,1751323,198,1
34,54.09,54.518,53.87,54.39,1231284,198,1
35,54.59,54.81,53.53,53.91,1526439,198,1
36,54.14,54.31,53.59,53.82,1425458,198,1
37,53.8,53.89,51.62,51.96,2010489,198,1
38,51.97,52.55,51.43,51.8,970484,198,1
39,51.33,52.37,50.98,51.68,1893109,198,1
40,51.96,52.95,51.87,52.78,1484547,198,1
41,53.05,53.69,52.8,53.46,1452018,198,1
42,53.49,55.32,53.49,55.27,1886072,198,1
43,54.61,55.49,54.17,55.05,2033043,198,1
44,54.55,54.78,52.68,52.8,2173759,198,1
45,52.48,52.52,49.45,49.45,3527217,198,1
46,50.0,50.19,49.33,50.0,3371723,198,1
47,49.62,49.72,47.92,48.5,2749620,198,1
48,49.38,50.38,48.59,49.48,3702922,198,1
49,49.57,49.87,48.51,49.22,1914901,198,1
50,49.58,50.65,49.31,50.56,1606618,198,1
51,50.59,51.71,50.4,51.7,3049054,198,1
52,51.49,54.54,51.13,53.31,4150695,198,1
53,53.33,54.07,52.5801,53.41,2295654,198,1
54,53.11,53.39,52.63,52.89,1362684,198,1
55,53.29,53.5787,52.74,53.12,1604098,198,1
56,53.06,54.31,52.876,54.3,2271576,198,1
57,53.74,54.1,53.18,53.76,1138926,198,1
58,53.79,54.44,53.45,54.17,1249448,198,1
59,54.56,56.0,54.56,55.41,1787940,198,1
60,55.43,56.04,55.2,55.68,1189817,198,1
61,55.92,56.82,55.8875,56.63,1116994,198,1
62,56.58,56.7,55.85,56.24,1470405,198,1
63,56.08,56.78,55.9999,56.28,1324237,198,1
64,56.06,56.2,55.39,56.0,1175374,198,1
65,55.91,56.315,55.62,56.07,1049100,198,1
66,56.09,56.82,56.09,56.55,975808,198,1
67,56.25,56.62,55.75,56.36,1161262,198,1
68,56.35,56.875,56.04,56.18,1285037,198,1
69,56.65,57.57,56.65,57.54,1539456,198,1
70,57.39,58.78,57.3275,58.73,1725119,198,1
71,58.78,59.269,58.11,58.45,1065406,198,1
72,58.49,59.13,57.2,57.46,1566906,198,1
73,56.79,57.32,56.12,57.01,1296958,198,1
74,56.41,56.8,55.99,56.74,913746,198,1
75,57.6,58.12,57.07,57.51,953032,198,1
76,57.07,57.4804,56.57,56.95,883380,198,1
77,56.94,57.498,56.45,57.02,1117729,198,1
78,56.67,56.89,55.66,55.66,1353456,198,1
79,55.93,56.57,55.42,56.57,1215756,198,1
80,56.44,57.0,55.13,55.65,965595,198,1
81,55.34,55.76,54.82,54.87,925862,198,1
82,54.97,55.885,54.73,55.69,1429462,198,1
83,56.03,56.355,55.73,56.22,1394120,198,1
84,56.37,56.55,55.61,55.86,1492102,198,1
85,54.75,55.57,54.58,55.01,1450082,198,1
86,55.58,55.64,54.44,54.56,1283167,198,1
87,54.69,56.08,54.5,55.97,1415878,198,1
88,56.12,56.4,55.54,55.62,878780,198,1
89,56.29,58.05,56.26,57.82,1812351,198,1
90,57.83,58.34,57.76,57.98,1651312,198,1
91,58.0,58.12,56.79,56.88,1069680,198,1
92,55.84,55.855,54.46,54.66,2004227,198,1
93,55.2,55.41,53.88,55.01,2035640,198,1
94,54.4,55.63,53.17,55.1,1791442,198,1
95,55.97,56.67,55.36,55.76,1810399,198,1
96,56.21,56.33,55.31,55.84,1078710,198,1
97,56.43,56.79,56.1,56.29,1574596,198,1
98,56.05,56.48,55.53,55.68,1937543,198,1
99,56.17,56.3,55.615,55.82,1454707,198,1
100,55.75,56.56,55.62,56.41,2707802,198,1
101,56.31,56.55,55.3725,55.85,949433,198,1
102,56.28,56.74,56.08,56.34,990343,198,1
103,56.48,57.16,56.35,56.81,1802949,198,1
104,57.29,58.39,57.21,58.16,1504873,198,1
105,58.32,58.43,57.66,58.01,1342660,198,1
106,59.07,59.13,57.25,57.52,1532682,198,1
107,57.77,58.38,57.72,58.35,973627,198,1
108,58.32,58.51,57.735,57.77,798243,198,1
109,57.87,57.96,56.29,56.62,1269187,198,1
110,56.01,56.73,55.795,56.67,2223846,198,1
111,57.04,57.36,56.674,57.18,1597042,198,1
112,57.4,57.83,56.87,57.82,1612585,198,1
113,57.96,58.22,57.275,57.37,875850,198,1
114,57.61,57.955,56.71,57.1,1496037,198,1
115,57.3,58.38,55.65,56.11,2746828,198,1
116,55.27,55.66,54.7,55.64,1944690,198,1
117,55.48,55.9,54.0,54.55,2432428,198,1
118,54.51,54.71,53.24,53.4,2696851,198,1
119,53.54,53.69,53.09,53.47,1533166,198,1
120,53.88,53.97,53.12,53.3,1582619,198,1
121,54.0,55.19,53.9,54.92,1706955,198,1
122,54.95,55.235,54.28,55.11,1046668,198,1
123,54.94,55.1,54.34,54.64,1300941,198,1
124,54.44,54.71,53.5,53.63,1435369,198,1
125,53.51,53.64,53.01,53.57,1082327,198,1
126,53.88,54.1,53.41,53.93,916605,198,1
127,53.83,54.21,53.54,53.93,1723124,198,1
128,53.55,54.22,53.44,54.07,850345,198,1
129,54.11,54.6,53.73,54.36,971586,198,1
130,54.46,54.58,53.78,53.8,644556,198,1
131,52.71,53.36,52.71,53.22,938792,198,1
132,52.92,53.43,52.76,53.25,1185422,198,1
133,53.23,53.3,52.28,52.38,1085464,198,1
134,52.39,53.3,52.21,52.97,841682,198,1
135,52.67,53.145,52.47,52.65,1202222,198,1
136,52.91,55.28,52.68,54.72,1345264,198,1
137,55.59,55.59,54.35,55.11,1084621,198,1
138,55.45,55.64,54.63,54.74,764785,198,1
139,54.04,55.0,53.97,54.3,960863,198,1
140,54.3,55.16,54.105,54.73,1306620,198,1
141,54.46,54.54,53.63,53.79,1140886,198,1
