id_date,open,high,low,close,volume,id_stock,id_index
1,20.04,20.15,19.94,20.14,2675438,202,1
2,20.15,20.25,20.12,20.18,1954710,202,1
3,19.96,20.25,19.92,20.15,4993736,202,1
4,20.13,20.27,19.83,19.91,5177857,202,1
5,19.93,19.98,19.71,19.8,2843742,202,1
6,19.82,20.04,19.79,19.96,3442592,202,1
7,19.96,20.1,19.83,20.08,3606272,202,1
8,20.07,20.26,19.88,19.9,4885578,202,1
9,19.85,19.9,19.43,19.45,3937714,202,1
10,19.55,19.73,19.46,19.66,2227923,202,1
11,19.75,19.77,19.19,19.19,3253118,202,1
12,19.21,19.38,19.07,19.17,3025749,202,1
13,19.19,19.39,19.16,19.32,3147386,202,1
14,19.33,19.33,19.12,19.14,6282010,202,1
15,19.14,19.71,19.08,19.7,5450061,202,1
16,19.7,19.91,19.6501,19.91,3748689,202,1
17,20.0,20.08,19.92,20.0,4332644,202,1
18,20.05,20.23,19.79,20.14,5432079,202,1
19,19.91,20.1,19.79,19.83,5898184,202,1
20,19.9,19.9,19.65,19.75,4041705,202,1
21,19.74,19.95,19.685,19.93,3697063,202,1
22,19.91,20.09,19.91,19.97,4253938,202,1
23,19.93,20.06,19.765,19.81,5905191,202,1
24,19.78,19.97,19.77,19.86,7225902,202,1
25,19.89,19.975,19.82,19.88,6843933,202,1
26,19.76,19.9,19.7,19.9,4669856,202,1
27,19.88,19.96,19.76,19.86,3238030,202,1
28,19.86,20.0,19.8,19.99,2202162,202,1
29,19.89,20.04,19.88,19.89,5734105,202,1
30,19.89,20.04,19.82,19.95,2953400,202,1
31,20.0,20.05,19.885,19.96,5604685,202,1
32,20.01,20.075,19.93,19.99,3797601,202,1
33,19.99,20.03,19.9,19.94,3968967,202,1
34,20.0,20.05,19.87,19.88,6692918,202,1
35,19.89,19.99,19.79,19.97,4186862,202,1
36,20.0,20.35,20.0,20.16,3881653,202,1
37,20.26,20.5,20.03,20.22,3675939,202,1
38,20.24,20.455,20.2,20.41,3623058,202,1
39,20.18,20.57,20.16,20.48,3570217,202,1
40,20.45,20.72,20.37,20.68,3708742,202,1
41,20.69,20.79,20.49,20.68,4422923,202,1
42,20.7,20.91,20.68,20.85,6509711,202,1
43,20.91,21.315,20.82,21.13,6790927,202,1
44,20.93,21.31,20.74,21.2,3479372,202,1
45,21.1,21.195,20.86,20.93,3770057,202,1
46,20.98,21.29,20.94,21.26,4624353,202,1
47,21.03,21.14,20.825,21.05,3192673,202,1
48,20.99,21.12,20.9,21.09,2911836,202,1
49,21.04,21.53,21.01,21.53,2663172,202,1
50,21.53,21.57,21.26,21.52,2911951,202,1
51,21.6,21.865,21.59,21.67,5193848,202,1
52,21.68,21.99,21.55,21.92,3424144,202,1
53,21.78,21.985,21.52,21.87,3064691,202,1
54,21.83,22.0,21.76,21.77,2488707,202,1
55,21.93,22.03,21.82,22.03,2311556,202,1
56,22.13,22.8,22.1025,22.72,5518656,202,1
57,22.7,23.07,22.5,22.59,2849178,202,1
58,22.68,23.0,22.525,22.97,2440678,202,1
59,23.05,23.21,22.8,22.96,2630316,202,1
60,22.96,23.33,22.96,23.33,2053343,202,1
61,22.82,22.9,22.7,22.82,7624319,202,1
62,22.82,22.99,22.67,22.83,5013445,202,1
63,22.89,23.0,22.59,22.63,3661592,202,1
64,22.69,22.81,22.57,22.71,1452940,202,1
65,22.75,22.91,22.71,22.86,2437380,202,1
66,22.91,22.995,22.73,22.81,2123646,202,1
67,22.77,22.86,22.67,22.86,2581501,202,1
68,22.88,23.075,22.8,22.89,4412870,202,1
69,22.96,23.06,22.77,22.97,2226650,202,1
70,22.98,23.15,22.88,23.01,5363548,202,1
71,23.01,23.13,22.85,22.86,6135288,202,1
72,22.86,22.9,21.95,22.07,7899273,202,1
73,21.78,21.83,18.63,21.54,4067173,202,1
74,21.39,21.54,21.18,21.54,3116500,202,1
75,21.61,21.75,20.91,21.1,4903512,202,1
76,20.91,21.12,20.33,21.1,6367843,202,1
77,21.05,21.35,20.74,20.83,5776102,202,1
78,20.83,20.905,20.47,20.53,8476513,202,1
79,20.54,20.78,20.28,20.42,4456954,202,1
80,20.47,20.54,20.055,20.07,4286494,202,1
81,20.04,20.25,19.79,19.97,2740893,202,1
82,19.87,20.66,19.86,20.64,4288404,202,1
83,20.76,20.93,20.44,20.78,3749777,202,1
84,20.78,20.826,20.5,20.69,3894510,202,1
85,20.6,20.71,20.35,20.44,4251780,202,1
86,20.54,20.57,20.04,20.15,2373484,202,1
