id_date,open,high,low,close,volume,id_stock,id_index
1,40.32,41.27,40.15,40.9,8968762,203,1
2,40.9,41.01,40.16,40.4,11061708,203,1
3,40.46,40.95,40.3,40.83,9790964,203,1
4,40.96,41.51,40.833,41.4,7962603,203,1
5,41.18,41.75,41.11,41.6,8687783,203,1
6,41.45,41.71,41.3,41.6,8020465,203,1
7,42.25,43.04,42.06,42.28,11547966,203,1
8,42.51,42.84,41.875,41.88,9391797,203,1
9,41.82,41.8475,41.18,41.54,9769224,203,1
10,41.66,42.49,41.6001,42.45,6138636,203,1
11,42.77,43.35,42.06,42.09,9560882,203,1
12,42.14,42.42,41.6901,42.25,7195925,203,1
13,42.39,43.29,42.082,42.89,7984802,203,1
14,43.03,43.18,42.71,42.72,10104187,203,1
15,42.63,43.5,42.38,43.45,11294314,203,1
16,43.53,43.88,43.18,43.87,8813908,203,1
17,44.35,45.58,44.35,45.02,15086551,203,1
18,45.23,45.447,44.64,45.4,8542154,203,1
19,45.1,45.2,44.51,44.95,9176445,203,1
20,45.24,45.55,44.5057,45.43,6885072,203,1
21,45.495,45.95,45.18,45.94,7297981,203,1
22,45.97,46.37,45.53,46.18,9915880,203,1
23,46.15,46.15,45.605,45.87,6112041,203,1
24,45.9,46.14,45.68,45.88,8979676,203,1
25,45.81,46.0,44.96,45.17,14207258,203,1
26,44.74,45.01,44.1,44.8,9084191,203,1
27,44.81,45.0,43.78,44.38,9059255,203,1
28,44.8099,44.82,44.285,44.52,7041254,203,1
29,44.45,44.74,44.26,44.54,12615197,203,1
30,45.13,45.56,44.84,45.51,8265328,203,1
31,46.01,46.13,44.755,44.98,12173974,203,1
32,45.15,45.89,45.11,45.76,7083331,203,1
33,46.2,47.83,45.92,47.72,18418224,203,1
34,47.86,49.48,47.85,48.94,18501368,203,1
35,49.01,49.17,47.91,47.98,14398939,203,1
36,48.33,48.38,47.97,48.2,15536342,203,1
37,48.25,48.37,47.31,47.63,9165688,203,1
38,47.91,48.35,47.56,47.74,10049426,203,1
39,46.9,47.45,46.525,47.37,10957984,203,1
40,47.25,47.61,46.85,47.2,9534975,203,1
41,48.09,48.81,47.99,48.3,13126246,203,1
42,48.52,49.85,48.5,49.73,10084830,203,1
43,50.2,51.975,50.18,51.65,15565640,203,1
44,51.66,52.43,51.39,51.93,10696450,203,1
45,52.25,52.3598,50.62,50.68,13210153,203,1
46,51.27,52.05,51.065,52.01,13561816,203,1
47,51.7,52.2,50.73,51.94,12451833,203,1
48,51.88,52.06,50.53,50.86,9391422,203,1
49,50.66,53.98,50.66,53.17,20435749,203,1
50,54.12,54.24,53.29,54.05,15188549,203,1
51,54.4,55.16,52.58,53.33,13828023,203,1
52,53.18,53.52,50.43,50.57,18388190,203,1
53,51.3,51.84,50.91,51.43,10862649,203,1
54,51.49,52.25,51.29,51.38,9678591,203,1
55,51.36,51.63,50.77,51.09,10805951,203,1
56,50.75,50.89,49.43,50.64,13544561,203,1
57,50.45,50.645,49.86,50.14,9679031,203,1
58,52.75,53.21,51.95,52.18,16601344,203,1
59,54.55,56.35,54.52,55.15,17089127,203,1
60,55.1801,55.6974,54.12,54.43,13330630,203,1
61,54.37,54.6,52.82,53.13,14095903,203,1
62,53.13,53.41,51.99,52.38,12612474,203,1
63,52.58,53.22,52.25,52.79,9815584,203,1
64,52.77,53.1525,52.19,52.88,12752560,203,1
65,53.12,55.09,52.93,54.47,14485390,203,1
66,54.49,56.27,54.4,56.25,16929169,203,1
67,56.34,57.1,55.09,56.36,16778046,203,1
68,56.6,56.64,54.2,54.96,15553763,203,1
69,55.48,56.43,54.65,56.3,13909463,203,1
70,56.0901,56.78,55.21,55.74,9492655,203,1
71,56.14,56.85,55.76,56.47,10085414,203,1
72,57.0,58.065,55.62,55.93,12765481,203,1
73,54.89,56.06,54.16,55.48,10768454,203,1
74,55.3,56.35,54.9,55.81,8745685,203,1
75,56.68,56.82,55.61,56.18,8669395,203,1
76,55.94,56.19,54.85,55.63,9677078,203,1
77,55.75,56.82,55.45,55.8,9718966,203,1
78,56.21,56.21,54.48,54.48,11524017,203,1
79,54.56,54.64,51.35,53.12,15319606,203,1
80,53.125,53.69,51.92,52.32,11367151,203,1
81,51.6,52.66,49.26,50.12,18605674,203,1
82,50.38,51.68,49.66,51.35,14267356,203,1
83,51.88,53.41,51.81,52.892,12882518,203,1
84,53.55,53.56,52.11,52.44,8744157,203,1
85,51.9001,52.98,51.389,52.44,7277712,203,1
86,52.83,53.055,51.14,51.17,9705938,203,1
87,51.25,52.1,50.68,51.95,9292666,203,1
88,51.89,52.79,51.85,52.23,6216446,203,1
89,52.77,53.26,50.82,51.03,10079144,203,1
90,50.87,52.05,50.87,51.94,6873524,203,1
91,51.82,52.05,50.57,50.6,6406407,203,1
92,50.19,50.45,49.02,49.35,11510629,203,1
93,49.63,49.93,48.08,48.83,20297941,203,1
94,48.2,49.71,46.7,48.93,11453091,203,1
95,49.41,50.88,49.31,49.78,12878577,203,1
96,50.42,51.63,50.3,51.31,9904146,203,1
97,51.7,51.95,50.7,51.005,8248970,203,1
98,50.95,51.61,50.62,51.27,9085972,203,1
99,51.97,52.8,51.53,51.655,9472822,203,1
100,51.7,52.67,51.42,52.23,8565930,203,1
101,52.01,52.34,51.63,51.98,2795651,203,1
102,52.4,53.49,52.27,53.32,6126840,203,1
103,53.6,53.96,53.21,53.32,10022684,203,1
104,54.02,54.8,53.35,54.38,8202055,203,1
105,54.39,55.5,54.19,55.33,8779091,203,1
106,56.03,56.25,55.39,55.85,11373160,203,1
107,56.0,57.86,55.76,57.339,13267712,203,1
108,57.2,57.7178,56.82,57.66,7637458,203,1
109,57.55,57.765,56.78,57.14,8831365,203,1
110,57.37,57.77,57.1114,57.75,9123315,203,1
111,57.85,58.44,57.56,58.22,8821487,203,1
112,58.58,60.51,57.49,60.1,14573793,203,1
113,59.71,60.46,58.61,59.71,12171564,203,1
114,59.99,60.15,59.05,59.12,10995904,203,1
115,59.71,60.13,59.05,59.88,9589069,203,1
116,60.12,61.14,58.81,60.86,11314526,203,1
117,63.82,64.04,61.58,62.57,14714415,203,1
118,62.6,62.82,61.57,62.02,10265677,203,1
119,62.0,62.28,61.46,61.73,11134373,203,1
120,62.1,62.2,61.36,61.4,8423210,203,1
121,62.05,62.2,60.97,62.0,7726300,203,1
122,61.86,61.95,61.28,61.75,5595687,203,1
