id_date,open,high,low,close,volume,id_stock,id_index
1,42.45,42.66,42.4101,42.6,2092397,204,1
2,42.59,42.67,42.5,42.67,2359523,204,1
3,42.61,42.99,42.6,42.97,3852042,204,1
4,42.98,43.09,42.85,42.98,3088723,204,1
5,43.2,44.52,43.02,44.31,11824411,204,1
6,44.59,44.615,44.14,44.59,6662944,204,1
7,44.67,45.44,44.5,45.43,6384936,204,1
8,45.39,45.73,45.14,45.47,5389168,204,1
9,45.39,45.445,45.18,45.33,3934281,204,1
10,45.33,45.67,45.26,45.67,3040816,204,1
11,45.74,46.0101,45.42,45.42,4307900,204,1
12,45.57,46.03,45.47,46.01,5022708,204,1
13,46.0,46.37,45.82,46.28,2608807,204,1
14,46.28,46.47,46.1,46.25,3381361,204,1
15,46.22,46.53,45.81,46.39,5480412,204,1
16,46.36,46.495,46.24,46.45,4240718,204,1
17,46.5,46.69,46.39,46.49,4313935,204,1
18,46.55,46.72,46.38,46.43,3459122,204,1
19,46.45,46.69,46.4,46.46,3281968,204,1
20,46.52,46.62,46.3,46.33,3267765,204,1
21,46.06,46.199,45.56,45.7,6330223,204,1
22,45.56,46.35,45.51,46.27,4696195,204,1
23,46.32,46.5,46.17,46.48,3630037,204,1
24,46.49,46.53,46.2,46.42,3573881,204,1
25,46.21,46.4,46.02,46.24,5184088,204,1
26,45.98,46.46,45.93,46.33,3546996,204,1
27,46.38,46.5,46.17,46.42,4179217,204,1
28,46.57,48.02,46.41,47.61,9054601,204,1
29,47.55,48.31,47.3,47.86,7079406,204,1
30,47.94,48.29,47.9,48.15,3282947,204,1
31,48.17,48.64,47.85,48.08,3380036,204,1
32,48.19,48.63,48.09,48.63,3558421,204,1
33,48.58,48.95,48.55,48.79,3858466,204,1
34,48.97,49.37,48.82,49.31,4748985,204,1
35,48.25,48.98,48.21,48.68,4340305,204,1
36,48.81,49.14,48.675,48.81,3659564,204,1
37,48.8,48.8,48.13,48.27,4437044,204,1
38,48.35,49.05,48.35,49.02,5302793,204,1
39,48.75,48.8469,48.41,48.74,3628543,204,1
40,48.34,48.7,48.2,48.7,3088607,204,1
41,48.79,48.95,48.34,48.69,2939078,204,1
42,48.81,49.1663,48.69,49.03,3526369,204,1
43,49.2,49.58,49.051,49.25,3173621,204,1
44,49.16,49.41,48.95,49.35,2314709,204,1
45,49.17,49.48,48.97,49.06,4136224,204,1
46,49.26,49.875,49.06,49.86,3185976,204,1
