id_date,open,high,low,close,volume,id_stock,id_index
1,12.35,12.48,12.11,12.28,18009413,205,1
2,12.32,12.48,12.27,12.44,10352591,205,1
3,12.46,12.69,12.45,12.57,13459412,205,1
4,12.61,12.82,12.59,12.78,17233595,205,1
5,12.76,12.99,12.69,12.95,16363707,205,1
6,12.97,12.98,12.73,12.79,14372591,205,1
7,12.83,12.95,12.83,12.9,13870108,205,1
8,12.92,12.94,12.58,12.63,11496899,205,1
9,12.59,12.63,12.42,12.51,13285985,205,1
10,12.58,12.65,12.55,12.61,6884578,205,1
11,12.68,12.75,12.35,12.35,12157421,205,1
12,12.33,12.44,12.2,12.29,14353218,205,1
13,12.29,12.61,12.25,12.59,9534984,205,1
14,12.6,12.75,12.57,12.61,12514611,205,1
15,12.47,12.54,12.31,12.52,8935001,205,1
16,12.49,12.5,12.29,12.38,13079153,205,1
17,12.46,12.6,12.37,12.52,12336495,205,1
18,12.56,12.64,12.45,12.56,9816366,205,1
19,12.66,12.68,12.53,12.66,7641683,205,1
20,12.74,12.77,12.61,12.71,11898481,205,1
21,12.71,12.77,12.58,12.63,9174135,205,1
22,12.63,12.8,12.61,12.67,9535918,205,1
23,12.72,12.74,12.61,12.64,8081866,205,1
24,12.66,12.82,12.61,12.81,9723119,205,1
25,12.74,12.92,12.65,12.92,18598088,205,1
26,12.76,12.925,12.655,12.85,17277563,205,1
27,12.88,12.96,12.73,12.83,14674979,205,1
28,12.89,13.25,12.87,13.18,19254456,205,1
29,13.15,13.165,12.92,12.99,12560467,205,1
30,13.03,13.12,12.9301,13.05,9341705,205,1
31,13.11,13.15,12.9542,13.01,11341746,205,1
32,13.08,13.2,12.99,13.11,15027328,205,1
33,13.03,13.18,13.0,13.15,12858942,205,1
34,13.18,13.35,13.13,13.33,11638763,205,1
35,13.35,13.4,13.1701,13.33,13569425,205,1
36,13.31,13.4,13.25,13.33,10571948,205,1
37,13.3,13.44,13.28,13.34,14961657,205,1
38,13.34,13.49,13.32,13.34,10232025,205,1
39,13.12,13.36,12.98,13.31,15349569,205,1
40,13.33,13.39,13.235,13.35,11858351,205,1
41,13.35,13.44,13.28,13.35,14206521,205,1
42,13.39,13.47,13.35,13.4,13222250,205,1
43,13.41,13.45,13.27,13.37,12965294,205,1
44,13.35,13.37,13.21,13.3,14513599,205,1
45,13.25,13.26,13.09,13.13,18761817,205,1
46,13.2,13.2,13.1,13.18,9790612,205,1
47,13.09,13.18,12.89,12.96,18552629,205,1
48,12.96,13.11,12.77,13.06,22185194,205,1
49,13.07,13.1,12.84,12.84,14828574,205,1
50,12.86,12.86,12.64,12.82,10634438,205,1
51,12.86,13.13,12.76,13.13,11486030,205,1
52,13.5,13.95,13.41,13.85,34441736,205,1
53,13.92,14.41,13.88,14.23,24422455,205,1
54,14.24,14.29,14.01,14.23,9655098,205,1
55,14.35,14.55,14.3,14.41,16582725,205,1
56,14.39,14.5,14.24,14.5,11662917,205,1
57,14.45,14.5,14.26,14.33,8027534,205,1
58,14.3,14.43,14.25,14.37,7558304,205,1
59,14.5,14.99,14.48,14.87,17347619,205,1
60,14.84,15.0,14.81,14.88,10698236,205,1
61,14.93,14.95,14.78,14.87,7029976,205,1
62,14.85,14.9,14.73,14.88,14550455,205,1
63,14.83,15.25,14.83,15.06,14643570,205,1
64,15.03,15.23,15.02,15.1,9141551,205,1
65,15.36,15.495,15.16,15.24,12370664,205,1
66,15.27,15.53,15.23,15.53,13370493,205,1
67,15.53,15.71,15.4,15.68,11219237,205,1
68,15.67,15.77,15.31,15.45,14200377,205,1
69,15.42,16.14,15.39,16.14,24333190,205,1
70,16.06,16.43,16.05,16.31,19384190,205,1
71,16.3,16.32,16.01,16.19,14819989,205,1
72,16.2,16.3401,15.65,15.8,14335166,205,1
73,15.36,15.79,15.23,15.75,13630849,205,1
74,15.6,15.74,15.51,15.66,10226517,205,1
75,15.73,15.967,15.71,15.76,10188651,205,1
76,15.52,15.7,15.47,15.59,11165360,205,1
77,15.53,15.73,15.52,15.59,9875262,205,1
78,15.54,15.71,15.37,15.37,10291209,205,1
79,15.42,15.7,15.38,15.7,12680019,205,1
80,15.66,15.79,15.43,15.57,11310201,205,1
81,15.5,15.5,14.96,14.99,18431204,205,1
82,15.02,15.1,14.82,15.01,18588154,205,1
83,15.1,15.41,15.1,15.38,15014030,205,1
