id_date,open,high,low,close,volume,id_stock,id_index
1,69.57,69.99,69.57,69.92,533092,209,1
2,69.92,70.11,69.47,69.89,417443,209,1
3,69.87,70.23,69.84,70.19,659367,209,1
4,70.2,70.62,69.89,70.54,600947,209,1
5,70.55,70.87,70.36,70.79,581533,209,1
6,70.92,71.44,70.84,71.44,837183,209,1
7,70.91,70.91,68.29,68.75,2308667,209,1
8,68.79,69.64,68.75,69.0,925269,209,1
9,68.92,68.98,68.3,68.64,907974,209,1
10,69.0,69.58,68.85,69.57,476076,209,1
11,69.87,69.93,68.59,68.84,877505,209,1
12,69.15,69.42,68.62,69.26,798012,209,1
13,69.23,70.49,69.005,70.49,772028,209,1
14,70.58,71.47,70.37,71.03,1767205,209,1
15,70.8,71.16,70.43,71.0,1134843,209,1
16,71.0,71.99,70.84,71.97,771563,209,1
17,72.29,73.02,72.225,72.77,640831,209,1
18,72.21,72.64,72.01,72.62,695596,209,1
19,73.26,73.34,72.472,73.21,1556153,209,1
20,73.52,74.72,73.22,73.93,2032234,209,1
21,73.69,75.36,73.58,75.11,1319889,209,1
22,75.09,75.5,75.0,75.44,670364,209,1
23,75.63,75.81,75.25,75.75,869522,209,1
24,75.87,76.56,75.6501,76.56,1070572,209,1
25,76.12,76.6,75.7202,75.86,1053419,209,1
26,75.19,76.14,75.1,75.72,573259,209,1
27,75.75,76.0,74.9,75.7,699825,209,1
28,76.16,76.74,76.12,76.65,487694,209,1
29,76.34,77.35,76.27,77.21,1004867,209,1
30,77.51,77.78,76.48,77.4,544569,209,1
31,77.78,77.9775,76.21,76.34,858856,209,1
32,76.54,77.41,76.18,77.3,1751012,209,1
33,76.83,77.42,76.78,77.36,491144,209,1
34,77.34,78.12,77.1,78.0,556796,209,1
35,77.37,77.63,76.6475,77.12,527762,209,1
36,77.68,78.22,77.29,78.01,751140,209,1
37,78.23,78.27,76.2501,76.62,898862,209,1
38,76.83,77.53,76.7,77.5,372413,209,1
39,76.73,77.4,76.52,77.06,611256,209,1
40,77.05,77.88,77.04,77.88,461175,209,1
41,78.0,78.0,76.84,77.45,766598,209,1
42,77.64,78.25,77.31,78.0,1021209,209,1
43,78.04,78.24,77.68,78.0,1256299,209,1
44,77.68,78.06,77.27,77.74,794658,209,1
45,77.29,77.45,75.42,75.49,1059471,209,1
46,75.91,76.15,75.5,76.02,1316250,209,1
47,75.7,75.8,74.15,75.29,1145120,209,1
48,75.61,76.24,74.52,75.3,1027809,209,1
49,73.43,74.82,71.87,73.66,2965653,209,1
50,73.88,73.91,72.12,72.91,1295374,209,1
51,73.25,74.35,73.25,74.16,910592,209,1
52,74.37,74.74,73.75,74.2,809978,209,1
53,74.55,76.15,74.2,75.52,771661,209,1
54,75.55,75.73,74.85,75.04,446547,209,1
55,75.36,75.52,74.93,75.18,405265,209,1
56,75.18,76.35,74.42,76.33,1390778,209,1
57,76.19,76.21,74.52,74.62,753867,209,1
58,74.76,76.05,74.71,75.92,520912,209,1
59,76.49,77.509,76.49,77.1,653015,209,1
60,77.16,77.63,76.91,77.31,463880,209,1
61,77.62,78.29,77.37,78.29,576149,209,1
62,78.14,78.32,77.63,77.85,553666,209,1
63,77.87,78.0525,77.365,77.66,658955,209,1
64,77.75,78.08,77.51,77.86,664624,209,1
65,77.88,78.28,77.291,77.9,437016,209,1
66,78.09,78.94,77.685,78.9,530270,209,1
67,78.91,80.08,78.89,80.07,368333,209,1
68,79.89,80.38,79.45,79.85,702821,209,1
69,79.98,81.27,79.81,81.25,726243,209,1
70,81.11,81.87,81.11,81.22,418969,209,1
71,81.41,82.91,81.41,82.64,494553,209,1
72,82.72,84.27,81.73,82.11,881740,209,1
73,81.4,82.68,81.18,81.97,485414,209,1
74,81.45,81.7,81.03,81.4,468504,209,1
75,82.31,82.71,81.16,81.89,508003,209,1
76,81.44,81.62,79.39,79.59,1080804,209,1
77,79.83,80.17,78.3401,78.53,1098821,209,1
78,78.33,79.5,77.74,77.74,889504,209,1
79,78.13,78.13,76.57,77.5,1069367,209,1
80,77.54,78.08,76.5,76.81,875320,209,1
81,76.41,76.7,75.14,75.34,680699,209,1
82,75.56,76.0,75.12,75.9,653606,209,1
83,76.79,77.56,76.265,77.47,618698,209,1
84,77.77,78.12,77.3,77.93,606460,209,1
85,76.97,77.8,76.93,77.31,341171,209,1
86,79.14,79.14,77.26,77.44,568977,209,1
87,77.57,78.69,77.3,78.62,411837,209,1
88,78.46,79.11,78.01,78.64,398295,209,1
89,79.04,79.49,78.56,78.97,373556,209,1
90,79.12,79.69,78.51,79.64,431609,209,1
91,79.64,79.78,78.51,78.51,351822,209,1
92,77.94,78.0,76.33,76.47,752993,209,1
93,77.08,77.48,75.58,76.31,853223,209,1
94,75.57,76.8,75.14,75.96,608369,209,1
95,76.67,77.45,76.18,77.3,400690,209,1
96,77.97,78.0,76.61,76.7,798198,209,1
97,77.11,77.65,76.86,77.35,465414,209,1
98,77.26,78.4,76.87,78.07,1046366,209,1
99,78.11,79.83,77.62,79.77,976872,209,1
100,82.57,84.0,81.02,83.23,5768145,209,1
101,84.02,84.25,82.75,82.86,1203195,209,1
102,83.57,83.81,82.14,83.74,1040369,209,1
103,84.75,85.27,83.16,83.68,1419568,209,1
104,84.16,84.64,83.3,83.63,1397184,209,1
105,83.63,83.73,82.78,83.5,1025388,209,1
106,84.33,84.86,84.0,84.8,789012,209,1
107,84.73,85.07,84.03,85.03,642380,209,1
108,85.25,85.41,84.38,84.52,700009,209,1
109,84.62,84.95,83.67,84.19,588460,209,1
110,84.51,85.0,83.68,84.13,858532,209,1
111,83.0,84.61,81.1,82.34,2099912,209,1
112,82.21,82.76,81.33,82.4,1088187,209,1
113,82.38,82.54,81.35,81.84,1130252,209,1
114,82.16,82.53,81.58,81.68,1056427,209,1
115,81.92,82.36,80.95,81.29,1046322,209,1
116,81.07,81.93,80.82,81.91,915635,209,1
117,81.46,82.11,81.26,82.1,385850,209,1
118,82.05,82.57,81.46,81.54,472171,209,1
119,82.03,82.5409,81.81,81.83,374162,209,1
120,82.1,82.74,81.87,81.99,530565,209,1
121,82.66,84.04,82.53,83.97,493571,209,1
122,83.93,84.5768,83.33,84.57,641950,209,1
123,84.3,84.675,83.64,84.38,472028,209,1
124,84.15,84.5997,83.03,83.33,696997,209,1
125,83.25,83.33,82.24,82.68,828883,209,1
126,83.29,83.48,82.23,82.4,776168,209,1
127,82.47,83.19,82.26,82.58,846161,209,1
128,82.24,82.7,81.48,81.65,824380,209,1
129,81.93,82.05,81.19,81.57,635861,209,1
130,81.65,81.65,80.53,80.62,580917,209,1
131,80.16,80.17,78.69,78.75,864653,209,1
132,78.28,78.74,77.8,77.83,2428297,209,1
133,77.89,78.23,77.7,78.16,789708,209,1
134,78.33,80.05,78.33,79.73,776492,209,1
